Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
PATELENG.EQ-NSE,2019-01-01,37.3,39.8,37.3,39.4,348161.0
PATELENG.EQ-NSE,2019-01-02,38.8,39.05,37.6,37.85,211707.0
PATELENG.EQ-NSE,2019-01-03,37.85,38.1,37.2,37.35,70279.0
PATELENG.EQ-NSE,2019-01-04,37.25,37.8,37.1,37.25,97912.0
PATELENG.EQ-NSE,2019-01-07,38.95,39.4,37.5,37.7,461235.0
PATELENG.EQ-NSE,2019-01-08,37.5,37.8,36.85,37.0,270000.0
PATELENG.EQ-NSE,2019-01-09,37.3,37.3,35.9,36.1,301109.0
PATELENG.EQ-NSE,2019-01-10,36.15,36.7,35.8,35.95,192507.0
PATELENG.EQ-NSE,2019-01-11,36.45,36.45,35.2,35.4,241105.0
PATELENG.EQ-NSE,2019-01-14,35.45,35.5,34.25,34.7,274380.0
PATELENG.EQ-NSE,2019-01-15,34.95,35.25,34.55,34.85,174213.0
PATELENG.EQ-NSE,2019-01-16,34.95,35.2,34.6,34.8,176115.0
PATELENG.EQ-NSE,2019-01-17,35.15,35.55,33.05,33.5,382959.0
PATELENG.EQ-NSE,2019-01-18,33.7,34.55,33.3,33.75,139380.0
PATELENG.EQ-NSE,2019-01-21,33.5,33.95,33.2,33.2,94855.0
PATELENG.EQ-NSE,2019-01-22,33.45,33.5,33.05,33.4,99718.0
PATELENG.EQ-NSE,2019-01-23,33.1,33.55,32.65,32.8,95348.0
PATELENG.EQ-NSE,2019-01-24,32.9,33.2,32.0,32.1,103121.0
PATELENG.EQ-NSE,2019-01-25,32.1,32.3,30.6,31.35,157144.0
PATELENG.EQ-NSE,2019-01-28,30.85,31.0,29.0,29.3,169544.0
PATELENG.EQ-NSE,2019-01-29,29.3,30.9,28.25,30.6,222433.0
PATELENG.EQ-NSE,2019-01-30,30.15,30.65,30.15,30.5,65809.0
PATELENG.EQ-NSE,2019-01-31,30.5,31.1,29.7,30.05,102969.0
PATELENG.EQ-NSE,2019-02-01,30.15,31.1,29.6,30.1,88309.0
PATELENG.EQ-NSE,2019-02-04,30.35,30.35,28.45,28.75,87238.0
PATELENG.EQ-NSE,2019-02-05,28.5,28.9,27.0,27.0,104568.0
PATELENG.EQ-NSE,2019-02-06,26.95,27.05,23.55,24.2,378751.0
PATELENG.EQ-NSE,2019-02-07,24.0,25.5,23.55,25.35,182518.0
PATELENG.EQ-NSE,2019-02-08,24.6,25.45,24.35,24.65,104933.0
PATELENG.EQ-NSE,2019-02-11,24.85,24.95,23.75,24.1,100874.0
PATELENG.EQ-NSE,2019-02-12,24.3,24.55,22.75,23.5,198326.0
PATELENG.EQ-NSE,2019-02-13,25.9,27.8,25.0,25.6,931827.0
PATELENG.EQ-NSE,2019-02-14,25.05,25.5,24.3,24.8,150764.0
PATELENG.EQ-NSE,2019-02-15,25.4,25.4,24.35,24.75,74473.0
PATELENG.EQ-NSE,2019-02-18,24.5,24.75,23.5,23.8,113225.0
PATELENG.EQ-NSE,2019-02-19,23.85,24.0,23.25,23.7,151521.0
