Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
PCJEWELLER-I60PE,2019-01-01,0.45,0.45,0.35,0.4,78000.0,357500.0
PCJEWELLER-I65PE,2019-01-01,0.65,0.75,0.65,0.75,32500.0,97500.0
PCJEWELLER-I70CE,2019-01-01,17.3,17.9,17.3,17.9,19500.0,136500.0
PCJEWELLER-I70PE,2019-01-01,1.6,1.6,1.25,1.35,97500.0,325000.0
PCJEWELLER-I75PE,2019-01-01,2.5,2.55,2.1,2.3,123500.0,175500.0
PCJEWELLER-I80CE,2019-01-01,9.9,10.55,9.7,10.0,201500.0,403000.0
PCJEWELLER-I80PE,2019-01-01,3.9,4.2,3.55,3.8,533000.0,598000.0
PCJEWELLER-I85CE,2019-01-01,7.35,7.55,6.85,7.25,195000.0,325000.0
PCJEWELLER-I85PE,2019-01-01,6.3,6.5,5.6,5.9,546000.0,240500.0
PCJEWELLER-I90CE,2019-01-01,5.15,5.45,4.7,5.0,1098500.0,1313000.0
PCJEWELLER-I90PE,2019-01-01,8.9,9.2,8.35,8.8,84500.0,201500.0
PCJEWELLER-I95CE,2019-01-01,3.65,3.75,3.25,3.45,390000.0,377000.0
PCJEWELLER-I95PE,2019-01-01,12.3,12.65,12.25,12.3,39000.0,39000.0
PCJEWELLER-I100CE,2019-01-01,2.5,2.6,2.15,2.45,1228500.0,1898000.0
PCJEWELLER-I105CE,2019-01-01,1.9,1.9,1.45,1.65,383500.0,260000.0
PCJEWELLER-I105PE,2019-01-01,20.65,20.65,20.65,20.65,6500.0,6500.0
PCJEWELLER-I110CE,2019-01-01,1.2,1.2,0.95,1.1,468000.0,825500.0
PCJEWELLER-I115CE,2019-01-01,0.85,0.85,0.6,0.85,45500.0,65000.0
PCJEWELLER-I120CE,2019-01-01,0.65,0.7,0.55,0.65,318500.0,942500.0
PCJEWELLER-I55PE,2019-01-02,0.25,0.25,0.25,0.25,6500.0,65000.0
PCJEWELLER-I60CE,2019-01-02,23.95,23.95,23.95,23.95,6500.0,19500.0
PCJEWELLER-I60PE,2019-01-02,0.3,0.45,0.3,0.45,58500.0,364000.0
PCJEWELLER-I65PE,2019-01-02,0.8,0.95,0.55,0.9,71500.0,130000.0
PCJEWELLER-I70CE,2019-01-02,15.45,15.45,15.2,15.35,19500.0,130000.0
PCJEWELLER-I70PE,2019-01-02,1.45,1.7,1.15,1.7,312000.0,286000.0
PCJEWELLER-I75CE,2019-01-02,13.5,13.8,12.9,13.4,39000.0,32500.0
PCJEWELLER-I75PE,2019-01-02,2.3,2.95,2.1,2.85,266500.0,208000.0
PCJEWELLER-I80CE,2019-01-02,9.8,9.8,7.2,7.95,201500.0,390000.0
PCJEWELLER-I80PE,2019-01-02,3.95,4.9,3.65,4.8,1046500.0,656500.0
PCJEWELLER-I85CE,2019-01-02,6.9,7.25,5.2,5.35,325000.0,416000.0
PCJEWELLER-I85PE,2019-01-02,6.0,7.5,5.85,7.5,331500.0,149500.0
PCJEWELLER-I90CE,2019-01-02,4.8,5.25,3.5,3.55,1605500.0,1248000.0
PCJEWELLER-I90PE,2019-01-02,8.75,10.95,8.75,10.5,208000.0,182000.0
PCJEWELLER-I95CE,2019-01-02,3.4,3.65,2.3,2.5,708500.0,409500.0
PCJEWELLER-I95PE,2019-01-02,12.7,15.4,12.7,15.05,97500.0,58500.0
PCJEWELLER-I100CE,2019-01-02,2.25,2.55,1.5,1.6,2522000.0,2340000.0
PCJEWELLER-I100PE,2019-01-02,17.4,18.65,17.4,18.15,65000.0,52000.0
PCJEWELLER-I105CE,2019-01-02,1.55,1.8,1.05,1.05,650000.0,279500.0
PCJEWELLER-I110CE,2019-01-02,1.1,1.15,0.7,0.7,767000.0,819000.0
PCJEWELLER-I115CE,2019-01-02,0.95,0.95,0.55,0.55,45500.0,78000.0
PCJEWELLER-I120CE,2019-01-02,0.6,0.7,0.4,0.4,455000.0,1020500.0
PCJEWELLER-I55PE,2019-01-03,0.25,0.25,0.25,0.25,6500.0,71500.0
PCJEWELLER-I60PE,2019-01-03,0.35,0.4,0.25,0.4,19500.0,370500.0
PCJEWELLER-I65PE,2019-01-03,0.7,0.85,0.7,0.85,104000.0,143000.0
PCJEWELLER-I70CE,2019-01-03,15.45,15.95,15.05,15.05,26000.0,143000.0
PCJEWELLER-I70PE,2019-01-03,1.35,1.85,1.25,1.85,227500.0,390000.0
PCJEWELLER-I75CE,2019-01-03,10.75,10.75,10.75,10.75,13000.0,26000.0
PCJEWELLER-I75PE,2019-01-03,2.65,2.85,2.4,2.65,247000.0,240500.0
PCJEWELLER-I80CE,2019-01-03,9.05,9.15,6.9,6.9,149500.0,370500.0
PCJEWELLER-I80PE,2019-01-03,4.25,4.85,3.8,4.7,1131000.0,604500.0
PCJEWELLER-I85CE,2019-01-03,6.4,6.6,4.75,4.9,1189500.0,455000.0
PCJEWELLER-I85PE,2019-01-03,6.4,7.45,6.1,7.45,598000.0,169000.0
PCJEWELLER-I90CE,2019-01-03,4.4,4.6,3.1,3.2,1618500.0,1384500.0
PCJEWELLER-I90PE,2019-01-03,9.05,10.95,9.05,10.65,162500.0,169000.0
PCJEWELLER-I95CE,2019-01-03,3.0,3.05,2.0,2.1,435500.0,461500.0
