Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
PERSISTENT-I3300PE,2021-10-01,90.0,90.0,72.5,90.0,1650.0,1350.0
PERSISTENT-I3400PE,2021-10-01,81.0,100.0,81.0,100.0,300.0,150.0
PERSISTENT-I3500PE,2021-10-01,45.8,164.95,45.8,140.0,1950.0,1050.0
PERSISTENT-I3600PE,2021-10-01,164.55,205.95,164.55,184.85,900.0,450.0
PERSISTENT-I3700CE,2021-10-01,280.0,290.05,200.0,210.0,4350.0,3000.0
PERSISTENT-I3700PE,2021-10-01,201.0,201.0,201.0,201.0,150.0,0.0
PERSISTENT-I3750CE,2021-10-01,190.0,190.0,160.4,177.0,900.0,600.0
PERSISTENT-I3800CE,2021-10-01,258.0,300.0,160.0,170.0,8700.0,4200.0
PERSISTENT-I3850CE,2021-10-01,124.3,124.3,124.3,124.3,150.0,0.0
PERSISTENT-I4000CE,2021-10-01,50.0,212.0,50.0,100.15,4200.0,1950.0
PERSISTENT-I4100CE,2021-10-01,147.0,147.0,90.0,100.0,750.0,150.0
PERSISTENT-I4200CE,2021-10-01,81.0,108.0,81.0,98.95,600.0,450.0
PERSISTENT-I4300CE,2021-10-01,69.0,69.0,69.0,69.0,450.0,150.0
PERSISTENT-I4400CE,2021-10-01,57.55,57.55,55.0,55.0,300.0,150.0
PERSISTENT-I3200PE,2021-10-04,20.0,35.0,20.0,35.0,300.0,150.0
PERSISTENT-I3300PE,2021-10-04,55.0,77.25,55.0,55.0,600.0,1650.0
PERSISTENT-I3400PE,2021-10-04,70.0,70.0,70.0,70.0,300.0,300.0
PERSISTENT-I3500PE,2021-10-04,120.0,120.45,100.1,108.15,3000.0,2400.0
PERSISTENT-I3600PE,2021-10-04,151.25,151.25,151.25,151.25,150.0,600.0
PERSISTENT-I3700CE,2021-10-04,300.1,300.1,215.3,236.15,5400.0,4200.0
PERSISTENT-I3700PE,2021-10-04,201.0,201.0,201.0,201.0,300.0,300.0
PERSISTENT-I3750CE,2021-10-04,222.55,222.55,222.55,222.55,750.0,750.0
PERSISTENT-I3800CE,2021-10-04,188.25,241.3,185.0,196.9,27750.0,11400.0
PERSISTENT-I3850CE,2021-10-04,211.15,211.15,211.15,211.15,150.0,150.0
PERSISTENT-I3900CE,2021-10-04,192.0,192.0,179.1,179.1,450.0,300.0
PERSISTENT-I4000CE,2021-10-04,156.5,158.85,101.05,131.0,4050.0,3750.0
PERSISTENT-I4100CE,2021-10-04,77.25,136.75,77.25,136.75,300.0,300.0
PERSISTENT-I4200CE,2021-10-04,60.05,60.05,60.05,60.05,150.0,600.0
PERSISTENT-I4300CE,2021-10-04,52.3,75.0,52.3,65.0,1050.0,900.0
PERSISTENT-I4400CE,2021-10-04,29.75,29.75,29.75,29.75,150.0,150.0
PERSISTENT-I3200PE,2021-10-05,18.0,18.0,18.0,18.0,150.0,150.0
PERSISTENT-I3300PE,2021-10-05,35.7,77.9,35.7,46.5,900.0,2100.0
PERSISTENT-I3400PE,2021-10-05,72.0,76.0,70.0,76.0,750.0,600.0
PERSISTENT-I3500PE,2021-10-05,110.65,110.65,80.0,95.1,1800.0,2700.0
PERSISTENT-I3600PE,2021-10-05,166.8,174.1,132.0,132.0,1350.0,1050.0
PERSISTENT-I3700CE,2021-10-05,200.0,280.0,200.0,257.4,1950.0,4350.0
PERSISTENT-I3700PE,2021-10-05,248.25,250.0,188.0,188.0,750.0,600.0
