Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
PIDILITIND-I1040PE,2019-01-01,10.1,12.3,10.1,12.3,1500.0,5500.0
PIDILITIND-I1060CE,2019-01-01,67.95,67.95,67.95,67.95,500.0,1000.0
PIDILITIND-I1060PE,2019-01-01,14.0,17.8,14.0,15.55,5000.0,8000.0
PIDILITIND-I1080PE,2019-01-01,16.15,25.25,16.15,21.1,14500.0,12500.0
PIDILITIND-I1100CE,2019-01-01,39.05,39.05,36.5,38.9,2000.0,7500.0
PIDILITIND-I1100PE,2019-01-01,24.5,34.3,24.5,30.5,44000.0,21500.0
PIDILITIND-I1120CE,2019-01-01,28.0,30.6,27.15,29.75,8000.0,12000.0
PIDILITIND-I1120PE,2019-01-01,39.1,43.4,39.1,41.15,15500.0,14000.0
PIDILITIND-I1140CE,2019-01-01,24.2,24.2,20.0,21.45,23500.0,33000.0
PIDILITIND-I1160CE,2019-01-01,18.05,18.05,14.6,16.0,6500.0,8000.0
PIDILITIND-I1160PE,2019-01-01,70.0,70.0,70.0,70.0,500.0,500.0
PIDILITIND-I1180CE,2019-01-01,11.0,11.4,10.75,11.4,2000.0,6500.0
PIDILITIND-I1200CE,2019-01-01,8.55,9.15,7.0,9.15,26000.0,41000.0
PIDILITIND-I980PE,2019-01-02,2.6,2.6,2.6,2.6,500.0,0.0
PIDILITIND-I1040PE,2019-01-02,10.0,11.9,8.85,11.3,4000.0,7000.0
PIDILITIND-I1060PE,2019-01-02,16.1,16.7,12.3,16.7,4000.0,6500.0
PIDILITIND-I1080PE,2019-01-02,24.0,25.25,17.5,19.5,9000.0,10500.0
PIDILITIND-I1100CE,2019-01-02,35.95,47.45,33.5,41.25,7000.0,8000.0
PIDILITIND-I1100PE,2019-01-02,33.65,33.65,25.0,27.45,11000.0,21500.0
PIDILITIND-I1120CE,2019-01-02,25.0,36.65,25.0,31.0,25500.0,16000.0
PIDILITIND-I1120PE,2019-01-02,44.25,44.25,34.2,38.3,14000.0,9500.0
PIDILITIND-I1140CE,2019-01-02,20.2,27.0,17.8,23.0,27500.0,32500.0
PIDILITIND-I1140PE,2019-01-02,48.55,55.0,48.55,55.0,1000.0,1500.0
PIDILITIND-I1160CE,2019-01-02,14.0,20.0,13.65,15.25,13500.0,10500.0
PIDILITIND-I1180CE,2019-01-02,13.75,13.8,12.35,12.35,1500.0,7000.0
PIDILITIND-I1200CE,2019-01-02,6.3,10.75,6.3,8.0,30000.0,46500.0
PIDILITIND-I1220CE,2019-01-02,5.0,5.0,5.0,5.0,500.0,2000.0
PIDILITIND-I1000PE,2019-01-03,7.0,7.0,7.0,7.0,1000.0,500.0
PIDILITIND-I1040PE,2019-01-03,9.0,9.6,9.0,9.6,1000.0,8500.0
PIDILITIND-I1060PE,2019-01-03,13.05,17.0,12.7,16.0,6000.0,7000.0
PIDILITIND-I1080CE,2019-01-03,59.5,59.5,51.1,51.1,1500.0,1000.0
PIDILITIND-I1080PE,2019-01-03,20.65,23.1,16.7,22.0,10500.0,10000.0
PIDILITIND-I1100CE,2019-01-03,41.45,47.15,35.1,44.3,4000.0,8500.0
PIDILITIND-I1100PE,2019-01-03,26.0,31.9,23.65,28.75,12500.0,22500.0
PIDILITIND-I1120CE,2019-01-03,30.0,35.2,28.7,34.0,18000.0,15000.0
PIDILITIND-I1120PE,2019-01-03,39.65,42.0,33.2,42.0,7500.0,12500.0
PIDILITIND-I1140CE,2019-01-03,24.5,26.55,20.0,25.5,24500.0,33000.0
PIDILITIND-I1160CE,2019-01-03,18.8,19.9,15.2,16.75,9500.0,13000.0
