Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
POLYCAB-I1700PE,2021-08-27,20.0,22.95,15.0,15.0,6300.0,3300.0
POLYCAB-I1800PE,2021-08-27,36.2,55.0,34.0,37.0,6600.0,3000.0
POLYCAB-I1820PE,2021-08-27,41.0,41.0,41.0,41.0,600.0,0.0
POLYCAB-I1900CE,2021-08-27,89.0,101.05,67.0,81.1,77700.0,24600.0
POLYCAB-I1940CE,2021-08-27,87.0,87.0,48.2,60.05,8700.0,3000.0
POLYCAB-I2000CE,2021-08-27,50.05,50.05,33.5,40.25,24900.0,11700.0
POLYCAB-I2100CE,2021-08-27,21.05,24.0,20.0,21.0,3600.0,2100.0
POLYCAB-I2200CE,2021-08-27,15.6,15.6,8.65,12.65,5400.0,1800.0
POLYCAB-I1700PE,2021-08-30,9.55,13.9,5.4,5.7,16200.0,5100.0
POLYCAB-I1800PE,2021-08-30,24.05,28.0,14.6,14.6,77400.0,20400.0
POLYCAB-I1820PE,2021-08-30,28.45,28.45,21.0,21.65,3900.0,2400.0
POLYCAB-I1900CE,2021-08-30,92.3,185.05,91.0,180.25,86100.0,17700.0
POLYCAB-I1900PE,2021-08-30,40.0,49.9,33.1,34.0,40800.0,20100.0
POLYCAB-I1920CE,2021-08-30,123.05,126.1,122.35,126.1,1200.0,300.0
POLYCAB-I1940CE,2021-08-30,83.0,149.85,83.0,147.0,23400.0,5400.0
POLYCAB-I1960CE,2021-08-30,97.75,132.1,97.75,132.1,2700.0,1200.0
POLYCAB-I1980CE,2021-08-30,105.35,126.6,105.35,125.0,3300.0,2100.0
POLYCAB-I1980PE,2021-08-30,69.65,69.85,56.0,56.25,1500.0,600.0
POLYCAB-I2000CE,2021-08-30,62.7,121.6,50.75,118.0,1018500.0,60000.0
POLYCAB-I2000PE,2021-08-30,77.2,85.0,65.05,65.05,55200.0,21600.0
POLYCAB-I2020CE,2021-08-30,89.9,109.3,85.0,107.0,90000.0,12000.0
POLYCAB-I2040CE,2021-08-30,64.4,99.25,64.4,98.0,158400.0,30000.0
POLYCAB-I2080CE,2021-08-30,60.0,79.0,60.0,79.0,4200.0,3000.0
POLYCAB-I2100CE,2021-08-30,31.1,73.55,30.0,71.0,936900.0,109800.0
POLYCAB-I2140CE,2021-08-30,55.9,58.0,45.0,54.0,4800.0,2100.0
POLYCAB-I2160CE,2021-08-30,48.9,48.9,48.9,48.9,900.0,300.0
POLYCAB-I2180CE,2021-08-30,41.05,43.4,41.05,43.4,1500.0,600.0
POLYCAB-I2200CE,2021-08-30,17.0,42.5,12.9,39.0,395700.0,60300.0
POLYCAB-I2240CE,2021-08-30,29.0,31.55,24.0,28.4,7800.0,3600.0
POLYCAB-I2260CE,2021-08-30,25.0,28.4,20.8,25.0,25200.0,6600.0
POLYCAB-I2280CE,2021-08-30,20.5,25.6,17.5,22.0,21300.0,8700.0
POLYCAB-I1700PE,2021-08-31,5.0,5.5,4.6,5.4,5400.0,4500.0
