Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
PTC.EQ-NSE,2019-01-01,92.85,93.05,91.4,92.9,723541.0
PTC.EQ-NSE,2019-01-02,92.7,93.25,90.5,90.55,914250.0
PTC.EQ-NSE,2019-01-03,90.55,92.5,89.0,89.8,1294629.0
PTC.EQ-NSE,2019-01-04,89.8,91.5,88.75,91.05,2680520.0
PTC.EQ-NSE,2019-01-07,91.75,92.85,90.8,92.3,1067485.0
PTC.EQ-NSE,2019-01-08,92.0,92.8,90.95,91.15,806484.0
PTC.EQ-NSE,2019-01-09,91.5,92.3,89.55,90.35,1330587.0
PTC.EQ-NSE,2019-01-10,91.1,92.95,89.55,91.7,478289.0
PTC.EQ-NSE,2019-01-11,91.75,92.25,89.9,91.65,1048789.0
PTC.EQ-NSE,2019-01-14,91.0,91.05,88.75,89.85,997831.0
PTC.EQ-NSE,2019-01-15,89.75,91.5,88.85,91.3,896426.0
PTC.EQ-NSE,2019-01-16,90.8,92.45,90.15,90.45,831321.0
PTC.EQ-NSE,2019-01-17,90.65,91.4,89.0,89.65,1081540.0
PTC.EQ-NSE,2019-01-18,89.85,90.3,87.0,87.05,1066483.0
PTC.EQ-NSE,2019-01-21,87.5,87.95,85.85,86.35,751748.0
PTC.EQ-NSE,2019-01-22,86.5,86.7,84.1,84.6,957405.0
PTC.EQ-NSE,2019-01-23,85.1,85.45,83.9,84.35,900488.0
PTC.EQ-NSE,2019-01-24,84.6,86.0,83.9,85.5,1065721.0
PTC.EQ-NSE,2019-01-25,86.1,86.6,84.8,85.9,1191596.0
PTC.EQ-NSE,2019-01-28,85.6,86.5,79.1,80.3,2063998.0
PTC.EQ-NSE,2019-01-29,80.2,81.95,78.05,79.6,1384820.0
PTC.EQ-NSE,2019-01-30,79.6,79.75,72.25,74.9,6399210.0
PTC.EQ-NSE,2019-01-31,75.8,78.95,74.7,77.65,5091723.0
PTC.EQ-NSE,2019-02-01,77.0,77.25,76.1,77.0,643662.0
PTC.EQ-NSE,2019-02-04,76.5,76.8,74.5,75.75,329205.0
PTC.EQ-NSE,2019-02-05,75.7,76.4,75.25,76.3,471219.0
PTC.EQ-NSE,2019-02-06,76.6,78.0,74.8,78.0,381752.0
PTC.EQ-NSE,2019-02-07,77.5,77.8,74.5,74.75,619752.0
PTC.EQ-NSE,2019-02-08,74.75,75.0,73.3,74.4,537455.0
PTC.EQ-NSE,2019-02-11,73.5,73.85,70.65,71.05,859745.0
PTC.EQ-NSE,2019-02-12,71.05,73.6,71.05,73.0,818599.0
PTC.EQ-NSE,2019-02-13,72.65,74.4,72.55,73.25,786839.0
PTC.EQ-NSE,2019-02-14,73.0,74.5,72.25,73.7,814964.0
PTC.EQ-NSE,2019-02-15,73.65,74.6,73.0,74.25,368837.0
PTC.EQ-NSE,2019-02-18,74.1,74.45,73.0,74.1,302614.0
PTC.EQ-NSE,2019-02-19,74.05,74.95,73.8,74.45,795633.0
PTC.EQ-NSE,2019-02-20,74.75,84.9,74.3,82.7,1816835.0
PTC.EQ-NSE,2019-02-21,81.4,81.4,78.7,79.4,552815.0
PTC.EQ-NSE,2019-02-22,79.3,80.0,77.6,77.95,370459.0
PTC.EQ-NSE,2019-02-25,78.3,78.65,77.5,77.85,247294.0
PTC.EQ-NSE,2019-02-26,77.05,78.0,76.1,77.6,257345.0
PTC.EQ-NSE,2019-02-27,78.5,81.0,77.55,78.2,998764.0
PTC.EQ-NSE,2019-02-28,78.5,78.5,76.2,76.6,236627.0
PTC.EQ-NSE,2019-03-01,77.25,78.35,76.85,77.9,222658.0
PTC.EQ-NSE,2019-03-05,78.5,80.85,78.0,79.85,346120.0
PTC.EQ-NSE,2019-03-06,80.95,81.8,79.6,80.6,412799.0
PTC.EQ-NSE,2019-03-07,81.05,81.65,78.5,78.9,288743.0
PTC.EQ-NSE,2019-03-08,79.05,79.6,78.05,78.2,156021.0
PTC.EQ-NSE,2019-03-11,79.0,81.25,78.45,80.45,355569.0
PTC.EQ-NSE,2019-03-12,80.5,81.6,79.7,80.15,290019.0
PTC.EQ-NSE,2019-03-13,80.1,80.2,78.5,79.1,252563.0
PTC.EQ-NSE,2019-03-14,79.5,79.7,77.6,78.0,335423.0
PTC.EQ-NSE,2019-03-15,78.6,79.1,76.0,76.3,536890.0
PTC.EQ-NSE,2019-03-18,77.5,78.05,76.6,78.0,276538.0
PTC.EQ-NSE,2019-03-19,77.75,79.2,76.75,77.75,447997.0
PTC.EQ-NSE,2019-03-20,78.1,78.8,76.7,76.9,306027.0
PTC.EQ-NSE,2019-03-22,76.95,77.0,76.0,76.0,296892.0
PTC.EQ-NSE,2019-03-25,76.0,76.45,74.5,74.6,587721.0
PTC.EQ-NSE,2019-03-26,75.15,75.5,74.1,74.3,374497.0
PTC.EQ-NSE,2019-03-27,75.1,75.35,73.2,73.55,779823.0
PTC.EQ-NSE,2019-03-28,73.9,74.15,73.2,73.45,500094.0
PTC.EQ-NSE,2019-03-29,73.75,74.25,73.3,73.5,811755.0
PTC.EQ-NSE,2019-04-01,74.0,75.65,73.9,75.35,817628.0
PTC.EQ-NSE,2019-04-02,75.7,78.25,75.1,78.1,1224929.0
PTC.EQ-NSE,2019-04-03,78.2,78.2,75.3,75.6,444679.0
PTC.EQ-NSE,2019-04-04,76.15,76.15,74.65,75.4,315848.0
PTC.EQ-NSE,2019-04-05,75.4,76.8,75.05,76.1,249653.0
PTC.EQ-NSE,2019-04-08,76.45,76.5,75.0,75.2,277207.0
PTC.EQ-NSE,2019-04-09,74.9,75.45,73.6,74.1,420590.0
PTC.EQ-NSE,2019-04-10,74.4,74.5,73.55,73.85,290308.0
PTC.EQ-NSE,2019-04-11,74.0,74.0,72.75,72.9,511955.0
PTC.EQ-NSE,2019-04-12,73.0,73.55,72.25,72.75,832178.0
PTC.EQ-NSE,2019-04-15,72.85,72.95,71.8,72.9,1207829.0
PTC.EQ-NSE,2019-04-16,73.05,73.4,72.3,72.5,900297.0
PTC.EQ-NSE,2019-04-18,72.8,72.8,70.5,70.6,1069915.0
PTC.EQ-NSE,2019-04-22,70.4,70.4,69.0,69.5,843308.0
PTC.EQ-NSE,2019-04-23,69.4,70.25,69.2,70.2,230734.0
PTC.EQ-NSE,2019-04-24,70.1,70.35,69.1,69.5,230527.0
PTC.EQ-NSE,2019-04-25,69.7,71.9,69.55,70.65,338323.0
PTC.EQ-NSE,2019-04-26,71.0,71.75,70.15,70.8,221831.0
PTC.EQ-NSE,2019-04-30,70.55,71.3,69.05,69.05,269547.0
PTC.EQ-NSE,2019-05-02,69.3,69.95,68.7,69.15,191881.0
PTC.EQ-NSE,2019-05-03,69.5,69.55,69.0,69.2,161896.0
PTC.EQ-NSE,2019-05-06,69.5,69.5,68.8,69.0,213020.0
PTC.EQ-NSE,2019-05-07,69.3,69.3,68.75,68.75,142728.0
PTC.EQ-NSE,2019-05-08,68.75,68.8,67.0,67.05,378701.0
PTC.EQ-NSE,2019-05-09,67.25,67.7,66.65,67.15,167734.0
PTC.EQ-NSE,2019-05-10,67.0,68.05,66.85,67.1,245558.0
PTC.EQ-NSE,2019-05-13,67.65,68.5,66.8,67.3,236894.0
PTC.EQ-NSE,2019-05-14,67.35,68.2,66.75,68.15,286711.0
PTC.EQ-NSE,2019-05-15,68.35,68.9,67.0,67.8,770863.0
PTC.EQ-NSE,2019-05-16,68.2,68.35,66.9,67.05,398685.0
PTC.EQ-NSE,2019-05-17,67.15,68.05,66.8,67.55,336140.0
PTC.EQ-NSE,2019-05-20,68.95,72.1,68.65,70.4,1149050.0
PTC.EQ-NSE,2019-05-21,70.55,70.95,69.5,69.9,225750.0
PTC.EQ-NSE,2019-05-22,70.2,70.2,69.05,69.5,256174.0
PTC.EQ-NSE,2019-05-23,70.5,71.35,69.05,69.2,392469.0
PTC.EQ-NSE,2019-05-24,69.8,72.4,68.6,71.7,608914.0
PTC.EQ-NSE,2019-05-27,72.15,73.0,71.75,72.8,547987.0
PTC.EQ-NSE,2019-05-28,73.0,73.8,70.3,70.6,1099978.0
PTC.EQ-NSE,2019-05-29,70.95,70.95,70.4,70.6,364914.0
PTC.EQ-NSE,2019-05-30,70.6,71.4,69.6,71.35,320594.0
PTC.EQ-NSE,2019-05-31,71.6,71.6,68.1,69.0,637568.0
PTC.EQ-NSE,2019-06-03,69.15,70.9,68.5,70.65,647359.0
PTC.EQ-NSE,2019-06-04,70.7,71.35,70.1,70.15,289160.0
PTC.EQ-NSE,2019-06-06,70.45,70.75,68.6,69.0,647451.0
PTC.EQ-NSE,2019-06-07,69.2,69.5,68.5,68.95,433891.0
PTC.EQ-NSE,2019-06-10,70.3,70.3,68.55,68.95,389531.0
PTC.EQ-NSE,2019-06-11,68.9,69.5,68.6,69.0,275471.0
PTC.EQ-NSE,2019-06-12,69.0,69.4,68.1,68.2,409418.0
PTC.EQ-NSE,2019-06-13,68.25,68.75,66.9,67.0,825478.0
PTC.EQ-NSE,2019-06-14,67.2,67.55,65.75,66.0,731304.0
PTC.EQ-NSE,2019-06-17,66.1,66.35,65.4,65.75,261431.0
PTC.EQ-NSE,2019-06-18,65.75,66.3,65.5,65.55,248376.0
PTC.EQ-NSE,2019-06-19,66.0,66.1,64.8,64.8,446236.0
PTC.EQ-NSE,2019-06-20,64.95,65.45,64.1,65.25,411221.0
PTC.EQ-NSE,2019-06-21,65.9,65.9,64.6,64.9,415323.0
PTC.EQ-NSE,2019-06-24,64.4,65.5,64.2,64.95,370017.0
PTC.EQ-NSE,2019-06-25,65.0,66.3,64.4,65.8,395873.0
PTC.EQ-NSE,2019-06-26,65.1,67.25,65.1,66.8,437368.0
PTC.EQ-NSE,2019-06-27,67.45,68.4,67.0,68.0,374279.0
PTC.EQ-NSE,2019-06-28,68.0,68.2,66.75,66.95,398441.0
PTC.EQ-NSE,2019-07-01,67.5,67.95,66.1,66.35,418438.0
PTC.EQ-NSE,2019-07-02,66.6,67.1,66.0,66.7,400228.0
PTC.EQ-NSE,2019-07-03,66.6,67.95,65.8,67.35,603545.0
