Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
RAMCOCEM.EQ-NSE,2019-01-01,641.9,646.5,636.0,639.15,55300.0
RAMCOCEM.EQ-NSE,2019-01-02,639.1,642.3,633.0,639.95,97762.0
RAMCOCEM.EQ-NSE,2019-01-03,635.8,641.5,626.25,628.0,255666.0
RAMCOCEM.EQ-NSE,2019-01-04,634.0,634.0,621.45,625.9,208621.0
RAMCOCEM.EQ-NSE,2019-01-07,632.8,632.8,625.65,626.1,117335.0
RAMCOCEM.EQ-NSE,2019-01-08,632.0,638.65,608.0,632.0,567817.0
RAMCOCEM.EQ-NSE,2019-01-09,632.3,634.0,615.55,618.35,481623.0
RAMCOCEM.EQ-NSE,2019-01-10,618.35,632.45,618.15,630.0,207070.0
RAMCOCEM.EQ-NSE,2019-01-11,629.6,634.8,622.25,632.0,178168.0
RAMCOCEM.EQ-NSE,2019-01-14,625.45,634.0,612.65,630.8,375801.0
RAMCOCEM.EQ-NSE,2019-01-15,623.1,634.0,622.25,631.0,184338.0
RAMCOCEM.EQ-NSE,2019-01-16,633.05,639.75,629.25,634.9,347843.0
RAMCOCEM.EQ-NSE,2019-01-17,639.0,640.0,624.1,625.0,955702.0
RAMCOCEM.EQ-NSE,2019-01-18,630.85,630.85,620.0,620.0,114566.0
RAMCOCEM.EQ-NSE,2019-01-21,620.0,622.55,605.2,608.0,334209.0
RAMCOCEM.EQ-NSE,2019-01-22,609.75,609.75,597.1,600.1,193385.0
RAMCOCEM.EQ-NSE,2019-01-23,595.2,606.35,590.2,603.0,545450.0
RAMCOCEM.EQ-NSE,2019-01-24,601.55,609.8,592.75,599.45,302919.0
RAMCOCEM.EQ-NSE,2019-01-25,599.75,600.0,573.2,582.4,407433.0
RAMCOCEM.EQ-NSE,2019-01-28,582.4,582.4,561.15,570.0,348529.0
RAMCOCEM.EQ-NSE,2019-01-29,564.0,592.75,555.75,571.6,1108327.0
RAMCOCEM.EQ-NSE,2019-01-30,574.15,599.0,564.25,592.0,524679.0
