Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
RELCAPITAL.EQ-NSE,2019-01-01,230.2,231.4,228.4,230.3,3700880.0
RELCAPITAL.EQ-NSE,2019-01-02,227.85,232.05,220.25,220.75,5472183.0
RELCAPITAL.EQ-NSE,2019-01-03,221.45,222.8,212.5,213.8,4858201.0
RELCAPITAL.EQ-NSE,2019-01-04,211.35,218.3,208.55,216.7,8447212.0
RELCAPITAL.EQ-NSE,2019-01-07,217.85,223.0,215.7,216.6,4898302.0
RELCAPITAL.EQ-NSE,2019-01-08,217.3,222.4,216.55,221.5,3588689.0
RELCAPITAL.EQ-NSE,2019-01-09,222.85,223.65,214.05,217.7,4038451.0
RELCAPITAL.EQ-NSE,2019-01-10,217.6,222.5,216.45,217.15,4286049.0
RELCAPITAL.EQ-NSE,2019-01-11,218.35,219.4,214.05,215.85,3530413.0
RELCAPITAL.EQ-NSE,2019-01-14,215.75,216.8,213.4,215.5,2628241.0
RELCAPITAL.EQ-NSE,2019-01-15,218.0,222.35,217.0,221.7,3655106.0
RELCAPITAL.EQ-NSE,2019-01-16,222.15,228.9,222.0,224.45,4527419.0
RELCAPITAL.EQ-NSE,2019-01-17,225.65,226.4,214.85,217.7,4258740.0
RELCAPITAL.EQ-NSE,2019-01-18,219.4,219.5,209.1,209.4,5301419.0
RELCAPITAL.EQ-NSE,2019-01-21,209.85,212.0,207.1,208.2,4155511.0
RELCAPITAL.EQ-NSE,2019-01-22,208.2,210.7,202.25,206.4,5440661.0
RELCAPITAL.EQ-NSE,2019-01-23,208.2,212.7,205.65,209.55,5139766.0
RELCAPITAL.EQ-NSE,2019-01-24,209.0,213.6,208.6,212.6,6025071.0
RELCAPITAL.EQ-NSE,2019-01-25,213.65,216.8,205.0,211.5,4590276.0
RELCAPITAL.EQ-NSE,2019-01-28,210.7,211.45,195.1,198.0,7170804.0
RELCAPITAL.EQ-NSE,2019-01-29,197.55,202.85,196.2,199.5,4090987.0
RELCAPITAL.EQ-NSE,2019-01-30,201.5,202.8,197.4,198.2,3010107.0
RELCAPITAL.EQ-NSE,2019-01-31,200.2,200.9,187.5,193.4,7864074.0
RELCAPITAL.EQ-NSE,2019-02-01,194.45,200.0,185.85,188.65,5976203.0
RELCAPITAL.EQ-NSE,2019-02-04,178.8,180.45,143.7,152.5,36759539.0
RELCAPITAL.EQ-NSE,2019-02-05,150.2,159.5,142.0,152.4,40366314.0
RELCAPITAL.EQ-NSE,2019-02-06,152.6,156.35,135.9,142.2,42826583.0
RELCAPITAL.EQ-NSE,2019-02-07,141.05,144.95,102.35,116.75,79317945.0
RELCAPITAL.EQ-NSE,2019-02-08,108.15,135.0,107.85,129.8,59891358.0
RELCAPITAL.EQ-NSE,2019-02-11,134.3,138.6,130.0,134.95,23997476.0
RELCAPITAL.EQ-NSE,2019-02-12,134.05,140.95,126.6,136.25,19689433.0
RELCAPITAL.EQ-NSE,2019-02-13,138.5,142.7,136.0,137.65,14892940.0
RELCAPITAL.EQ-NSE,2019-02-14,139.05,151.4,133.1,146.0,21313755.0
RELCAPITAL.EQ-NSE,2019-02-15,147.4,150.9,141.75,148.0,9649024.0
RELCAPITAL.EQ-NSE,2019-02-18,163.4,166.85,151.3,152.1,24436636.0
RELCAPITAL.EQ-NSE,2019-02-19,153.0,154.65,148.5,150.4,9262659.0
RELCAPITAL.EQ-NSE,2019-02-20,152.2,152.5,135.1,144.95,30409649.0
RELCAPITAL.EQ-NSE,2019-02-21,142.05,164.0,140.6,159.45,33532046.0
RELCAPITAL.EQ-NSE,2019-02-22,157.95,170.8,157.0,162.7,26144122.0
RELCAPITAL.EQ-NSE,2019-02-25,164.75,168.0,161.05,162.6,11078794.0
RELCAPITAL.EQ-NSE,2019-02-26,159.0,173.4,157.3,168.6,15459237.0
RELCAPITAL.EQ-NSE,2019-02-27,171.75,175.4,166.7,168.05,12260936.0
RELCAPITAL.EQ-NSE,2019-02-28,170.55,174.15,165.25,173.8,12465468.0
RELCAPITAL.EQ-NSE,2019-03-01,173.7,183.7,173.2,180.8,10496610.0
RELCAPITAL.EQ-NSE,2019-03-05,179.7,194.5,179.25,192.9,12665690.0
RELCAPITAL.EQ-NSE,2019-03-06,192.0,195.8,187.25,189.05,11433990.0
RELCAPITAL.EQ-NSE,2019-03-07,190.7,193.4,182.4,187.95,16462768.0
RELCAPITAL.EQ-NSE,2019-03-08,186.85,197.35,185.5,190.5,16332010.0
RELCAPITAL.EQ-NSE,2019-03-11,186.5,192.9,186.0,190.6,8177927.0
RELCAPITAL.EQ-NSE,2019-03-12,193.0,195.2,188.0,188.5,5444015.0
RELCAPITAL.EQ-NSE,2019-03-13,189.0,190.4,186.75,187.4,3900020.0
RELCAPITAL.EQ-NSE,2019-03-14,188.45,189.0,170.2,170.8,16239480.0
RELCAPITAL.EQ-NSE,2019-03-15,167.1,177.0,165.2,176.9,20610657.0
RELCAPITAL.EQ-NSE,2019-03-18,175.5,182.0,175.05,180.2,11718945.0
RELCAPITAL.EQ-NSE,2019-03-19,186.75,193.4,186.0,189.45,16028700.0
RELCAPITAL.EQ-NSE,2019-03-20,190.0,193.2,188.5,189.55,9662149.0
RELCAPITAL.EQ-NSE,2019-03-22,192.5,193.45,179.3,180.0,10834014.0
RELCAPITAL.EQ-NSE,2019-03-25,178.3,188.8,176.45,187.3,10550464.0
RELCAPITAL.EQ-NSE,2019-03-26,187.4,205.75,186.15,200.8,22272392.0
RELCAPITAL.EQ-NSE,2019-03-27,202.65,212.7,196.1,200.95,24088611.0
RELCAPITAL.EQ-NSE,2019-03-28,201.7,207.7,200.55,202.5,12145004.0
RELCAPITAL.EQ-NSE,2019-03-29,204.0,207.85,202.3,203.8,7455433.0
RELCAPITAL.EQ-NSE,2019-04-01,204.1,208.8,201.25,204.95,7296548.0
RELCAPITAL.EQ-NSE,2019-04-02,206.5,214.65,200.1,202.5,12738501.0
RELCAPITAL.EQ-NSE,2019-04-03,204.4,205.7,193.0,193.5,8177289.0
