Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
RELINFRA-I250PE,2019-01-01,1.0,1.0,1.0,1.0,2600.0,3900.0
RELINFRA-I270PE,2019-01-01,2.0,2.0,2.0,2.0,2600.0,88400.0
RELINFRA-I280PE,2019-01-01,3.5,3.75,3.15,3.15,15600.0,110500.0
RELINFRA-I290PE,2019-01-01,5.95,5.95,5.0,5.3,52000.0,81900.0
RELINFRA-I300CE,2019-01-01,24.75,27.4,24.0,26.0,15600.0,67600.0
RELINFRA-I300PE,2019-01-01,8.4,9.05,7.5,8.0,172900.0,187200.0
RELINFRA-I310CE,2019-01-01,18.0,21.0,17.25,19.5,53300.0,113100.0
RELINFRA-I310PE,2019-01-01,11.75,13.0,10.8,11.45,144300.0,201500.0
RELINFRA-I320CE,2019-01-01,13.35,15.95,12.6,14.0,590200.0,326300.0
RELINFRA-I320PE,2019-01-01,17.15,18.15,15.55,15.75,171600.0,172900.0
RELINFRA-I330CE,2019-01-01,10.2,11.4,9.05,9.75,209300.0,197600.0
RELINFRA-I330PE,2019-01-01,24.15,24.2,21.4,21.4,23400.0,35100.0
RELINFRA-I340CE,2019-01-01,7.0,8.0,6.25,7.1,187200.0,223600.0
RELINFRA-I340PE,2019-01-01,31.0,31.0,28.3,28.3,9100.0,18200.0
RELINFRA-I350CE,2019-01-01,4.25,5.3,4.2,4.7,133900.0,323700.0
RELINFRA-I350PE,2019-01-01,35.5,37.0,35.0,36.4,6500.0,27300.0
RELINFRA-I360CE,2019-01-01,3.25,3.55,2.75,3.05,163800.0,156000.0
RELINFRA-I360PE,2019-01-01,48.0,48.0,45.0,45.0,3900.0,14300.0
RELINFRA-I370CE,2019-01-01,2.5,2.5,1.85,1.85,6500.0,120900.0
RELINFRA-I380CE,2019-01-01,1.3,1.6,1.15,1.15,33800.0,32500.0
RELINFRA-I380PE,2019-01-01,65.0,65.0,64.0,64.0,2600.0,2600.0
RELINFRA-I400CE,2019-01-01,0.8,0.8,0.75,0.75,3900.0,44200.0
RELINFRA-I400PE,2019-01-01,84.0,84.0,82.5,82.5,2600.0,6500.0
RELINFRA-I460PE,2019-01-01,141.0,141.0,141.0,141.0,1300.0,19500.0
RELINFRA-I240PE,2019-01-02,0.45,0.45,0.45,0.45,1300.0,3900.0
RELINFRA-I250PE,2019-01-02,1.2,1.2,1.2,1.2,1300.0,5200.0
RELINFRA-I260PE,2019-01-02,1.95,2.4,1.95,2.25,10400.0,24700.0
RELINFRA-I270PE,2019-01-02,2.05,3.75,2.05,3.25,24700.0,104000.0
RELINFRA-I280CE,2019-01-02,39.5,39.5,39.5,39.5,2600.0,3900.0
RELINFRA-I280PE,2019-01-02,3.4,6.25,3.3,5.45,248300.0,183300.0
RELINFRA-I290CE,2019-01-02,24.65,24.65,24.35,24.35,5200.0,15600.0
RELINFRA-I290PE,2019-01-02,5.5,9.25,5.15,8.25,130000.0,126100.0
RELINFRA-I300CE,2019-01-02,25.5,25.5,17.6,19.45,37700.0,75400.0
RELINFRA-I300PE,2019-01-02,8.55,13.2,7.75,12.0,387400.0,172900.0
RELINFRA-I310CE,2019-01-02,18.0,19.55,13.0,14.1,237900.0,154700.0
RELINFRA-I310PE,2019-01-02,11.75,18.3,11.45,16.75,195000.0,189800.0
RELINFRA-I320CE,2019-01-02,13.0,14.5,9.15,9.85,504400.0,413400.0
RELINFRA-I320PE,2019-01-02,17.3,23.8,16.3,23.8,135200.0,172900.0
RELINFRA-I330CE,2019-01-02,9.3,10.15,6.15,7.05,278200.0,223600.0
RELINFRA-I330PE,2019-01-02,22.15,30.65,22.15,29.7,11700.0,42900.0
RELINFRA-I340CE,2019-01-02,6.8,7.1,4.1,4.65,356200.0,270400.0
RELINFRA-I340PE,2019-01-02,32.0,38.55,32.0,38.55,2600.0,19500.0
RELINFRA-I350CE,2019-01-02,4.35,4.85,2.75,3.15,267800.0,379600.0
RELINFRA-I350PE,2019-01-02,36.7,48.15,36.7,48.15,6500.0,29900.0
RELINFRA-I360CE,2019-01-02,2.8,3.25,1.85,2.05,188500.0,159900.0
RELINFRA-I360PE,2019-01-02,48.2,48.2,48.2,48.2,1300.0,13000.0
RELINFRA-I370CE,2019-01-02,1.85,2.1,1.2,1.4,91000.0,109200.0
RELINFRA-I370PE,2019-01-02,59.5,59.5,59.5,59.5,1300.0,2600.0
RELINFRA-I380CE,2019-01-02,0.3,1.35,0.3,0.7,58500.0,55900.0
RELINFRA-I380PE,2019-01-02,69.0,70.0,69.0,70.0,2600.0,3900.0
RELINFRA-I390CE,2019-01-02,0.75,0.85,0.7,0.85,5200.0,1300.0
RELINFRA-I400CE,2019-01-02,0.75,0.75,0.6,0.6,13000.0,53300.0
RELINFRA-I230PE,2019-01-03,1.2,1.2,1.2,1.2,1300.0,1300.0
RELINFRA-I240PE,2019-01-03,1.2,2.25,1.2,2.0,16900.0,16900.0
RELINFRA-I250PE,2019-01-03,1.6,3.45,1.6,3.1,79300.0,48100.0
RELINFRA-I260PE,2019-01-03,2.05,5.25,2.0,4.95,167700.0,48100.0
RELINFRA-I270PE,2019-01-03,2.9,8.1,2.9,7.5,228800.0,141700.0
RELINFRA-I280CE,2019-01-03,33.0,33.0,21.4,21.5,10400.0,6500.0
RELINFRA-I280PE,2019-01-03,5.5,11.6,4.85,11.0,517400.0,193700.0
RELINFRA-I290CE,2019-01-03,23.0,23.0,15.0,15.2,37700.0,36400.0
RELINFRA-I290PE,2019-01-03,7.85,15.9,7.35,15.15,334100.0,124800.0
RELINFRA-I300CE,2019-01-03,19.95,19.95,10.4,10.8,362700.0,183300.0
RELINFRA-I300PE,2019-01-03,11.5,21.5,10.75,20.9,1111500.0,214500.0
RELINFRA-I310CE,2019-01-03,14.25,14.65,7.15,7.65,374400.0,218400.0
RELINFRA-I310PE,2019-01-03,16.0,27.7,15.05,27.1,214500.0,179400.0
RELINFRA-I320CE,2019-01-03,9.9,10.5,4.9,5.0,724100.0,490100.0
RELINFRA-I320PE,2019-01-03,22.0,35.8,22.0,35.2,29900.0,172900.0
RELINFRA-I330CE,2019-01-03,7.0,7.1,3.2,3.4,496600.0,332800.0
RELINFRA-I330PE,2019-01-03,32.95,36.05,32.95,36.05,6500.0,42900.0
RELINFRA-I340CE,2019-01-03,4.75,4.9,2.1,2.25,353600.0,344500.0
RELINFRA-I350CE,2019-01-03,3.1,3.35,1.45,1.55,265200.0,395200.0
RELINFRA-I350PE,2019-01-03,49.3,60.75,46.7,60.75,3900.0,28600.0
RELINFRA-I360CE,2019-01-03,2.15,2.15,1.05,1.2,198900.0,153400.0
RELINFRA-I370CE,2019-01-03,1.35,1.45,0.75,0.85,156000.0,55900.0
RELINFRA-I380CE,2019-01-03,0.7,0.95,0.5,0.5,15600.0,58500.0
RELINFRA-I390CE,2019-01-03,0.65,0.65,0.5,0.6,11700.0,9100.0
RELINFRA-I400CE,2019-01-03,0.65,0.65,0.6,0.65,6500.0,61100.0
RELINFRA-I230PE,2019-01-04,1.4,1.4,1.05,1.05,2600.0,3900.0
RELINFRA-I240PE,2019-01-04,3.8,3.8,1.3,1.3,35100.0,33800.0
RELINFRA-I250PE,2019-01-04,3.3,3.6,1.85,1.9,66300.0,49400.0
RELINFRA-I260CE,2019-01-04,37.35,37.35,35.15,35.15,3900.0,1300.0
RELINFRA-I260PE,2019-01-04,5.4,5.5,2.85,3.1,195000.0,72800.0
RELINFRA-I270PE,2019-01-04,8.0,8.1,4.5,4.65,271700.0,132600.0
RELINFRA-I280CE,2019-01-04,23.95,25.1,20.0,25.1,13000.0,13000.0
RELINFRA-I280PE,2019-01-04,11.85,11.9,6.8,7.0,438100.0,183300.0
RELINFRA-I290CE,2019-01-04,15.1,19.6,14.5,19.0,104000.0,55900.0
RELINFRA-I290PE,2019-01-04,15.2,15.8,9.9,10.5,310700.0,130000.0
RELINFRA-I300CE,2019-01-04,10.9,14.0,10.25,13.5,791700.0,254800.0
RELINFRA-I300PE,2019-01-04,21.5,21.5,14.25,14.45,299000.0,201500.0
RELINFRA-I310CE,2019-01-04,7.35,9.75,7.25,9.4,514800.0,243100.0
RELINFRA-I310PE,2019-01-04,28.0,28.0,20.45,20.45,31200.0,167700.0
RELINFRA-I320CE,2019-01-04,5.0,6.55,4.7,6.35,612300.0,582400.0
RELINFRA-I320PE,2019-01-04,33.75,33.8,30.0,30.0,7800.0,178100.0
RELINFRA-I330CE,2019-01-04,3.45,4.25,3.1,4.15,213200.0,339300.0
RELINFRA-I330PE,2019-01-04,40.25,40.25,34.65,34.65,3900.0,40300.0
RELINFRA-I340CE,2019-01-04,2.3,2.65,2.0,2.6,330200.0,370500.0
RELINFRA-I350CE,2019-01-04,1.55,1.7,1.3,1.6,162500.0,391300.0
RELINFRA-I350PE,2019-01-04,57.15,57.15,56.2,56.2,2600.0,28600.0
RELINFRA-I360CE,2019-01-04,1.05,1.25,0.95,1.15,74100.0,145600.0
RELINFRA-I370CE,2019-01-04,0.8,0.85,0.75,0.75,23400.0,58500.0
RELINFRA-I380CE,2019-01-04,0.4,0.75,0.4,0.65,7800.0,59800.0
RELINFRA-I390CE,2019-01-04,0.55,0.55,0.55,0.55,2600.0,13000.0
RELINFRA-I400CE,2019-01-04,0.45,0.45,0.4,0.4,6500.0,63700.0
RELINFRA-I460PE,2019-01-04,165.0,165.0,162.5,162.5,2600.0,18200.0
RELINFRA-I240PE,2019-01-07,0.95,1.1,0.9,0.9,7800.0,33800.0
RELINFRA-I250PE,2019-01-07,1.6,1.65,1.3,1.3,7800.0,50700.0
RELINFRA-I260PE,2019-01-07,2.6,2.6,1.75,2.55,87100.0,59800.0
RELINFRA-I270PE,2019-01-07,3.9,4.2,2.9,4.15,195000.0,152100.0
RELINFRA-I280CE,2019-01-07,25.9,29.0,25.9,26.5,10400.0,9100.0
RELINFRA-I280PE,2019-01-07,6.05,6.5,4.4,6.0,254800.0,188500.0
RELINFRA-I290CE,2019-01-07,20.5,23.4,19.0,19.5,35100.0,58500.0
