Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
REPCOHOME-I300PE,2019-01-01,1.4,1.4,1.4,1.4,2200.0,6600.0
REPCOHOME-I310PE,2019-01-01,2.0,2.0,2.0,2.0,1100.0,3300.0
REPCOHOME-I320PE,2019-01-01,3.2,3.2,3.2,3.2,1100.0,8800.0
REPCOHOME-I400CE,2019-01-01,27.9,27.95,27.9,27.95,2200.0,3300.0
REPCOHOME-I410CE,2019-01-01,21.0,21.0,21.0,21.0,1100.0,2200.0
REPCOHOME-I420CE,2019-01-01,19.85,19.85,19.85,19.85,1100.0,8800.0
REPCOHOME-I440CE,2019-01-01,11.7,11.7,11.7,11.7,1100.0,3300.0
REPCOHOME-I480CE,2019-01-01,4.4,4.4,4.0,4.0,2200.0,4400.0
REPCOHOME-I490CE,2019-01-01,3.4,3.4,3.0,3.0,2200.0,6600.0
REPCOHOME-I500CE,2019-01-01,2.6,4.7,2.35,4.7,3300.0,7700.0
REPCOHOME-I510CE,2019-01-01,1.8,1.8,1.8,1.8,1100.0,3300.0
REPCOHOME-I520CE,2019-01-01,1.4,1.4,1.25,1.25,2200.0,4400.0
REPCOHOME-I300PE,2019-01-02,1.4,1.4,1.4,1.4,1100.0,6600.0
REPCOHOME-I310PE,2019-01-02,2.05,3.25,2.05,3.25,2200.0,5500.0
REPCOHOME-I320PE,2019-01-02,3.2,3.2,3.2,3.2,1100.0,9900.0
REPCOHOME-I330PE,2019-01-02,6.55,6.55,6.55,6.55,1100.0,8800.0
REPCOHOME-I390PE,2019-01-02,25.0,25.0,24.05,24.05,3300.0,3300.0
REPCOHOME-I400CE,2019-01-02,23.0,23.0,23.0,23.0,1100.0,5500.0
REPCOHOME-I410CE,2019-01-02,20.25,20.25,20.25,20.25,1100.0,3300.0
REPCOHOME-I430CE,2019-01-02,12.8,12.8,12.8,12.8,1100.0,5500.0
REPCOHOME-I440CE,2019-01-02,10.0,10.0,10.0,10.0,1100.0,3300.0
REPCOHOME-I450CE,2019-01-02,8.6,8.6,8.1,8.1,2200.0,7700.0
REPCOHOME-I480CE,2019-01-02,3.4,3.4,3.4,3.4,1100.0,5500.0
REPCOHOME-I490CE,2019-01-02,2.4,2.4,2.4,2.4,1100.0,7700.0
REPCOHOME-I500CE,2019-01-02,1.9,1.9,1.9,1.9,1100.0,7700.0
REPCOHOME-I510CE,2019-01-02,1.4,1.4,1.4,1.4,1100.0,4400.0
REPCOHOME-I300PE,2019-01-03,1.35,1.4,1.35,1.4,2200.0,7700.0
REPCOHOME-I310PE,2019-01-03,1.4,1.4,1.4,1.4,1100.0,6600.0
REPCOHOME-I320PE,2019-01-03,2.2,2.2,2.2,2.2,1100.0,9900.0
REPCOHOME-I330PE,2019-01-03,2.85,2.85,2.85,2.85,1100.0,9900.0
REPCOHOME-I390PE,2019-01-03,21.25,21.25,21.25,21.25,1100.0,2200.0
REPCOHOME-I400CE,2019-01-03,25.9,30.0,23.1,23.1,7700.0,8800.0
REPCOHOME-I400PE,2019-01-03,26.4,27.75,25.6,27.75,3300.0,6600.0
REPCOHOME-I410CE,2019-01-03,24.0,24.05,24.0,24.05,2200.0,3300.0
REPCOHOME-I420CE,2019-01-03,21.8,21.8,21.8,21.8,1100.0,9900.0
REPCOHOME-I420PE,2019-01-03,36.9,36.9,36.9,36.9,2200.0,1100.0
REPCOHOME-I430CE,2019-01-03,11.05,15.1,11.05,11.7,57200.0,36300.0
REPCOHOME-I430PE,2019-01-03,43.7,43.7,43.7,43.7,2200.0,0.0
REPCOHOME-I440CE,2019-01-03,10.45,10.45,9.6,9.6,2200.0,4400.0
REPCOHOME-I440PE,2019-01-03,50.5,50.5,50.5,50.5,2200.0,0.0
REPCOHOME-I480CE,2019-01-03,5.0,5.0,5.0,5.0,1100.0,6600.0
REPCOHOME-I490CE,2019-01-03,3.6,3.6,3.6,3.6,1100.0,8800.0
REPCOHOME-I500CE,2019-01-03,2.75,2.75,2.7,2.7,3300.0,11000.0
REPCOHOME-I510CE,2019-01-03,2.0,2.0,2.0,2.0,1100.0,5500.0
REPCOHOME-I520CE,2019-01-03,1.4,1.4,1.4,1.4,1100.0,5500.0
REPCOHOME-I400CE,2019-01-04,21.0,21.0,21.0,21.0,2200.0,7700.0
