Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
RNAVAL.EQ-NSE,2019-01-01,14.05,14.05,13.85,14.0,679917.0
RNAVAL.EQ-NSE,2019-01-02,13.9,14.05,13.7,13.9,798350.0
RNAVAL.EQ-NSE,2019-01-03,13.95,13.95,13.7,13.75,757175.0
RNAVAL.EQ-NSE,2019-01-04,13.6,14.1,13.5,13.95,1542208.0
RNAVAL.EQ-NSE,2019-01-07,13.95,14.3,13.85,13.9,892612.0
RNAVAL.EQ-NSE,2019-01-08,14.05,14.05,13.8,13.8,718962.0
RNAVAL.EQ-NSE,2019-01-09,13.9,14.05,13.7,13.75,968928.0
RNAVAL.EQ-NSE,2019-01-10,13.75,13.8,13.6,13.65,703627.0
RNAVAL.EQ-NSE,2019-01-11,13.75,13.8,13.5,13.55,605115.0
RNAVAL.EQ-NSE,2019-01-14,13.65,13.65,13.25,13.35,562262.0
RNAVAL.EQ-NSE,2019-01-15,13.3,13.5,13.2,13.3,830381.0
RNAVAL.EQ-NSE,2019-01-16,13.35,13.95,13.25,13.45,1285535.0
RNAVAL.EQ-NSE,2019-01-17,13.45,13.7,13.2,13.25,569669.0
RNAVAL.EQ-NSE,2019-01-18,13.4,13.4,12.9,12.95,1064178.0
RNAVAL.EQ-NSE,2019-01-21,13.0,13.15,12.7,12.85,774452.0
RNAVAL.EQ-NSE,2019-01-22,12.85,12.9,12.5,12.9,715053.0
RNAVAL.EQ-NSE,2019-01-23,12.8,13.0,12.45,12.75,898685.0
RNAVAL.EQ-NSE,2019-01-24,12.6,12.75,12.45,12.45,936560.0
RNAVAL.EQ-NSE,2019-01-25,12.5,12.65,11.9,12.3,895446.0
RNAVAL.EQ-NSE,2019-01-28,12.25,12.3,11.3,11.65,1344169.0
RNAVAL.EQ-NSE,2019-01-29,11.75,11.95,11.55,11.8,890883.0
RNAVAL.EQ-NSE,2019-01-30,11.85,12.0,11.6,11.75,1341451.0
RNAVAL.EQ-NSE,2019-01-31,11.75,12.0,11.35,11.9,1370237.0
RNAVAL.EQ-NSE,2019-02-01,11.75,12.15,11.55,11.8,2521214.0
RNAVAL.EQ-NSE,2019-02-04,10.85,11.15,9.8,10.4,4132034.0
RNAVAL.EQ-NSE,2019-02-05,9.75,9.9,8.35,8.4,4979651.0
RNAVAL.EQ-NSE,2019-02-06,8.15,8.8,7.55,8.25,5005950.0
RNAVAL.EQ-NSE,2019-02-07,8.05,8.45,7.7,7.85,2927710.0
RNAVAL.EQ-NSE,2019-02-08,7.75,8.5,7.7,8.25,2387376.0
RNAVAL.EQ-NSE,2019-02-11,8.7,8.9,8.05,8.6,1707745.0
RNAVAL.EQ-NSE,2019-02-12,8.6,9.05,8.2,8.45,1421501.0
RNAVAL.EQ-NSE,2019-02-13,8.45,8.75,7.8,8.25,2824053.0
RNAVAL.EQ-NSE,2019-02-14,8.35,8.55,8.15,8.45,957082.0
RNAVAL.EQ-NSE,2019-02-15,8.4,8.7,8.3,8.55,771449.0
RNAVAL.EQ-NSE,2019-02-18,9.2,9.4,8.8,8.95,1593730.0
RNAVAL.EQ-NSE,2019-02-19,9.05,9.15,8.7,8.8,746491.0
RNAVAL.EQ-NSE,2019-02-20,8.95,8.95,8.5,8.7,767092.0
RNAVAL.EQ-NSE,2019-02-21,8.65,9.1,8.35,9.1,1282125.0
RNAVAL.EQ-NSE,2019-02-22,9.0,9.95,9.0,9.95,3314847.0
RNAVAL.EQ-NSE,2019-02-25,10.15,10.15,9.3,9.5,1348019.0
RNAVAL.EQ-NSE,2019-02-26,9.45,9.6,8.7,9.45,1216234.0
RNAVAL.EQ-NSE,2019-02-27,9.45,9.75,9.25,9.3,1114352.0
RNAVAL.EQ-NSE,2019-02-28,9.35,9.6,9.35,9.4,899264.0
RNAVAL.EQ-NSE,2019-03-01,9.5,10.35,9.45,10.3,2251880.0
RNAVAL.EQ-NSE,2019-03-05,10.45,11.3,10.45,11.3,2555668.0
RNAVAL.EQ-NSE,2019-03-06,11.6,12.4,11.6,12.4,3756817.0
RNAVAL.EQ-NSE,2019-03-07,12.6,12.6,11.7,11.8,1731041.0
RNAVAL.EQ-NSE,2019-03-08,11.9,11.95,11.4,11.5,786086.0
RNAVAL.EQ-NSE,2019-03-11,11.45,11.5,11.0,11.1,1084809.0
RNAVAL.EQ-NSE,2019-03-12,11.1,11.4,10.9,10.95,728510.0
RNAVAL.EQ-NSE,2019-03-13,11.15,11.15,10.5,10.65,665305.0
RNAVAL.EQ-NSE,2019-03-14,10.6,10.6,10.2,10.35,742199.0
RNAVAL.EQ-NSE,2019-03-15,10.3,10.4,9.85,9.85,1100863.0
RNAVAL.EQ-NSE,2019-03-18,9.8,9.95,9.5,9.5,1235831.0
RNAVAL.EQ-NSE,2019-03-19,9.95,10.0,9.95,10.0,230912.0
RNAVAL.EQ-NSE,2019-03-20,10.5,10.5,10.5,10.5,201041.0
RNAVAL.EQ-NSE,2019-03-22,11.0,11.0,10.5,11.0,2043110.0
RNAVAL.EQ-NSE,2019-03-25,10.8,10.8,10.45,10.45,1096565.0
RNAVAL.EQ-NSE,2019-03-26,10.4,10.9,10.1,10.55,712208.0
RNAVAL.EQ-NSE,2019-03-27,10.65,10.75,10.15,10.2,676579.0
RNAVAL.EQ-NSE,2019-03-28,10.1,10.6,10.05,10.55,633194.0
RNAVAL.EQ-NSE,2019-03-29,10.55,10.95,10.4,10.9,1096769.0
RNAVAL.EQ-NSE,2019-04-01,10.9,11.0,10.55,10.55,751125.0
RNAVAL.EQ-NSE,2019-04-02,10.5,10.65,10.15,10.15,791569.0
RNAVAL.EQ-NSE,2019-04-03,10.15,10.5,10.1,10.45,472209.0
RNAVAL.EQ-NSE,2019-04-04,10.5,10.65,10.2,10.25,325767.0
RNAVAL.EQ-NSE,2019-04-05,10.25,10.4,10.1,10.25,491618.0
