Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ROLTA.EQ-NSE,2019-01-01,8.45,8.8,8.25,8.4,2464786.0
ROLTA.EQ-NSE,2019-01-02,8.4,8.4,8.25,8.4,1517218.0
ROLTA.EQ-NSE,2019-01-03,8.3,8.3,7.95,7.95,1808598.0
ROLTA.EQ-NSE,2019-01-04,7.6,7.85,7.6,7.6,3213439.0
ROLTA.EQ-NSE,2019-01-07,7.65,7.95,7.3,7.95,4549609.0
ROLTA.EQ-NSE,2019-01-08,8.25,8.3,8.1,8.3,940065.0
ROLTA.EQ-NSE,2019-01-09,8.7,8.7,7.9,7.9,9506811.0
ROLTA.EQ-NSE,2019-01-10,7.7,7.95,7.65,7.85,1681085.0
ROLTA.EQ-NSE,2019-01-11,7.75,7.9,7.65,7.75,687113.0
ROLTA.EQ-NSE,2019-01-14,7.8,7.8,7.5,7.65,1300711.0
ROLTA.EQ-NSE,2019-01-15,7.7,7.9,7.6,7.9,818326.0
ROLTA.EQ-NSE,2019-01-16,8.15,8.25,8.0,8.25,1599598.0
ROLTA.EQ-NSE,2019-01-17,8.55,8.55,8.0,8.15,1312410.0
ROLTA.EQ-NSE,2019-01-18,8.15,8.15,7.8,7.9,734208.0
ROLTA.EQ-NSE,2019-01-21,7.75,7.9,7.5,7.65,1216554.0
ROLTA.EQ-NSE,2019-01-22,7.55,7.65,7.3,7.35,1564245.0
ROLTA.EQ-NSE,2019-01-23,7.35,7.35,6.95,6.95,1367433.0
ROLTA.EQ-NSE,2019-01-24,6.65,6.65,6.65,6.65,297953.0
ROLTA.EQ-NSE,2019-01-25,6.35,6.35,6.35,6.35,282560.0
ROLTA.EQ-NSE,2019-01-28,6.05,6.3,6.05,6.05,933092.0
ROLTA.EQ-NSE,2019-01-29,5.75,5.75,5.75,5.75,313669.0
ROLTA.EQ-NSE,2019-01-30,5.5,5.5,5.5,5.5,228903.0
ROLTA.EQ-NSE,2019-01-31,5.25,5.25,5.25,5.25,434147.0
ROLTA.EQ-NSE,2019-02-01,5.0,5.0,5.0,5.0,476046.0
ROLTA.EQ-NSE,2019-02-04,4.75,4.75,4.75,4.75,233753.0
ROLTA.EQ-NSE,2019-02-05,4.55,4.55,4.55,4.55,208431.0
ROLTA.EQ-NSE,2019-02-06,4.35,4.35,4.35,4.35,151388.0
ROLTA.EQ-NSE,2019-02-07,4.15,4.15,4.15,4.15,165010.0
ROLTA.EQ-NSE,2019-02-08,3.95,3.95,3.95,3.95,301746.0
ROLTA.EQ-NSE,2019-02-11,3.8,4.1,3.8,4.1,6576983.0
ROLTA.EQ-NSE,2019-02-12,4.2,4.3,4.0,4.3,3989743.0
ROLTA.EQ-NSE,2019-02-13,4.35,4.5,4.3,4.5,494417.0
ROLTA.EQ-NSE,2019-02-14,4.65,4.7,4.3,4.7,4017562.0
ROLTA.EQ-NSE,2019-02-15,4.75,4.85,4.5,4.65,1997317.0
ROLTA.EQ-NSE,2019-02-18,4.75,4.95,4.75,4.95,716419.0
ROLTA.EQ-NSE,2019-02-19,5.1,5.15,5.05,5.15,134521.0
ROLTA.EQ-NSE,2019-02-20,5.4,5.4,5.4,5.4,127466.0
ROLTA.EQ-NSE,2019-02-21,5.65,5.65,5.65,5.65,114698.0
ROLTA.EQ-NSE,2019-02-22,5.9,5.9,5.9,5.9,137650.0
ROLTA.EQ-NSE,2019-02-25,6.15,6.15,5.65,6.15,7245184.0
ROLTA.EQ-NSE,2019-02-26,5.9,6.45,5.85,6.4,2172561.0
ROLTA.EQ-NSE,2019-02-27,6.6,6.7,6.4,6.7,1639560.0
ROLTA.EQ-NSE,2019-02-28,6.75,7.0,6.4,7.0,843045.0
ROLTA.EQ-NSE,2019-03-01,7.35,7.35,7.3,7.35,266138.0
ROLTA.EQ-NSE,2019-03-05,7.7,7.7,7.7,7.7,195616.0
ROLTA.EQ-NSE,2019-03-06,8.05,8.05,8.05,8.05,178570.0
ROLTA.EQ-NSE,2019-03-07,8.45,8.45,8.45,8.45,143850.0
ROLTA.EQ-NSE,2019-03-08,8.85,8.85,8.05,8.85,2293269.0
ROLTA.EQ-NSE,2019-03-11,9.1,9.25,9.0,9.25,968990.0
ROLTA.EQ-NSE,2019-03-12,9.7,9.7,9.5,9.7,430503.0
ROLTA.EQ-NSE,2019-03-13,10.15,10.15,9.25,9.25,2231647.0
ROLTA.EQ-NSE,2019-03-14,8.8,8.8,8.8,8.8,144984.0
ROLTA.EQ-NSE,2019-03-15,8.4,8.4,8.4,8.4,136476.0
ROLTA.EQ-NSE,2019-03-18,8.0,8.0,8.0,8.0,165021.0
ROLTA.EQ-NSE,2019-03-19,7.6,7.6,7.6,7.6,156082.0
ROLTA.EQ-NSE,2019-03-20,7.25,7.95,7.25,7.95,2446449.0
ROLTA.EQ-NSE,2019-03-22,8.3,8.3,7.65,8.0,1774832.0
ROLTA.EQ-NSE,2019-03-25,7.6,7.6,7.6,7.6,217610.0
ROLTA.EQ-NSE,2019-03-26,7.25,7.5,7.25,7.25,640647.0
ROLTA.EQ-NSE,2019-03-27,6.9,7.45,6.9,7.25,836428.0
ROLTA.EQ-NSE,2019-03-28,7.1,7.4,7.1,7.2,423264.0
ROLTA.EQ-NSE,2019-03-29,7.35,7.4,6.9,7.15,520806.0
ROLTA.EQ-NSE,2019-04-01,7.15,7.35,6.75,7.2,462669.0
ROLTA.EQ-NSE,2019-04-02,7.1,7.4,7.1,7.35,381441.0
ROLTA.EQ-NSE,2019-04-03,7.2,7.55,7.1,7.25,520697.0
ROLTA.EQ-NSE,2019-04-04,7.2,7.25,6.85,6.85,382888.0
ROLTA.EQ-NSE,2019-04-05,6.9,7.0,6.6,6.7,396180.0
ROLTA.EQ-NSE,2019-04-08,6.6,6.8,6.45,6.65,248379.0
ROLTA.EQ-NSE,2019-04-09,6.45,6.9,6.35,6.45,170613.0
ROLTA.EQ-NSE,2019-04-10,6.4,6.7,6.3,6.7,225372.0
ROLTA.EQ-NSE,2019-04-11,6.6,6.85,6.5,6.6,128052.0
ROLTA.EQ-NSE,2019-04-12,6.6,6.85,6.55,6.85,219170.0
ROLTA.EQ-NSE,2019-04-15,6.8,7.1,6.8,7.1,285030.0
ROLTA.EQ-NSE,2019-04-16,7.45,7.45,7.25,7.45,284352.0
ROLTA.EQ-NSE,2019-04-18,7.8,7.8,7.25,7.75,782863.0
ROLTA.EQ-NSE,2019-04-22,8.0,8.0,7.35,7.4,299208.0
ROLTA.EQ-NSE,2019-04-23,7.35,7.7,7.25,7.45,270676.0
ROLTA.EQ-NSE,2019-04-24,7.25,7.45,7.2,7.2,192265.0
ROLTA.EQ-NSE,2019-04-25,7.2,7.45,6.95,7.15,185208.0
ROLTA.EQ-NSE,2019-04-26,7.15,7.4,6.9,6.9,333807.0
ROLTA.EQ-NSE,2019-04-30,6.95,6.95,6.65,6.65,166964.0
ROLTA.EQ-NSE,2019-05-02,6.35,6.35,6.35,6.35,146152.0
ROLTA.EQ-NSE,2019-05-03,6.35,6.35,6.05,6.05,303908.0
ROLTA.EQ-NSE,2019-05-06,6.3,6.35,6.0,6.2,188924.0
ROLTA.EQ-NSE,2019-05-07,6.25,6.4,6.0,6.0,137241.0
ROLTA.EQ-NSE,2019-05-08,6.05,6.05,5.75,5.75,197805.0
ROLTA.EQ-NSE,2019-05-09,5.9,5.9,5.55,5.65,140012.0
ROLTA.EQ-NSE,2019-05-10,5.6,5.95,5.6,5.9,212947.0
ROLTA.EQ-NSE,2019-05-13,6.15,6.15,6.15,6.15,103893.0
ROLTA.EQ-NSE,2019-05-14,6.45,6.45,6.45,6.45,125508.0
ROLTA.EQ-NSE,2019-05-15,6.75,6.75,6.75,6.75,251590.0
ROLTA.EQ-NSE,2019-05-16,7.05,7.05,7.05,7.05,139736.0
ROLTA.EQ-NSE,2019-05-17,7.4,7.4,7.4,7.4,189098.0
ROLTA.EQ-NSE,2019-05-20,7.75,7.75,7.45,7.6,724709.0
ROLTA.EQ-NSE,2019-05-21,7.6,7.75,7.25,7.25,204934.0
ROLTA.EQ-NSE,2019-05-22,7.0,7.6,6.9,7.6,467289.0
ROLTA.EQ-NSE,2019-05-23,7.7,7.7,7.2,7.3,210294.0
ROLTA.EQ-NSE,2019-05-24,7.25,7.55,7.15,7.3,219765.0
ROLTA.EQ-NSE,2019-05-27,6.9,7.15,6.9,6.9,406784.0
ROLTA.EQ-NSE,2019-05-28,7.0,7.1,6.65,6.85,304927.0
ROLTA.EQ-NSE,2019-05-29,6.7,6.9,6.55,6.9,206151.0
ROLTA.EQ-NSE,2019-05-30,6.9,6.95,6.5,6.7,130125.0
ROLTA.EQ-NSE,2019-05-31,6.5,6.65,6.45,6.6,142048.0
ROLTA.EQ-NSE,2019-06-03,6.65,6.8,6.3,6.6,258943.0
ROLTA.EQ-NSE,2019-06-04,6.4,6.65,6.35,6.4,158959.0
ROLTA.EQ-NSE,2019-06-06,6.3,6.4,6.1,6.15,326628.0
ROLTA.EQ-NSE,2019-06-07,6.35,6.35,5.95,6.0,131396.0
ROLTA.EQ-NSE,2019-06-10,6.0,6.25,5.8,5.8,220132.0
ROLTA.EQ-NSE,2019-06-11,5.85,5.85,5.55,5.6,228517.0
ROLTA.EQ-NSE,2019-06-12,5.6,5.85,5.5,5.85,102947.0
ROLTA.EQ-NSE,2019-06-13,6.05,6.1,5.85,6.1,141164.0
ROLTA.EQ-NSE,2019-06-14,5.85,6.35,5.8,6.0,218737.0
ROLTA.EQ-NSE,2019-06-17,6.35,6.35,5.8,5.9,183539.0
ROLTA.EQ-NSE,2019-06-18,5.85,6.0,5.7,5.7,124731.0
ROLTA.EQ-NSE,2019-06-19,5.8,5.8,5.45,5.45,263031.0
ROLTA.EQ-NSE,2019-06-20,5.25,5.65,5.2,5.2,253053.0
ROLTA.EQ-NSE,2019-06-21,5.2,5.5,5.05,5.5,290112.0
ROLTA.EQ-NSE,2019-06-24,5.5,5.5,5.25,5.25,185619.0
ROLTA.EQ-NSE,2019-06-25,5.2,5.5,5.05,5.5,198968.0
ROLTA.EQ-NSE,2019-06-26,5.75,5.75,5.5,5.75,121577.0
ROLTA.EQ-NSE,2019-06-27,6.0,6.0,6.0,6.0,74290.0
ROLTA.EQ-NSE,2019-06-28,6.3,6.3,6.0,6.2,711399.0
ROLTA.EQ-NSE,2019-07-01,6.3,6.35,5.9,5.9,359789.0
ROLTA.EQ-NSE,2019-07-02,5.7,6.0,5.7,5.7,225722.0
ROLTA.EQ-NSE,2019-07-03,5.75,5.95,5.6,5.9,182977.0
ROLTA.EQ-NSE,2019-07-04,5.75,5.95,5.75,5.85,128754.0
ROLTA.EQ-NSE,2019-07-05,6.0,6.0,5.6,5.6,206639.0
ROLTA.EQ-NSE,2019-07-08,5.7,5.75,5.4,5.55,166414.0
ROLTA.EQ-NSE,2019-07-09,5.5,5.5,5.25,5.35,116337.0
ROLTA.EQ-NSE,2019-07-10,5.35,5.6,5.25,5.35,268645.0
ROLTA.EQ-NSE,2019-07-11,5.45,5.6,5.3,5.5,101315.0
ROLTA.EQ-NSE,2019-07-12,5.35,5.5,5.25,5.3,132723.0
ROLTA.EQ-NSE,2019-07-15,5.25,5.4,5.1,5.25,156020.0
ROLTA.EQ-NSE,2019-07-16,5.4,5.4,5.1,5.35,217568.0
ROLTA.EQ-NSE,2019-07-17,5.2,5.4,5.2,5.2,116411.0
ROLTA.EQ-NSE,2019-07-18,5.2,5.35,5.1,5.15,129879.0
ROLTA.EQ-NSE,2019-07-19,5.15,5.15,5.0,5.1,197092.0
ROLTA.EQ-NSE,2019-07-22,5.05,5.3,4.9,5.15,331984.0
ROLTA.EQ-NSE,2019-07-23,5.2,5.2,5.0,5.1,90772.0
ROLTA.EQ-NSE,2019-07-24,5.15,5.15,4.8,4.8,216422.0
ROLTA.EQ-NSE,2019-07-25,4.85,5.05,4.7,5.0,296857.0
ROLTA.EQ-NSE,2019-07-26,4.9,5.15,4.9,5.05,207244.0
ROLTA.EQ-NSE,2019-07-29,4.9,5.15,4.8,4.95,258822.0
ROLTA.EQ-NSE,2019-07-30,4.95,5.05,4.8,4.85,195532.0
ROLTA.EQ-NSE,2019-07-31,4.9,4.9,4.6,4.65,153846.0
ROLTA.EQ-NSE,2019-08-01,4.65,4.65,4.45,4.5,184856.0
ROLTA.EQ-NSE,2019-08-02,4.5,4.5,4.25,4.4,248699.0
ROLTA.EQ-NSE,2019-08-05,4.25,4.45,4.2,4.4,238362.0
ROLTA.EQ-NSE,2019-08-06,4.35,4.5,4.2,4.5,107230.0
ROLTA.EQ-NSE,2019-08-07,4.85,4.95,4.85,4.95,72381.0
ROLTA.EQ-NSE,2019-08-08,5.4,5.4,5.4,5.4,104059.0
ROLTA.EQ-NSE,2019-08-09,5.9,5.9,5.9,5.9,88667.0
ROLTA.EQ-NSE,2019-08-13,6.15,6.15,6.15,6.15,180635.0
ROLTA.EQ-NSE,2019-08-14,6.45,6.45,6.45,6.45,85689.0
ROLTA.EQ-NSE,2019-08-16,6.75,6.75,6.75,6.75,108593.0
ROLTA.EQ-NSE,2019-08-19,7.05,7.05,7.05,7.05,194481.0
ROLTA.EQ-NSE,2019-08-20,7.4,7.4,6.7,6.75,2856140.0
ROLTA.EQ-NSE,2019-08-21,6.7,6.8,6.5,6.5,238402.0
ROLTA.EQ-NSE,2019-08-22,6.45,6.45,6.2,6.2,83222.0
ROLTA.EQ-NSE,2019-08-23,6.1,6.2,5.9,6.05,201939.0
ROLTA.EQ-NSE,2019-08-26,6.1,6.35,6.0,6.35,266770.0
ROLTA.EQ-NSE,2019-08-27,6.65,6.65,6.4,6.65,173076.0
ROLTA.EQ-NSE,2019-08-28,6.45,6.9,6.35,6.35,114369.0
ROLTA.EQ-NSE,2019-08-29,6.05,6.6,6.05,6.2,122589.0
ROLTA.EQ-NSE,2019-08-30,5.8,6.15,5.8,5.8,123203.0
ROLTA.EQ-NSE,2019-09-03,6.0,6.0,5.65,6.0,88115.0
ROLTA.EQ-NSE,2019-09-04,6.1,6.15,5.7,6.0,139023.0
ROLTA.EQ-NSE,2019-09-05,5.8,6.15,5.65,6.05,153626.0
ROLTA.EQ-NSE,2019-09-06,6.2,6.3,5.95,6.25,299782.0
ROLTA.EQ-NSE,2019-09-09,6.45,6.45,6.0,6.2,78453.0
ROLTA.EQ-NSE,2019-09-11,6.3,6.3,5.95,6.15,122491.0
ROLTA.EQ-NSE,2019-09-12,6.15,6.45,6.0,6.3,99749.0
ROLTA.EQ-NSE,2019-09-13,6.1,6.35,6.1,6.25,67582.0
ROLTA.EQ-NSE,2019-09-16,6.2,6.45,5.95,6.15,292267.0
ROLTA.EQ-NSE,2019-09-17,6.0,6.3,5.95,6.05,85097.0
ROLTA.EQ-NSE,2019-09-18,6.2,6.2,5.95,6.15,42222.0
ROLTA.EQ-NSE,2019-09-19,6.0,6.2,5.8,5.8,161244.0
ROLTA.EQ-NSE,2019-09-20,5.6,5.9,5.55,5.7,241845.0
ROLTA.EQ-NSE,2019-09-23,5.65,5.95,5.55,5.55,322403.0
ROLTA.EQ-NSE,2019-09-24,5.55,5.8,5.3,5.75,334648.0
ROLTA.EQ-NSE,2019-09-25,5.55,5.85,5.5,5.5,62257.0
ROLTA.EQ-NSE,2019-09-26,5.75,5.75,5.35,5.35,137828.0
ROLTA.EQ-NSE,2019-09-27,5.3,5.55,5.2,5.3,126496.0
ROLTA.EQ-NSE,2019-09-30,5.3,5.6,5.1,5.1,217246.0
ROLTA.EQ-NSE,2019-10-01,5.25,5.3,4.85,4.9,219882.0
ROLTA.EQ-NSE,2019-10-03,4.95,5.0,4.75,4.8,185865.0
ROLTA.EQ-NSE,2019-10-04,4.85,4.95,4.65,4.9,94012.0
ROLTA.EQ-NSE,2019-10-07,4.7,4.85,4.55,4.8,82247.0
ROLTA.EQ-NSE,2019-10-09,4.8,4.85,4.65,4.8,86619.0
ROLTA.EQ-NSE,2019-10-10,4.85,4.85,4.6,4.7,106767.0
ROLTA.EQ-NSE,2019-10-11,4.8,4.8,4.6,4.65,178374.0
ROLTA.EQ-NSE,2019-10-14,4.5,4.75,4.5,4.65,94875.0
ROLTA.EQ-NSE,2019-10-15,4.65,4.65,4.4,4.4,163814.0
ROLTA.EQ-NSE,2019-10-16,4.55,4.55,4.25,4.25,225233.0
ROLTA.EQ-NSE,2019-10-17,4.2,4.25,4.1,4.15,164671.0
ROLTA.EQ-NSE,2019-10-18,4.2,4.4,4.15,4.4,231596.0
ROLTA.EQ-NSE,2019-10-22,4.55,4.55,4.3,4.55,184980.0
ROLTA.EQ-NSE,2019-10-23,4.75,4.75,4.4,4.7,127852.0
