Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
RPOWER.EQ-NSE,2019-01-01,28.85,29.0,28.45,28.9,7250219.0
RPOWER.EQ-NSE,2019-01-02,28.8,28.8,27.6,27.65,11543161.0
RPOWER.EQ-NSE,2019-01-03,27.9,27.9,27.0,27.1,6157763.0
RPOWER.EQ-NSE,2019-01-04,27.2,27.9,27.0,27.7,17009991.0
RPOWER.EQ-NSE,2019-01-07,27.95,29.75,27.85,28.95,19176887.0
RPOWER.EQ-NSE,2019-01-08,28.9,30.6,28.7,30.3,12831018.0
RPOWER.EQ-NSE,2019-01-09,30.5,30.7,29.25,29.7,10112144.0
RPOWER.EQ-NSE,2019-01-10,29.7,30.2,29.5,29.7,4937618.0
RPOWER.EQ-NSE,2019-01-11,29.7,29.95,29.1,29.4,4238963.0
RPOWER.EQ-NSE,2019-01-14,29.6,29.65,28.8,28.85,4010411.0
RPOWER.EQ-NSE,2019-01-15,29.35,30.35,29.05,30.35,6887078.0
RPOWER.EQ-NSE,2019-01-16,29.95,30.95,29.95,30.25,6467181.0
RPOWER.EQ-NSE,2019-01-17,30.3,30.4,29.1,29.3,4814450.0
RPOWER.EQ-NSE,2019-01-18,29.4,29.5,28.4,28.55,4835346.0
RPOWER.EQ-NSE,2019-01-21,28.65,28.75,27.85,28.0,4864803.0
RPOWER.EQ-NSE,2019-01-22,27.95,28.25,27.4,28.15,5561673.0
RPOWER.EQ-NSE,2019-01-23,28.3,28.55,27.9,28.0,3771720.0
RPOWER.EQ-NSE,2019-01-24,28.1,29.0,28.1,28.85,7066771.0
RPOWER.EQ-NSE,2019-01-25,28.7,29.3,27.65,28.0,11948889.0
RPOWER.EQ-NSE,2019-01-28,28.25,28.45,26.75,26.75,8879842.0
RPOWER.EQ-NSE,2019-01-29,26.65,27.2,26.5,26.65,6564047.0
RPOWER.EQ-NSE,2019-01-30,26.9,27.1,26.45,26.55,4142852.0
RPOWER.EQ-NSE,2019-01-31,26.75,26.85,25.7,26.5,6727212.0
RPOWER.EQ-NSE,2019-02-01,26.5,27.2,26.15,26.3,7693223.0
RPOWER.EQ-NSE,2019-02-04,24.9,25.2,16.55,17.1,86041223.0
RPOWER.EQ-NSE,2019-02-05,16.95,17.6,11.7,11.9,208687828.0
RPOWER.EQ-NSE,2019-02-06,12.1,13.6,10.2,13.0,196969253.0
RPOWER.EQ-NSE,2019-02-07,13.2,13.35,9.1,9.95,283363789.0
RPOWER.EQ-NSE,2019-02-08,10.0,11.7,9.65,11.05,159869028.0
RPOWER.EQ-NSE,2019-02-11,11.6,11.6,10.75,11.0,57328777.0
RPOWER.EQ-NSE,2019-02-12,11.0,11.1,10.6,10.75,52093915.0
RPOWER.EQ-NSE,2019-02-13,10.75,10.95,10.2,10.3,45467927.0
RPOWER.EQ-NSE,2019-02-14,10.35,11.2,10.1,10.55,43608617.0
RPOWER.EQ-NSE,2019-02-15,10.55,10.7,10.0,10.1,32381607.0
RPOWER.EQ-NSE,2019-02-18,11.2,12.2,11.05,11.3,80154425.0
RPOWER.EQ-NSE,2019-02-19,11.5,11.65,10.7,10.8,58873013.0
RPOWER.EQ-NSE,2019-02-20,11.05,11.15,10.25,10.75,60078742.0
RPOWER.EQ-NSE,2019-02-21,10.8,11.35,10.5,11.25,61492189.0
RPOWER.EQ-NSE,2019-02-22,11.3,11.9,11.1,11.4,76427295.0
RPOWER.EQ-NSE,2019-02-25,11.65,11.75,10.95,11.0,38968341.0
RPOWER.EQ-NSE,2019-02-26,10.75,11.0,10.4,10.75,48076608.0
RPOWER.EQ-NSE,2019-02-27,10.9,11.15,10.3,10.45,45459829.0
RPOWER.EQ-NSE,2019-02-28,10.65,11.0,10.55,10.8,52898987.0
RPOWER.EQ-NSE,2019-03-01,10.8,12.55,10.8,12.25,180938224.0
RPOWER.EQ-NSE,2019-03-05,12.45,13.25,12.35,12.75,111834641.0
RPOWER.EQ-NSE,2019-03-06,12.75,13.2,12.1,12.55,93446346.0
RPOWER.EQ-NSE,2019-03-07,12.6,12.7,12.2,12.4,52710424.0
RPOWER.EQ-NSE,2019-03-08,12.3,12.55,11.85,12.0,56687163.0
RPOWER.EQ-NSE,2019-03-11,11.8,12.35,11.65,11.95,47950647.0
RPOWER.EQ-NSE,2019-03-12,12.1,12.3,11.8,11.9,41495760.0
RPOWER.EQ-NSE,2019-03-13,12.0,12.05,11.45,11.5,32593142.0
