Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
RUCHISOYA.EQ-NSE,2019-01-01,9.0,9.0,8.55,8.55,5412268.0
RUCHISOYA.EQ-NSE,2019-01-02,8.15,8.15,8.15,8.15,299086.0
RUCHISOYA.EQ-NSE,2019-01-03,7.75,8.45,7.75,7.75,11435974.0
RUCHISOYA.EQ-NSE,2019-01-04,7.85,8.1,7.55,8.1,5554579.0
RUCHISOYA.EQ-NSE,2019-01-07,8.35,8.5,8.25,8.5,3152257.0
RUCHISOYA.EQ-NSE,2019-01-08,8.1,8.4,8.1,8.2,896692.0
RUCHISOYA.EQ-NSE,2019-01-09,7.85,8.4,7.75,8.3,932087.0
RUCHISOYA.EQ-NSE,2019-01-10,8.4,8.4,7.9,8.25,706307.0
RUCHISOYA.EQ-NSE,2019-01-11,8.2,8.25,7.95,7.95,555950.0
RUCHISOYA.EQ-NSE,2019-01-14,8.2,8.4,8.0,8.15,668701.0
RUCHISOYA.EQ-NSE,2019-01-15,8.05,8.5,7.85,8.4,886909.0
RUCHISOYA.EQ-NSE,2019-01-16,8.45,8.5,8.05,8.1,582338.0
RUCHISOYA.EQ-NSE,2019-01-17,8.1,8.1,7.8,7.9,812347.0
RUCHISOYA.EQ-NSE,2019-01-18,7.9,8.0,7.55,7.65,830967.0
RUCHISOYA.EQ-NSE,2019-01-21,7.7,7.75,7.25,7.25,612060.0
RUCHISOYA.EQ-NSE,2019-01-22,7.0,7.15,6.9,7.1,831874.0
RUCHISOYA.EQ-NSE,2019-01-23,7.1,7.25,6.95,7.15,404594.0
RUCHISOYA.EQ-NSE,2019-01-24,7.3,7.3,6.9,7.0,471210.0
RUCHISOYA.EQ-NSE,2019-01-25,7.0,7.35,6.9,7.35,812402.0
RUCHISOYA.EQ-NSE,2019-01-28,7.4,7.55,7.0,7.2,711829.0
RUCHISOYA.EQ-NSE,2019-01-29,7.2,7.25,6.85,7.0,341780.0
RUCHISOYA.EQ-NSE,2019-01-30,6.8,7.0,6.8,6.95,440037.0
RUCHISOYA.EQ-NSE,2019-01-31,7.05,7.05,6.7,6.95,389196.0
RUCHISOYA.EQ-NSE,2019-02-01,7.2,7.2,7.1,7.2,458426.0
RUCHISOYA.EQ-NSE,2019-02-04,7.1,7.5,6.85,6.95,899995.0
RUCHISOYA.EQ-NSE,2019-02-05,6.7,7.0,6.6,6.65,640376.0
RUCHISOYA.EQ-NSE,2019-02-06,6.7,6.7,6.4,6.4,741438.0
RUCHISOYA.EQ-NSE,2019-02-07,6.35,6.5,6.15,6.5,701978.0
RUCHISOYA.EQ-NSE,2019-02-08,6.5,6.7,6.15,6.15,578010.0
RUCHISOYA.EQ-NSE,2019-02-11,5.9,6.05,5.85,5.85,653165.0
RUCHISOYA.EQ-NSE,2019-02-12,5.8,6.1,5.6,5.95,699220.0
RUCHISOYA.EQ-NSE,2019-02-13,5.95,6.05,5.8,6.05,558782.0
RUCHISOYA.EQ-NSE,2019-02-14,6.1,6.35,6.1,6.25,599843.0
RUCHISOYA.EQ-NSE,2019-02-15,6.4,6.5,6.25,6.4,578663.0
