Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SAIL-I40PE,2019-01-01,0.05,0.05,0.05,0.05,12000.0,24000.0
SAIL-I45PE,2019-01-01,0.15,0.15,0.1,0.15,36000.0,528000.0
SAIL-I48PE,2019-01-01,0.3,0.3,0.25,0.25,72000.0,432000.0
SAIL-I49PE,2019-01-01,0.4,0.4,0.4,0.4,12000.0,228000.0
SAIL-I50CE,2019-01-01,6.2,6.2,5.85,5.85,156000.0,300000.0
SAIL-I50PE,2019-01-01,0.6,0.6,0.5,0.55,516000.0,1356000.0
SAIL-I51PE,2019-01-01,0.75,0.8,0.75,0.75,84000.0,288000.0
SAIL-I52CE,2019-01-01,5.15,5.15,4.5,4.65,96000.0,276000.0
SAIL-I52PE,2019-01-01,0.95,1.05,0.95,0.95,384000.0,1080000.0
SAIL-I53CE,2019-01-01,4.1,4.1,3.9,3.9,72000.0,396000.0
SAIL-I53PE,2019-01-01,1.4,1.4,1.2,1.2,228000.0,696000.0
SAIL-I54CE,2019-01-01,3.45,3.45,3.2,3.2,72000.0,336000.0
SAIL-I54PE,2019-01-01,1.7,1.8,1.55,1.55,348000.0,408000.0
SAIL-I55CE,2019-01-01,3.1,3.2,2.6,2.85,1524000.0,3180000.0
SAIL-I55PE,2019-01-01,2.0,2.25,2.0,2.0,912000.0,1068000.0
SAIL-I56CE,2019-01-01,2.7,2.7,2.1,2.3,924000.0,684000.0
SAIL-I56PE,2019-01-01,2.5,2.85,2.5,2.5,396000.0,300000.0
SAIL-I57CE,2019-01-01,2.25,2.25,1.75,1.9,1248000.0,1296000.0
SAIL-I58CE,2019-01-01,1.55,1.6,1.35,1.5,480000.0,648000.0
SAIL-I59CE,2019-01-01,1.3,1.3,1.1,1.2,456000.0,396000.0
SAIL-I60CE,2019-01-01,1.2,1.2,0.85,0.95,11148000.0,5832000.0
SAIL-I60PE,2019-01-01,5.0,5.0,5.0,5.0,24000.0,1236000.0
SAIL-I61CE,2019-01-01,0.9,0.9,0.7,0.75,84000.0,324000.0
SAIL-I62CE,2019-01-01,0.65,0.7,0.5,0.6,252000.0,588000.0
SAIL-I63CE,2019-01-01,0.6,0.6,0.45,0.45,336000.0,1344000.0
SAIL-I64CE,2019-01-01,0.4,0.45,0.4,0.4,72000.0,120000.0
SAIL-I65CE,2019-01-01,0.45,0.45,0.25,0.3,1740000.0,1404000.0
SAIL-I66CE,2019-01-01,0.15,0.2,0.15,0.2,36000.0,72000.0
SAIL-I67CE,2019-01-01,0.15,0.15,0.15,0.15,12000.0,24000.0
SAIL-I69CE,2019-01-01,0.35,0.35,0.35,0.35,12000.0,12000.0
SAIL-I70CE,2019-01-01,0.15,0.15,0.1,0.1,132000.0,588000.0
SAIL-I73PE,2019-01-01,17.5,17.5,17.5,17.5,12000.0,36000.0
