Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SBICARD-I880PE,2021-10-29,4.4,4.4,3.35,3.35,2500.0,1500.0
SBICARD-I900PE,2021-10-29,4.65,6.0,4.4,5.25,11500.0,8500.0
SBICARD-I920PE,2021-10-29,9.95,10.0,4.5,7.65,6500.0,4000.0
SBICARD-I940PE,2021-10-29,7.95,9.95,7.95,8.5,12500.0,9000.0
SBICARD-I960PE,2021-10-29,19.95,21.0,8.0,13.35,65500.0,37500.0
SBICARD-I980PE,2021-10-29,13.8,18.0,13.8,18.0,2000.0,1000.0
SBICARD-I1000CE,2021-10-29,130.0,130.0,80.05,80.05,4500.0,4000.0
SBICARD-I1000PE,2021-10-29,16.0,40.0,16.0,23.0,139500.0,70500.0
SBICARD-I1020PE,2021-10-29,25.3,31.25,25.0,27.95,6500.0,2500.0
SBICARD-I1040PE,2021-10-29,27.0,45.85,27.0,38.0,16500.0,6500.0
SBICARD-I1060CE,2021-10-29,80.0,80.0,50.0,55.0,8000.0,6000.0
SBICARD-I1060PE,2021-10-29,35.0,56.9,35.0,56.0,13000.0,8500.0
SBICARD-I1080CE,2021-10-29,60.15,61.55,39.2,48.2,32500.0,19500.0
SBICARD-I1080PE,2021-10-29,68.0,68.0,68.0,68.0,500.0,0.0
SBICARD-I1100CE,2021-10-29,46.05,70.05,35.0,39.8,217500.0,102000.0
SBICARD-I1100PE,2021-10-29,65.25,75.0,56.9,75.0,8000.0,5500.0
SBICARD-I1120CE,2021-10-29,58.5,62.0,24.2,33.15,28500.0,14500.0
SBICARD-I1140CE,2021-10-29,35.0,60.0,23.95,27.0,61500.0,26500.0
SBICARD-I1160CE,2021-10-29,25.0,25.0,21.0,22.05,8000.0,5000.0
SBICARD-I1180CE,2021-10-29,18.5,18.5,18.5,18.5,500.0,0.0
SBICARD-I1200CE,2021-10-29,22.4,39.95,15.0,17.25,273500.0,114000.0
SBICARD-I1260CE,2021-10-29,10.5,10.5,10.0,10.5,3000.0,2000.0
SBICARD-I1300CE,2021-10-29,15.5,19.8,7.05,8.5,53500.0,22500.0
SBICARD-I1360CE,2021-10-29,6.7,7.0,4.0,4.0,6500.0,3000.0
SBICARD-I880PE,2021-11-01,3.35,3.35,2.5,2.5,1000.0,2000.0
SBICARD-I900PE,2021-11-01,5.0,5.15,2.6,2.6,16000.0,14500.0
SBICARD-I920PE,2021-11-01,4.5,4.5,4.5,4.5,500.0,4000.0
SBICARD-I940PE,2021-11-01,6.1,6.1,5.55,5.55,2500.0,8500.0
SBICARD-I960PE,2021-11-01,9.95,10.6,7.95,8.5,44000.0,47000.0
SBICARD-I980PE,2021-11-01,13.05,13.05,10.7,11.0,3000.0,2500.0
SBICARD-I1000CE,2021-11-01,88.75,88.75,86.75,87.0,1500.0,5500.0
SBICARD-I1000PE,2021-11-01,19.05,20.0,14.0,14.85,77000.0,77500.0
SBICARD-I1020PE,2021-11-01,24.0,24.7,20.0,20.0,4500.0,5000.0
SBICARD-I1040PE,2021-11-01,29.05,32.0,28.0,28.0,2500.0,7000.0
SBICARD-I1060CE,2021-11-01,57.7,63.8,46.9,53.45,62000.0,40000.0
SBICARD-I1060PE,2021-11-01,41.0,44.9,36.1,36.1,25500.0,25500.0
SBICARD-I1080CE,2021-11-01,52.95,54.4,39.05,44.15,36500.0,33000.0
SBICARD-I1100CE,2021-11-01,43.85,46.4,32.45,37.0,198000.0,132000.0
SBICARD-I1100PE,2021-11-01,71.7,71.7,65.15,68.5,1500.0,7000.0
SBICARD-I1120CE,2021-11-01,33.05,33.95,26.0,29.5,17500.0,17500.0
SBICARD-I1120PE,2021-11-01,62.75,62.75,62.7,62.7,1000.0,0.0
SBICARD-I1140CE,2021-11-01,26.7,36.05,20.7,21.85,73000.0,56000.0
SBICARD-I1160CE,2021-11-01,22.0,23.35,17.65,19.9,11500.0,9000.0
SBICARD-I1180CE,2021-11-01,12.8,14.15,12.8,14.15,1000.0,1000.0
SBICARD-I1200CE,2021-11-01,17.05,18.35,12.0,13.1,101000.0,125000.0
SBICARD-I1200PE,2021-11-01,140.0,140.0,140.0,140.0,500.0,0.0
SBICARD-I1260CE,2021-11-01,6.0,7.4,6.0,7.0,1500.0,3000.0
SBICARD-I1300CE,2021-11-01,8.55,8.55,5.15,5.15,13000.0,28500.0
SBICARD-I1360CE,2021-11-01,4.0,6.95,3.9,4.0,5500.0,6000.0
SBICARD-I880PE,2021-11-02,1.05,1.05,1.05,1.05,1000.0,2000.0
SBICARD-I900PE,2021-11-02,2.0,2.05,1.05,2.05,13000.0,14000.0
SBICARD-I920PE,2021-11-02,2.8,3.95,2.8,3.95,1000.0,3000.0
SBICARD-I940PE,2021-11-02,4.0,4.0,4.0,4.0,1500.0,7000.0
SBICARD-I960PE,2021-11-02,6.5,7.4,5.0,5.1,6000.0,46500.0
SBICARD-I980PE,2021-11-02,11.05,11.05,11.05,11.05,500.0,2500.0
SBICARD-I1000CE,2021-11-02,85.0,98.25,85.0,96.35,3000.0,5500.0
SBICARD-I1000PE,2021-11-02,14.0,14.75,10.0,10.7,49000.0,81500.0
SBICARD-I1020PE,2021-11-02,20.0,22.0,15.95,16.6,5500.0,6000.0
SBICARD-I1040PE,2021-11-02,25.5,29.75,21.1,29.75,7500.0,9500.0
SBICARD-I1060CE,2021-11-02,53.0,64.95,46.4,49.2,29500.0,52000.0
SBICARD-I1060PE,2021-11-02,35.0,35.0,30.25,32.95,18500.0,40000.0
SBICARD-I1080CE,2021-11-02,44.15,55.75,40.0,43.2,115500.0,41000.0
SBICARD-I1080PE,2021-11-02,48.0,48.0,48.0,48.0,500.0,500.0
SBICARD-I1100CE,2021-11-02,39.05,47.0,33.1,35.55,341000.0,185000.0
SBICARD-I1100PE,2021-11-02,60.35,60.35,53.6,58.0,4500.0,7500.0
SBICARD-I1120CE,2021-11-02,30.0,38.0,27.75,28.8,22500.0,22500.0
SBICARD-I1140CE,2021-11-02,25.0,32.0,21.5,21.65,39000.0,60000.0
SBICARD-I1140PE,2021-11-02,70.0,70.0,70.0,70.0,500.0,0.0
SBICARD-I1160CE,2021-11-02,19.2,25.0,18.8,19.0,7500.0,12000.0
SBICARD-I1200CE,2021-11-02,13.0,17.7,11.7,11.7,89000.0,129000.0
SBICARD-I1260CE,2021-11-02,5.7,5.7,5.7,5.7,500.0,3000.0
SBICARD-I1300CE,2021-11-02,6.2,6.95,4.5,4.5,14000.0,29500.0
SBICARD-I1360CE,2021-11-02,2.15,3.1,2.15,2.7,10500.0,10500.0
SBICARD-I900PE,2021-11-03,1.2,2.0,1.15,2.0,6500.0,13000.0
SBICARD-I920PE,2021-11-03,2.0,2.6,2.0,2.25,2000.0,2500.0
SBICARD-I940PE,2021-11-03,4.0,4.0,2.8,2.8,10000.0,6500.0
SBICARD-I960PE,2021-11-03,4.0,6.9,2.3,2.95,13500.0,40000.0
SBICARD-I980PE,2021-11-03,8.0,8.0,4.05,4.05,6500.0,5000.0
SBICARD-I1000CE,2021-11-03,98.95,109.0,98.2,109.0,4000.0,5500.0
SBICARD-I1000PE,2021-11-03,8.8,9.65,3.3,4.5,80000.0,73500.0
SBICARD-I1020PE,2021-11-03,15.45,15.45,8.3,10.3,4500.0,5500.0
SBICARD-I1040CE,2021-11-03,72.0,75.0,72.0,75.0,1500.0,500.0
SBICARD-I1040PE,2021-11-03,21.0,21.0,12.0,12.0,10000.0,11500.0
SBICARD-I1060CE,2021-11-03,64.6,71.55,53.5,70.85,25500.0,52000.0
SBICARD-I1060PE,2021-11-03,27.5,27.5,15.0,15.0,16500.0,45500.0
