Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SBILIFE-I500PE,2020-05-04,3.0,3.3,2.5,3.3,3000.0,2250.0
SBILIFE-I600PE,2020-05-04,15.0,15.0,15.0,15.0,750.0,0.0
SBILIFE-I650CE,2020-05-04,87.95,87.95,87.95,87.95,750.0,0.0
SBILIFE-I700CE,2020-05-04,47.95,50.05,35.0,40.0,8250.0,5250.0
SBILIFE-I700PE,2020-05-04,40.05,45.0,34.0,45.0,6000.0,1500.0
SBILIFE-I750CE,2020-05-04,37.2,37.2,18.9,19.1,29250.0,19500.0
SBILIFE-I800CE,2020-05-04,23.95,23.95,8.4,10.0,33750.0,17250.0
SBILIFE-I850CE,2020-05-04,7.65,8.0,7.65,8.0,3000.0,750.0
SBILIFE-I900CE,2020-05-04,3.55,4.55,2.25,2.25,3000.0,2250.0
SBILIFE-I1000CE,2020-05-04,1.05,1.05,1.0,1.0,3750.0,0.0
SBILIFE-I500PE,2020-05-05,2.5,4.0,1.65,2.1,20250.0,15750.0
SBILIFE-I550PE,2020-05-05,4.5,5.0,4.5,5.0,2250.0,1500.0
SBILIFE-I600PE,2020-05-05,11.05,12.4,8.2,8.2,72000.0,30000.0
SBILIFE-I650CE,2020-05-05,87.95,99.0,76.95,76.95,4500.0,2250.0
SBILIFE-I650PE,2020-05-05,21.0,24.9,16.9,18.85,185250.0,76500.0
SBILIFE-I700CE,2020-05-05,49.95,67.0,42.0,45.0,132000.0,41250.0
SBILIFE-I700PE,2020-05-05,43.6,43.6,31.15,36.5,365250.0,97500.0
SBILIFE-I750CE,2020-05-05,34.0,39.3,22.5,24.95,447000.0,110250.0
SBILIFE-I750PE,2020-05-05,61.0,66.55,61.0,66.55,7500.0,3750.0
SBILIFE-I800CE,2020-05-05,15.0,23.0,11.25,12.8,422250.0,100500.0
SBILIFE-I800PE,2020-05-05,89.9,99.0,89.9,97.55,2250.0,1500.0
SBILIFE-I850CE,2020-05-05,8.0,13.0,5.5,6.3,90750.0,20250.0
SBILIFE-I900CE,2020-05-05,5.0,6.5,2.2,2.2,78750.0,25500.0
SBILIFE-I950CE,2020-05-05,3.5,3.5,2.0,2.0,1500.0,750.0
SBILIFE-I1000CE,2020-05-05,1.05,2.4,1.05,1.15,66000.0,43500.0
SBILIFE-I500PE,2020-05-06,1.65,1.75,1.1,1.2,12000.0,15000.0
SBILIFE-I550PE,2020-05-06,2.0,2.0,2.0,2.0,3750.0,3750.0
SBILIFE-I600PE,2020-05-06,7.4,7.4,3.8,4.25,57000.0,45000.0
SBILIFE-I650CE,2020-05-06,81.25,106.0,81.25,100.9,6750.0,2250.0
SBILIFE-I650PE,2020-05-06,21.9,21.9,7.5,9.95,109500.0,107250.0
SBILIFE-I700CE,2020-05-06,48.6,68.15,42.95,55.5,108000.0,44250.0
SBILIFE-I700PE,2020-05-06,36.95,37.0,18.55,22.0,284250.0,117750.0
SBILIFE-I750CE,2020-05-06,40.85,40.85,22.0,30.1,714000.0,95250.0
SBILIFE-I750PE,2020-05-06,54.95,57.05,40.7,47.0,42750.0,18750.0
SBILIFE-I800CE,2020-05-06,16.9,21.0,9.1,14.55,353250.0,111750.0
SBILIFE-I800PE,2020-05-06,90.55,92.85,90.55,92.85,1500.0,1500.0
SBILIFE-I850CE,2020-05-06,7.0,10.3,4.4,6.6,192750.0,66000.0
SBILIFE-I900CE,2020-05-06,3.0,4.85,2.1,2.4,97500.0,42000.0
SBILIFE-I950CE,2020-05-06,2.05,2.05,1.1,1.1,4500.0,3750.0
SBILIFE-I1000CE,2020-05-06,1.1,1.65,0.85,0.95,63750.0,54000.0
SBILIFE-I500PE,2020-05-07,0.9,1.0,0.9,1.0,2250.0,15000.0
SBILIFE-I550PE,2020-05-07,2.0,2.8,1.05,1.15,7500.0,5250.0
SBILIFE-I600PE,2020-05-07,4.3,4.3,2.55,2.55,30750.0,51750.0
SBILIFE-I650CE,2020-05-07,96.75,96.75,86.1,86.1,2250.0,2250.0
SBILIFE-I650PE,2020-05-07,7.8,9.15,6.2,6.2,18750.0,111000.0
SBILIFE-I700CE,2020-05-07,59.0,63.0,49.25,51.85,23250.0,36750.0
SBILIFE-I700PE,2020-05-07,20.0,23.0,17.0,17.25,77250.0,114750.0
SBILIFE-I750CE,2020-05-07,31.45,36.4,24.0,29.05,186750.0,123000.0
SBILIFE-I750PE,2020-05-07,44.1,48.75,40.35,43.4,20250.0,15000.0
SBILIFE-I800CE,2020-05-07,14.85,17.8,11.0,13.85,112500.0,132000.0
SBILIFE-I850CE,2020-05-07,7.1,7.9,4.05,5.35,39000.0,71250.0
SBILIFE-I900CE,2020-05-07,3.45,3.45,1.85,2.15,22500.0,42750.0
SBILIFE-I950CE,2020-05-07,1.45,1.5,1.45,1.45,2250.0,5250.0
SBILIFE-I1000CE,2020-05-07,2.0,2.0,1.0,1.0,27750.0,61500.0
SBILIFE-I500PE,2020-05-08,0.7,0.7,0.6,0.65,9750.0,15000.0
SBILIFE-I550PE,2020-05-08,0.9,1.0,0.8,1.0,4500.0,4500.0
SBILIFE-I600PE,2020-05-08,2.25,2.25,1.5,1.55,21750.0,51750.0
SBILIFE-I650PE,2020-05-08,6.35,6.35,3.1,3.6,33000.0,122250.0
SBILIFE-I700CE,2020-05-08,61.25,78.8,61.25,69.0,34500.0,30750.0
SBILIFE-I700PE,2020-05-08,15.35,15.35,9.0,10.6,112500.0,129750.0
SBILIFE-I750CE,2020-05-08,30.55,42.55,28.6,35.2,318000.0,126000.0
SBILIFE-I750PE,2020-05-08,35.35,35.35,22.5,26.2,68250.0,23250.0
SBILIFE-I800CE,2020-05-08,16.85,19.8,12.2,16.4,538500.0,144000.0
SBILIFE-I800PE,2020-05-08,55.1,55.1,55.05,55.05,2250.0,750.0
SBILIFE-I850CE,2020-05-08,5.25,8.1,5.25,6.1,102000.0,73500.0
SBILIFE-I900CE,2020-05-08,2.5,3.2,2.25,2.5,34500.0,48750.0
SBILIFE-I950CE,2020-05-08,0.95,2.5,0.95,1.5,4500.0,6750.0
SBILIFE-I1000CE,2020-05-08,1.05,1.05,0.8,0.9,25500.0,66750.0
SBILIFE-I500PE,2020-05-11,0.95,0.95,0.65,0.75,6750.0,15000.0
SBILIFE-I550PE,2020-05-11,0.9,0.9,0.9,0.9,750.0,4500.0
SBILIFE-I600PE,2020-05-11,1.45,1.45,1.45,1.45,750.0,51750.0
SBILIFE-I650PE,2020-05-11,2.2,3.3,2.2,2.8,7500.0,123750.0
SBILIFE-I700CE,2020-05-11,75.0,75.9,57.6,57.6,15750.0,31500.0
SBILIFE-I700PE,2020-05-11,8.0,10.2,7.75,9.0,56250.0,125250.0
SBILIFE-I750CE,2020-05-11,45.0,45.0,25.2,27.9,87000.0,124500.0
SBILIFE-I750PE,2020-05-11,21.9,29.0,20.4,26.15,42750.0,25500.0
SBILIFE-I800CE,2020-05-11,20.0,20.0,9.0,9.9,236250.0,165000.0
SBILIFE-I850CE,2020-05-11,6.3,7.0,3.55,3.6,37500.0,69000.0
SBILIFE-I900CE,2020-05-11,2.7,3.5,1.65,1.9,27750.0,54000.0
SBILIFE-I950CE,2020-05-11,1.05,1.05,0.7,0.8,6000.0,9000.0
SBILIFE-I1000CE,2020-05-11,1.05,1.05,0.75,0.75,7500.0,66750.0
SBILIFE-I500PE,2020-05-12,0.75,0.75,0.75,0.75,750.0,15000.0
SBILIFE-I600PE,2020-05-12,2.0,2.0,0.85,0.85,9000.0,53250.0
SBILIFE-I650CE,2020-05-12,96.8,96.8,96.8,96.8,750.0,3000.0
SBILIFE-I650PE,2020-05-12,2.85,3.4,1.65,2.6,12750.0,121500.0
SBILIFE-I700CE,2020-05-12,57.6,62.3,57.6,58.65,4500.0,30000.0
SBILIFE-I700PE,2020-05-12,10.15,11.1,7.8,9.85,47250.0,122250.0
SBILIFE-I750CE,2020-05-12,25.7,31.25,20.0,25.35,154500.0,118500.0
SBILIFE-I750PE,2020-05-12,27.3,31.2,24.3,28.0,24000.0,22500.0
SBILIFE-I800CE,2020-05-12,9.65,11.8,6.7,9.0,149250.0,156750.0
SBILIFE-I850CE,2020-05-12,3.05,4.25,2.8,4.25,25500.0,66750.0
SBILIFE-I900CE,2020-05-12,1.05,1.75,1.05,1.65,10500.0,54000.0
SBILIFE-I950CE,2020-05-12,0.7,1.7,0.7,1.7,2250.0,9000.0
SBILIFE-I1000CE,2020-05-12,0.55,0.7,0.55,0.7,12000.0,66750.0
SBILIFE-I600PE,2020-05-13,0.8,1.0,0.6,0.7,21000.0,51000.0
SBILIFE-I650PE,2020-05-13,3.3,3.3,1.5,1.6,5250.0,122250.0
SBILIFE-I700CE,2020-05-13,82.7,82.7,69.0,69.0,15750.0,33750.0
SBILIFE-I700PE,2020-05-13,4.45,8.8,4.05,8.5,111000.0,142500.0
SBILIFE-I750CE,2020-05-13,35.8,47.4,29.55,36.0,210750.0,123000.0
