Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
SBIN.EQ-NSE,2019-01-01,297.5,300.7,293.85,300.7,11805773.0
SBIN.EQ-NSE,2019-01-02,299.25,302.5,293.1,293.9,25469086.0
SBIN.EQ-NSE,2019-01-03,295.25,295.55,290.1,291.05,17509239.0
SBIN.EQ-NSE,2019-01-04,292.5,299.0,291.5,297.3,19488216.0
SBIN.EQ-NSE,2019-01-07,300.4,301.5,295.2,296.6,14506127.0
SBIN.EQ-NSE,2019-01-08,295.85,306.0,294.75,305.5,22917157.0
SBIN.EQ-NSE,2019-01-09,306.05,307.1,300.75,304.75,21011090.0
SBIN.EQ-NSE,2019-01-10,304.4,307.5,303.5,305.55,16270088.0
SBIN.EQ-NSE,2019-01-11,305.4,306.2,300.95,301.65,12685226.0
SBIN.EQ-NSE,2019-01-14,301.8,303.6,299.55,300.35,10347730.0
SBIN.EQ-NSE,2019-01-15,302.0,303.6,301.1,301.65,9424153.0
SBIN.EQ-NSE,2019-01-16,302.75,306.65,302.1,302.9,12074531.0
SBIN.EQ-NSE,2019-01-17,303.9,304.35,295.6,297.5,15933930.0
SBIN.EQ-NSE,2019-01-18,298.9,299.85,294.25,295.3,9048567.0
SBIN.EQ-NSE,2019-01-21,295.75,296.75,291.45,292.3,10159020.0
SBIN.EQ-NSE,2019-01-22,292.35,292.9,288.2,291.0,11272009.0
SBIN.EQ-NSE,2019-01-23,290.55,292.95,285.5,286.2,10277105.0
SBIN.EQ-NSE,2019-01-24,286.7,289.9,285.5,288.3,11507925.0
SBIN.EQ-NSE,2019-01-25,289.2,291.0,283.2,285.7,11100304.0
SBIN.EQ-NSE,2019-01-28,285.65,286.6,277.3,282.3,18896193.0
SBIN.EQ-NSE,2019-01-29,280.8,286.0,276.55,281.45,17413415.0
SBIN.EQ-NSE,2019-01-30,281.7,289.4,280.25,287.6,18874746.0
SBIN.EQ-NSE,2019-01-31,290.5,294.75,288.0,294.75,25463902.0
SBIN.EQ-NSE,2019-02-01,296.4,302.7,282.0,282.6,59954881.0
SBIN.EQ-NSE,2019-02-04,282.3,285.2,277.85,284.25,20552583.0
SBIN.EQ-NSE,2019-02-05,284.15,287.0,283.0,284.6,13264895.0
SBIN.EQ-NSE,2019-02-06,285.8,289.75,283.5,289.45,12133125.0
SBIN.EQ-NSE,2019-02-07,289.65,294.0,286.6,287.2,19709305.0
SBIN.EQ-NSE,2019-02-08,285.5,288.0,282.2,286.45,19745848.0
SBIN.EQ-NSE,2019-02-11,285.6,285.6,280.0,280.45,15402303.0
SBIN.EQ-NSE,2019-02-12,280.65,282.2,274.65,275.0,15301775.0
SBIN.EQ-NSE,2019-02-13,276.25,276.7,266.7,267.15,18634003.0
SBIN.EQ-NSE,2019-02-14,267.85,268.35,263.65,267.4,26342994.0
SBIN.EQ-NSE,2019-02-15,268.7,268.8,261.3,263.0,23250533.0
SBIN.EQ-NSE,2019-02-18,264.3,265.5,258.8,259.45,14759617.0
SBIN.EQ-NSE,2019-02-19,261.05,267.5,260.3,262.6,19032595.0
SBIN.EQ-NSE,2019-02-20,264.7,268.3,264.3,268.0,15483353.0
SBIN.EQ-NSE,2019-02-21,270.35,271.0,267.3,268.0,13684720.0
SBIN.EQ-NSE,2019-02-22,268.45,271.9,267.6,270.8,12499354.0
SBIN.EQ-NSE,2019-02-25,271.25,271.4,267.9,270.0,20754492.0
SBIN.EQ-NSE,2019-02-26,266.4,268.2,263.25,266.15,15222637.0
SBIN.EQ-NSE,2019-02-27,268.5,272.7,266.55,267.6,20534778.0
SBIN.EQ-NSE,2019-02-28,268.0,270.8,267.65,269.15,31570957.0
SBIN.EQ-NSE,2019-03-01,270.65,274.6,270.1,272.9,19996141.0
SBIN.EQ-NSE,2019-03-05,271.35,277.85,271.2,276.0,21487657.0
SBIN.EQ-NSE,2019-03-06,277.9,282.55,276.45,278.1,22135450.0
SBIN.EQ-NSE,2019-03-07,278.8,282.5,277.65,281.8,14876253.0
SBIN.EQ-NSE,2019-03-08,281.5,284.25,279.6,281.35,19901712.0
SBIN.EQ-NSE,2019-03-11,284.4,289.0,283.5,286.95,22752943.0
SBIN.EQ-NSE,2019-03-12,289.0,289.9,285.75,287.3,20795772.0
SBIN.EQ-NSE,2019-03-13,288.25,294.4,284.7,293.85,23700285.0
SBIN.EQ-NSE,2019-03-14,294.5,294.7,290.75,292.1,16099058.0
SBIN.EQ-NSE,2019-03-15,292.65,301.3,292.5,297.8,37902915.0
SBIN.EQ-NSE,2019-03-18,298.95,300.9,294.65,299.3,23725580.0
SBIN.EQ-NSE,2019-03-19,300.15,306.6,299.15,302.75,27090044.0
SBIN.EQ-NSE,2019-03-20,302.8,304.65,300.05,304.05,18760642.0
SBIN.EQ-NSE,2019-03-22,303.8,306.4,296.95,298.0,17797003.0
SBIN.EQ-NSE,2019-03-25,294.4,295.45,292.2,293.95,16805281.0
SBIN.EQ-NSE,2019-03-26,294.8,305.0,294.8,304.95,18268072.0
SBIN.EQ-NSE,2019-03-27,305.25,310.85,304.35,308.0,35884107.0
SBIN.EQ-NSE,2019-03-28,310.4,339.65,309.05,319.2,63174613.0
SBIN.EQ-NSE,2019-03-29,320.1,323.0,316.25,320.7,30325426.0
SBIN.EQ-NSE,2019-04-01,322.0,327.65,321.05,321.4,22339960.0
SBIN.EQ-NSE,2019-04-02,323.5,331.0,322.1,330.65,27829552.0
SBIN.EQ-NSE,2019-04-03,331.35,332.45,319.5,320.65,30471889.0
SBIN.EQ-NSE,2019-04-04,321.85,325.75,318.3,322.2,27775835.0
SBIN.EQ-NSE,2019-04-05,323.25,323.25,315.0,317.7,23067696.0
SBIN.EQ-NSE,2019-04-08,318.35,319.25,311.1,312.75,17361296.0
SBIN.EQ-NSE,2019-04-09,312.8,315.7,308.1,314.6,25500856.0
SBIN.EQ-NSE,2019-04-10,314.8,317.05,310.0,310.5,19170007.0
SBIN.EQ-NSE,2019-04-11,310.95,315.4,308.7,315.4,14819252.0
SBIN.EQ-NSE,2019-04-12,314.2,316.4,311.2,314.5,14712994.0
SBIN.EQ-NSE,2019-04-15,315.9,318.7,313.75,315.9,13838290.0
SBIN.EQ-NSE,2019-04-16,316.75,319.4,314.7,315.65,14910428.0
SBIN.EQ-NSE,2019-04-18,315.75,315.75,308.05,310.0,15644776.0
SBIN.EQ-NSE,2019-04-22,308.25,312.3,306.35,309.9,15634484.0
SBIN.EQ-NSE,2019-04-23,310.05,313.75,304.6,305.45,17298354.0
SBIN.EQ-NSE,2019-04-24,305.8,311.95,303.6,310.75,15203459.0
SBIN.EQ-NSE,2019-04-25,311.0,312.0,305.4,306.5,30796533.0
SBIN.EQ-NSE,2019-04-26,307.0,313.5,306.6,311.9,14964349.0
SBIN.EQ-NSE,2019-04-30,311.9,311.9,305.0,311.35,18128183.0
SBIN.EQ-NSE,2019-05-02,308.55,311.4,305.65,307.9,16618874.0
SBIN.EQ-NSE,2019-05-03,309.0,311.8,308.8,309.7,12438724.0
SBIN.EQ-NSE,2019-05-06,306.75,310.3,305.9,308.6,10604114.0
SBIN.EQ-NSE,2019-05-07,310.45,313.4,303.75,305.0,15165035.0
SBIN.EQ-NSE,2019-05-08,303.6,305.3,296.75,298.5,22039452.0
SBIN.EQ-NSE,2019-05-09,297.45,301.0,296.1,299.7,12610926.0
SBIN.EQ-NSE,2019-05-10,300.9,310.75,292.45,307.0,60679789.0
SBIN.EQ-NSE,2019-05-13,309.9,314.2,305.3,307.6,39967552.0
SBIN.EQ-NSE,2019-05-14,307.15,316.75,305.1,316.0,30488970.0
SBIN.EQ-NSE,2019-05-15,316.05,317.9,311.0,311.5,27875813.0
SBIN.EQ-NSE,2019-05-16,312.7,317.1,309.55,316.3,18116033.0
SBIN.EQ-NSE,2019-05-17,315.1,321.95,313.45,321.0,25797852.0
SBIN.EQ-NSE,2019-05-20,331.75,345.8,331.0,345.8,52989147.0
SBIN.EQ-NSE,2019-05-21,346.0,347.55,336.25,336.95,33383020.0
SBIN.EQ-NSE,2019-05-22,338.9,342.6,333.55,342.4,31955081.0
SBIN.EQ-NSE,2019-05-23,353.0,364.0,339.2,342.4,74221289.0
SBIN.EQ-NSE,2019-05-24,344.75,357.0,343.5,355.7,35645701.0
SBIN.EQ-NSE,2019-05-27,355.0,362.5,354.0,360.45,31320751.0
SBIN.EQ-NSE,2019-05-28,360.95,361.7,356.65,360.25,23447885.0
SBIN.EQ-NSE,2019-05-29,358.6,359.0,347.15,348.2,28309859.0
SBIN.EQ-NSE,2019-05-30,349.65,355.0,347.5,354.05,25646303.0
SBIN.EQ-NSE,2019-05-31,354.35,357.9,344.65,352.25,32503233.0
SBIN.EQ-NSE,2019-06-03,351.9,356.45,349.65,355.8,18336603.0
SBIN.EQ-NSE,2019-06-04,354.3,357.2,351.4,352.8,18090055.0
SBIN.EQ-NSE,2019-06-06,347.4,349.6,335.9,336.3,41682511.0
SBIN.EQ-NSE,2019-06-07,336.6,342.75,336.0,342.1,29673678.0
SBIN.EQ-NSE,2019-06-10,346.0,347.3,340.15,344.95,20432769.0
SBIN.EQ-NSE,2019-06-11,345.15,348.3,342.85,347.85,16256663.0
SBIN.EQ-NSE,2019-06-12,346.6,346.6,342.3,345.4,11544915.0
SBIN.EQ-NSE,2019-06-13,342.8,347.45,339.8,346.0,15471217.0
SBIN.EQ-NSE,2019-06-14,345.5,346.35,342.55,343.25,10280581.0
SBIN.EQ-NSE,2019-06-17,343.7,343.7,336.95,338.1,13749960.0
SBIN.EQ-NSE,2019-06-18,335.45,344.0,333.8,340.8,21889012.0
SBIN.EQ-NSE,2019-06-19,343.1,345.2,335.5,338.9,16379726.0
SBIN.EQ-NSE,2019-06-20,340.0,346.25,335.6,345.95,20591228.0
SBIN.EQ-NSE,2019-06-21,344.4,350.7,343.15,349.25,24689414.0
SBIN.EQ-NSE,2019-06-24,350.25,354.75,349.65,353.1,17870260.0
SBIN.EQ-NSE,2019-06-25,352.45,357.0,351.25,356.85,15883565.0
SBIN.EQ-NSE,2019-06-26,355.15,359.0,354.3,357.4,15810285.0
SBIN.EQ-NSE,2019-06-27,358.15,363.0,357.25,362.0,29619607.0
SBIN.EQ-NSE,2019-06-28,362.05,365.0,358.7,362.65,22670810.0
SBIN.EQ-NSE,2019-07-01,362.5,363.0,358.5,361.6,12301316.0
SBIN.EQ-NSE,2019-07-02,362.15,365.0,360.35,364.25,14456597.0
SBIN.EQ-NSE,2019-07-03,365.25,366.7,363.0,366.1,12598089.0
SBIN.EQ-NSE,2019-07-04,367.25,370.9,366.2,367.6,19206402.0
SBIN.EQ-NSE,2019-07-05,369.2,373.6,366.0,369.75,29940455.0
SBIN.EQ-NSE,2019-07-08,368.25,368.45,353.5,355.9,27197668.0
SBIN.EQ-NSE,2019-07-09,354.0,360.0,352.5,360.0,16533184.0
SBIN.EQ-NSE,2019-07-10,360.55,361.5,351.3,354.7,18651712.0
SBIN.EQ-NSE,2019-07-11,358.1,364.0,357.0,363.0,20002217.0
SBIN.EQ-NSE,2019-07-12,363.2,366.55,361.5,363.3,14629045.0
SBIN.EQ-NSE,2019-07-15,364.4,365.0,357.6,360.25,15637825.0
SBIN.EQ-NSE,2019-07-16,358.8,366.0,357.65,363.95,16227479.0
SBIN.EQ-NSE,2019-07-17,364.05,373.55,363.05,373.0,17510994.0
SBIN.EQ-NSE,2019-07-18,371.55,373.8,362.55,364.1,21622889.0
SBIN.EQ-NSE,2019-07-19,365.1,366.05,355.15,357.3,22188010.0
SBIN.EQ-NSE,2019-07-22,356.0,359.55,348.7,351.1,19648989.0
SBIN.EQ-NSE,2019-07-23,351.1,353.0,341.0,342.0,27915771.0
SBIN.EQ-NSE,2019-07-24,342.0,344.7,336.25,340.1,20779644.0
SBIN.EQ-NSE,2019-07-25,341.7,343.2,337.4,341.45,19837876.0
SBIN.EQ-NSE,2019-07-26,340.8,346.15,340.5,342.8,16122554.0
SBIN.EQ-NSE,2019-07-29,344.25,346.55,336.8,343.4,17012447.0
SBIN.EQ-NSE,2019-07-30,344.45,346.7,325.85,327.35,24377265.0
SBIN.EQ-NSE,2019-07-31,325.65,333.2,323.9,332.5,22688919.0
SBIN.EQ-NSE,2019-08-01,330.5,331.5,311.35,316.5,40815038.0
SBIN.EQ-NSE,2019-08-02,315.8,322.25,307.05,307.95,64364172.0
SBIN.EQ-NSE,2019-08-05,297.5,302.85,291.7,299.8,48651937.0
SBIN.EQ-NSE,2019-08-06,299.45,304.25,297.25,301.4,30409913.0
SBIN.EQ-NSE,2019-08-07,302.0,302.45,288.8,289.15,30786728.0
SBIN.EQ-NSE,2019-08-08,290.5,295.5,285.6,295.2,32858405.0
SBIN.EQ-NSE,2019-08-09,296.0,298.0,290.05,291.85,23334559.0
SBIN.EQ-NSE,2019-08-13,290.5,291.55,282.5,283.0,24186762.0
SBIN.EQ-NSE,2019-08-14,285.05,291.25,284.5,289.0,18497431.0
SBIN.EQ-NSE,2019-08-16,287.7,292.8,284.3,290.25,19977044.0
SBIN.EQ-NSE,2019-08-19,291.75,292.4,286.0,286.55,19794863.0
SBIN.EQ-NSE,2019-08-20,287.3,287.4,280.65,283.75,23177908.0
SBIN.EQ-NSE,2019-08-21,285.0,285.6,276.3,276.6,28171144.0
SBIN.EQ-NSE,2019-08-22,277.55,277.7,267.3,268.0,27654501.0
SBIN.EQ-NSE,2019-08-23,266.55,275.25,262.7,271.3,35153270.0
SBIN.EQ-NSE,2019-08-26,286.75,286.75,270.0,279.55,63544691.0
SBIN.EQ-NSE,2019-08-27,284.45,288.0,282.6,285.9,44975419.0
SBIN.EQ-NSE,2019-08-28,286.55,286.55,282.2,285.4,18904447.0
SBIN.EQ-NSE,2019-08-29,283.2,284.3,273.3,275.4,27013645.0
SBIN.EQ-NSE,2019-08-30,275.95,277.95,266.85,273.5,45618752.0
