Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SIEMENS-I900PE,2019-01-01,3.6,3.6,3.6,3.6,1650.0,2750.0
SIEMENS-I940PE,2019-01-01,7.0,7.0,7.0,7.0,1650.0,3300.0
SIEMENS-I1000PE,2019-01-01,20.0,20.1,15.5,16.5,7700.0,27500.0
SIEMENS-I1020CE,2019-01-01,60.0,60.0,60.0,60.0,550.0,6600.0
SIEMENS-I1020PE,2019-01-01,22.4,25.0,22.05,22.05,17050.0,19800.0
SIEMENS-I1040CE,2019-01-01,44.25,55.0,44.25,53.8,37400.0,31900.0
SIEMENS-I1040PE,2019-01-01,36.0,36.0,30.05,30.05,20350.0,19800.0
SIEMENS-I1060CE,2019-01-01,34.15,45.85,33.1,45.0,139700.0,69850.0
SIEMENS-I1060PE,2019-01-01,50.4,50.4,42.0,42.0,2200.0,1650.0
SIEMENS-I1080CE,2019-01-01,26.7,37.0,26.7,36.0,167750.0,50050.0
SIEMENS-I1100CE,2019-01-01,22.0,29.5,20.0,28.5,166100.0,83600.0
SIEMENS-I1120CE,2019-01-01,21.85,23.8,21.85,22.5,8800.0,11550.0
SIEMENS-I1140CE,2019-01-01,17.0,17.0,17.0,17.0,1100.0,4950.0
SIEMENS-I1160CE,2019-01-01,11.75,13.0,11.75,13.0,6050.0,4950.0
SIEMENS-I1180CE,2019-01-01,9.0,10.3,9.0,10.3,2750.0,1650.0
SIEMENS-I1200CE,2019-01-01,6.0,9.95,6.0,9.0,7700.0,12650.0
SIEMENS-I980PE,2019-01-02,13.3,13.3,13.3,13.3,550.0,2200.0
SIEMENS-I1000CE,2019-01-02,78.55,78.55,78.55,78.55,550.0,2200.0
SIEMENS-I1000PE,2019-01-02,18.0,21.0,16.8,21.0,3300.0,29150.0
SIEMENS-I1020PE,2019-01-02,25.0,25.0,25.0,25.0,550.0,19800.0
SIEMENS-I1040CE,2019-01-02,50.9,53.0,42.35,47.2,7150.0,31350.0
SIEMENS-I1040PE,2019-01-02,33.0,38.3,31.1,37.05,5500.0,22550.0
SIEMENS-I1060CE,2019-01-02,40.6,43.95,35.0,35.65,50050.0,72600.0
SIEMENS-I1060PE,2019-01-02,42.05,42.5,42.0,42.5,2200.0,2750.0
SIEMENS-I1080CE,2019-01-02,31.0,35.95,27.35,28.05,40150.0,50600.0
SIEMENS-I1080PE,2019-01-02,54.25,61.75,54.25,59.65,2200.0,550.0
SIEMENS-I1100CE,2019-01-02,26.0,28.0,21.05,21.1,48400.0,83600.0
SIEMENS-I1120CE,2019-01-02,21.0,23.0,17.5,18.0,9350.0,12650.0
SIEMENS-I1120PE,2019-01-02,86.1,86.1,86.1,86.1,550.0,0.0
SIEMENS-I1140CE,2019-01-02,14.1,15.0,14.0,14.15,2750.0,7150.0
SIEMENS-I1200CE,2019-01-02,9.2,9.2,5.5,6.45,5500.0,13750.0
SIEMENS-I900PE,2019-01-03,2.95,4.25,2.95,4.25,1100.0,2750.0
SIEMENS-I920CE,2019-01-03,143.05,143.05,143.05,143.05,550.0,550.0
SIEMENS-I940PE,2019-01-03,7.0,8.35,7.0,8.35,1650.0,3850.0
SIEMENS-I960PE,2019-01-03,9.9,11.0,9.9,11.0,1100.0,1650.0
SIEMENS-I980CE,2019-01-03,91.0,91.0,91.0,91.0,1100.0,550.0
SIEMENS-I980PE,2019-01-03,11.0,13.0,11.0,13.0,1100.0,3300.0
SIEMENS-I1000CE,2019-01-03,77.8,77.8,65.0,65.0,2200.0,3300.0
SIEMENS-I1000PE,2019-01-03,17.0,24.4,16.0,21.2,16500.0,34100.0
SIEMENS-I1020PE,2019-01-03,29.0,31.0,29.0,31.0,2750.0,18700.0
SIEMENS-I1040CE,2019-01-03,49.0,49.5,37.85,37.85,12100.0,29700.0
SIEMENS-I1040PE,2019-01-03,34.2,42.0,34.2,36.35,6050.0,22000.0
SIEMENS-I1060CE,2019-01-03,35.5,45.0,29.0,32.0,64900.0,69850.0
SIEMENS-I1060PE,2019-01-03,39.25,46.1,39.25,46.1,3300.0,1650.0
SIEMENS-I1080CE,2019-01-03,32.35,36.4,22.0,23.5,41800.0,52800.0
SIEMENS-I1080PE,2019-01-03,50.4,59.65,50.4,59.65,2200.0,1650.0
SIEMENS-I1100CE,2019-01-03,18.0,28.65,17.0,19.0,68200.0,90200.0
SIEMENS-I1100PE,2019-01-03,64.45,65.5,64.45,65.5,1100.0,0.0
SIEMENS-I1120CE,2019-01-03,14.0,14.0,14.0,14.0,550.0,12650.0
SIEMENS-I1140CE,2019-01-03,14.9,14.9,11.0,11.0,2750.0,7700.0
SIEMENS-I1180CE,2019-01-03,4.6,4.6,4.6,4.6,550.0,2200.0
SIEMENS-I1200CE,2019-01-03,5.45,6.0,5.0,5.0,4400.0,13750.0
SIEMENS-I900PE,2019-01-04,4.25,4.25,1.1,2.4,7700.0,6050.0
SIEMENS-I940PE,2019-01-04,3.1,3.1,3.1,3.1,550.0,3850.0
SIEMENS-I1000CE,2019-01-04,70.0,71.4,63.05,71.4,8800.0,7150.0
SIEMENS-I1000PE,2019-01-04,21.9,23.0,14.35,15.65,9900.0,37400.0
SIEMENS-I1020PE,2019-01-04,26.0,26.0,20.0,20.0,1650.0,18700.0
SIEMENS-I1040CE,2019-01-04,39.15,47.8,35.0,47.8,13200.0,25300.0
SIEMENS-I1040PE,2019-01-04,29.05,31.0,27.55,27.55,2200.0,21450.0
SIEMENS-I1060CE,2019-01-04,36.4,38.95,27.5,37.0,45650.0,64350.0
SIEMENS-I1060PE,2019-01-04,45.95,53.65,38.75,38.75,3300.0,3300.0
SIEMENS-I1080CE,2019-01-04,26.35,29.95,21.95,29.0,27500.0,45650.0
SIEMENS-I1080PE,2019-01-04,58.25,58.25,45.05,45.05,2750.0,3300.0
SIEMENS-I1100CE,2019-01-04,22.65,22.9,16.9,22.45,137500.0,91850.0
SIEMENS-I1100PE,2019-01-04,74.25,74.25,74.25,74.25,550.0,1100.0
SIEMENS-I1120CE,2019-01-04,14.0,16.5,14.0,15.65,2200.0,12100.0
SIEMENS-I1140CE,2019-01-04,11.0,11.0,11.0,11.0,1100.0,8250.0
SIEMENS-I1180CE,2019-01-04,5.0,5.0,5.0,5.0,550.0,2200.0
SIEMENS-I1200CE,2019-01-04,6.95,6.95,6.95,6.95,1100.0,13750.0
SIEMENS-I1000CE,2019-01-07,73.15,73.15,73.15,73.15,5500.0,7150.0
SIEMENS-I1000PE,2019-01-07,14.7,14.7,11.5,13.5,10450.0,33550.0
SIEMENS-I1020CE,2019-01-07,64.0,64.0,64.0,64.0,550.0,7150.0
SIEMENS-I1040CE,2019-01-07,49.7,49.7,47.5,47.5,1100.0,25300.0
SIEMENS-I1040PE,2019-01-07,29.0,30.75,23.9,30.75,2200.0,21450.0
SIEMENS-I1060CE,2019-01-07,38.85,38.85,35.0,35.0,9350.0,62700.0
SIEMENS-I1080CE,2019-01-07,32.0,32.0,25.0,26.85,21450.0,47850.0
SIEMENS-I1080PE,2019-01-07,53.1,53.35,52.85,53.35,11000.0,3300.0
SIEMENS-I1100CE,2019-01-07,25.0,25.0,18.5,20.0,20900.0,86350.0
SIEMENS-I1120CE,2019-01-07,14.0,14.0,14.0,14.0,1100.0,12100.0
SIEMENS-I1140CE,2019-01-07,11.0,11.0,9.2,9.2,1650.0,8800.0
SIEMENS-I1160CE,2019-01-07,13.8,13.8,13.8,13.8,3300.0,4950.0
SIEMENS-I1200CE,2019-01-07,4.25,4.25,3.05,3.5,3300.0,13750.0
SIEMENS-I900PE,2019-01-08,1.1,1.1,1.1,1.1,550.0,3850.0
SIEMENS-I940PE,2019-01-08,3.0,3.0,3.0,3.0,550.0,3850.0
SIEMENS-I1000PE,2019-01-08,13.5,14.6,12.8,14.6,3300.0,32450.0
SIEMENS-I1020PE,2019-01-08,19.9,24.3,18.6,24.3,3850.0,17050.0
SIEMENS-I1060CE,2019-01-08,35.0,35.75,30.6,30.6,12100.0,65450.0
SIEMENS-I1060PE,2019-01-08,36.0,36.0,36.0,36.0,550.0,3300.0
SIEMENS-I1080CE,2019-01-08,26.85,26.95,23.0,23.2,8250.0,48400.0
SIEMENS-I1100CE,2019-01-08,20.0,20.0,15.6,15.6,12100.0,84150.0
SIEMENS-I1120CE,2019-01-08,11.0,11.8,10.0,11.8,2750.0,12100.0
SIEMENS-I1140CE,2019-01-08,9.0,9.0,9.0,9.0,550.0,8800.0
SIEMENS-I1200CE,2019-01-08,2.5,2.55,2.5,2.55,1650.0,13750.0
SIEMENS-I1000PE,2019-01-09,14.8,15.0,12.75,15.0,2750.0,31350.0
SIEMENS-I1020CE,2019-01-09,56.4,56.4,56.4,56.4,1100.0,6600.0
SIEMENS-I1020PE,2019-01-09,21.7,21.7,21.7,21.7,1100.0,17050.0
SIEMENS-I1040PE,2019-01-09,26.0,26.0,23.45,23.45,3850.0,22550.0
SIEMENS-I1060CE,2019-01-09,26.7,34.0,26.7,32.0,11000.0,61600.0
SIEMENS-I1060PE,2019-01-09,34.5,41.4,31.4,36.3,4950.0,4950.0
SIEMENS-I1080CE,2019-01-09,20.2,25.0,19.0,20.5,11000.0,47300.0
SIEMENS-I1100CE,2019-01-09,15.6,19.2,14.3,15.0,22000.0,88000.0
SIEMENS-I1120CE,2019-01-09,11.8,14.05,10.15,14.05,2750.0,11550.0
SIEMENS-I1120PE,2019-01-09,74.7,74.7,74.7,74.7,550.0,550.0
SIEMENS-I1140CE,2019-01-09,9.0,9.0,9.0,9.0,550.0,8250.0
SIEMENS-I1200CE,2019-01-09,4.0,4.0,4.0,4.0,550.0,14300.0
SIEMENS-I1260CE,2019-01-09,0.2,0.2,0.2,0.2,550.0,550.0
SIEMENS-I980PE,2019-01-10,5.5,5.5,5.5,5.5,550.0,3850.0
SIEMENS-I1000PE,2019-01-10,11.0,12.0,6.2,7.0,12650.0,29150.0
SIEMENS-I1020CE,2019-01-10,52.0,57.0,52.0,57.0,1100.0,6600.0
SIEMENS-I1020PE,2019-01-10,17.3,17.3,16.25,16.25,1100.0,17600.0
SIEMENS-I1040CE,2019-01-10,47.0,49.7,47.0,49.7,1100.0,25300.0
SIEMENS-I1040PE,2019-01-10,23.2,23.4,21.0,21.0,3300.0,20900.0
SIEMENS-I1060CE,2019-01-10,31.0,40.7,31.0,37.7,23650.0,58850.0
SIEMENS-I1060PE,2019-01-10,31.75,31.75,28.0,28.0,2200.0,4950.0
SIEMENS-I1080CE,2019-01-10,21.0,31.05,21.0,29.5,35750.0,45100.0
SIEMENS-I1080PE,2019-01-10,38.15,38.15,38.15,38.15,550.0,13200.0
SIEMENS-I1100CE,2019-01-10,15.0,23.9,15.0,20.0,58300.0,88000.0
SIEMENS-I1120CE,2019-01-10,14.0,17.0,14.0,14.05,6600.0,13200.0
SIEMENS-I1140CE,2019-01-10,9.75,9.75,9.65,9.65,1650.0,9350.0
SIEMENS-I1200CE,2019-01-10,3.5,3.9,2.8,3.9,1650.0,13750.0
SIEMENS-I980PE,2019-01-11,8.0,8.0,6.0,6.0,2200.0,3850.0
SIEMENS-I1000PE,2019-01-11,10.0,10.8,8.7,10.8,1650.0,28600.0
SIEMENS-I1020PE,2019-01-11,13.0,13.0,13.0,13.0,550.0,17050.0
SIEMENS-I1040PE,2019-01-11,23.8,24.2,23.8,24.2,1100.0,22000.0
SIEMENS-I1060CE,2019-01-11,30.2,34.45,26.7,26.7,14850.0,57750.0
SIEMENS-I1060PE,2019-01-11,35.9,35.9,35.9,35.9,550.0,4400.0
SIEMENS-I1080CE,2019-01-11,25.5,25.5,20.0,20.0,25850.0,46750.0
SIEMENS-I1080PE,2019-01-11,44.1,44.1,44.1,44.1,1100.0,13200.0
SIEMENS-I1100CE,2019-01-11,20.0,20.95,13.75,13.75,55550.0,89100.0
SIEMENS-I1120CE,2019-01-11,15.0,15.0,10.15,10.15,4400.0,17050.0
SIEMENS-I1140CE,2019-01-11,8.0,8.0,8.0,8.0,550.0,9350.0
SIEMENS-I1200CE,2019-01-11,2.0,2.75,2.0,2.0,3850.0,13750.0
SIEMENS-I1020PE,2019-01-14,15.35,15.35,15.35,15.35,550.0,17600.0
SIEMENS-I1040CE,2019-01-14,30.0,41.5,30.0,36.45,2750.0,25850.0
SIEMENS-I1040PE,2019-01-14,21.4,21.4,21.4,21.4,550.0,22000.0
SIEMENS-I1060CE,2019-01-14,20.3,31.5,20.0,26.8,34100.0,60500.0
SIEMENS-I1080CE,2019-01-14,15.75,23.0,14.0,18.0,48950.0,47850.0
SIEMENS-I1100CE,2019-01-14,10.75,16.5,8.55,11.6,26400.0,86900.0
SIEMENS-I1120CE,2019-01-14,6.1,10.2,6.1,10.2,1650.0,15950.0
SIEMENS-I1140CE,2019-01-14,4.9,4.9,4.9,4.9,550.0,9350.0
SIEMENS-I1200CE,2019-01-14,2.0,2.0,1.05,1.2,2200.0,12650.0
SIEMENS-I960PE,2019-01-15,1.15,1.15,1.15,1.15,550.0,2200.0
SIEMENS-I1000PE,2019-01-15,6.55,7.3,5.1,5.75,8800.0,28600.0
SIEMENS-I1020CE,2019-01-15,56.25,56.25,56.25,56.25,550.0,6050.0
SIEMENS-I1020PE,2019-01-15,11.9,12.45,11.8,12.0,2750.0,17050.0
SIEMENS-I1040CE,2019-01-15,41.1,47.2,41.1,47.2,1100.0,25850.0
SIEMENS-I1040PE,2019-01-15,21.4,21.4,16.05,16.05,5500.0,24200.0
SIEMENS-I1060CE,2019-01-15,28.9,34.65,27.35,30.0,40700.0,56100.0
SIEMENS-I1060PE,2019-01-15,26.95,27.6,24.35,27.5,3850.0,3300.0
SIEMENS-I1080CE,2019-01-15,20.4,24.8,18.8,19.75,33550.0,43450.0
SIEMENS-I1080PE,2019-01-15,38.0,38.4,38.0,38.4,1650.0,13200.0
SIEMENS-I1100CE,2019-01-15,15.0,16.9,12.25,13.0,22550.0,80850.0
SIEMENS-I1100PE,2019-01-15,49.05,49.05,49.05,49.05,1100.0,550.0
SIEMENS-I1120CE,2019-01-15,9.35,9.35,8.75,8.75,1100.0,15400.0
SIEMENS-I1140CE,2019-01-15,6.0,6.0,5.9,5.9,1100.0,10450.0
SIEMENS-I1160CE,2019-01-15,3.4,3.4,3.4,3.4,550.0,7700.0
SIEMENS-I940PE,2019-01-16,0.8,0.8,0.8,0.8,1100.0,3850.0
SIEMENS-I1000PE,2019-01-16,6.1,6.1,5.4,5.4,1650.0,28600.0
SIEMENS-I1040CE,2019-01-16,36.9,36.9,36.9,36.9,7150.0,25850.0
SIEMENS-I1040PE,2019-01-16,17.0,21.6,17.0,18.05,5500.0,23650.0
SIEMENS-I1060CE,2019-01-16,28.75,29.05,24.5,25.1,29700.0,56650.0
SIEMENS-I1060PE,2019-01-16,24.55,31.9,24.55,26.3,8250.0,3850.0
SIEMENS-I1080CE,2019-01-16,20.4,20.6,15.15,18.4,29150.0,44000.0
SIEMENS-I1080PE,2019-01-16,38.8,43.15,36.95,39.4,4950.0,13200.0
SIEMENS-I1100CE,2019-01-16,13.6,13.6,10.0,10.5,14850.0,81400.0
SIEMENS-I1140CE,2019-01-16,4.45,4.45,4.45,4.45,550.0,11000.0
