Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
SREINFRA.EQ-NSE,2019-01-01,36.4,36.4,35.7,35.9,1335868.0
SREINFRA.EQ-NSE,2019-01-02,36.2,36.35,34.4,34.65,2080523.0
SREINFRA.EQ-NSE,2019-01-03,34.75,34.95,33.75,33.85,1655625.0
SREINFRA.EQ-NSE,2019-01-04,34.0,34.25,32.65,33.05,4295132.0
SREINFRA.EQ-NSE,2019-01-07,33.55,34.05,32.8,33.4,2383355.0
SREINFRA.EQ-NSE,2019-01-08,33.3,35.8,32.6,35.4,5818047.0
SREINFRA.EQ-NSE,2019-01-09,35.45,36.8,35.2,36.2,6925637.0
SREINFRA.EQ-NSE,2019-01-10,36.05,36.95,35.5,35.65,3280678.0
SREINFRA.EQ-NSE,2019-01-11,35.85,36.0,34.25,34.55,3318163.0
SREINFRA.EQ-NSE,2019-01-14,34.75,34.75,33.1,33.8,2720933.0
SREINFRA.EQ-NSE,2019-01-15,33.8,34.2,33.15,33.35,4115640.0
SREINFRA.EQ-NSE,2019-01-16,33.7,34.1,33.3,33.55,1516998.0
SREINFRA.EQ-NSE,2019-01-17,33.7,34.4,33.0,33.6,2226702.0
SREINFRA.EQ-NSE,2019-01-18,33.8,35.25,33.3,33.5,6635909.0
SREINFRA.EQ-NSE,2019-01-21,33.9,35.95,33.4,34.95,10692707.0
SREINFRA.EQ-NSE,2019-01-22,34.8,34.8,32.4,33.0,6187634.0
SREINFRA.EQ-NSE,2019-01-23,33.2,33.45,31.8,32.1,4738911.0
SREINFRA.EQ-NSE,2019-01-24,32.2,32.3,30.7,31.25,4121531.0
SREINFRA.EQ-NSE,2019-01-25,31.7,31.95,29.7,30.45,5469129.0
SREINFRA.EQ-NSE,2019-01-28,30.3,30.7,28.9,29.6,4678819.0
SREINFRA.EQ-NSE,2019-01-29,29.7,30.65,29.3,30.3,3505660.0
SREINFRA.EQ-NSE,2019-01-30,30.25,30.5,29.2,29.7,2949092.0
SREINFRA.EQ-NSE,2019-01-31,29.6,29.85,28.7,29.3,3308124.0
