Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SRF-I340PE,2019-01-01,2.92,2.92,1.6,1.6,7500.0,15000.0
SRF-I350PE,2019-01-01,3.8,4.0,2.8,2.88,12500.0,5000.0
SRF-I360PE,2019-01-01,3.62,6.279999999999999,3.62,3.82,72500.0,42500.0
SRF-I370PE,2019-01-01,6.16,8.0,5.65,5.71,10000.0,12500.0
SRF-I380PE,2019-01-01,10.55,12.4,8.040000000000001,8.7,372500.0,172500.0
SRF-I390CE,2019-01-01,17.89,19.08,16.830000000000002,19.07,12500.0,5000.0
SRF-I390PE,2019-01-01,13.37,17.130000000000003,11.42,11.42,165000.0,67500.0
SRF-I400CE,2019-01-01,16.68,17.85,12.79,17.8,155000.0,130000.0
SRF-I400PE,2019-01-01,15.6,21.39,15.6,15.8,40000.0,75000.0
SRF-I410CE,2019-01-01,12.0,12.8,8.98,12.8,72500.0,42500.0
SRF-I410PE,2019-01-01,25.73,25.73,25.73,25.73,5000.0,17500.0
SRF-I420CE,2019-01-01,7.82,9.53,6.25,9.53,190000.0,152500.0
SRF-I420PE,2019-01-01,30.28,33.58,30.28,33.04,12500.0,52500.0
SRF-I430CE,2019-01-01,5.42,6.42,4.65,6.42,27500.0,32500.0
SRF-I440CE,2019-01-01,4.8,4.8,3.15,4.5,137500.0,165000.0
SRF-I450CE,2019-01-01,2.8,3.2,2.2,3.15,30000.0,60000.0
SRF-I460CE,2019-01-01,2.6,2.6,1.4,2.32,130000.0,287500.0
SRF-I470CE,2019-01-01,0.76,1.0,0.6599999999999999,0.9,12500.0,17500.0
SRF-I480CE,2019-01-01,0.64,1.02,0.6,1.02,20000.0,75000.0
SRF-I490CE,2019-01-01,0.6,0.6,0.6,0.6,2500.0,15000.0
SRF-I500CE,2019-01-01,1.19,1.19,1.19,1.19,2500.0,22500.0
SRF-I320PE,2019-01-02,0.6,0.6,0.6,0.6,2500.0,7500.0
SRF-I360PE,2019-01-02,3.61,4.4,3.6,4.25,25000.0,45000.0
SRF-I370PE,2019-01-02,5.43,5.8,5.11,5.11,12500.0,10000.0
SRF-I380CE,2019-01-02,30.08,30.08,27.15,27.15,5000.0,5000.0
SRF-I380PE,2019-01-02,8.0,9.28,7.13,8.1,60000.0,155000.0
SRF-I390CE,2019-01-02,21.03,21.03,21.03,21.03,2500.0,10000.0
SRF-I390PE,2019-01-02,13.3,13.3,10.6,11.7,62500.0,67500.0
SRF-I400CE,2019-01-02,18.009999999999998,19.19,15.62,16.0,70000.0,135000.0
SRF-I400PE,2019-01-02,15.8,17.8,14.69,16.2,50000.0,92500.0
SRF-I410CE,2019-01-02,10.22,14.3,10.22,12.919999999999998,62500.0,55000.0
SRF-I420CE,2019-01-02,8.36,10.46,7.55,8.02,170000.0,157500.0
SRF-I430CE,2019-01-02,6.5,6.659999999999999,4.8100000000000005,5.85,30000.0,47500.0
SRF-I440CE,2019-01-02,4.5,5.3100000000000005,3.58,3.58,45000.0,160000.0
SRF-I450CE,2019-01-02,3.18,3.2,2.8,2.8,12500.0,57500.0
SRF-I460CE,2019-01-02,1.09,2.4,1.09,1.86,55000.0,280000.0
SRF-I470CE,2019-01-02,1.1,1.11,1.1,1.11,5000.0,20000.0
SRF-I480CE,2019-01-02,1.0,1.0,0.75,0.75,5000.0,77500.0
SRF-I490CE,2019-01-02,0.6,0.6,0.6,0.6,2500.0,15000.0
SRF-I320PE,2019-01-03,0.79,0.79,0.79,0.79,2500.0,10000.0
SRF-I380PE,2019-01-03,7.25,8.4,6.890000000000001,8.3,47500.0,145000.0
SRF-I390PE,2019-01-03,9.59,12.4,9.59,12.4,22500.0,52500.0
SRF-I400CE,2019-01-03,17.57,17.8,14.0,14.330000000000002,32500.0,135000.0
SRF-I400PE,2019-01-03,14.4,16.07,14.25,15.79,20000.0,92500.0
SRF-I410CE,2019-01-03,12.7,13.09,10.33,10.33,30000.0,55000.0
SRF-I410PE,2019-01-03,22.51,22.51,22.51,22.51,2500.0,22500.0
SRF-I420CE,2019-01-03,8.940000000000001,9.6,6.81,6.92,52500.0,145000.0
SRF-I440CE,2019-01-03,4.6,4.6,3.2,3.2,15000.0,157500.0
SRF-I450CE,2019-01-03,2.68,2.68,2.68,2.68,2500.0,55000.0
SRF-I460CE,2019-01-03,1.7,1.7,1.63,1.64,12500.0,277500.0
SRF-I350PE,2019-01-04,2.21,2.21,2.01,2.01,5000.0,5000.0
SRF-I360PE,2019-01-04,4.99,4.99,3.21,3.21,17500.0,37500.0
SRF-I370PE,2019-01-04,6.590000000000001,7.37,4.59,5.09,37500.0,15000.0
SRF-I380CE,2019-01-04,28.46,28.46,25.8,25.8,7500.0,5000.0
SRF-I380PE,2019-01-04,8.78,10.8,6.51,6.51,205000.0,135000.0
SRF-I390CE,2019-01-04,18.81,19.69,18.6,19.42,12500.0,12500.0
SRF-I390PE,2019-01-04,11.4,14.43,10.55,10.62,80000.0,52500.0
SRF-I400CE,2019-01-04,13.21,15.8,12.0,15.04,47500.0,135000.0
SRF-I400PE,2019-01-04,17.44,19.6,14.41,15.69,32500.0,95000.0
SRF-I410CE,2019-01-04,10.33,11.6,8.86,10.8,45000.0,47500.0
SRF-I420CE,2019-01-04,7.68,7.99,6.0,7.7,45000.0,155000.0
SRF-I430CE,2019-01-04,4.4,4.4,4.4,4.4,2500.0,47500.0
SRF-I440CE,2019-01-04,3.2,3.2,2.6,3.2,20000.0,150000.0
SRF-I450CE,2019-01-04,2.2,2.29,2.19,2.2,12500.0,62500.0
SRF-I460CE,2019-01-04,1.64,1.64,0.67,1.41,30000.0,270000.0
SRF-I370PE,2019-01-07,3.74,3.74,3.74,3.74,2500.0,15000.0
SRF-I380PE,2019-01-07,7.38,8.0,6.4,7.06,12500.0,137500.0
SRF-I390PE,2019-01-07,9.8,11.99,9.45,9.45,30000.0,57500.0
SRF-I400CE,2019-01-07,15.04,15.4,14.1,15.37,20000.0,132500.0
SRF-I400PE,2019-01-07,15.8,15.8,13.2,13.2,10000.0,92500.0
SRF-I410CE,2019-01-07,10.4,11.99,9.8,10.4,30000.0,60000.0
SRF-I410PE,2019-01-07,21.33,21.33,21.33,21.33,2500.0,22500.0
SRF-I420CE,2019-01-07,7.95,8.0,7.090000000000001,8.0,42500.0,160000.0
SRF-I440CE,2019-01-07,3.2,3.2,3.2,3.2,2500.0,150000.0
SRF-I460CE,2019-01-07,1.6,1.6,1.08,1.56,20000.0,270000.0
SRF-I360PE,2019-01-08,2.2,2.2,1.66,1.66,5000.0,40000.0
SRF-I380PE,2019-01-08,6.0,6.0,5.0,5.2,60000.0,165000.0
SRF-I390PE,2019-01-08,9.44,9.44,7.709999999999999,8.1,35000.0,45000.0
SRF-I400CE,2019-01-08,17.6,18.4,16.4,17.6,27500.0,125000.0
SRF-I400PE,2019-01-08,13.8,13.8,11.02,11.8,17500.0,90000.0
SRF-I410CE,2019-01-08,11.2,13.669999999999998,11.2,12.74,187500.0,110000.0
SRF-I410PE,2019-01-08,17.19,17.19,16.6,16.6,10000.0,22500.0
SRF-I420CE,2019-01-08,8.58,9.52,8.120000000000001,8.8,160000.0,165000.0
SRF-I430CE,2019-01-08,5.6,6.75,5.6,6.6,22500.0,47500.0
SRF-I440CE,2019-01-08,4.23,4.3100000000000005,3.9,3.9,15000.0,150000.0
SRF-I450CE,2019-01-08,2.48,2.84,2.48,2.78,15000.0,70000.0
SRF-I460CE,2019-01-08,1.58,2.1,1.4,1.55,47500.0,260000.0
SRF-I470CE,2019-01-08,1.29,1.29,1.29,1.29,5000.0,17500.0
SRF-I480CE,2019-01-08,0.8,0.8,0.8,0.8,5000.0,80000.0
SRF-I340PE,2019-01-09,0.32,0.32,0.32,0.32,2500.0,17500.0
SRF-I360PE,2019-01-09,1.21,1.21,1.21,1.21,15000.0,37500.0
SRF-I370PE,2019-01-09,2.1,2.6,2.0,2.6,10000.0,20000.0
SRF-I380PE,2019-01-09,3.6,4.6,3.55,4.15,45000.0,167500.0
SRF-I390PE,2019-01-09,6.6,6.73,5.71,6.73,15000.0,47500.0
SRF-I400CE,2019-01-09,19.6,20.0,18.0,18.84,20000.0,117500.0
SRF-I400PE,2019-01-09,10.12,10.86,9.1,10.86,65000.0,67500.0
SRF-I410CE,2019-01-09,14.0,15.6,12.16,13.4,270000.0,87500.0
SRF-I410PE,2019-01-09,13.9,16.240000000000002,13.4,15.080000000000002,35000.0,32500.0
SRF-I420CE,2019-01-09,9.6,11.14,8.41,8.41,397500.0,155000.0
