Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
STAR-I440PE,2019-01-01,9.15,9.15,9.15,9.15,3300.0,17600.0
STAR-I450PE,2019-01-01,13.1,13.1,13.1,13.1,1100.0,13200.0
STAR-I460CE,2019-01-01,27.0,27.15,26.9,27.15,3300.0,20900.0
STAR-I460PE,2019-01-01,15.45,17.6,15.0,16.2,7700.0,19800.0
STAR-I470CE,2019-01-01,18.9,22.5,18.3,19.65,31900.0,24200.0
STAR-I470PE,2019-01-01,22.4,22.4,19.35,19.35,2200.0,5500.0
STAR-I480CE,2019-01-01,15.0,17.85,15.0,15.75,25300.0,41800.0
STAR-I490CE,2019-01-01,12.0,13.0,12.0,13.0,2200.0,5500.0
STAR-I500CE,2019-01-01,9.9,11.0,9.9,10.5,5500.0,39600.0
STAR-I510CE,2019-01-01,8.1,8.1,8.1,8.1,1100.0,4400.0
STAR-I560CE,2019-01-01,1.4,1.4,1.4,1.4,1100.0,4400.0
STAR-I400PE,2019-01-02,2.6,2.9,2.6,2.9,2200.0,11000.0
STAR-I440PE,2019-01-02,8.6,13.35,8.6,10.45,12100.0,24200.0
STAR-I450PE,2019-01-02,14.85,16.0,14.85,16.0,2200.0,14300.0
STAR-I460CE,2019-01-02,24.6,24.6,18.3,18.3,3300.0,18700.0
STAR-I460PE,2019-01-02,19.85,22.05,18.75,18.75,37400.0,22000.0
STAR-I470CE,2019-01-02,22.0,22.0,14.25,15.9,29700.0,28600.0
STAR-I470PE,2019-01-02,27.95,27.95,23.45,23.45,3300.0,6600.0
STAR-I480CE,2019-01-02,17.3,17.3,10.55,12.45,24200.0,41800.0
STAR-I490CE,2019-01-02,11.0,11.0,11.0,11.0,1100.0,6600.0
STAR-I500CE,2019-01-02,6.5,7.25,6.5,7.25,2200.0,39600.0
STAR-I550CE,2019-01-02,1.4,1.4,1.4,1.4,1100.0,0.0
STAR-I460CE,2019-01-03,21.95,22.75,19.0,19.75,13200.0,25300.0
STAR-I460PE,2019-01-03,17.75,20.5,17.75,20.4,3300.0,22000.0
STAR-I470CE,2019-01-03,15.85,17.85,14.7,15.55,17600.0,34100.0
STAR-I470PE,2019-01-03,26.0,26.4,25.05,25.05,3300.0,8800.0
STAR-I480CE,2019-01-03,13.25,13.4,11.0,11.3,13200.0,41800.0
STAR-I490CE,2019-01-03,10.05,10.05,8.8,8.8,4400.0,7700.0
STAR-I520CE,2019-01-03,5.0,5.0,5.0,5.0,1100.0,4400.0
STAR-I550CE,2019-01-03,1.4,1.4,1.4,1.4,2200.0,1100.0
STAR-I560CE,2019-01-03,1.0,1.0,1.0,1.0,1100.0,5500.0
STAR-I370PE,2019-01-04,0.3,2.8,0.3,2.6,17600.0,2200.0
STAR-I400PE,2019-01-04,2.9,2.9,2.9,2.9,1100.0,11000.0
STAR-I450CE,2019-01-04,18.4,18.4,18.4,18.4,1100.0,3300.0
STAR-I460CE,2019-01-04,19.0,20.0,18.0,20.0,3300.0,26400.0
STAR-I460PE,2019-01-04,23.0,24.95,21.85,21.85,7700.0,22000.0
STAR-I470CE,2019-01-04,15.8,15.8,11.6,14.0,35200.0,33000.0
STAR-I480CE,2019-01-04,9.5,11.8,9.05,11.8,17600.0,47300.0
STAR-I490CE,2019-01-04,9.55,9.55,9.55,9.55,1100.0,9900.0
STAR-I520CE,2019-01-04,3.5,3.5,3.5,3.5,1100.0,5500.0
STAR-I540CE,2019-01-04,3.0,3.0,3.0,3.0,3300.0,2200.0
STAR-I400PE,2019-01-07,2.9,2.9,2.9,2.9,2200.0,11000.0
STAR-I440PE,2019-01-07,10.95,10.95,10.95,10.95,1100.0,23100.0
STAR-I450PE,2019-01-07,14.9,14.9,14.7,14.7,4400.0,15400.0
STAR-I460CE,2019-01-07,22.7,22.7,14.95,14.95,16500.0,24200.0
STAR-I460PE,2019-01-07,18.0,21.0,18.0,19.85,3300.0,22000.0
STAR-I470CE,2019-01-07,16.45,17.9,12.0,13.45,18700.0,29700.0
STAR-I470PE,2019-01-07,22.35,26.7,22.35,26.7,3300.0,8800.0
STAR-I480CE,2019-01-07,14.0,14.0,8.55,9.2,16500.0,46200.0
STAR-I490CE,2019-01-07,9.55,9.55,9.55,9.55,1100.0,9900.0
STAR-I500CE,2019-01-07,5.95,5.95,4.2,4.2,3300.0,40700.0
STAR-I510CE,2019-01-07,3.5,3.5,3.5,3.5,1100.0,5500.0
STAR-I520CE,2019-01-07,3.5,3.5,3.5,3.5,1100.0,5500.0
STAR-I400PE,2019-01-08,2.5,2.5,2.5,2.5,2200.0,12100.0
STAR-I440PE,2019-01-08,9.6,9.6,5.65,5.65,2200.0,23100.0
STAR-I450CE,2019-01-08,27.9,27.9,27.9,27.9,1100.0,4400.0
STAR-I450PE,2019-01-08,9.7,9.7,8.95,8.95,3300.0,16500.0
STAR-I460CE,2019-01-08,18.4,23.0,18.0,21.6,57200.0,28600.0
STAR-I460PE,2019-01-08,14.75,15.25,11.95,12.1,14300.0,25300.0
STAR-I470CE,2019-01-08,13.95,17.8,13.95,17.8,50600.0,24200.0
STAR-I470PE,2019-01-08,24.25,24.25,17.0,17.25,6600.0,9900.0
STAR-I480CE,2019-01-08,10.05,13.7,10.05,13.7,55000.0,57200.0
STAR-I480PE,2019-01-08,23.65,23.65,23.65,23.65,1100.0,13200.0
STAR-I490CE,2019-01-08,7.2,10.0,6.7,10.0,4400.0,9900.0
STAR-I500CE,2019-01-08,5.05,7.0,5.05,7.0,17600.0,36300.0
STAR-I510CE,2019-01-08,3.5,3.5,3.5,3.5,1100.0,5500.0
STAR-I550CE,2019-01-08,0.65,0.65,0.65,0.65,1100.0,2200.0
STAR-I420PE,2019-01-09,2.8,2.8,1.8,1.8,7700.0,11000.0
STAR-I430PE,2019-01-09,2.35,2.35,2.3,2.3,2200.0,5500.0
STAR-I440PE,2019-01-09,6.6,6.6,5.85,5.85,2200.0,23100.0
STAR-I450PE,2019-01-09,6.55,6.55,5.9,5.9,3300.0,17600.0
STAR-I460CE,2019-01-09,21.95,31.2,21.6,31.2,19800.0,24200.0
STAR-I460PE,2019-01-09,10.75,14.4,8.75,8.75,19800.0,22000.0
STAR-I470CE,2019-01-09,18.75,25.5,15.1,24.45,63800.0,28600.0
STAR-I470PE,2019-01-09,16.0,19.85,12.6,13.0,13200.0,7700.0
STAR-I480CE,2019-01-09,13.0,19.8,10.8,19.8,266200.0,96800.0
STAR-I480PE,2019-01-09,18.85,18.85,16.7,16.7,4400.0,16500.0
STAR-I490CE,2019-01-09,11.25,15.0,7.95,14.15,47300.0,20900.0
STAR-I500CE,2019-01-09,7.45,11.9,6.0,11.7,91300.0,67100.0
STAR-I500PE,2019-01-09,38.55,38.55,38.55,38.55,1100.0,1100.0
STAR-I510CE,2019-01-09,5.95,8.45,5.95,8.45,4400.0,6600.0
STAR-I520CE,2019-01-09,2.5,5.8,2.5,5.8,29700.0,7700.0
STAR-I400PE,2019-01-10,2.0,2.0,2.0,2.0,1100.0,14300.0
STAR-I420PE,2019-01-10,2.4,2.4,2.4,2.4,1100.0,12100.0
STAR-I440PE,2019-01-10,5.0,5.0,4.75,4.85,3300.0,24200.0
STAR-I450PE,2019-01-10,6.05,8.0,5.75,7.25,14300.0,17600.0
STAR-I460CE,2019-01-10,29.0,29.0,29.0,29.0,1100.0,25300.0
STAR-I460PE,2019-01-10,10.0,11.65,6.9,6.9,22000.0,24200.0
STAR-I470CE,2019-01-10,23.75,25.4,19.0,23.95,24200.0,25300.0
STAR-I470PE,2019-01-10,12.1,16.05,11.5,12.6,22000.0,8800.0
STAR-I480CE,2019-01-10,18.1,20.6,13.85,18.5,90200.0,88000.0
STAR-I480PE,2019-01-10,15.15,21.7,15.15,17.2,12100.0,17600.0
STAR-I490CE,2019-01-10,15.2,15.7,10.3,14.6,88000.0,30800.0
STAR-I490PE,2019-01-10,21.65,28.0,21.25,21.25,7700.0,2200.0
STAR-I500CE,2019-01-10,11.0,12.5,7.9,10.75,103400.0,84700.0
STAR-I500PE,2019-01-10,27.35,35.2,27.35,28.9,7700.0,4400.0
STAR-I510CE,2019-01-10,8.05,9.2,6.6,7.0,13200.0,9900.0
STAR-I520CE,2019-01-10,6.0,7.2,4.9,5.2,8800.0,7700.0
STAR-I550CE,2019-01-10,1.3,1.3,1.3,1.3,2200.0,2200.0
STAR-I400PE,2019-01-11,1.5,1.5,1.5,1.5,1100.0,15400.0
STAR-I430PE,2019-01-11,2.25,2.25,2.25,2.25,2200.0,3300.0
STAR-I440PE,2019-01-11,3.7,3.7,3.35,3.35,2200.0,24200.0
STAR-I450PE,2019-01-11,6.5,6.5,6.5,6.5,1100.0,18700.0
STAR-I460CE,2019-01-11,29.2,29.2,29.2,29.2,1100.0,24200.0
STAR-I460PE,2019-01-11,9.85,9.85,6.45,6.45,5500.0,20900.0
STAR-I470CE,2019-01-11,24.85,24.85,21.0,23.55,7700.0,25300.0
STAR-I470PE,2019-01-11,11.05,13.9,10.4,10.4,7700.0,12100.0
STAR-I480CE,2019-01-11,19.0,19.0,15.0,17.95,17600.0,90200.0
STAR-I480PE,2019-01-11,15.35,15.35,15.35,15.35,2200.0,18700.0
STAR-I490CE,2019-01-11,15.0,15.0,11.5,13.0,11000.0,35200.0
STAR-I490PE,2019-01-11,20.7,20.7,20.7,20.7,1100.0,1100.0
STAR-I500CE,2019-01-11,10.7,10.7,8.75,9.85,25300.0,88000.0
STAR-I510CE,2019-01-11,6.1,7.0,6.1,7.0,3300.0,12100.0
STAR-I520CE,2019-01-11,4.5,4.5,4.0,4.0,2200.0,9900.0
STAR-I540CE,2019-01-11,2.0,2.0,2.0,2.0,1100.0,5500.0
STAR-I440CE,2019-01-14,71.0,74.05,71.0,74.05,2200.0,26400.0
STAR-I440PE,2019-01-14,1.35,1.5,0.9,1.5,39600.0,16500.0
STAR-I450PE,2019-01-14,2.55,2.55,1.4,1.4,22000.0,19800.0
STAR-I460CE,2019-01-14,33.6,63.7,33.6,63.7,8800.0,22000.0
STAR-I460PE,2019-01-14,5.0,5.0,1.95,2.2,74800.0,27500.0
STAR-I470CE,2019-01-14,26.0,52.35,26.0,52.35,11000.0,18700.0
STAR-I470PE,2019-01-14,7.35,7.35,3.2,3.5,31900.0,14300.0
STAR-I480CE,2019-01-14,18.75,46.85,18.75,46.85,70400.0,79200.0
STAR-I480PE,2019-01-14,10.15,10.4,4.85,5.1,160600.0,59400.0
STAR-I490CE,2019-01-14,15.0,39.65,15.0,38.5,213400.0,24200.0
STAR-I490PE,2019-01-14,16.05,16.05,6.95,6.95,139700.0,39600.0
STAR-I500CE,2019-01-14,10.75,33.15,10.75,31.5,893200.0,52800.0
STAR-I500PE,2019-01-14,19.95,19.95,9.5,10.45,253000.0,90200.0
STAR-I510CE,2019-01-14,10.25,27.0,10.25,24.5,455400.0,31900.0
STAR-I510PE,2019-01-14,17.5,19.1,13.0,13.5,73700.0,23100.0
STAR-I520CE,2019-01-14,7.0,21.5,6.95,20.2,1002100.0,89100.0
STAR-I520PE,2019-01-14,23.5,23.5,17.4,18.5,40700.0,18700.0
STAR-I530CE,2019-01-14,7.5,16.95,7.5,16.0,227700.0,37400.0
STAR-I530PE,2019-01-14,24.35,24.5,23.55,24.5,3300.0,2200.0
STAR-I540CE,2019-01-14,4.25,13.0,4.25,11.1,471900.0,62700.0
STAR-I540PE,2019-01-14,35.25,35.25,35.25,35.25,1100.0,0.0
STAR-I550CE,2019-01-14,4.0,10.1,3.0,9.5,110000.0,44000.0
STAR-I560CE,2019-01-14,3.2,8.0,3.2,7.2,135300.0,57200.0
STAR-I570CE,2019-01-14,3.0,6.15,3.0,5.05,48400.0,28600.0
STAR-I580CE,2019-01-14,2.9,4.25,2.9,3.5,13200.0,7700.0
STAR-I590CE,2019-01-14,3.0,3.0,3.0,3.0,2200.0,1100.0
STAR-I420PE,2019-01-15,0.2,0.2,0.2,0.2,4400.0,12100.0
STAR-I440PE,2019-01-15,1.85,1.85,0.7,1.0,4400.0,15400.0
STAR-I450PE,2019-01-15,1.65,1.95,1.3,1.9,5500.0,16500.0
STAR-I460CE,2019-01-15,67.7,67.7,67.7,67.7,1100.0,22000.0
STAR-I460PE,2019-01-15,2.4,2.6,1.9,2.45,17600.0,18700.0
STAR-I470PE,2019-01-15,2.5,3.45,2.5,3.45,7700.0,14300.0
STAR-I480CE,2019-01-15,41.4,50.3,38.1,39.8,13200.0,80300.0
STAR-I480PE,2019-01-15,5.05,5.5,3.6,4.6,74800.0,55000.0
STAR-I490CE,2019-01-15,36.0,41.0,31.15,34.8,7700.0,25300.0
STAR-I490PE,2019-01-15,7.3,7.9,5.45,6.8,92400.0,35200.0
STAR-I500CE,2019-01-15,31.0,36.0,25.05,26.55,42900.0,48400.0
STAR-I500PE,2019-01-15,10.6,11.7,7.65,9.6,231000.0,84700.0
STAR-I510CE,2019-01-15,24.15,29.45,18.45,21.0,83600.0,26400.0
STAR-I510PE,2019-01-15,13.55,16.5,11.05,13.15,159500.0,38500.0
STAR-I520CE,2019-01-15,20.0,23.6,13.5,16.7,328900.0,89100.0
STAR-I520PE,2019-01-15,19.0,22.0,14.75,19.8,146300.0,19800.0
STAR-I530CE,2019-01-15,13.55,18.85,10.05,11.0,498300.0,46200.0
STAR-I530PE,2019-01-15,23.8,27.0,20.2,27.0,23100.0,11000.0
STAR-I540CE,2019-01-15,12.0,14.85,7.6,9.5,394900.0,101200.0
STAR-I550CE,2019-01-15,8.0,11.2,5.7,6.5,180400.0,73700.0
STAR-I560CE,2019-01-15,6.0,9.0,4.0,5.0,191400.0,72600.0
STAR-I570CE,2019-01-15,5.5,5.5,2.45,2.45,3300.0,29700.0
STAR-I580CE,2019-01-15,2.8,5.3,2.6,2.6,16500.0,15400.0
STAR-I450PE,2019-01-16,1.4,1.4,1.4,1.4,1100.0,16500.0
STAR-I460PE,2019-01-16,1.2,1.2,1.2,1.2,1100.0,17600.0
STAR-I470PE,2019-01-16,2.2,2.75,2.05,2.05,4400.0,16500.0
STAR-I480CE,2019-01-16,54.5,56.7,53.7,53.7,5500.0,75900.0
STAR-I480PE,2019-01-16,4.0,4.0,2.75,3.5,33000.0,47300.0
