Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
STRTECH.EQ-NSE,2019-01-01,296.1,300.85,295.0,295.95,1179118.0
STRTECH.EQ-NSE,2019-01-02,294.05,299.45,292.0,294.05,999473.0
STRTECH.EQ-NSE,2019-01-03,294.55,296.9,289.0,290.0,877880.0
STRTECH.EQ-NSE,2019-01-04,293.1,294.0,285.25,285.95,1034480.0
STRTECH.EQ-NSE,2019-01-07,289.2,293.25,284.0,285.0,957968.0
STRTECH.EQ-NSE,2019-01-08,285.75,290.75,284.45,285.75,841556.0
STRTECH.EQ-NSE,2019-01-09,289.0,289.5,286.0,288.0,962847.0
STRTECH.EQ-NSE,2019-01-10,288.05,294.65,287.15,290.9,1555223.0
STRTECH.EQ-NSE,2019-01-11,292.0,294.95,291.7,293.0,1193670.0
STRTECH.EQ-NSE,2019-01-14,293.95,294.05,288.6,289.7,488865.0
STRTECH.EQ-NSE,2019-01-15,291.5,294.0,289.25,290.85,635053.0
STRTECH.EQ-NSE,2019-01-16,292.8,294.1,285.45,286.0,729165.0
STRTECH.EQ-NSE,2019-01-17,288.55,292.2,283.55,288.55,1009835.0
STRTECH.EQ-NSE,2019-01-18,290.85,298.0,288.5,292.4,1726204.0
STRTECH.EQ-NSE,2019-01-21,292.9,297.9,291.35,297.6,1514622.0
STRTECH.EQ-NSE,2019-01-22,298.0,301.85,294.5,295.7,1232913.0
STRTECH.EQ-NSE,2019-01-23,296.5,300.1,289.0,292.6,973202.0
STRTECH.EQ-NSE,2019-01-24,294.4,299.45,288.0,291.35,2884345.0
STRTECH.EQ-NSE,2019-01-25,293.0,296.8,281.45,284.0,1271964.0
STRTECH.EQ-NSE,2019-01-28,283.85,283.85,260.0,262.25,2363531.0
STRTECH.EQ-NSE,2019-01-29,259.8,263.25,239.5,252.0,1919199.0
STRTECH.EQ-NSE,2019-01-30,253.0,259.0,248.5,252.6,1247960.0
STRTECH.EQ-NSE,2019-01-31,254.0,255.65,244.5,245.0,1038557.0
STRTECH.EQ-NSE,2019-02-01,246.95,246.95,206.85,225.0,6893110.0
STRTECH.EQ-NSE,2019-02-04,226.45,234.75,208.0,226.0,3617736.0
STRTECH.EQ-NSE,2019-02-05,226.45,226.5,215.1,218.25,1620113.0
STRTECH.EQ-NSE,2019-02-06,221.9,222.05,210.6,218.9,1266053.0
STRTECH.EQ-NSE,2019-02-07,218.0,236.7,214.05,233.8,2081406.0
STRTECH.EQ-NSE,2019-02-08,233.5,243.4,223.55,228.0,2230480.0
STRTECH.EQ-NSE,2019-02-11,229.8,232.7,219.1,219.85,1157468.0
STRTECH.EQ-NSE,2019-02-12,221.0,222.5,215.1,215.9,891908.0
STRTECH.EQ-NSE,2019-02-13,217.05,221.5,212.05,214.45,1401470.0
STRTECH.EQ-NSE,2019-02-14,214.0,221.0,212.0,221.0,1389462.0
STRTECH.EQ-NSE,2019-02-15,220.8,223.6,213.5,213.9,1308265.0
STRTECH.EQ-NSE,2019-02-18,211.6,223.0,211.6,219.95,1075888.0
STRTECH.EQ-NSE,2019-02-19,220.15,234.9,219.4,233.05,1935009.0
STRTECH.EQ-NSE,2019-02-20,233.95,239.9,233.95,237.5,1100993.0
STRTECH.EQ-NSE,2019-02-21,238.45,248.5,236.15,245.5,1345882.0
STRTECH.EQ-NSE,2019-02-22,245.0,249.4,242.15,244.25,969057.0
STRTECH.EQ-NSE,2019-02-25,246.95,251.9,243.4,248.5,722230.0
STRTECH.EQ-NSE,2019-02-26,241.45,246.0,237.1,243.15,1052602.0
STRTECH.EQ-NSE,2019-02-27,245.5,248.7,230.35,236.4,1167510.0
STRTECH.EQ-NSE,2019-02-28,240.0,243.65,238.0,241.5,653616.0
STRTECH.EQ-NSE,2019-03-01,243.0,247.7,241.6,247.3,651653.0
STRTECH.EQ-NSE,2019-03-05,250.0,269.9,248.4,268.05,2046953.0
STRTECH.EQ-NSE,2019-03-06,270.75,277.6,257.65,260.45,1552846.0
STRTECH.EQ-NSE,2019-03-07,261.75,270.6,256.5,268.7,1713507.0
STRTECH.EQ-NSE,2019-03-08,269.0,275.0,266.15,269.7,1462964.0
STRTECH.EQ-NSE,2019-03-11,270.5,276.4,269.0,271.45,769042.0
STRTECH.EQ-NSE,2019-03-12,273.85,279.7,273.4,278.0,1103216.0
STRTECH.EQ-NSE,2019-03-13,279.0,279.8,266.1,266.5,977913.0
STRTECH.EQ-NSE,2019-03-14,266.85,268.3,257.0,257.7,1878123.0
STRTECH.EQ-NSE,2019-03-15,257.0,257.0,229.0,230.0,7404866.0
STRTECH.EQ-NSE,2019-03-18,230.0,234.45,215.65,219.45,6732099.0
STRTECH.EQ-NSE,2019-03-19,220.0,225.7,218.0,220.6,3103307.0
STRTECH.EQ-NSE,2019-03-20,222.0,230.8,221.0,224.5,3647155.0
STRTECH.EQ-NSE,2019-03-22,225.65,229.7,221.2,222.75,1561417.0
STRTECH.EQ-NSE,2019-03-25,220.15,220.7,217.2,217.6,843937.0
STRTECH.EQ-NSE,2019-03-26,219.8,222.9,218.05,219.7,1076699.0
STRTECH.EQ-NSE,2019-03-27,221.2,221.9,217.55,219.0,1038053.0
STRTECH.EQ-NSE,2019-03-28,220.6,222.45,218.15,219.65,939427.0
STRTECH.EQ-NSE,2019-03-29,221.5,221.7,217.5,218.0,949518.0
STRTECH.EQ-NSE,2019-04-01,220.5,229.0,219.7,224.5,1915405.0
STRTECH.EQ-NSE,2019-04-02,225.8,225.9,220.5,221.5,1090670.0
STRTECH.EQ-NSE,2019-04-03,222.0,222.4,217.55,220.0,1464420.0
STRTECH.EQ-NSE,2019-04-04,219.9,220.9,215.15,216.75,900354.0
STRTECH.EQ-NSE,2019-04-05,218.0,219.45,217.0,218.7,518527.0
STRTECH.EQ-NSE,2019-04-08,219.2,219.5,215.0,216.0,690037.0
STRTECH.EQ-NSE,2019-04-09,215.85,215.85,188.7,207.35,10342841.0
STRTECH.EQ-NSE,2019-04-10,207.4,208.15,197.5,200.35,4372221.0
STRTECH.EQ-NSE,2019-04-11,201.5,207.25,200.3,201.5,2258164.0
STRTECH.EQ-NSE,2019-04-12,205.5,206.2,200.3,201.0,1797287.0
STRTECH.EQ-NSE,2019-04-15,202.6,203.4,196.1,196.7,1576481.0
STRTECH.EQ-NSE,2019-04-16,198.35,201.0,192.9,193.7,1882992.0
STRTECH.EQ-NSE,2019-04-18,195.0,199.45,194.0,196.45,1657437.0
STRTECH.EQ-NSE,2019-04-22,197.0,203.95,194.2,202.2,2386063.0
STRTECH.EQ-NSE,2019-04-23,203.7,210.0,203.4,207.3,2575946.0
STRTECH.EQ-NSE,2019-04-24,216.0,217.0,192.05,193.1,11487489.0
STRTECH.EQ-NSE,2019-04-25,194.3,197.25,190.2,191.45,3485040.0
STRTECH.EQ-NSE,2019-04-26,191.5,199.6,180.2,198.55,18298264.0
STRTECH.EQ-NSE,2019-04-30,199.0,201.7,188.0,190.0,2637974.0
STRTECH.EQ-NSE,2019-05-02,189.45,194.0,185.55,189.75,1887600.0
STRTECH.EQ-NSE,2019-05-03,190.7,196.0,189.6,192.05,1835986.0
STRTECH.EQ-NSE,2019-05-06,189.0,192.85,187.15,191.35,1537572.0
STRTECH.EQ-NSE,2019-05-07,202.0,204.4,191.65,193.5,3791002.0
STRTECH.EQ-NSE,2019-05-08,191.2,196.0,182.6,183.85,3104923.0
STRTECH.EQ-NSE,2019-05-09,183.9,186.9,183.5,185.5,1064284.0
STRTECH.EQ-NSE,2019-05-10,186.5,186.9,182.0,182.35,854658.0
STRTECH.EQ-NSE,2019-05-13,182.3,183.95,178.0,178.8,1025643.0
STRTECH.EQ-NSE,2019-05-14,179.4,179.5,164.2,165.0,4084663.0
STRTECH.EQ-NSE,2019-05-15,167.45,171.6,165.25,166.35,2416346.0
STRTECH.EQ-NSE,2019-05-16,167.25,170.25,163.5,166.95,1838887.0
STRTECH.EQ-NSE,2019-05-17,166.8,169.6,165.55,167.15,858640.0
STRTECH.EQ-NSE,2019-05-20,175.0,176.95,167.6,167.9,1719021.0
STRTECH.EQ-NSE,2019-05-21,169.5,169.5,163.2,164.25,918034.0
STRTECH.EQ-NSE,2019-05-22,165.4,165.7,159.5,161.4,1968292.0
STRTECH.EQ-NSE,2019-05-23,163.7,165.95,146.55,148.75,5179858.0
STRTECH.EQ-NSE,2019-05-24,152.25,174.0,143.8,167.45,11826276.0
