Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
SUZLON.EQ-NSE,2019-01-01,5.4,5.5,5.35,5.5,9631190.0
SUZLON.EQ-NSE,2019-01-02,5.45,5.45,5.3,5.35,13404365.0
SUZLON.EQ-NSE,2019-01-03,5.4,5.4,5.3,5.35,9338949.0
SUZLON.EQ-NSE,2019-01-04,5.35,5.5,5.15,5.45,34627442.0
SUZLON.EQ-NSE,2019-01-07,5.5,5.55,5.3,5.35,23611322.0
SUZLON.EQ-NSE,2019-01-08,5.35,5.4,5.3,5.4,12956324.0
SUZLON.EQ-NSE,2019-01-09,5.35,5.4,5.2,5.35,15187786.0
SUZLON.EQ-NSE,2019-01-10,5.3,5.5,5.3,5.45,16706727.0
SUZLON.EQ-NSE,2019-01-11,5.45,5.45,5.3,5.3,16447950.0
SUZLON.EQ-NSE,2019-01-14,5.35,5.35,5.25,5.3,13033967.0
SUZLON.EQ-NSE,2019-01-15,5.3,5.4,5.2,5.3,13943975.0
SUZLON.EQ-NSE,2019-01-16,5.3,5.4,5.25,5.3,16978243.0
SUZLON.EQ-NSE,2019-01-17,5.35,5.35,5.25,5.35,19132696.0
SUZLON.EQ-NSE,2019-01-18,5.35,5.35,5.2,5.25,17330666.0
SUZLON.EQ-NSE,2019-01-21,5.2,5.3,5.2,5.3,12852172.0
SUZLON.EQ-NSE,2019-01-22,5.2,5.25,5.15,5.2,17226968.0
SUZLON.EQ-NSE,2019-01-23,5.2,5.25,5.1,5.15,11544101.0
SUZLON.EQ-NSE,2019-01-24,5.15,5.2,5.1,5.15,5760757.0
SUZLON.EQ-NSE,2019-01-25,5.15,5.2,5.0,5.1,12892602.0
SUZLON.EQ-NSE,2019-01-28,5.05,5.1,4.8,5.0,21947744.0
SUZLON.EQ-NSE,2019-01-29,5.0,5.0,4.9,4.9,6033938.0
SUZLON.EQ-NSE,2019-01-30,4.95,5.05,4.9,4.95,13175510.0
SUZLON.EQ-NSE,2019-01-31,5.0,5.0,4.55,4.8,42591449.0
SUZLON.EQ-NSE,2019-02-01,4.75,5.05,4.75,4.95,34515362.0
SUZLON.EQ-NSE,2019-02-04,4.9,4.9,4.65,4.75,21864990.0
SUZLON.EQ-NSE,2019-02-05,4.7,4.75,2.75,3.6,183705212.0
SUZLON.EQ-NSE,2019-02-06,3.75,4.05,3.4,3.85,68644460.0
SUZLON.EQ-NSE,2019-02-07,3.85,4.1,3.85,3.95,27717118.0
SUZLON.EQ-NSE,2019-02-08,3.9,3.9,3.6,3.7,32741270.0
SUZLON.EQ-NSE,2019-02-11,3.8,3.8,3.2,3.45,29825967.0
SUZLON.EQ-NSE,2019-02-12,3.4,3.65,3.3,3.45,29464740.0
SUZLON.EQ-NSE,2019-02-13,3.45,3.65,3.3,3.4,45216807.0
SUZLON.EQ-NSE,2019-02-14,3.35,3.55,3.25,3.55,30109589.0
SUZLON.EQ-NSE,2019-02-15,3.5,3.5,3.35,3.45,18935993.0
SUZLON.EQ-NSE,2019-02-18,3.4,3.6,3.35,3.45,30530927.0
SUZLON.EQ-NSE,2019-02-19,3.5,3.6,3.4,3.55,18582977.0
SUZLON.EQ-NSE,2019-02-20,3.6,3.75,3.55,3.75,13575833.0
SUZLON.EQ-NSE,2019-02-21,3.7,4.6,3.6,4.55,73699553.0
SUZLON.EQ-NSE,2019-02-22,4.55,6.0,4.5,5.6,198907801.0
SUZLON.EQ-NSE,2019-02-25,5.85,6.05,5.1,5.7,193771896.0
SUZLON.EQ-NSE,2019-02-26,5.35,5.65,5.2,5.4,72870846.0
SUZLON.EQ-NSE,2019-02-27,5.45,6.1,5.35,5.5,107088628.0
SUZLON.EQ-NSE,2019-02-28,5.6,5.95,5.55,5.75,73440090.0
SUZLON.EQ-NSE,2019-03-01,5.8,6.0,5.75,6.0,47095957.0
SUZLON.EQ-NSE,2019-03-05,6.0,7.6,5.95,7.6,244344132.0
SUZLON.EQ-NSE,2019-03-06,7.75,8.4,7.55,7.85,251912454.0
SUZLON.EQ-NSE,2019-03-07,7.9,7.9,6.8,6.95,201988788.0
SUZLON.EQ-NSE,2019-03-08,6.9,7.65,6.6,7.35,223546324.0
SUZLON.EQ-NSE,2019-03-11,7.35,7.8,7.3,7.4,121290277.0
SUZLON.EQ-NSE,2019-03-12,7.5,7.6,7.0,7.2,95319642.0
SUZLON.EQ-NSE,2019-03-13,7.15,7.25,6.7,6.95,93934972.0
SUZLON.EQ-NSE,2019-03-14,6.95,7.2,6.8,7.1,100401812.0
SUZLON.EQ-NSE,2019-03-15,7.05,7.1,6.7,6.85,58427385.0
SUZLON.EQ-NSE,2019-03-18,6.85,7.25,6.8,7.15,96583479.0
SUZLON.EQ-NSE,2019-03-19,7.2,7.25,6.9,6.95,58806014.0
SUZLON.EQ-NSE,2019-03-20,6.95,7.05,6.65,7.0,64977261.0
SUZLON.EQ-NSE,2019-03-22,7.0,7.05,6.6,6.75,94345261.0
SUZLON.EQ-NSE,2019-03-25,6.55,6.65,6.35,6.5,65935647.0
SUZLON.EQ-NSE,2019-03-26,6.55,6.95,6.4,6.75,116532469.0
SUZLON.EQ-NSE,2019-03-27,6.7,6.85,6.6,6.7,79657442.0
SUZLON.EQ-NSE,2019-03-28,6.65,6.75,6.4,6.5,63126345.0
SUZLON.EQ-NSE,2019-03-29,6.55,6.6,6.0,6.25,80969241.0
SUZLON.EQ-NSE,2019-04-01,6.25,6.45,6.0,6.25,65230312.0
SUZLON.EQ-NSE,2019-04-02,6.25,7.0,6.1,6.85,166514333.0
SUZLON.EQ-NSE,2019-04-03,6.9,7.2,6.45,6.5,101407946.0
SUZLON.EQ-NSE,2019-04-04,6.5,6.85,6.2,6.75,94255047.0
SUZLON.EQ-NSE,2019-04-05,6.8,6.8,6.55,6.75,27769388.0
SUZLON.EQ-NSE,2019-04-08,6.7,6.95,6.55,6.75,29838264.0
SUZLON.EQ-NSE,2019-04-09,6.7,6.8,6.55,6.8,30535453.0
SUZLON.EQ-NSE,2019-04-10,6.75,6.9,6.65,6.7,34526920.0
SUZLON.EQ-NSE,2019-04-11,6.75,6.85,6.5,6.75,36810132.0
SUZLON.EQ-NSE,2019-04-12,6.7,7.45,6.7,7.3,79690338.0
SUZLON.EQ-NSE,2019-04-15,7.3,7.95,7.25,7.45,102222469.0
SUZLON.EQ-NSE,2019-04-16,7.4,7.7,7.25,7.4,54394950.0
SUZLON.EQ-NSE,2019-04-18,7.4,7.5,7.0,7.05,57654461.0
SUZLON.EQ-NSE,2019-04-22,7.0,7.05,6.7,6.9,39685844.0
SUZLON.EQ-NSE,2019-04-23,6.85,7.45,6.5,7.4,74313892.0
SUZLON.EQ-NSE,2019-04-24,7.45,7.5,7.0,7.25,93265976.0
SUZLON.EQ-NSE,2019-04-25,7.1,7.5,7.0,7.15,82076149.0
SUZLON.EQ-NSE,2019-04-26,7.15,7.45,6.9,7.15,55086337.0
SUZLON.EQ-NSE,2019-04-30,7.15,7.3,6.75,6.9,50254641.0
SUZLON.EQ-NSE,2019-05-02,6.85,6.9,6.65,6.8,28954179.0
SUZLON.EQ-NSE,2019-05-03,6.75,6.9,6.7,6.7,18702136.0
SUZLON.EQ-NSE,2019-05-06,6.55,6.75,6.5,6.65,24179246.0
SUZLON.EQ-NSE,2019-05-07,6.65,6.7,6.25,6.3,41740561.0
SUZLON.EQ-NSE,2019-05-08,6.3,6.3,5.9,6.0,35009425.0
SUZLON.EQ-NSE,2019-05-09,5.9,5.9,5.3,5.6,72090817.0
SUZLON.EQ-NSE,2019-05-10,5.5,6.5,5.45,6.35,64054662.0
SUZLON.EQ-NSE,2019-05-13,6.4,6.45,5.45,5.65,57650378.0
SUZLON.EQ-NSE,2019-05-14,5.55,5.95,5.3,5.75,44650889.0
SUZLON.EQ-NSE,2019-05-15,5.85,5.85,5.15,5.2,54721417.0
SUZLON.EQ-NSE,2019-05-16,5.25,5.4,5.05,5.2,40490084.0
SUZLON.EQ-NSE,2019-05-17,5.2,5.35,5.1,5.25,21561348.0
SUZLON.EQ-NSE,2019-05-20,5.5,6.0,5.4,5.9,51320274.0
SUZLON.EQ-NSE,2019-05-21,5.9,6.25,5.45,5.6,60771335.0
SUZLON.EQ-NSE,2019-05-22,5.55,5.7,5.35,5.65,37979794.0
SUZLON.EQ-NSE,2019-05-23,5.9,6.0,5.3,5.35,60366719.0
SUZLON.EQ-NSE,2019-05-24,5.4,5.85,5.3,5.7,50822769.0
SUZLON.EQ-NSE,2019-05-27,5.7,6.0,5.6,5.7,50534755.0
SUZLON.EQ-NSE,2019-05-28,5.7,5.75,5.45,5.5,65593475.0
SUZLON.EQ-NSE,2019-05-29,5.5,5.55,5.3,5.4,37231230.0
SUZLON.EQ-NSE,2019-05-30,5.4,5.9,5.35,5.7,85849752.0
SUZLON.EQ-NSE,2019-05-31,5.65,5.75,5.4,5.5,47164665.0
SUZLON.EQ-NSE,2019-06-03,5.5,5.55,5.45,5.55,20742913.0
SUZLON.EQ-NSE,2019-06-04,5.5,5.7,5.4,5.4,32363108.0
SUZLON.EQ-NSE,2019-06-06,5.45,5.65,5.1,5.3,48829001.0
SUZLON.EQ-NSE,2019-06-07,5.35,5.45,5.1,5.25,29224105.0
SUZLON.EQ-NSE,2019-06-10,5.3,5.35,3.9,4.65,113215159.0
SUZLON.EQ-NSE,2019-06-11,4.6,4.95,4.1,4.85,66120197.0
SUZLON.EQ-NSE,2019-06-12,4.8,4.85,4.4,4.45,55434652.0
