Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SYNGENE-I560PE,2021-08-27,5.0,5.0,5.0,5.0,850.0,0.0
SYNGENE-I580PE,2021-08-27,8.0,12.0,8.0,9.5,28050.0,14450.0
SYNGENE-I620CE,2021-08-27,30.0,30.0,30.0,30.0,1700.0,0.0
SYNGENE-I650CE,2021-08-27,18.9,22.8,12.15,17.05,41650.0,26350.0
SYNGENE-I700CE,2021-08-27,6.0,9.45,6.0,6.95,5100.0,3400.0
SYNGENE-I550PE,2021-08-30,2.3,3.5,2.3,3.5,25500.0,24650.0
SYNGENE-I580PE,2021-08-30,8.5,8.7,6.35,8.7,25500.0,22950.0
SYNGENE-I600PE,2021-08-30,15.0,20.6,10.55,14.0,23800.0,11050.0
SYNGENE-I620CE,2021-08-30,35.0,36.0,35.0,36.0,2550.0,0.0
SYNGENE-I640CE,2021-08-30,29.0,37.0,25.0,26.05,63750.0,26350.0
SYNGENE-I650CE,2021-08-30,16.35,32.4,16.25,21.45,937550.0,93500.0
SYNGENE-I660CE,2021-08-30,16.0,28.0,16.0,18.8,57800.0,18700.0
SYNGENE-I670CE,2021-08-30,24.45,24.45,20.0,20.0,3400.0,0.0
SYNGENE-I680CE,2021-08-30,12.85,18.5,11.8,14.0,16150.0,4250.0
SYNGENE-I700CE,2021-08-30,6.95,16.2,6.95,9.55,282200.0,52700.0
SYNGENE-I720CE,2021-08-30,7.0,12.0,4.85,4.85,15300.0,8500.0
SYNGENE-I730CE,2021-08-30,7.0,9.0,4.1,5.65,7650.0,4250.0
SYNGENE-I750CE,2021-08-30,4.65,5.45,3.1,3.1,3400.0,2550.0
SYNGENE-I550PE,2021-08-31,2.3,3.95,2.25,3.0,39100.0,28900.0
SYNGENE-I580PE,2021-08-31,5.95,9.0,4.2,5.5,26350.0,31450.0
SYNGENE-I590PE,2021-08-31,10.05,10.05,10.05,10.05,850.0,0.0
SYNGENE-I600PE,2021-08-31,10.7,13.5,9.5,10.5,45050.0,25500.0
SYNGENE-I630CE,2021-08-31,45.0,45.0,43.7,43.7,1700.0,850.0
SYNGENE-I630PE,2021-08-31,20.0,20.0,20.0,20.0,850.0,0.0
SYNGENE-I640CE,2021-08-31,31.25,44.0,31.0,35.35,106250.0,26350.0
SYNGENE-I650CE,2021-08-31,22.5,39.0,22.5,29.95,728450.0,107950.0
SYNGENE-I650PE,2021-08-31,33.0,34.2,31.9,34.2,3400.0,2550.0
SYNGENE-I660CE,2021-08-31,24.0,35.15,21.0,25.0,427550.0,71400.0
SYNGENE-I660PE,2021-08-31,34.0,34.0,34.0,34.0,850.0,0.0
SYNGENE-I670CE,2021-08-31,27.6,30.0,19.0,21.2,169150.0,34000.0
SYNGENE-I670PE,2021-08-31,50.0,50.0,50.0,50.0,850.0,0.0
SYNGENE-I680CE,2021-08-31,15.8,26.05,14.9,17.8,65450.0,15300.0
SYNGENE-I690CE,2021-08-31,15.45,16.45,14.95,16.45,4250.0,1700.0
SYNGENE-I700CE,2021-08-31,8.8,19.8,6.75,12.7,579700.0,117300.0
SYNGENE-I720CE,2021-08-31,11.6,13.35,8.1,8.1,13600.0,12750.0
SYNGENE-I730CE,2021-08-31,8.8,11.2,7.2,7.2,13600.0,9350.0
SYNGENE-I740CE,2021-08-31,7.2,11.85,6.0,6.0,17000.0,6800.0
SYNGENE-I750CE,2021-08-31,5.0,9.95,4.2,4.5,22950.0,13600.0
SYNGENE-I750PE,2021-08-31,110.0,110.0,110.0,110.0,2550.0,0.0
SYNGENE-I550PE,2021-09-01,4.45,4.45,3.45,3.85,4250.0,31450.0
SYNGENE-I560PE,2021-09-01,4.5,5.0,4.5,5.0,5100.0,4250.0
SYNGENE-I580PE,2021-09-01,8.0,9.45,6.4,9.4,17850.0,35700.0
SYNGENE-I600PE,2021-09-01,11.5,15.35,11.5,15.35,17850.0,35700.0
SYNGENE-I610PE,2021-09-01,15.45,15.45,15.45,15.45,850.0,0.0
SYNGENE-I620CE,2021-09-01,39.9,51.0,39.9,51.0,1700.0,1700.0
SYNGENE-I620PE,2021-09-01,32.75,32.75,23.55,23.55,1700.0,850.0
SYNGENE-I630CE,2021-09-01,36.3,36.3,31.95,31.95,5100.0,4250.0
SYNGENE-I630PE,2021-09-01,27.0,27.0,27.0,27.0,850.0,850.0
SYNGENE-I640CE,2021-09-01,35.35,35.35,24.5,25.8,77350.0,43350.0
SYNGENE-I650CE,2021-09-01,45.0,45.0,19.95,21.85,175950.0,124950.0
SYNGENE-I650PE,2021-09-01,35.25,40.1,35.25,40.1,3400.0,4250.0
SYNGENE-I660CE,2021-09-01,24.7,24.7,17.5,18.5,79050.0,70550.0
SYNGENE-I670CE,2021-09-01,20.55,20.55,15.5,15.5,30600.0,38250.0
SYNGENE-I680CE,2021-09-01,18.0,18.0,12.05,15.0,10200.0,16150.0
SYNGENE-I690CE,2021-09-01,11.8,13.25,11.8,11.8,4250.0,2550.0
SYNGENE-I700CE,2021-09-01,12.25,12.75,8.95,9.0,121550.0,135150.0
