Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TATACOMM.EQ-NSE,2019-01-01,315.24,317.46,309.18,317.4,288709.0
TATACOMM.EQ-NSE,2019-01-02,312.03,320.37,310.98,313.05,1268093.0
TATACOMM.EQ-NSE,2019-01-03,313.2,324.51,313.2,320.97,1502465.0
TATACOMM.EQ-NSE,2019-01-04,320.97,326.4,313.59,317.97,752810.0
TATACOMM.EQ-NSE,2019-01-07,319.44,321.78,315.6,317.1,357038.0
TATACOMM.EQ-NSE,2019-01-08,317.31,324.0,315.36,316.26,896985.0
TATACOMM.EQ-NSE,2019-01-09,317.13,319.2,310.38,312.0,441067.0
TATACOMM.EQ-NSE,2019-01-10,312.48,314.91,307.23,310.53,468360.0
TATACOMM.EQ-NSE,2019-01-11,311.97,314.67,304.89,308.52,572406.0
TATACOMM.EQ-NSE,2019-01-14,309.99,310.68,305.01,306.39,345725.0
TATACOMM.EQ-NSE,2019-01-15,307.8,313.14,307.2,310.8,399276.0
TATACOMM.EQ-NSE,2019-01-16,310.8,323.28,309.78,318.78,1180610.0
TATACOMM.EQ-NSE,2019-01-17,320.7,321.3,312.9,316.8,707034.0
TATACOMM.EQ-NSE,2019-01-18,319.11,325.89,309.72,309.75,1406418.0
TATACOMM.EQ-NSE,2019-01-21,312.72,313.89,306.03,307.8,487983.0
TATACOMM.EQ-NSE,2019-01-22,306.99,311.49,304.83,308.7,523920.0
TATACOMM.EQ-NSE,2019-01-23,307.86,313.68,307.35,309.3,287322.0
TATACOMM.EQ-NSE,2019-01-24,309.03,315.6,308.91,315.3,412858.0
TATACOMM.EQ-NSE,2019-01-25,314.43,315.36,291.15,295.32,1657418.0
TATACOMM.EQ-NSE,2019-01-28,294.6,304.8,292.89,300.33,1396187.0
TATACOMM.EQ-NSE,2019-01-29,298.53,302.1,295.29,295.86,649557.0
TATACOMM.EQ-NSE,2019-01-30,294.57,307.65,291.42,292.35,5335589.0
TATACOMM.EQ-NSE,2019-01-31,300.0,309.3,295.2,299.22,1947540.0
TATACOMM.EQ-NSE,2019-02-01,300.87,302.82,293.64,298.92,730565.0
TATACOMM.EQ-NSE,2019-02-04,300.06,300.6,292.77,296.22,417007.0
TATACOMM.EQ-NSE,2019-02-05,295.23,298.14,292.41,296.28,1019973.0
TATACOMM.EQ-NSE,2019-02-06,296.4,297.99,292.35,293.31,978120.0
TATACOMM.EQ-NSE,2019-02-07,292.17,298.05,292.17,294.3,1040881.0
TATACOMM.EQ-NSE,2019-02-08,292.8,296.64,283.8,292.8,755458.0
TATACOMM.EQ-NSE,2019-02-11,292.23,292.77,285.03,290.55,409187.0
TATACOMM.EQ-NSE,2019-02-12,288.99,293.04,288.03,291.42,921196.0
TATACOMM.EQ-NSE,2019-02-13,291.6,302.88,290.55,299.73,631146.0
TATACOMM.EQ-NSE,2019-02-14,300.0,302.73,293.7,300.0,1428855.0
TATACOMM.EQ-NSE,2019-02-15,296.7,302.22,294.63,295.74,358741.0
TATACOMM.EQ-NSE,2019-02-18,300.0,302.37,295.2,300.6,416689.0
TATACOMM.EQ-NSE,2019-02-19,299.76,306.93,299.64,302.34,801079.0
TATACOMM.EQ-NSE,2019-02-20,301.2,312.87,300.0,309.99,714937.0
TATACOMM.EQ-NSE,2019-02-21,309.96,316.2,306.27,315.9,747896.0
TATACOMM.EQ-NSE,2019-02-22,312.06,323.4,311.64,321.42,727138.0
TATACOMM.EQ-NSE,2019-02-25,319.95,333.51,316.62,332.07,1267763.0
TATACOMM.EQ-NSE,2019-02-26,327.42,345.87,324.12,342.96,1596074.0
TATACOMM.EQ-NSE,2019-02-27,344.4,353.7,342.99,352.74,1717708.0
TATACOMM.EQ-NSE,2019-02-28,352.95,361.65,348.0,352.53,2058129.0
TATACOMM.EQ-NSE,2019-03-01,354.0,358.2,344.64,357.0,641323.0
TATACOMM.EQ-NSE,2019-03-05,352.8,362.22,351.9,361.47,659508.0
TATACOMM.EQ-NSE,2019-03-06,362.67,374.34,361.32,366.33,1380330.0
TATACOMM.EQ-NSE,2019-03-07,366.45,369.54,363.84,367.26,529044.0
TATACOMM.EQ-NSE,2019-03-08,364.02,370.2,363.9,365.73,497769.0
TATACOMM.EQ-NSE,2019-03-11,366.36,370.14,363.45,365.4,1355568.0
TATACOMM.EQ-NSE,2019-03-12,365.82,374.31,365.16,368.13,1370059.0
TATACOMM.EQ-NSE,2019-03-13,369.0,369.6,358.38,359.4,1288003.0
TATACOMM.EQ-NSE,2019-03-14,358.38,366.69,354.6,365.4,544874.0
TATACOMM.EQ-NSE,2019-03-15,365.4,368.73,360.87,363.69,554015.0
TATACOMM.EQ-NSE,2019-03-18,365.31,369.81,360.96,363.93,796167.0
TATACOMM.EQ-NSE,2019-03-19,364.92,367.77,360.72,361.83,559481.0
TATACOMM.EQ-NSE,2019-03-20,362.79,369.81,362.76,368.46,477828.0
TATACOMM.EQ-NSE,2019-03-22,366.78,369.63,358.53,358.53,468965.0
TATACOMM.EQ-NSE,2019-03-25,355.74,358.56,353.7,358.56,278291.0
TATACOMM.EQ-NSE,2019-03-26,357.21,362.16,354.3,361.74,440795.0
TATACOMM.EQ-NSE,2019-03-27,360.6,363.51,356.07,359.79,506419.0
TATACOMM.EQ-NSE,2019-03-28,362.85,366.33,358.11,364.44,427068.0
TATACOMM.EQ-NSE,2019-03-29,366.0,370.65,364.26,368.1,397930.0
TATACOMM.EQ-NSE,2019-04-01,368.19,371.49,362.97,367.53,425778.0
TATACOMM.EQ-NSE,2019-04-02,368.07,376.62,360.84,361.8,1177647.0
TATACOMM.EQ-NSE,2019-04-03,360.6,365.13,357.36,359.52,343588.0
TATACOMM.EQ-NSE,2019-04-04,360.66,361.59,354.06,356.28,276067.0
TATACOMM.EQ-NSE,2019-04-05,359.58,365.88,356.76,361.23,414942.0
TATACOMM.EQ-NSE,2019-04-08,361.2,366.96,353.19,354.69,344350.0
TATACOMM.EQ-NSE,2019-04-09,355.44,358.2,348.0,349.2,344091.0
TATACOMM.EQ-NSE,2019-04-10,348.15,352.98,347.1,351.6,204810.0
TATACOMM.EQ-NSE,2019-04-11,348.6,354.39,347.49,353.04,413452.0
TATACOMM.EQ-NSE,2019-04-12,352.47,353.37,348.18,350.7,211541.0
TATACOMM.EQ-NSE,2019-04-15,350.13,352.11,347.43,349.2,297758.0
TATACOMM.EQ-NSE,2019-04-16,350.28,352.05,345.0,347.7,174960.0
TATACOMM.EQ-NSE,2019-04-18,350.94,351.09,340.98,342.6,256151.0
TATACOMM.EQ-NSE,2019-04-22,342.6,350.94,338.97,347.79,387239.0
TATACOMM.EQ-NSE,2019-04-23,346.23,359.16,339.06,347.34,291141.0
TATACOMM.EQ-NSE,2019-04-24,345.03,349.14,341.76,346.32,170587.0
TATACOMM.EQ-NSE,2019-04-25,347.43,349.17,341.28,343.59,104743.0
TATACOMM.EQ-NSE,2019-04-26,342.06,344.28,335.76,337.2,137015.0
TATACOMM.EQ-NSE,2019-04-30,336.0,340.26,332.37,339.6,200637.0
TATACOMM.EQ-NSE,2019-05-02,337.2,344.19,334.83,342.0,175980.0
TATACOMM.EQ-NSE,2019-05-03,342.6,348.48,326.88,330.3,702230.0
TATACOMM.EQ-NSE,2019-05-06,328.17,340.8,327.9,339.9,336956.0
TATACOMM.EQ-NSE,2019-05-07,340.98,345.21,337.05,341.31,316574.0
TATACOMM.EQ-NSE,2019-05-08,338.43,342.87,333.0,334.98,671223.0
TATACOMM.EQ-NSE,2019-05-09,325.14,335.91,324.39,330.0,3096706.0
TATACOMM.EQ-NSE,2019-05-10,330.0,338.94,329.4,333.69,423314.0
TATACOMM.EQ-NSE,2019-05-13,332.85,335.46,325.26,326.19,147124.0
TATACOMM.EQ-NSE,2019-05-14,328.32,332.4,325.14,328.38,346458.0
TATACOMM.EQ-NSE,2019-05-15,328.26,333.27,327.27,328.77,137753.0
TATACOMM.EQ-NSE,2019-05-16,330.63,330.72,322.2,324.6,308357.0
TATACOMM.EQ-NSE,2019-05-17,323.43,334.77,321.66,331.8,324299.0
TATACOMM.EQ-NSE,2019-05-20,339.0,344.79,326.37,331.83,638642.0
TATACOMM.EQ-NSE,2019-05-21,333.12,334.86,325.26,328.11,226285.0
TATACOMM.EQ-NSE,2019-05-22,326.67,329.1,319.59,319.8,187878.0
TATACOMM.EQ-NSE,2019-05-23,327.0,336.36,316.59,319.2,316386.0
TATACOMM.EQ-NSE,2019-05-24,319.71,331.44,317.55,330.0,235945.0
TATACOMM.EQ-NSE,2019-05-27,331.14,335.37,328.2,332.19,300277.0
TATACOMM.EQ-NSE,2019-05-28,330.6,340.98,328.8,330.84,796312.0
TATACOMM.EQ-NSE,2019-05-29,333.27,334.23,319.8,327.69,369577.0
TATACOMM.EQ-NSE,2019-05-30,326.4,331.47,324.72,328.68,301765.0
TATACOMM.EQ-NSE,2019-05-31,329.37,329.64,318.45,323.73,346189.0
TATACOMM.EQ-NSE,2019-06-03,322.95,325.56,319.5,324.6,184941.0
TATACOMM.EQ-NSE,2019-06-04,323.73,327.18,320.79,324.6,202010.0
TATACOMM.EQ-NSE,2019-06-06,322.56,326.37,316.38,317.7,152607.0
TATACOMM.EQ-NSE,2019-06-07,317.34,323.4,312.3,315.72,263807.0
TATACOMM.EQ-NSE,2019-06-10,315.3,316.53,301.35,302.22,946806.0
TATACOMM.EQ-NSE,2019-06-11,302.97,306.6,298.83,302.4,378944.0
TATACOMM.EQ-NSE,2019-06-12,303.54,307.86,293.04,293.91,685302.0
TATACOMM.EQ-NSE,2019-06-13,292.2,297.9,290.94,293.13,737315.0
TATACOMM.EQ-NSE,2019-06-14,294.6,303.42,293.04,295.74,1209993.0
TATACOMM.EQ-NSE,2019-06-17,295.17,301.77,294.36,300.0,655956.0
TATACOMM.EQ-NSE,2019-06-18,299.19,304.14,298.35,300.03,691349.0
TATACOMM.EQ-NSE,2019-06-19,300.87,304.14,297.87,298.86,474943.0
TATACOMM.EQ-NSE,2019-06-20,298.92,301.8,288.75,299.58,1363569.0
TATACOMM.EQ-NSE,2019-06-21,299.4,304.11,289.5,290.28,724658.0
TATACOMM.EQ-NSE,2019-06-24,291.87,292.2,286.14,286.26,386362.0
TATACOMM.EQ-NSE,2019-06-25,286.83,294.45,279.18,291.0,922718.0
TATACOMM.EQ-NSE,2019-06-26,292.77,297.72,286.59,288.06,692764.0
TATACOMM.EQ-NSE,2019-06-27,287.85,292.5,286.32,291.51,1665463.0
TATACOMM.EQ-NSE,2019-06-28,289.2,294.3,286.8,291.0,188481.0
TATACOMM.EQ-NSE,2019-07-01,290.7,291.21,285.78,288.0,60374.0
TATACOMM.EQ-NSE,2019-07-02,287.43,289.14,280.95,284.4,421412.0
TATACOMM.EQ-NSE,2019-07-03,282.0,290.88,270.6,284.4,1564505.0
