Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TATACOMM-I510CE,2019-01-01,27.8,27.8,26.8,26.8,2000.0,3000.0
TATACOMM-I520CE,2019-01-01,18.0,23.8,18.0,23.8,3000.0,4000.0
TATACOMM-I530CE,2019-01-01,17.5,18.0,17.5,18.0,2000.0,3000.0
TATACOMM-I530PE,2019-01-01,21.0,21.0,21.0,21.0,1000.0,0.0
TATACOMM-I540CE,2019-01-01,12.45,14.0,11.4,14.0,3000.0,9000.0
TATACOMM-I550CE,2019-01-01,11.3,11.3,9.65,9.65,2000.0,4000.0
TATACOMM-I520CE,2019-01-02,25.0,25.0,25.0,25.0,1000.0,3000.0
TATACOMM-I520PE,2019-01-02,13.9,19.2,13.9,19.2,6000.0,7000.0
TATACOMM-I530CE,2019-01-02,22.65,22.65,17.7,17.7,3000.0,6000.0
TATACOMM-I540CE,2019-01-02,13.75,14.8,11.7,11.7,4000.0,10000.0
TATACOMM-I550CE,2019-01-02,10.0,10.0,10.0,10.0,1000.0,4000.0
TATACOMM-I560CE,2019-01-02,9.0,9.0,9.0,9.0,1000.0,0.0
TATACOMM-I480PE,2019-01-03,4.55,4.55,4.55,4.55,3000.0,0.0
TATACOMM-I510CE,2019-01-03,32.2,32.2,32.2,32.2,1000.0,5000.0
TATACOMM-I520PE,2019-01-03,11.0,13.55,10.0,12.15,5000.0,8000.0
TATACOMM-I530CE,2019-01-03,20.95,20.95,20.95,20.95,1000.0,5000.0
TATACOMM-I540CE,2019-01-03,13.5,19.95,13.5,18.0,41000.0,20000.0
TATACOMM-I540PE,2019-01-03,17.8,17.8,17.8,17.8,1000.0,0.0
TATACOMM-I550CE,2019-01-03,14.0,15.3,13.0,14.3,9000.0,10000.0
TATACOMM-I560CE,2019-01-03,11.25,11.25,10.0,10.0,2000.0,2000.0
TATACOMM-I570CE,2019-01-03,8.0,8.0,8.0,8.0,1000.0,11000.0
TATACOMM-I580CE,2019-01-03,5.95,6.0,5.8,5.8,5000.0,4000.0
TATACOMM-I460PE,2019-01-04,0.1,2.0,0.1,2.0,2000.0,1000.0
TATACOMM-I520PE,2019-01-04,13.9,13.9,13.4,13.4,3000.0,9000.0
TATACOMM-I530CE,2019-01-04,15.8,15.8,15.8,15.8,1000.0,5000.0
TATACOMM-I530PE,2019-01-04,15.75,15.75,15.75,15.75,1000.0,1000.0
TATACOMM-I540CE,2019-01-04,19.7,21.0,12.0,12.0,13000.0,20000.0
TATACOMM-I550CE,2019-01-04,16.15,16.15,8.75,12.9,7000.0,9000.0
TATACOMM-I560CE,2019-01-04,12.05,12.05,8.2,9.4,6000.0,6000.0
TATACOMM-I570CE,2019-01-04,6.0,6.0,6.0,6.0,1000.0,12000.0
TATACOMM-I580CE,2019-01-04,6.0,6.0,4.25,4.7,4000.0,5000.0
TATACOMM-I480CE,2019-01-07,55.0,55.0,55.0,55.0,1000.0,5000.0
TATACOMM-I530CE,2019-01-07,23.0,23.0,23.0,23.0,2000.0,4000.0
TATACOMM-I540CE,2019-01-07,12.85,12.85,12.85,12.85,1000.0,19000.0
TATACOMM-I560CE,2019-01-07,8.6,8.6,7.5,7.5,3000.0,7000.0
TATACOMM-I510CE,2019-01-08,28.0,28.0,28.0,28.0,2000.0,6000.0
TATACOMM-I540CE,2019-01-08,19.2,19.5,11.65,11.65,15000.0,21000.0
TATACOMM-I550CE,2019-01-08,12.45,12.65,12.45,12.65,2000.0,9000.0
TATACOMM-I560CE,2019-01-08,9.8,10.0,8.0,8.0,10000.0,10000.0
TATACOMM-I580CE,2019-01-08,5.7,5.7,5.7,5.7,1000.0,7000.0
TATACOMM-I500PE,2019-01-09,8.0,8.0,8.0,8.0,1000.0,4000.0
TATACOMM-I510PE,2019-01-09,10.0,10.0,10.0,10.0,1000.0,0.0
TATACOMM-I520PE,2019-01-09,14.8,15.1,14.6,14.6,4000.0,6000.0
TATACOMM-I540CE,2019-01-09,12.3,12.9,9.25,9.25,7000.0,22000.0
TATACOMM-I550CE,2019-01-09,7.45,7.45,5.5,6.2,6000.0,9000.0
TATACOMM-I560CE,2019-01-09,4.75,5.5,4.75,5.5,2000.0,9000.0
TATACOMM-I570CE,2019-01-09,3.5,4.45,3.0,3.0,12000.0,7000.0
TATACOMM-I580CE,2019-01-09,3.0,3.0,3.0,3.0,2000.0,8000.0
TATACOMM-I510PE,2019-01-10,12.0,12.0,12.0,12.0,1000.0,1000.0
TATACOMM-I520CE,2019-01-10,16.0,16.0,16.0,16.0,1000.0,3000.0
TATACOMM-I520PE,2019-01-10,13.5,13.5,13.5,13.5,1000.0,6000.0
TATACOMM-I530CE,2019-01-10,12.25,12.25,7.35,9.5,3000.0,3000.0
TATACOMM-I540CE,2019-01-10,9.55,9.55,5.85,8.65,7000.0,23000.0
TATACOMM-I550CE,2019-01-10,7.0,7.0,3.55,3.55,2000.0,10000.0
TATACOMM-I510CE,2019-01-11,17.6,17.6,17.6,17.6,9000.0,4000.0
TATACOMM-I510PE,2019-01-11,14.8,14.8,8.5,10.8,5000.0,4000.0
TATACOMM-I520CE,2019-01-11,14.0,14.0,14.0,14.0,1000.0,4000.0
TATACOMM-I540CE,2019-01-11,8.75,8.75,5.55,5.55,2000.0,22000.0
TATACOMM-I560CE,2019-01-11,2.8,3.05,2.7,3.05,10000.0,16000.0
TATACOMM-I530CE,2019-01-14,9.35,9.35,6.0,6.0,2000.0,3000.0
TATACOMM-I550CE,2019-01-14,5.0,5.0,5.0,5.0,1000.0,10000.0
TATACOMM-I550PE,2019-01-14,37.7,37.7,37.7,37.7,1000.0,1000.0
TATACOMM-I500PE,2019-01-15,4.9,7.8,4.9,7.8,6000.0,4000.0
TATACOMM-I510CE,2019-01-15,19.0,19.0,19.0,19.0,1000.0,13000.0
TATACOMM-I520CE,2019-01-15,12.0,12.0,12.0,12.0,1000.0,5000.0
TATACOMM-I530CE,2019-01-15,8.5,8.5,8.5,8.5,4000.0,5000.0
TATACOMM-I530PE,2019-01-15,19.9,19.9,19.9,19.9,1000.0,2000.0
TATACOMM-I540CE,2019-01-15,6.5,6.5,6.5,6.5,1000.0,21000.0
TATACOMM-I580CE,2019-01-15,1.0,1.25,1.0,1.25,4000.0,5000.0
TATACOMM-I510PE,2019-01-16,5.4,6.4,3.6,6.4,7000.0,4000.0
TATACOMM-I520PE,2019-01-16,10.75,10.75,6.5,8.6,16000.0,11000.0
TATACOMM-I530CE,2019-01-16,13.5,20.5,13.5,15.0,8000.0,5000.0
TATACOMM-I530PE,2019-01-16,12.2,12.55,9.85,11.0,6000.0,3000.0
TATACOMM-I540CE,2019-01-16,9.5,15.3,9.5,13.2,129000.0,47000.0
TATACOMM-I540PE,2019-01-16,17.0,18.5,17.0,18.5,2000.0,1000.0
TATACOMM-I550CE,2019-01-16,7.2,10.1,7.2,9.15,40000.0,21000.0
TATACOMM-I550PE,2019-01-16,24.55,24.55,24.55,24.55,2000.0,1000.0
TATACOMM-I560CE,2019-01-16,4.0,6.5,4.0,6.05,19000.0,24000.0
TATACOMM-I570CE,2019-01-16,3.75,3.75,3.75,3.75,1000.0,5000.0
TATACOMM-I580CE,2019-01-16,2.0,3.0,2.0,2.25,5000.0,6000.0
TATACOMM-I600CE,2019-01-16,0.2,1.8,0.2,1.8,2000.0,6000.0
TATACOMM-I520CE,2019-01-17,21.5,21.5,21.5,21.5,1000.0,5000.0
TATACOMM-I520PE,2019-01-17,8.0,12.0,8.0,11.0,5000.0,12000.0
TATACOMM-I530CE,2019-01-17,17.0,17.9,17.0,17.0,7000.0,9000.0
TATACOMM-I530PE,2019-01-17,13.9,13.9,13.9,13.9,1000.0,2000.0
TATACOMM-I540CE,2019-01-17,13.25,13.3,7.0,10.5,90000.0,51000.0
TATACOMM-I550CE,2019-01-17,9.25,9.25,5.9,7.9,13000.0,20000.0
TATACOMM-I560CE,2019-01-17,5.5,5.5,4.2,5.0,7000.0,23000.0
TATACOMM-I570CE,2019-01-17,2.5,2.5,2.5,2.5,1000.0,5000.0
TATACOMM-I480PE,2019-01-18,3.0,3.0,2.0,2.0,2000.0,3000.0
TATACOMM-I500PE,2019-01-18,4.9,7.0,4.9,7.0,4000.0,4000.0
TATACOMM-I520CE,2019-01-18,20.0,20.0,20.0,20.0,1000.0,6000.0
TATACOMM-I520PE,2019-01-18,6.5,14.0,6.5,14.0,7000.0,14000.0
TATACOMM-I530CE,2019-01-18,18.9,18.9,10.3,10.9,14000.0,15000.0
TATACOMM-I530PE,2019-01-18,20.4,20.4,20.4,20.4,1000.0,3000.0
TATACOMM-I540CE,2019-01-18,10.5,15.15,6.5,6.5,96000.0,54000.0
TATACOMM-I540PE,2019-01-18,14.45,25.35,12.3,25.05,7000.0,4000.0
TATACOMM-I550CE,2019-01-18,8.5,11.0,5.0,5.5,33000.0,23000.0
TATACOMM-I550PE,2019-01-18,19.95,30.95,19.95,30.95,3000.0,1000.0
TATACOMM-I560CE,2019-01-18,6.4,7.3,3.15,3.45,51000.0,44000.0
TATACOMM-I570CE,2019-01-18,2.5,2.5,2.5,2.5,1000.0,5000.0
TATACOMM-I600CE,2019-01-18,1.8,1.8,1.8,1.8,2000.0,8000.0
TATACOMM-I480PE,2019-01-21,2.0,2.0,2.0,2.0,1000.0,3000.0
TATACOMM-I520CE,2019-01-21,11.85,13.4,11.85,13.25,3000.0,7000.0
TATACOMM-I520PE,2019-01-21,13.0,13.0,12.95,12.95,3000.0,15000.0
TATACOMM-I530CE,2019-01-21,9.0,9.0,5.7,5.7,8000.0,12000.0
TATACOMM-I540CE,2019-01-21,6.0,6.6,4.15,4.35,21000.0,53000.0
TATACOMM-I540PE,2019-01-21,28.7,28.7,23.8,27.6,3000.0,2000.0
TATACOMM-I550CE,2019-01-21,3.3,3.5,2.6,2.6,22000.0,17000.0
TATACOMM-I560CE,2019-01-21,2.0,2.1,1.35,1.45,41000.0,33000.0
TATACOMM-I580CE,2019-01-21,0.35,0.8,0.35,0.8,3000.0,4000.0
TATACOMM-I490PE,2019-01-22,3.5,3.5,2.0,3.0,3000.0,2000.0
TATACOMM-I500PE,2019-01-22,6.45,6.45,5.9,5.9,2000.0,5000.0
TATACOMM-I520CE,2019-01-22,11.75,11.8,9.5,11.0,8000.0,12000.0
TATACOMM-I520PE,2019-01-22,13.0,13.0,13.0,13.0,1000.0,15000.0
TATACOMM-I530CE,2019-01-22,4.75,6.8,4.75,6.8,4000.0,12000.0
TATACOMM-I540CE,2019-01-22,3.25,4.55,3.1,4.1,14000.0,50000.0
TATACOMM-I550CE,2019-01-22,2.45,2.7,2.15,2.7,4000.0,15000.0
TATACOMM-I560CE,2019-01-22,1.3,1.5,1.3,1.5,4000.0,33000.0
TATACOMM-I570CE,2019-01-22,1.45,1.45,1.45,1.45,1000.0,6000.0
TATACOMM-I600CE,2019-01-22,0.05,0.05,0.05,0.05,1000.0,9000.0
TATACOMM-I480CE,2019-01-23,42.9,42.9,42.9,42.9,1000.0,5000.0
TATACOMM-I510CE,2019-01-23,17.25,17.25,16.0,16.0,3000.0,12000.0
TATACOMM-I520CE,2019-01-23,12.0,13.0,10.95,10.95,5000.0,10000.0
TATACOMM-I520PE,2019-01-23,10.2,10.2,10.2,10.2,1000.0,15000.0
TATACOMM-I530CE,2019-01-23,7.5,7.5,6.5,6.5,3000.0,11000.0
TATACOMM-I540CE,2019-01-23,3.75,4.0,3.75,4.0,5000.0,48000.0
TATACOMM-I550CE,2019-01-23,2.5,2.5,2.1,2.1,3000.0,16000.0
TATACOMM-I560CE,2019-01-23,1.1,1.3,1.0,1.0,5000.0,32000.0
TATACOMM-I570CE,2019-01-23,0.55,0.85,0.5,0.85,3000.0,6000.0
TATACOMM-I630PE,2019-01-23,114.0,114.0,114.0,114.0,3000.0,3000.0
TATACOMM-I500PE,2019-01-24,6.25,6.25,6.25,6.25,2000.0,5000.0
TATACOMM-I510CE,2019-01-24,18.0,18.0,17.0,17.0,2000.0,14000.0
TATACOMM-I510PE,2019-01-24,5.0,7.15,4.1,7.15,3000.0,3000.0
TATACOMM-I520CE,2019-01-24,12.95,13.0,10.0,12.5,9000.0,11000.0
TATACOMM-I520PE,2019-01-24,8.5,8.5,8.5,8.5,1000.0,15000.0
TATACOMM-I530CE,2019-01-24,7.5,8.5,6.5,7.7,23000.0,11000.0
TATACOMM-I530PE,2019-01-24,12.3,12.3,12.3,12.3,1000.0,2000.0
TATACOMM-I540CE,2019-01-24,4.0,4.95,3.45,4.65,20000.0,39000.0
TATACOMM-I550CE,2019-01-24,2.0,2.0,2.0,2.0,3000.0,13000.0
TATACOMM-I560CE,2019-01-24,1.0,1.25,1.0,1.25,6000.0,28000.0
TATACOMM-I490CE,2019-01-25,11.05,13.25,11.05,13.25,4000.0,2000.0
TATACOMM-I490PE,2019-01-25,12.0,14.0,10.2,11.2,5000.0,3000.0
TATACOMM-I500CE,2019-01-25,10.5,12.0,8.0,10.5,28000.0,15000.0
TATACOMM-I500PE,2019-01-25,12.0,18.1,12.0,18.1,4000.0,7000.0
TATACOMM-I510CE,2019-01-25,6.4,8.9,5.65,7.0,19000.0,14000.0
TATACOMM-I520CE,2019-01-25,10.0,10.0,3.5,4.3,29000.0,15000.0
TATACOMM-I520PE,2019-01-25,17.95,17.95,17.95,17.95,1000.0,14000.0
TATACOMM-I530CE,2019-01-25,6.5,6.5,2.25,2.75,34000.0,14000.0
TATACOMM-I530PE,2019-01-25,33.8,33.8,33.8,33.8,1000.0,1000.0
TATACOMM-I540CE,2019-01-25,3.55,3.55,1.3,1.3,18000.0,35000.0
TATACOMM-I540PE,2019-01-25,32.85,32.85,32.85,32.85,1000.0,3000.0
TATACOMM-I550CE,2019-01-25,1.45,1.5,0.85,0.85,11000.0,15000.0
TATACOMM-I560CE,2019-01-25,0.6,0.85,0.5,0.5,7000.0,28000.0
TATACOMM-I570CE,2019-01-25,0.95,0.95,0.95,0.95,1000.0,5000.0
TATACOMM-I600CE,2019-01-25,0.1,0.1,0.1,0.1,1000.0,9000.0
TATACOMM-I480PE,2019-01-28,13.05,13.05,5.0,5.0,3000.0,4000.0
TATACOMM-I490PE,2019-01-28,11.2,11.2,5.0,5.0,6000.0,3000.0
TATACOMM-I500CE,2019-01-28,8.0,19.75,8.0,12.0,19000.0,24000.0
TATACOMM-I500PE,2019-01-28,15.2,16.0,5.0,5.0,32000.0,12000.0
TATACOMM-I510CE,2019-01-28,5.0,8.15,5.0,6.0,27000.0,21000.0
TATACOMM-I520CE,2019-01-28,4.0,4.3,2.25,2.25,18000.0,16000.0
TATACOMM-I530CE,2019-01-28,2.65,2.65,2.55,2.55,2000.0,14000.0
TATACOMM-I500CE,2019-01-29,5.5,5.5,5.05,5.05,2000.0,21000.0
TATACOMM-I500PE,2019-01-29,8.4,8.4,8.4,8.4,2000.0,10000.0
TATACOMM-I510CE,2019-01-29,5.85,5.85,3.0,3.0,4000.0,20000.0
