Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TATACONSUM-I250CE,2020-02-27,114.0,114.5,114.0,114.5,5400.0,2700.0
TATACONSUM-I270CE,2020-02-27,94.0,94.0,94.0,94.0,8100.0,8100.0
TATACONSUM-I300CE,2020-02-27,62.3,63.45,62.3,63.45,5400.0,5400.0
TATACONSUM-I310CE,2020-02-27,54.0,55.0,53.1,53.1,8100.0,5400.0
TATACONSUM-I320CE,2020-02-27,43.0,43.0,43.0,43.0,2700.0,24300.0
TATACONSUM-I320PE,2020-02-27,0.05,0.05,0.05,0.05,2700.0,16200.0
TATACONSUM-I330PE,2020-02-27,0.05,0.05,0.05,0.05,2700.0,21600.0
TATACONSUM-I340CE,2020-02-27,22.0,22.0,22.0,22.0,2700.0,13500.0
TATACONSUM-I340PE,2020-02-27,0.05,0.1,0.05,0.05,40500.0,91800.0
TATACONSUM-I345CE,2020-02-27,20.0,20.0,20.0,20.0,2700.0,2700.0
TATACONSUM-I345PE,2020-02-27,0.5,0.5,0.5,0.5,2700.0,5400.0
TATACONSUM-I350CE,2020-02-27,12.75,12.75,12.75,12.75,2700.0,40500.0
TATACONSUM-I350PE,2020-02-27,0.15,0.15,0.05,0.05,45900.0,191700.0
TATACONSUM-I355PE,2020-02-27,0.05,0.3,0.05,0.05,35100.0,48600.0
TATACONSUM-I360CE,2020-02-27,3.7,3.7,2.7,3.0,32400.0,45900.0
TATACONSUM-I360PE,2020-02-27,1.0,1.85,0.05,0.05,334800.0,175500.0
TATACONSUM-I365CE,2020-02-27,1.0,2.75,0.05,0.05,261900.0,70200.0
TATACONSUM-I365PE,2020-02-27,3.75,4.5,1.8,2.4,167400.0,37800.0
TATACONSUM-I370CE,2020-02-27,0.4,0.5,0.05,0.05,699300.0,286200.0
TATACONSUM-I370PE,2020-02-27,6.0,9.45,5.6,7.0,391500.0,113400.0
TATACONSUM-I375CE,2020-02-27,0.2,0.2,0.05,0.05,329400.0,164700.0
TATACONSUM-I375PE,2020-02-27,11.0,14.15,10.0,13.0,226800.0,83700.0
TATACONSUM-I380CE,2020-02-27,0.15,0.15,0.05,0.05,491400.0,486000.0
TATACONSUM-I380PE,2020-02-27,16.9,19.3,15.0,15.0,172800.0,256500.0
TATACONSUM-I385CE,2020-02-27,0.1,0.1,0.05,0.05,135000.0,207900.0
TATACONSUM-I385PE,2020-02-27,22.55,25.0,21.0,21.5,51300.0,72900.0
TATACONSUM-I390CE,2020-02-27,0.05,0.1,0.05,0.05,407700.0,507600.0
TATACONSUM-I390PE,2020-02-27,27.8,29.9,25.9,27.2,245700.0,210600.0
TATACONSUM-I395CE,2020-02-27,0.05,0.05,0.05,0.05,27000.0,178200.0
TATACONSUM-I395PE,2020-02-27,31.25,34.4,31.25,32.0,10800.0,99900.0
TATACONSUM-I400CE,2020-02-27,0.05,0.1,0.05,0.05,413100.0,1277100.0
TATACONSUM-I400PE,2020-02-27,40.0,40.0,35.5,36.5,213300.0,202500.0
TATACONSUM-I405CE,2020-02-27,0.05,0.05,0.05,0.05,10800.0,275400.0
TATACONSUM-I410CE,2020-02-27,0.05,0.1,0.05,0.05,86400.0,1058400.0
TATACONSUM-I410PE,2020-02-27,48.0,48.0,48.0,48.0,2700.0,35100.0
TATACONSUM-I420CE,2020-02-27,0.05,0.05,0.05,0.05,18900.0,475200.0
TATACONSUM-I420PE,2020-02-27,56.0,56.0,56.0,56.0,2700.0,10800.0
TATACONSUM-I430CE,2020-02-27,0.05,0.05,0.05,0.05,5400.0,162000.0
TATACONSUM-I430PE,2020-02-27,68.0,68.0,68.0,68.0,2700.0,5400.0
TATACONSUM-I435CE,2020-02-27,0.05,0.05,0.05,0.05,10800.0,56700.0
TATACONSUM-I440CE,2020-02-27,0.05,0.05,0.05,0.05,5400.0,467100.0
TATACONSUM-I230CE,2020-02-28,118.0,118.0,118.0,118.0,2700.0,27000.0
TATACONSUM-I300CE,2020-02-28,45.0,45.0,45.0,45.0,2700.0,0.0
TATACONSUM-I310CE,2020-02-28,38.0,38.0,38.0,38.0,2700.0,8100.0
TATACONSUM-I310PE,2020-02-28,2.9,3.0,1.75,2.25,248400.0,105300.0
TATACONSUM-I320PE,2020-02-28,3.4,4.55,3.0,4.15,62100.0,32400.0
TATACONSUM-I330CE,2020-02-28,24.5,24.5,24.2,24.5,24300.0,13500.0
TATACONSUM-I330PE,2020-02-28,4.0,7.65,4.0,6.05,432000.0,164700.0
TATACONSUM-I335PE,2020-02-28,9.0,9.0,6.65,6.65,10800.0,5400.0
TATACONSUM-I340CE,2020-02-28,16.25,17.0,16.15,17.0,18900.0,18900.0
TATACONSUM-I340PE,2020-02-28,4.85,11.35,4.85,9.0,329400.0,175500.0
