Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TATAELXSI-I900PE,2019-01-01,12.65,12.65,7.9,8.0,2400.0,9200.0
TATAELXSI-I920PE,2019-01-01,9.5,13.35,9.5,13.35,800.0,10400.0
TATAELXSI-I940PE,2019-01-01,13.5,14.0,13.5,13.6,1200.0,11600.0
TATAELXSI-I960PE,2019-01-01,21.05,21.05,18.0,19.3,8000.0,24400.0
TATAELXSI-I980PE,2019-01-01,26.0,26.0,26.0,26.0,800.0,10000.0
TATAELXSI-I1000CE,2019-01-01,60.65,70.0,60.65,68.0,10800.0,16800.0
TATAELXSI-I1000PE,2019-01-01,32.75,33.6,30.25,30.95,12000.0,23200.0
TATAELXSI-I1020CE,2019-01-01,50.65,57.25,49.0,53.05,34400.0,18000.0
TATAELXSI-I1020PE,2019-01-01,41.05,42.0,37.7,41.0,9200.0,6000.0
TATAELXSI-I1040CE,2019-01-01,40.05,47.65,39.3,43.6,87600.0,37200.0
TATAELXSI-I1040PE,2019-01-01,49.6,50.15,49.0,49.0,2800.0,2000.0
TATAELXSI-I1060CE,2019-01-01,32.25,38.5,32.0,34.5,36400.0,39200.0
TATAELXSI-I1060PE,2019-01-01,61.0,61.0,61.0,61.0,800.0,800.0
TATAELXSI-I1080CE,2019-01-01,25.0,30.75,24.85,27.85,18000.0,16000.0
TATAELXSI-I1100CE,2019-01-01,20.1,24.65,19.9,22.35,51600.0,48400.0
TATAELXSI-I1100PE,2019-01-01,87.0,87.0,83.75,83.75,800.0,9200.0
TATAELXSI-I1120CE,2019-01-01,18.35,19.25,18.35,18.55,1600.0,1600.0
TATAELXSI-I1140CE,2019-01-01,13.0,15.1,13.0,13.0,12800.0,8000.0
TATAELXSI-I1160CE,2019-01-01,10.0,10.0,10.0,10.0,800.0,1200.0
TATAELXSI-I1200CE,2019-01-01,5.65,6.9,4.25,5.8,10800.0,32000.0
TATAELXSI-I1240CE,2019-01-01,2.25,2.95,2.25,2.95,800.0,400.0
TATAELXSI-I880PE,2019-01-02,4.6,4.6,4.6,4.6,400.0,400.0
TATAELXSI-I900PE,2019-01-02,6.75,7.85,6.5,7.0,4400.0,11600.0
TATAELXSI-I920PE,2019-01-02,10.0,10.0,9.05,9.05,1600.0,11600.0
TATAELXSI-I940PE,2019-01-02,13.2,15.0,13.2,15.0,2400.0,12400.0
TATAELXSI-I960PE,2019-01-02,19.0,21.6,16.5,20.2,19600.0,34000.0
TATAELXSI-I980CE,2019-01-02,75.35,75.35,72.35,72.35,1200.0,1200.0
