Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TATAMTRDVR.EQ-NSE,2019-01-01,92.75,93.4,91.9,93.25,1365914.0
TATAMTRDVR.EQ-NSE,2019-01-02,92.0,92.35,90.05,90.25,2555741.0
TATAMTRDVR.EQ-NSE,2019-01-03,90.8,91.0,88.6,88.85,1523000.0
TATAMTRDVR.EQ-NSE,2019-01-04,90.7,92.2,90.25,91.65,3078746.0
TATAMTRDVR.EQ-NSE,2019-01-07,92.65,95.35,92.3,93.95,3781889.0
TATAMTRDVR.EQ-NSE,2019-01-08,94.25,96.3,94.05,95.9,3036795.0
TATAMTRDVR.EQ-NSE,2019-01-09,96.7,97.35,95.5,97.0,3809361.0
TATAMTRDVR.EQ-NSE,2019-01-10,97.15,98.5,96.95,97.8,3305155.0
TATAMTRDVR.EQ-NSE,2019-01-11,98.6,98.8,95.05,95.75,3917723.0
TATAMTRDVR.EQ-NSE,2019-01-14,95.5,96.95,94.15,96.4,1968565.0
TATAMTRDVR.EQ-NSE,2019-01-15,96.8,98.8,95.65,98.25,2021575.0
TATAMTRDVR.EQ-NSE,2019-01-16,99.0,99.9,97.85,98.65,2936510.0
TATAMTRDVR.EQ-NSE,2019-01-17,99.0,99.6,96.8,98.0,1378473.0
TATAMTRDVR.EQ-NSE,2019-01-18,98.05,98.55,96.1,97.0,1155988.0
TATAMTRDVR.EQ-NSE,2019-01-21,97.4,97.7,95.5,96.0,1372919.0
TATAMTRDVR.EQ-NSE,2019-01-22,96.05,96.05,93.4,95.2,2707413.0
TATAMTRDVR.EQ-NSE,2019-01-23,95.9,96.55,95.0,95.15,2883570.0
TATAMTRDVR.EQ-NSE,2019-01-24,95.5,95.65,91.8,92.7,2735273.0
TATAMTRDVR.EQ-NSE,2019-01-25,93.0,93.85,90.05,90.3,3225807.0
TATAMTRDVR.EQ-NSE,2019-01-28,90.7,91.4,87.4,88.9,2439205.0
TATAMTRDVR.EQ-NSE,2019-01-29,88.9,90.8,88.55,90.45,1412840.0
TATAMTRDVR.EQ-NSE,2019-01-30,90.25,91.75,89.7,90.8,2005890.0
TATAMTRDVR.EQ-NSE,2019-01-31,90.75,94.5,90.75,92.75,3664217.0
TATAMTRDVR.EQ-NSE,2019-02-01,94.05,95.95,92.95,94.1,2289257.0
TATAMTRDVR.EQ-NSE,2019-02-04,93.0,94.7,92.25,93.45,2009769.0
TATAMTRDVR.EQ-NSE,2019-02-05,93.35,93.85,90.05,91.0,2025048.0
TATAMTRDVR.EQ-NSE,2019-02-06,90.7,92.5,88.75,92.3,1482516.0
TATAMTRDVR.EQ-NSE,2019-02-07,92.5,95.3,92.5,94.5,1822093.0
TATAMTRDVR.EQ-NSE,2019-02-08,81.0,82.3,71.0,80.75,17791406.0
TATAMTRDVR.EQ-NSE,2019-02-11,79.65,81.8,78.65,81.0,3759208.0
TATAMTRDVR.EQ-NSE,2019-02-12,81.2,81.6,80.0,80.25,1963254.0
TATAMTRDVR.EQ-NSE,2019-02-13,80.7,81.6,80.0,80.4,2924576.0
TATAMTRDVR.EQ-NSE,2019-02-14,80.35,84.85,80.25,83.95,3103086.0
TATAMTRDVR.EQ-NSE,2019-02-15,84.4,84.5,80.7,84.2,2996409.0
TATAMTRDVR.EQ-NSE,2019-02-18,84.0,84.8,83.0,84.3,1582247.0
TATAMTRDVR.EQ-NSE,2019-02-19,84.8,86.15,83.95,85.4,1657786.0
TATAMTRDVR.EQ-NSE,2019-02-20,85.8,86.45,85.1,85.8,865140.0
TATAMTRDVR.EQ-NSE,2019-02-21,86.1,88.4,85.6,88.15,2885270.0
TATAMTRDVR.EQ-NSE,2019-02-22,87.65,89.6,86.7,89.55,3305657.0
TATAMTRDVR.EQ-NSE,2019-02-25,89.9,90.65,88.6,89.8,2568458.0
TATAMTRDVR.EQ-NSE,2019-02-26,87.5,91.6,87.5,90.85,5050684.0
TATAMTRDVR.EQ-NSE,2019-02-27,91.2,91.75,87.5,88.1,3508353.0
TATAMTRDVR.EQ-NSE,2019-02-28,88.7,89.5,86.85,87.5,7755917.0
TATAMTRDVR.EQ-NSE,2019-03-01,89.45,90.7,87.8,90.0,8576361.0
TATAMTRDVR.EQ-NSE,2019-03-05,92.0,97.6,91.0,95.5,12962211.0
TATAMTRDVR.EQ-NSE,2019-03-06,96.3,96.65,93.9,94.35,3395504.0
TATAMTRDVR.EQ-NSE,2019-03-07,96.05,97.5,93.55,95.0,5590856.0
TATAMTRDVR.EQ-NSE,2019-03-08,93.4,93.95,90.7,91.25,4407599.0
TATAMTRDVR.EQ-NSE,2019-03-11,92.35,93.2,91.75,92.7,2111416.0
TATAMTRDVR.EQ-NSE,2019-03-12,93.8,94.3,92.45,93.1,2438963.0
TATAMTRDVR.EQ-NSE,2019-03-13,92.9,93.3,90.8,91.0,1820942.0
TATAMTRDVR.EQ-NSE,2019-03-14,90.9,91.45,89.5,90.05,2160135.0
TATAMTRDVR.EQ-NSE,2019-03-15,90.7,90.95,88.25,89.5,4343182.0
TATAMTRDVR.EQ-NSE,2019-03-18,89.75,91.8,89.55,90.55,2673716.0
TATAMTRDVR.EQ-NSE,2019-03-19,90.85,91.2,89.55,90.2,2622304.0
TATAMTRDVR.EQ-NSE,2019-03-20,90.3,90.75,88.3,89.4,2119741.0
TATAMTRDVR.EQ-NSE,2019-03-22,90.2,90.2,86.5,86.8,2289638.0
TATAMTRDVR.EQ-NSE,2019-03-25,86.05,86.2,85.0,85.2,1379691.0
TATAMTRDVR.EQ-NSE,2019-03-26,85.9,86.45,85.05,86.4,1394768.0
TATAMTRDVR.EQ-NSE,2019-03-27,86.7,86.7,84.6,85.1,2236605.0
TATAMTRDVR.EQ-NSE,2019-03-28,85.1,85.5,83.95,85.1,3969928.0
TATAMTRDVR.EQ-NSE,2019-03-29,85.2,87.2,84.95,85.5,2697081.0
TATAMTRDVR.EQ-NSE,2019-04-01,86.5,93.4,86.4,92.25,7695211.0
TATAMTRDVR.EQ-NSE,2019-04-02,92.4,99.0,91.45,98.2,14336707.0
TATAMTRDVR.EQ-NSE,2019-04-03,98.9,100.15,96.1,96.8,8578758.0
TATAMTRDVR.EQ-NSE,2019-04-04,96.8,98.25,96.6,98.05,8973050.0
TATAMTRDVR.EQ-NSE,2019-04-05,98.25,99.95,97.25,98.25,4757056.0
TATAMTRDVR.EQ-NSE,2019-04-08,98.9,98.9,95.55,96.95,2400115.0
TATAMTRDVR.EQ-NSE,2019-04-09,95.85,100.0,94.8,99.9,3616559.0
TATAMTRDVR.EQ-NSE,2019-04-10,99.4,103.5,99.15,102.0,11619590.0
TATAMTRDVR.EQ-NSE,2019-04-11,102.8,104.15,101.8,103.6,4787646.0
TATAMTRDVR.EQ-NSE,2019-04-12,103.45,104.3,101.7,103.6,3495808.0
TATAMTRDVR.EQ-NSE,2019-04-15,104.25,111.85,104.15,111.6,9405604.0
TATAMTRDVR.EQ-NSE,2019-04-16,112.25,112.75,109.25,111.15,5615596.0
TATAMTRDVR.EQ-NSE,2019-04-18,112.15,116.25,111.5,113.35,9554534.0
TATAMTRDVR.EQ-NSE,2019-04-22,113.05,115.1,111.75,113.6,3907842.0
TATAMTRDVR.EQ-NSE,2019-04-23,113.85,113.9,111.2,111.9,3407617.0
TATAMTRDVR.EQ-NSE,2019-04-24,111.8,112.75,104.55,108.6,7583108.0
TATAMTRDVR.EQ-NSE,2019-04-25,108.7,109.75,106.9,107.05,2373853.0
TATAMTRDVR.EQ-NSE,2019-04-26,106.95,107.75,103.25,103.45,3433967.0
TATAMTRDVR.EQ-NSE,2019-04-30,103.4,104.75,100.9,102.1,2148645.0
TATAMTRDVR.EQ-NSE,2019-05-02,100.9,101.7,98.75,99.05,2812308.0
TATAMTRDVR.EQ-NSE,2019-05-03,97.6,103.1,97.5,100.3,4471598.0
TATAMTRDVR.EQ-NSE,2019-05-06,97.9,98.65,95.0,95.7,3592842.0
TATAMTRDVR.EQ-NSE,2019-05-07,96.5,97.25,90.8,91.0,3504894.0
TATAMTRDVR.EQ-NSE,2019-05-08,90.5,91.35,88.3,88.6,3210087.0
TATAMTRDVR.EQ-NSE,2019-05-09,88.15,90.3,87.2,88.65,3554335.0
TATAMTRDVR.EQ-NSE,2019-05-10,88.9,90.4,87.95,89.0,4044479.0
TATAMTRDVR.EQ-NSE,2019-05-13,88.95,89.35,84.75,85.25,2717743.0
TATAMTRDVR.EQ-NSE,2019-05-14,83.85,87.15,83.3,86.65,3708056.0
TATAMTRDVR.EQ-NSE,2019-05-15,86.85,87.1,80.4,81.2,4219216.0
TATAMTRDVR.EQ-NSE,2019-05-16,83.45,84.25,81.7,82.85,3695966.0
TATAMTRDVR.EQ-NSE,2019-05-17,82.65,83.5,80.75,83.2,1906862.0
TATAMTRDVR.EQ-NSE,2019-05-20,87.4,89.7,84.0,88.3,5267681.0
TATAMTRDVR.EQ-NSE,2019-05-21,87.1,88.8,82.3,83.45,8270811.0
TATAMTRDVR.EQ-NSE,2019-05-22,83.55,85.95,82.95,85.5,2998473.0
TATAMTRDVR.EQ-NSE,2019-05-23,87.0,87.1,84.05,84.9,4880338.0
TATAMTRDVR.EQ-NSE,2019-05-24,85.9,87.25,84.6,87.1,3384901.0
TATAMTRDVR.EQ-NSE,2019-05-27,87.0,87.95,86.3,87.15,1927346.0
TATAMTRDVR.EQ-NSE,2019-05-28,87.35,89.35,87.05,87.75,2838161.0
TATAMTRDVR.EQ-NSE,2019-05-29,87.4,87.4,84.7,85.5,2632473.0
TATAMTRDVR.EQ-NSE,2019-05-30,85.7,86.15,84.05,84.75,2840388.0
TATAMTRDVR.EQ-NSE,2019-05-31,85.3,86.1,82.85,84.3,2501453.0
TATAMTRDVR.EQ-NSE,2019-06-03,82.85,85.4,81.65,85.25,2829371.0
TATAMTRDVR.EQ-NSE,2019-06-04,84.45,86.65,84.25,85.4,2938110.0
