Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TATAPOWER.EQ-NSE,2019-01-01,77.0,77.25,76.3,76.75,2148576.0
TATAPOWER.EQ-NSE,2019-01-02,76.75,76.95,74.4,74.5,2496501.0
TATAPOWER.EQ-NSE,2019-01-03,76.1,76.25,73.85,74.15,4515886.0
TATAPOWER.EQ-NSE,2019-01-04,74.3,75.55,73.7,75.1,3156250.0
TATAPOWER.EQ-NSE,2019-01-07,75.35,75.75,74.25,74.8,1684953.0
TATAPOWER.EQ-NSE,2019-01-08,74.85,75.5,74.55,75.0,1680418.0
TATAPOWER.EQ-NSE,2019-01-09,75.15,75.5,73.85,74.25,2000536.0
TATAPOWER.EQ-NSE,2019-01-10,74.25,75.1,73.9,74.9,1699944.0
TATAPOWER.EQ-NSE,2019-01-11,75.15,75.25,73.8,75.1,3209123.0
TATAPOWER.EQ-NSE,2019-01-14,74.7,74.9,73.7,74.2,3699275.0
TATAPOWER.EQ-NSE,2019-01-15,74.6,75.25,74.15,75.25,3097634.0
TATAPOWER.EQ-NSE,2019-01-16,74.9,76.95,74.5,76.25,4217542.0
TATAPOWER.EQ-NSE,2019-01-17,76.35,76.95,74.95,76.0,4489977.0
TATAPOWER.EQ-NSE,2019-01-18,75.9,76.45,75.15,76.3,4000823.0
TATAPOWER.EQ-NSE,2019-01-21,75.85,77.2,75.45,75.65,5184068.0
TATAPOWER.EQ-NSE,2019-01-22,75.95,77.5,74.9,76.75,4046522.0
TATAPOWER.EQ-NSE,2019-01-23,77.0,77.95,74.85,74.9,5378184.0
TATAPOWER.EQ-NSE,2019-01-24,75.25,75.75,74.3,74.6,3693471.0
TATAPOWER.EQ-NSE,2019-01-25,74.85,75.3,73.45,73.65,3721782.0
TATAPOWER.EQ-NSE,2019-01-28,73.65,73.7,69.65,70.0,5752932.0
TATAPOWER.EQ-NSE,2019-01-29,68.55,72.4,68.55,70.85,12508873.0
TATAPOWER.EQ-NSE,2019-01-30,71.35,71.5,67.9,68.25,4841964.0
TATAPOWER.EQ-NSE,2019-01-31,68.6,72.0,67.9,71.2,7434000.0
TATAPOWER.EQ-NSE,2019-02-01,71.15,72.3,70.25,71.5,3338865.0
TATAPOWER.EQ-NSE,2019-02-04,70.95,71.15,69.55,70.75,3026092.0
TATAPOWER.EQ-NSE,2019-02-05,70.45,71.75,69.25,69.45,2913712.0
TATAPOWER.EQ-NSE,2019-02-06,69.75,70.9,68.4,70.65,3060102.0
TATAPOWER.EQ-NSE,2019-02-07,70.1,71.4,69.15,69.5,3527705.0
TATAPOWER.EQ-NSE,2019-02-08,69.05,70.35,68.05,68.25,2107739.0
TATAPOWER.EQ-NSE,2019-02-11,68.2,68.45,65.15,66.1,7037156.0
TATAPOWER.EQ-NSE,2019-02-12,66.0,67.25,65.5,66.5,4207893.0
TATAPOWER.EQ-NSE,2019-02-13,66.7,68.15,64.6,64.75,4466733.0
TATAPOWER.EQ-NSE,2019-02-14,65.5,67.85,65.1,67.3,6784930.0
TATAPOWER.EQ-NSE,2019-02-15,67.5,70.2,66.45,69.0,11097086.0
TATAPOWER.EQ-NSE,2019-02-18,69.5,69.5,65.05,65.5,6707606.0
TATAPOWER.EQ-NSE,2019-02-19,65.7,67.15,65.65,66.0,2880073.0
TATAPOWER.EQ-NSE,2019-02-20,66.6,67.95,65.8,67.7,5944770.0
TATAPOWER.EQ-NSE,2019-02-21,67.5,68.15,66.85,67.4,3271496.0
TATAPOWER.EQ-NSE,2019-02-22,67.45,67.95,66.75,67.0,3074388.0
TATAPOWER.EQ-NSE,2019-02-25,67.35,67.45,66.4,66.65,3145992.0
TATAPOWER.EQ-NSE,2019-02-26,65.95,67.15,64.05,66.55,10540097.0
TATAPOWER.EQ-NSE,2019-02-27,66.7,67.95,65.15,65.35,4715151.0
TATAPOWER.EQ-NSE,2019-02-28,65.85,66.25,65.1,65.55,9659927.0
TATAPOWER.EQ-NSE,2019-03-01,65.9,67.75,65.6,67.2,10992452.0
TATAPOWER.EQ-NSE,2019-03-05,67.45,69.65,67.2,69.15,13302849.0
TATAPOWER.EQ-NSE,2019-03-06,69.6,72.15,69.2,71.6,11027835.0
TATAPOWER.EQ-NSE,2019-03-07,73.1,73.95,70.35,70.6,12478960.0
TATAPOWER.EQ-NSE,2019-03-08,70.25,70.75,68.85,70.35,6190736.0
TATAPOWER.EQ-NSE,2019-03-11,70.7,72.1,70.3,71.8,5282138.0
TATAPOWER.EQ-NSE,2019-03-12,72.0,74.0,71.95,73.2,8897353.0
TATAPOWER.EQ-NSE,2019-03-13,72.9,74.45,72.15,74.15,7399729.0
TATAPOWER.EQ-NSE,2019-03-14,74.0,74.0,72.75,73.0,3954027.0
TATAPOWER.EQ-NSE,2019-03-15,72.9,74.75,72.8,73.65,7746633.0
TATAPOWER.EQ-NSE,2019-03-18,74.2,74.7,72.7,73.0,5288340.0
TATAPOWER.EQ-NSE,2019-03-19,73.25,74.3,72.7,73.0,5556821.0
TATAPOWER.EQ-NSE,2019-03-20,73.25,73.85,71.7,72.1,5046962.0
TATAPOWER.EQ-NSE,2019-03-22,72.6,73.8,72.0,72.25,3894574.0
TATAPOWER.EQ-NSE,2019-03-25,72.25,73.15,70.55,72.1,4307058.0
TATAPOWER.EQ-NSE,2019-03-26,72.4,73.0,70.85,71.5,3785898.0
TATAPOWER.EQ-NSE,2019-03-27,71.5,72.9,71.1,71.3,4803935.0
TATAPOWER.EQ-NSE,2019-03-28,71.95,72.65,71.1,71.5,9250045.0
TATAPOWER.EQ-NSE,2019-03-29,72.1,74.55,72.0,73.65,9461636.0
TATAPOWER.EQ-NSE,2019-04-01,74.2,76.0,73.7,74.4,7254998.0
TATAPOWER.EQ-NSE,2019-04-02,75.5,77.0,73.1,74.3,12932889.0
TATAPOWER.EQ-NSE,2019-04-03,74.45,74.5,71.05,71.3,6386186.0
TATAPOWER.EQ-NSE,2019-04-04,71.5,72.4,70.25,70.75,6404665.0
TATAPOWER.EQ-NSE,2019-04-05,71.0,72.7,70.5,72.45,7783081.0
TATAPOWER.EQ-NSE,2019-04-08,73.1,73.55,70.75,71.8,8476977.0
TATAPOWER.EQ-NSE,2019-04-09,71.75,73.0,70.75,72.95,7576511.0
TATAPOWER.EQ-NSE,2019-04-10,72.5,73.2,70.6,71.15,6350104.0
TATAPOWER.EQ-NSE,2019-04-11,71.35,73.15,70.6,73.15,9367955.0
TATAPOWER.EQ-NSE,2019-04-12,73.1,74.6,71.9,72.8,11584932.0
TATAPOWER.EQ-NSE,2019-04-15,73.2,73.2,71.2,71.35,11103078.0
TATAPOWER.EQ-NSE,2019-04-16,71.6,71.95,71.1,71.4,8559241.0
TATAPOWER.EQ-NSE,2019-04-18,71.65,71.75,70.0,70.5,7259509.0
TATAPOWER.EQ-NSE,2019-04-22,70.0,70.2,69.0,69.2,7716282.0
TATAPOWER.EQ-NSE,2019-04-23,69.5,69.7,68.1,68.2,4131466.0
TATAPOWER.EQ-NSE,2019-04-24,68.35,68.5,67.5,67.65,7317997.0
