Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TECHM-I640PE,2019-01-01,2.9,2.9,2.9,2.9,1200.0,40800.0
TECHM-I660PE,2019-01-01,6.0,6.0,5.05,5.15,50400.0,61200.0
TECHM-I680CE,2019-01-01,48.75,48.75,48.75,48.75,1200.0,10800.0
TECHM-I680PE,2019-01-01,9.5,10.4,8.6,8.7,91200.0,66000.0
TECHM-I700CE,2019-01-01,37.65,38.7,35.1,37.35,33600.0,39600.0
TECHM-I700PE,2019-01-01,15.9,16.9,14.25,14.35,98400.0,92400.0
TECHM-I720CE,2019-01-01,25.55,27.2,24.1,27.2,84000.0,81600.0
TECHM-I720PE,2019-01-01,24.2,26.0,22.0,22.5,22800.0,44400.0
TECHM-I740CE,2019-01-01,18.5,18.5,15.6,18.1,140400.0,158400.0
TECHM-I740PE,2019-01-01,35.2,35.2,35.2,35.2,1200.0,18000.0
TECHM-I760CE,2019-01-01,11.0,11.6,9.9,11.6,142800.0,120000.0
TECHM-I780CE,2019-01-01,6.0,7.15,6.0,7.15,51600.0,67200.0
TECHM-I800CE,2019-01-01,4.0,4.0,3.6,4.0,10800.0,44400.0
TECHM-I620PE,2019-01-02,1.0,1.0,1.0,1.0,1200.0,3600.0
TECHM-I640PE,2019-01-02,2.45,3.25,2.45,3.25,2400.0,39600.0
TECHM-I660CE,2019-01-02,66.5,66.5,66.5,66.5,1200.0,12000.0
TECHM-I660PE,2019-01-02,5.0,6.3,4.5,5.65,56400.0,69600.0
TECHM-I680PE,2019-01-02,8.1,11.0,7.6,10.0,241200.0,122400.0
TECHM-I700CE,2019-01-02,41.5,42.5,31.15,34.65,48000.0,48000.0
TECHM-I700PE,2019-01-02,13.25,18.25,12.5,17.05,393600.0,102000.0
TECHM-I720CE,2019-01-02,27.3,31.6,20.25,23.5,272400.0,116400.0
TECHM-I720PE,2019-01-02,21.0,28.35,19.2,27.8,267600.0,52800.0
TECHM-I740CE,2019-01-02,18.1,22.0,13.7,15.45,846000.0,211200.0
TECHM-I740PE,2019-01-02,31.0,39.0,31.0,39.0,9600.0,19200.0
TECHM-I760CE,2019-01-02,12.05,14.45,8.45,9.8,369600.0,138000.0
TECHM-I780CE,2019-01-02,7.75,9.05,5.5,6.7,202800.0,68400.0
TECHM-I800CE,2019-01-02,5.25,5.35,3.25,3.85,49200.0,49200.0
TECHM-I820CE,2019-01-02,3.1,3.1,2.0,2.0,24000.0,56400.0
TECHM-I840CE,2019-01-02,1.5,1.5,1.5,1.5,1200.0,4800.0
TECHM-I900PE,2019-01-02,181.5,181.5,181.5,181.5,2400.0,0.0
TECHM-I620CE,2019-01-03,95.55,95.55,95.55,95.55,1200.0,0.0
TECHM-I620PE,2019-01-03,2.2,3.0,2.2,3.0,2400.0,6000.0
TECHM-I640CE,2019-01-03,71.0,71.0,71.0,71.0,1200.0,0.0
TECHM-I640PE,2019-01-03,3.7,6.05,3.3,5.05,67200.0,52800.0
TECHM-I660PE,2019-01-03,6.55,10.75,5.75,8.95,168000.0,75600.0
TECHM-I680CE,2019-01-03,42.8,42.8,29.0,31.05,12000.0,16800.0
TECHM-I680PE,2019-01-03,12.0,18.25,10.65,15.5,417600.0,286800.0
TECHM-I700CE,2019-01-03,33.0,33.0,19.45,23.0,229200.0,160800.0
TECHM-I700PE,2019-01-03,18.6,29.3,18.05,25.0,290400.0,153600.0
TECHM-I720CE,2019-01-03,23.1,23.1,12.5,15.35,518400.0,253200.0
TECHM-I720PE,2019-01-03,29.0,41.65,28.5,39.25,36000.0,55200.0
TECHM-I740CE,2019-01-03,16.3,16.3,7.75,9.6,607200.0,344400.0
TECHM-I760CE,2019-01-03,10.0,10.0,5.0,6.0,186000.0,159600.0
TECHM-I780CE,2019-01-03,14.95,14.95,3.1,3.5,97200.0,81600.0
TECHM-I800CE,2019-01-03,4.0,4.0,2.0,2.4,30000.0,56400.0
TECHM-I820CE,2019-01-03,1.6,1.6,0.9,1.6,12000.0,46800.0
TECHM-I840CE,2019-01-03,1.0,1.0,1.0,1.0,1200.0,6000.0
TECHM-I580PE,2019-01-04,1.35,1.35,1.25,1.25,6000.0,2400.0
TECHM-I600PE,2019-01-04,2.95,2.95,1.45,1.45,16800.0,19200.0
TECHM-I620PE,2019-01-04,2.2,5.05,2.2,3.45,229200.0,136800.0
TECHM-I640PE,2019-01-04,5.4,8.65,5.0,5.7,346800.0,136800.0
TECHM-I660CE,2019-01-04,40.65,41.1,31.45,37.0,18000.0,13200.0
TECHM-I660PE,2019-01-04,8.45,14.9,8.45,10.5,878400.0,132000.0
TECHM-I680CE,2019-01-04,29.85,29.85,21.0,24.3,266400.0,110400.0
TECHM-I680PE,2019-01-04,15.45,23.85,14.95,18.3,896400.0,435600.0
TECHM-I700CE,2019-01-04,22.4,22.4,13.65,16.15,948000.0,308400.0
TECHM-I700PE,2019-01-04,26.0,35.0,24.7,28.6,141600.0,122400.0
TECHM-I720CE,2019-01-04,15.5,15.5,8.25,9.65,988800.0,352800.0
TECHM-I720PE,2019-01-04,37.4,46.7,37.4,42.9,7200.0,50400.0
TECHM-I740CE,2019-01-04,8.65,9.1,4.9,5.7,842400.0,481200.0
TECHM-I740PE,2019-01-04,60.2,60.2,60.2,60.2,1200.0,19200.0
TECHM-I760CE,2019-01-04,5.3,5.3,2.95,3.6,236400.0,158400.0
TECHM-I760PE,2019-01-04,68.0,79.9,68.0,79.9,6000.0,20400.0
TECHM-I780CE,2019-01-04,3.15,3.15,1.7,2.05,70800.0,74400.0
TECHM-I780PE,2019-01-04,98.3,98.3,98.3,98.3,1200.0,2400.0
TECHM-I800CE,2019-01-04,1.5,1.5,1.05,1.1,26400.0,57600.0
TECHM-I820CE,2019-01-04,1.6,1.6,1.6,1.6,1200.0,46800.0
TECHM-I900PE,2019-01-04,220.5,220.5,220.5,220.5,1200.0,2400.0
TECHM-I620PE,2019-01-07,2.7,2.9,2.2,2.2,12000.0,141600.0
TECHM-I640PE,2019-01-07,5.0,5.5,4.5,4.55,30000.0,144000.0
TECHM-I660CE,2019-01-07,39.3,40.85,39.3,40.5,3600.0,13200.0
TECHM-I660PE,2019-01-07,9.05,10.3,8.2,8.65,84000.0,136800.0
TECHM-I680CE,2019-01-07,26.1,27.5,25.4,27.45,94800.0,86400.0
