Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TITAN.EQ-NSE,2019-01-01,931.05,934.2,923.0,927.0,2061664.0
TITAN.EQ-NSE,2019-01-02,926.6,937.0,923.55,931.5,2671342.0
TITAN.EQ-NSE,2019-01-03,936.4,944.95,928.0,935.0,3276803.0
TITAN.EQ-NSE,2019-01-04,931.85,938.9,920.2,930.8,2338601.0
TITAN.EQ-NSE,2019-01-07,954.0,964.0,934.1,943.55,5310065.0
TITAN.EQ-NSE,2019-01-08,944.2,950.0,938.55,946.5,2035781.0
TITAN.EQ-NSE,2019-01-09,949.35,955.35,945.35,953.5,2112038.0
TITAN.EQ-NSE,2019-01-10,950.4,969.4,948.55,968.0,2445487.0
TITAN.EQ-NSE,2019-01-11,965.2,969.5,956.8,958.8,1530544.0
TITAN.EQ-NSE,2019-01-14,958.0,961.35,949.0,958.0,861802.0
TITAN.EQ-NSE,2019-01-15,957.8,970.7,955.1,967.65,1445463.0
TITAN.EQ-NSE,2019-01-16,966.0,970.4,959.3,960.65,1114801.0
TITAN.EQ-NSE,2019-01-17,961.35,965.0,951.55,958.95,1301397.0
TITAN.EQ-NSE,2019-01-18,961.55,965.0,954.05,961.1,1167899.0
TITAN.EQ-NSE,2019-01-21,961.1,965.8,957.0,962.6,1033774.0
TITAN.EQ-NSE,2019-01-22,962.05,986.4,958.7,981.9,2795915.0
TITAN.EQ-NSE,2019-01-23,987.0,987.0,957.6,960.0,1564217.0
TITAN.EQ-NSE,2019-01-24,960.25,972.3,955.9,970.0,1245613.0
TITAN.EQ-NSE,2019-01-25,973.0,984.0,969.15,978.0,1984289.0
TITAN.EQ-NSE,2019-01-28,978.0,981.2,955.2,957.4,1497720.0
TITAN.EQ-NSE,2019-01-29,955.7,970.0,945.0,966.3,1410571.0
TITAN.EQ-NSE,2019-01-30,966.35,974.95,960.05,964.55,1468300.0
TITAN.EQ-NSE,2019-01-31,968.0,1000.0,966.5,1000.0,2302275.0
TITAN.EQ-NSE,2019-02-01,1002.15,1005.0,985.1,992.3,3418801.0
TITAN.EQ-NSE,2019-02-04,1022.35,1050.0,1009.05,1024.5,9520828.0
TITAN.EQ-NSE,2019-02-05,1025.75,1074.0,1020.0,1068.1,7139847.0
TITAN.EQ-NSE,2019-02-06,1066.0,1072.0,1050.5,1060.0,2439771.0
TITAN.EQ-NSE,2019-02-07,1059.5,1067.05,1050.0,1058.8,1291352.0
TITAN.EQ-NSE,2019-02-08,1058.8,1076.85,1047.6,1054.0,2571936.0
TITAN.EQ-NSE,2019-02-11,1061.65,1063.5,1045.2,1056.0,1054665.0
TITAN.EQ-NSE,2019-02-12,1050.3,1073.95,1050.1,1066.0,3072350.0
TITAN.EQ-NSE,2019-02-13,1068.4,1071.25,1047.8,1052.4,1183971.0
TITAN.EQ-NSE,2019-02-14,1060.1,1060.1,1030.5,1043.4,2174391.0
TITAN.EQ-NSE,2019-02-15,1037.8,1052.0,1016.8,1038.5,2565363.0
TITAN.EQ-NSE,2019-02-18,1038.5,1040.65,1021.3,1030.45,1022010.0
TITAN.EQ-NSE,2019-02-19,1031.65,1049.8,1025.3,1027.45,1549878.0
TITAN.EQ-NSE,2019-02-20,1030.25,1044.4,1027.5,1033.5,1504058.0
