Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TITAN-I700PE,2019-01-01,0.35,0.35,0.35,0.35,1500.0,750.0
TITAN-I800PE,2019-01-01,2.1,2.35,1.6,1.75,58500.0,97500.0
TITAN-I820PE,2019-01-01,3.75,3.85,2.7,2.75,12000.0,33750.0
TITAN-I840PE,2019-01-01,5.4,5.55,4.2,4.3,28500.0,118500.0
TITAN-I860CE,2019-01-01,78.75,78.75,78.75,78.75,750.0,3000.0
TITAN-I860PE,2019-01-01,8.4,8.7,6.5,7.25,39750.0,159750.0
TITAN-I880PE,2019-01-01,13.05,13.65,10.7,11.3,108000.0,169500.0
TITAN-I900CE,2019-01-01,49.0,52.0,46.9,52.0,20250.0,114750.0
TITAN-I900PE,2019-01-01,18.0,20.1,16.55,17.0,144000.0,175500.0
TITAN-I920CE,2019-01-01,40.4,40.7,35.8,38.15,85500.0,110250.0
TITAN-I920PE,2019-01-01,26.1,28.5,24.15,24.15,114000.0,81000.0
TITAN-I940CE,2019-01-01,30.75,30.75,26.65,29.4,220500.0,247500.0
TITAN-I940PE,2019-01-01,36.0,38.6,34.2,34.2,33000.0,27000.0
TITAN-I960CE,2019-01-01,21.8,23.05,19.3,21.25,203250.0,198000.0
TITAN-I960PE,2019-01-01,49.6,49.6,45.6,45.6,2250.0,2250.0
TITAN-I980CE,2019-01-01,16.0,16.0,13.55,15.05,153750.0,190500.0
TITAN-I1000CE,2019-01-01,11.0,11.0,9.5,10.6,218250.0,240000.0
TITAN-I1000PE,2019-01-01,75.65,75.65,75.65,75.65,750.0,5250.0
TITAN-I1020CE,2019-01-01,7.3,7.3,6.3,7.0,40500.0,72750.0
TITAN-I1040CE,2019-01-01,5.25,5.25,4.4,4.5,73500.0,83250.0
TITAN-I1060CE,2019-01-01,3.6,3.6,2.75,3.4,2250.0,11250.0
TITAN-I1080CE,2019-01-01,2.2,2.25,2.0,2.25,4500.0,8250.0
TITAN-I1100CE,2019-01-01,1.75,1.75,1.2,1.65,5250.0,36000.0
TITAN-I700PE,2019-01-02,0.35,0.35,0.35,0.35,750.0,2250.0
TITAN-I800PE,2019-01-02,1.75,2.15,1.6,2.0,33750.0,98250.0
TITAN-I820PE,2019-01-02,2.35,3.0,2.35,3.0,3000.0,34500.0
TITAN-I840PE,2019-01-02,4.45,5.5,3.85,4.8,84000.0,143250.0
TITAN-I860PE,2019-01-02,7.45,8.6,6.65,7.4,139500.0,158250.0
TITAN-I880CE,2019-01-02,66.6,67.45,65.0,67.45,3750.0,15000.0
TITAN-I880PE,2019-01-02,11.45,13.0,10.45,11.6,205500.0,187500.0
TITAN-I900CE,2019-01-02,49.45,55.0,48.8,52.8,48750.0,103500.0
TITAN-I900PE,2019-01-02,17.9,19.4,15.7,17.5,333750.0,182250.0
TITAN-I920CE,2019-01-02,35.8,43.45,35.8,39.8,124500.0,101250.0
TITAN-I920PE,2019-01-02,26.5,27.5,22.85,25.0,135000.0,88500.0
TITAN-I940CE,2019-01-02,27.45,33.0,26.65,30.8,481500.0,260250.0
TITAN-I940PE,2019-01-02,36.0,37.8,32.0,34.65,76500.0,30000.0
TITAN-I960CE,2019-01-02,19.35,24.05,19.1,23.0,354000.0,210000.0
TITAN-I960PE,2019-01-02,47.85,47.85,44.6,44.6,2250.0,2250.0
TITAN-I980CE,2019-01-02,13.7,17.1,13.5,16.4,281250.0,207000.0
TITAN-I1000CE,2019-01-02,9.05,12.05,9.05,11.55,669750.0,377250.0
TITAN-I1020CE,2019-01-02,6.75,8.05,6.05,7.65,42750.0,85500.0
TITAN-I1040CE,2019-01-02,4.65,5.5,4.3,5.4,40500.0,96750.0
TITAN-I1040PE,2019-01-02,111.45,111.45,111.45,111.45,750.0,3000.0
TITAN-I1060CE,2019-01-02,3.0,3.95,3.0,3.6,7500.0,13500.0
TITAN-I1080CE,2019-01-02,2.0,2.0,2.0,2.0,750.0,9000.0
TITAN-I1100CE,2019-01-02,1.35,1.75,1.0,1.0,9750.0,36750.0
TITAN-I1140CE,2019-01-02,0.5,0.5,0.5,0.5,750.0,6000.0
TITAN-I800PE,2019-01-03,1.7,2.0,1.7,2.0,6000.0,101250.0
TITAN-I820PE,2019-01-03,2.95,3.0,2.5,2.95,10500.0,37500.0
TITAN-I840PE,2019-01-03,4.25,5.1,4.0,4.85,80250.0,145500.0
TITAN-I860PE,2019-01-03,6.75,8.0,6.25,7.95,113250.0,166500.0
TITAN-I880CE,2019-01-03,67.1,67.1,67.1,67.1,750.0,14250.0
TITAN-I880PE,2019-01-03,10.0,12.25,9.7,11.8,186750.0,194250.0
TITAN-I900CE,2019-01-03,56.15,57.5,50.6,50.6,18000.0,107250.0
TITAN-I900PE,2019-01-03,14.8,18.4,14.5,17.4,245250.0,176250.0
TITAN-I920CE,2019-01-03,45.6,46.7,37.25,40.6,71250.0,99000.0
TITAN-I920PE,2019-01-03,22.05,26.45,21.85,24.9,203250.0,88500.0
TITAN-I940CE,2019-01-03,35.15,37.2,27.4,29.9,509250.0,274500.0
TITAN-I940PE,2019-01-03,30.5,36.5,30.3,34.55,119250.0,36750.0
TITAN-I960CE,2019-01-03,25.8,27.65,19.65,21.3,612000.0,236250.0
TITAN-I960PE,2019-01-03,43.6,48.5,42.9,45.35,3000.0,3000.0
TITAN-I980CE,2019-01-03,19.8,19.8,14.15,15.2,283500.0,209250.0
TITAN-I1000CE,2019-01-03,13.55,13.6,9.75,10.45,407250.0,387750.0
TITAN-I1000PE,2019-01-03,74.5,76.0,74.5,76.0,1500.0,4500.0
TITAN-I1020CE,2019-01-03,12.35,12.35,6.35,7.25,39000.0,93750.0
TITAN-I1040CE,2019-01-03,5.2,6.6,4.4,4.8,24000.0,99000.0
TITAN-I1060CE,2019-01-03,4.45,4.45,2.6,2.6,5250.0,13500.0
TITAN-I1080CE,2019-01-03,2.0,2.0,2.0,2.0,750.0,9000.0
TITAN-I1100CE,2019-01-03,1.6,1.6,1.4,1.4,9750.0,38250.0
TITAN-I800PE,2019-01-04,2.0,2.05,1.35,1.4,4500.0,101250.0
TITAN-I820PE,2019-01-04,2.95,2.95,2.45,2.45,1500.0,38250.0
TITAN-I840PE,2019-01-04,5.0,5.5,3.85,4.1,31500.0,147000.0
TITAN-I860PE,2019-01-04,6.85,8.65,6.1,6.6,78000.0,167250.0
TITAN-I880PE,2019-01-04,10.8,13.35,9.0,10.0,180000.0,204000.0
TITAN-I900CE,2019-01-04,47.75,54.65,47.0,54.65,3000.0,105750.0
TITAN-I900PE,2019-01-04,15.95,20.0,13.55,15.3,192750.0,180750.0
TITAN-I920CE,2019-01-04,38.7,43.0,33.6,37.2,78000.0,92250.0
TITAN-I920PE,2019-01-04,24.0,28.9,20.55,23.15,216000.0,91500.0
TITAN-I940CE,2019-01-04,31.05,32.5,24.65,27.35,381750.0,267750.0
TITAN-I940PE,2019-01-04,33.15,39.15,28.1,32.5,81750.0,37500.0
TITAN-I960CE,2019-01-04,21.4,23.3,17.55,18.9,341250.0,210000.0
TITAN-I960PE,2019-01-04,41.2,44.15,40.85,44.15,4500.0,3000.0
TITAN-I980CE,2019-01-04,16.85,16.85,12.15,13.45,222000.0,201750.0
TITAN-I1000CE,2019-01-04,10.95,11.0,8.35,8.4,406500.0,352500.0
TITAN-I1020CE,2019-01-04,6.25,7.0,5.5,5.55,24750.0,96750.0
TITAN-I1040CE,2019-01-04,4.05,4.75,3.65,3.75,41250.0,79500.0
TITAN-I1060CE,2019-01-04,2.55,2.8,2.5,2.8,4500.0,15750.0
TITAN-I1080CE,2019-01-04,1.6,1.6,1.6,1.6,1500.0,9750.0
TITAN-I1100CE,2019-01-04,1.3,1.3,1.15,1.25,6750.0,39750.0
TITAN-I800PE,2019-01-07,1.4,1.4,0.9,1.2,18750.0,98250.0
TITAN-I820PE,2019-01-07,2.0,2.1,1.75,2.1,5250.0,36750.0
TITAN-I840PE,2019-01-07,2.75,3.55,2.25,2.85,92250.0,112500.0
TITAN-I860CE,2019-01-07,96.05,96.05,96.05,96.05,4500.0,3000.0
TITAN-I860PE,2019-01-07,4.45,6.3,3.95,4.95,138750.0,189000.0
TITAN-I880CE,2019-01-07,88.15,88.15,44.45,75.45,14250.0,15000.0
TITAN-I880PE,2019-01-07,6.6,10.05,6.0,7.6,242250.0,204000.0
TITAN-I900CE,2019-01-07,71.6,72.9,55.25,59.5,42750.0,99000.0
TITAN-I900PE,2019-01-07,12.0,15.3,8.65,11.9,442500.0,224250.0
TITAN-I920CE,2019-01-07,50.35,58.35,39.45,47.55,59250.0,87000.0
TITAN-I920PE,2019-01-07,13.95,22.6,13.5,18.75,217500.0,96750.0
TITAN-I940CE,2019-01-07,38.4,45.05,28.0,34.25,357000.0,219750.0
TITAN-I940PE,2019-01-07,21.25,32.0,19.1,25.1,297000.0,72750.0
TITAN-I960CE,2019-01-07,29.1,35.85,20.65,25.05,699750.0,309750.0
TITAN-I960PE,2019-01-07,33.0,40.9,31.15,38.15,87750.0,22500.0
TITAN-I980CE,2019-01-07,21.45,25.0,14.15,17.6,576750.0,285000.0
TITAN-I980PE,2019-01-07,38.65,48.0,38.65,47.7,12000.0,6750.0
TITAN-I1000CE,2019-01-07,14.9,18.65,9.8,11.5,712500.0,433500.0
TITAN-I1000PE,2019-01-07,58.0,60.35,58.0,60.35,3750.0,5250.0
TITAN-I1020CE,2019-01-07,11.0,12.45,6.25,7.9,206250.0,124500.0
TITAN-I1020PE,2019-01-07,75.65,75.75,75.65,75.75,1500.0,0.0
TITAN-I1040CE,2019-01-07,9.7,9.7,4.05,4.85,135750.0,120000.0
TITAN-I1060CE,2019-01-07,5.5,5.5,3.0,3.0,35250.0,35250.0
TITAN-I1080CE,2019-01-07,1.55,2.1,1.55,2.1,1500.0,12000.0
TITAN-I1100CE,2019-01-07,2.5,2.5,1.25,1.35,84000.0,50250.0
TITAN-I1140CE,2019-01-07,0.4,0.4,0.4,0.4,750.0,5250.0
TITAN-I800PE,2019-01-08,1.25,1.45,1.0,1.0,12000.0,96000.0
TITAN-I820PE,2019-01-08,2.0,2.45,1.55,1.55,6750.0,35250.0
TITAN-I840PE,2019-01-08,3.1,3.1,2.05,2.2,49500.0,105000.0
TITAN-I860CE,2019-01-08,89.65,89.65,89.65,89.65,750.0,7500.0
TITAN-I860PE,2019-01-08,5.1,5.25,3.55,3.6,45750.0,187500.0
TITAN-I880CE,2019-01-08,75.45,75.45,73.8,73.8,1500.0,13500.0
TITAN-I880PE,2019-01-08,8.15,8.3,5.7,5.9,85500.0,207750.0
TITAN-I900CE,2019-01-08,57.0,61.75,55.0,60.0,39000.0,102000.0
TITAN-I900PE,2019-01-08,12.45,12.65,8.75,9.0,210750.0,232500.0
TITAN-I920CE,2019-01-08,44.0,47.0,42.5,45.6,36750.0,80250.0
TITAN-I920PE,2019-01-08,18.5,19.35,14.05,14.7,194250.0,105750.0
TITAN-I940CE,2019-01-08,34.2,36.0,31.05,34.6,117750.0,211500.0
TITAN-I940PE,2019-01-08,26.0,28.0,21.65,22.0,115500.0,84000.0
TITAN-I960CE,2019-01-08,24.2,26.4,21.6,24.5,444750.0,289500.0
TITAN-I960PE,2019-01-08,38.7,38.7,31.0,31.5,32250.0,24750.0
TITAN-I980CE,2019-01-08,17.65,18.0,14.7,15.9,356250.0,292500.0
TITAN-I980PE,2019-01-08,48.0,50.65,47.5,47.5,3000.0,7500.0
TITAN-I1000CE,2019-01-08,11.45,12.15,9.65,11.0,260250.0,419250.0
TITAN-I1000PE,2019-01-08,64.0,64.0,64.0,64.0,750.0,6000.0
TITAN-I1020CE,2019-01-08,7.0,8.05,6.25,7.0,92250.0,132750.0
TITAN-I1020PE,2019-01-08,78.05,78.05,78.05,78.05,750.0,750.0
TITAN-I1040CE,2019-01-08,4.6,4.8,3.8,4.2,136500.0,125250.0
TITAN-I1060CE,2019-01-08,2.5,3.2,2.05,3.0,8250.0,37500.0
TITAN-I1060PE,2019-01-08,108.0,108.0,108.0,108.0,750.0,1500.0
TITAN-I1080CE,2019-01-08,2.0,2.0,1.9,1.9,2250.0,12750.0
TITAN-I1100CE,2019-01-08,1.25,1.45,1.0,1.0,24000.0,54000.0
TITAN-I1140CE,2019-01-08,0.6,0.95,0.6,0.9,3000.0,7500.0
TITAN-I800PE,2019-01-09,0.95,0.95,0.6,0.6,4500.0,96000.0
TITAN-I820PE,2019-01-09,1.1,1.1,1.1,1.1,750.0,35250.0
TITAN-I840PE,2019-01-09,2.0,2.05,1.25,1.3,26250.0,91500.0
TITAN-I860PE,2019-01-09,3.25,3.25,2.1,2.2,111750.0,149250.0
TITAN-I880CE,2019-01-09,81.7,81.7,81.7,81.7,750.0,14250.0
TITAN-I880PE,2019-01-09,5.3,5.35,3.75,3.85,96750.0,213000.0
TITAN-I900CE,2019-01-09,64.5,65.8,58.25,63.45,14250.0,94500.0
TITAN-I900PE,2019-01-09,8.25,8.8,6.45,6.6,123750.0,255750.0
TITAN-I920CE,2019-01-09,47.95,50.55,44.15,49.0,14250.0,75750.0
TITAN-I920PE,2019-01-09,13.4,14.25,11.0,11.5,154500.0,125250.0
TITAN-I940CE,2019-01-09,38.0,38.0,32.1,36.75,119250.0,189000.0
TITAN-I940PE,2019-01-09,20.6,22.0,17.5,18.3,168000.0,105000.0
TITAN-I960CE,2019-01-09,26.95,27.6,22.1,25.25,450000.0,320250.0
TITAN-I960PE,2019-01-09,28.6,32.05,26.1,27.0,53250.0,36000.0
TITAN-I980CE,2019-01-09,18.9,18.95,14.5,17.1,354000.0,329250.0
TITAN-I980PE,2019-01-09,40.1,42.15,37.8,37.8,5250.0,6750.0
TITAN-I1000CE,2019-01-09,12.95,13.25,9.5,10.95,343500.0,456750.0
TITAN-I1020CE,2019-01-09,7.7,7.95,6.0,6.75,95250.0,132750.0
TITAN-I1040CE,2019-01-09,5.2,5.2,3.7,4.3,62250.0,119250.0
TITAN-I1060CE,2019-01-09,3.0,3.0,2.25,2.25,4500.0,38250.0
TITAN-I1080CE,2019-01-09,1.7,1.7,1.6,1.6,3000.0,15000.0
TITAN-I1100CE,2019-01-09,1.3,1.3,1.3,1.3,750.0,54000.0
TITAN-I1120CE,2019-01-09,1.4,1.4,1.4,1.4,750.0,750.0
TITAN-I1140CE,2019-01-09,0.9,0.9,0.9,0.9,750.0,8250.0
TITAN-I800PE,2019-01-10,0.7,0.7,0.6,0.6,2250.0,95250.0
TITAN-I820PE,2019-01-10,1.05,1.05,1.0,1.0,1500.0,35250.0
TITAN-I840PE,2019-01-10,1.5,1.5,0.85,0.9,9000.0,84000.0
TITAN-I860CE,2019-01-10,100.8,108.95,100.8,108.95,3750.0,8250.0
TITAN-I860PE,2019-01-10,2.45,2.45,1.25,1.25,99000.0,112500.0
