Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TORNTPHARM.EQ-NSE,2019-01-01,890.5,892.475,880.8,891.95,40778.0
TORNTPHARM.EQ-NSE,2019-01-02,887.35,894.5,873.525,889.025,107933.0
TORNTPHARM.EQ-NSE,2019-01-03,887.975,907.0,880.8,904.5,341394.0
TORNTPHARM.EQ-NSE,2019-01-04,901.4,913.25,899.9,911.0,324035.0
TORNTPHARM.EQ-NSE,2019-01-07,915.0,919.85,907.0,912.0,145064.0
TORNTPHARM.EQ-NSE,2019-01-08,911.875,913.75,900.275,908.0,201539.0
TORNTPHARM.EQ-NSE,2019-01-09,910.0,917.875,907.6,915.0,211865.0
TORNTPHARM.EQ-NSE,2019-01-10,915.525,940.5,914.4,929.575,595306.0
TORNTPHARM.EQ-NSE,2019-01-11,930.0,945.0,927.525,945.0,434004.0
TORNTPHARM.EQ-NSE,2019-01-14,946.0,947.0,936.1,941.025,208661.0
TORNTPHARM.EQ-NSE,2019-01-15,945.0,956.475,941.025,946.0,273219.0
TORNTPHARM.EQ-NSE,2019-01-16,949.975,981.0,945.025,975.75,448948.0
TORNTPHARM.EQ-NSE,2019-01-17,975.5,977.5,939.25,944.025,380347.0
TORNTPHARM.EQ-NSE,2019-01-18,950.55,963.725,944.0,949.975,348070.0
TORNTPHARM.EQ-NSE,2019-01-21,947.5,958.5,932.95,935.975,236561.0
TORNTPHARM.EQ-NSE,2019-01-22,938.7,964.85,935.675,964.5,251925.0
TORNTPHARM.EQ-NSE,2019-01-23,960.3,965.0,948.575,955.225,113140.0
TORNTPHARM.EQ-NSE,2019-01-24,957.5,961.925,939.5,943.5,176495.0
TORNTPHARM.EQ-NSE,2019-01-25,947.525,950.05,927.925,932.5,156592.0
TORNTPHARM.EQ-NSE,2019-01-28,934.175,934.175,910.0,925.0,73683.0
TORNTPHARM.EQ-NSE,2019-01-29,920.725,943.475,918.0,936.775,124057.0
TORNTPHARM.EQ-NSE,2019-01-30,937.525,940.0,920.225,926.0,112897.0
TORNTPHARM.EQ-NSE,2019-01-31,942.5,947.0,898.275,912.5,773427.0
TORNTPHARM.EQ-NSE,2019-02-01,915.0,916.975,890.625,896.625,244992.0
TORNTPHARM.EQ-NSE,2019-02-04,895.15,924.7,895.15,920.0,352327.0
TORNTPHARM.EQ-NSE,2019-02-05,916.3,929.95,905.925,914.95,221675.0
TORNTPHARM.EQ-NSE,2019-02-06,909.625,913.525,889.275,897.0,302632.0
TORNTPHARM.EQ-NSE,2019-02-07,904.1,915.15,896.575,905.0,140397.0
TORNTPHARM.EQ-NSE,2019-02-08,901.025,902.9,883.05,900.25,190149.0
TORNTPHARM.EQ-NSE,2019-02-11,898.325,907.25,887.275,904.5,142680.0
TORNTPHARM.EQ-NSE,2019-02-12,901.0,907.5,894.0,902.0,79868.0
TORNTPHARM.EQ-NSE,2019-02-13,905.05,905.05,889.5,894.475,135534.0
TORNTPHARM.EQ-NSE,2019-02-14,894.65,896.25,882.925,885.5,118497.0
TORNTPHARM.EQ-NSE,2019-02-15,885.525,895.0,873.225,885.825,294637.0
TORNTPHARM.EQ-NSE,2019-02-18,887.825,891.075,875.6,884.5,84419.0
TORNTPHARM.EQ-NSE,2019-02-19,880.0,888.6,877.85,883.5,80042.0
TORNTPHARM.EQ-NSE,2019-02-20,880.0,885.5,871.55,883.825,99554.0
TORNTPHARM.EQ-NSE,2019-02-21,882.025,888.6,880.575,883.175,92585.0
TORNTPHARM.EQ-NSE,2019-02-22,882.025,887.45,878.0,881.625,155514.0
TORNTPHARM.EQ-NSE,2019-02-25,886.25,910.5,883.0,906.075,200513.0
TORNTPHARM.EQ-NSE,2019-02-26,900.4,916.95,882.65,903.425,235255.0
TORNTPHARM.EQ-NSE,2019-02-27,905.5,919.95,901.2,905.5,213727.0
TORNTPHARM.EQ-NSE,2019-02-28,915.025,918.0,895.0,902.5,214815.0
TORNTPHARM.EQ-NSE,2019-03-01,897.35,904.75,887.5,893.95,269467.0
TORNTPHARM.EQ-NSE,2019-03-05,891.525,894.0,881.625,885.25,187210.0
TORNTPHARM.EQ-NSE,2019-03-06,885.4,909.25,882.5,897.625,451111.0
