Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TVSMOTOR.EQ-NSE,2019-01-01,570.0,573.75,561.2,563.4,524403.0
TVSMOTOR.EQ-NSE,2019-01-02,564.0,575.65,531.0,535.0,3647645.0
TVSMOTOR.EQ-NSE,2019-01-03,533.95,544.6,532.75,536.85,1442825.0
TVSMOTOR.EQ-NSE,2019-01-04,537.65,545.9,535.65,540.0,855627.0
TVSMOTOR.EQ-NSE,2019-01-07,544.05,545.7,533.35,534.0,627842.0
TVSMOTOR.EQ-NSE,2019-01-08,535.0,540.35,524.05,533.0,1319842.0
TVSMOTOR.EQ-NSE,2019-01-09,536.3,544.45,532.5,537.1,1067919.0
TVSMOTOR.EQ-NSE,2019-01-10,539.65,545.8,537.75,538.0,652334.0
TVSMOTOR.EQ-NSE,2019-01-11,540.2,544.4,535.35,539.6,597251.0
TVSMOTOR.EQ-NSE,2019-01-14,537.0,540.5,531.5,533.95,586182.0
TVSMOTOR.EQ-NSE,2019-01-15,536.85,549.8,535.25,544.1,963145.0
TVSMOTOR.EQ-NSE,2019-01-16,545.2,550.0,544.0,548.3,533166.0
TVSMOTOR.EQ-NSE,2019-01-17,552.2,552.9,542.15,545.05,724122.0
TVSMOTOR.EQ-NSE,2019-01-18,549.1,549.1,531.9,531.9,479001.0
TVSMOTOR.EQ-NSE,2019-01-21,535.95,540.55,532.6,538.25,319269.0
TVSMOTOR.EQ-NSE,2019-01-22,535.35,560.95,521.1,556.0,10299769.0
TVSMOTOR.EQ-NSE,2019-01-23,552.0,552.6,523.2,525.4,4587816.0
TVSMOTOR.EQ-NSE,2019-01-24,526.95,532.5,516.0,518.35,1471920.0
TVSMOTOR.EQ-NSE,2019-01-25,517.95,519.7,492.65,496.35,2395906.0
TVSMOTOR.EQ-NSE,2019-01-28,493.0,495.75,469.15,480.0,2311091.0
TVSMOTOR.EQ-NSE,2019-01-29,480.75,498.0,479.55,497.9,1290004.0
TVSMOTOR.EQ-NSE,2019-01-30,497.5,499.5,487.0,490.15,876711.0
TVSMOTOR.EQ-NSE,2019-01-31,491.6,506.95,487.35,500.0,1300523.0
TVSMOTOR.EQ-NSE,2019-02-01,505.95,532.05,501.05,515.1,2500603.0
TVSMOTOR.EQ-NSE,2019-02-04,512.65,512.65,488.6,498.7,2224693.0
TVSMOTOR.EQ-NSE,2019-02-05,501.0,507.25,493.0,498.0,884233.0
TVSMOTOR.EQ-NSE,2019-02-06,502.45,502.45,486.2,489.0,1496197.0
TVSMOTOR.EQ-NSE,2019-02-07,491.95,516.9,491.0,503.0,2116227.0
TVSMOTOR.EQ-NSE,2019-02-08,500.4,502.55,491.45,491.6,866402.0
TVSMOTOR.EQ-NSE,2019-02-11,491.45,491.95,479.6,488.2,699098.0
TVSMOTOR.EQ-NSE,2019-02-12,486.9,498.75,486.0,490.35,536472.0
TVSMOTOR.EQ-NSE,2019-02-13,494.7,494.9,480.1,480.95,775006.0
TVSMOTOR.EQ-NSE,2019-02-14,483.8,497.2,481.9,494.55,977773.0
TVSMOTOR.EQ-NSE,2019-02-15,494.9,494.9,475.85,478.75,937336.0
TVSMOTOR.EQ-NSE,2019-02-18,481.0,482.9,467.2,469.3,937051.0
TVSMOTOR.EQ-NSE,2019-02-19,472.0,480.0,470.25,472.9,877154.0
TVSMOTOR.EQ-NSE,2019-02-20,475.6,479.65,464.25,466.0,1026346.0
TVSMOTOR.EQ-NSE,2019-02-21,468.8,469.0,455.3,463.4,1883414.0
TVSMOTOR.EQ-NSE,2019-02-22,464.95,475.7,463.0,471.7,1211674.0
TVSMOTOR.EQ-NSE,2019-02-25,473.05,478.4,461.15,464.5,1532040.0
TVSMOTOR.EQ-NSE,2019-02-26,460.5,461.5,448.3,457.45,1550379.0
TVSMOTOR.EQ-NSE,2019-02-27,460.15,469.35,453.55,456.0,1712382.0
TVSMOTOR.EQ-NSE,2019-02-28,458.85,463.75,450.65,455.25,2105396.0
TVSMOTOR.EQ-NSE,2019-03-01,457.0,468.8,455.7,468.0,1414602.0
TVSMOTOR.EQ-NSE,2019-03-05,471.25,494.0,469.45,494.0,2164333.0
TVSMOTOR.EQ-NSE,2019-03-06,496.45,499.5,488.1,490.2,1008332.0
TVSMOTOR.EQ-NSE,2019-03-07,494.7,494.7,480.0,486.2,864605.0
TVSMOTOR.EQ-NSE,2019-03-08,484.75,492.0,482.75,485.0,822318.0
TVSMOTOR.EQ-NSE,2019-03-11,488.35,510.0,487.0,503.0,1682539.0
TVSMOTOR.EQ-NSE,2019-03-12,509.95,511.4,494.25,497.0,1418938.0
TVSMOTOR.EQ-NSE,2019-03-13,497.0,503.6,492.65,496.0,1077206.0
TVSMOTOR.EQ-NSE,2019-03-14,498.5,502.0,488.5,490.9,872541.0
TVSMOTOR.EQ-NSE,2019-03-15,490.9,509.0,486.25,492.0,2778297.0
TVSMOTOR.EQ-NSE,2019-03-18,495.0,496.3,487.5,489.45,1021731.0
TVSMOTOR.EQ-NSE,2019-03-19,486.5,486.5,472.05,479.8,1948740.0
TVSMOTOR.EQ-NSE,2019-03-20,479.0,479.0,472.4,474.0,1015219.0
TVSMOTOR.EQ-NSE,2019-03-22,474.55,479.55,460.7,466.3,1199067.0
TVSMOTOR.EQ-NSE,2019-03-25,462.0,468.0,459.0,462.5,1048011.0
TVSMOTOR.EQ-NSE,2019-03-26,464.55,466.75,458.1,461.0,958216.0
TVSMOTOR.EQ-NSE,2019-03-27,463.65,465.0,457.3,459.0,684877.0
TVSMOTOR.EQ-NSE,2019-03-28,460.95,476.4,460.65,474.45,1305282.0
TVSMOTOR.EQ-NSE,2019-03-29,472.75,481.0,469.25,470.95,1411393.0
TVSMOTOR.EQ-NSE,2019-04-01,475.1,484.0,471.0,480.1,1365495.0
TVSMOTOR.EQ-NSE,2019-04-02,481.9,489.8,474.25,486.0,1855235.0
TVSMOTOR.EQ-NSE,2019-04-03,487.0,494.4,484.1,485.6,1379784.0
TVSMOTOR.EQ-NSE,2019-04-04,491.6,494.7,483.4,487.05,1105592.0
TVSMOTOR.EQ-NSE,2019-04-05,489.55,492.55,484.15,485.5,932728.0
TVSMOTOR.EQ-NSE,2019-04-08,488.0,488.85,477.6,481.3,684623.0
TVSMOTOR.EQ-NSE,2019-04-09,481.6,484.0,475.2,482.0,861951.0
TVSMOTOR.EQ-NSE,2019-04-10,482.0,488.4,481.1,482.0,765802.0
TVSMOTOR.EQ-NSE,2019-04-11,483.55,488.0,482.35,485.7,670522.0
TVSMOTOR.EQ-NSE,2019-04-12,485.8,502.0,485.45,499.0,1498677.0
TVSMOTOR.EQ-NSE,2019-04-15,504.65,510.7,500.5,504.95,1987250.0
TVSMOTOR.EQ-NSE,2019-04-16,505.35,519.9,504.2,519.6,2754485.0
TVSMOTOR.EQ-NSE,2019-04-18,520.5,523.85,514.4,517.9,1594150.0
TVSMOTOR.EQ-NSE,2019-04-22,516.5,521.85,505.25,511.8,1102600.0
