Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
TV_ETBRDCST.EQ-NSE,2019-01-01,38.4,38.65,37.8,38.5,5422230.0
TV_ETBRDCST.EQ-NSE,2019-01-02,38.0,38.75,37.4,37.55,8228622.0
TV_ETBRDCST.EQ-NSE,2019-01-03,37.9,37.95,36.9,37.05,6703521.0
TV_ETBRDCST.EQ-NSE,2019-01-04,37.1,37.65,36.5,37.4,7797093.0
TV_ETBRDCST.EQ-NSE,2019-01-07,37.6,38.35,37.55,37.75,6328119.0
TV_ETBRDCST.EQ-NSE,2019-01-08,37.65,38.25,37.4,37.65,4393536.0
TV_ETBRDCST.EQ-NSE,2019-01-09,38.1,38.25,37.45,37.75,7266114.0
TV_ETBRDCST.EQ-NSE,2019-01-10,37.85,38.25,37.6,38.1,5512809.0
TV_ETBRDCST.EQ-NSE,2019-01-11,38.15,38.3,37.75,37.85,4844574.0
TV_ETBRDCST.EQ-NSE,2019-01-14,37.9,37.9,37.15,37.5,4421604.0
TV_ETBRDCST.EQ-NSE,2019-01-15,37.45,39.25,37.45,38.75,36544080.0
TV_ETBRDCST.EQ-NSE,2019-01-16,39.0,39.15,37.85,38.05,13050429.0
TV_ETBRDCST.EQ-NSE,2019-01-17,38.2,38.25,35.9,36.05,32251659.0
TV_ETBRDCST.EQ-NSE,2019-01-18,36.3,36.4,33.8,34.2,24730809.0
TV_ETBRDCST.EQ-NSE,2019-01-21,34.1,34.65,33.9,34.2,15136155.0
TV_ETBRDCST.EQ-NSE,2019-01-22,34.2,34.55,34.05,34.2,19634346.0
TV_ETBRDCST.EQ-NSE,2019-01-23,34.25,35.7,34.2,34.35,25102053.0
TV_ETBRDCST.EQ-NSE,2019-01-24,34.65,34.65,33.85,34.1,9281682.0
TV_ETBRDCST.EQ-NSE,2019-01-25,34.25,34.5,31.7,32.5,17972910.0
TV_ETBRDCST.EQ-NSE,2019-01-28,32.85,33.0,31.5,32.5,15429984.0
TV_ETBRDCST.EQ-NSE,2019-01-29,32.45,33.55,32.0,33.3,11086914.0
TV_ETBRDCST.EQ-NSE,2019-01-30,33.35,33.35,32.35,32.7,8886252.0
TV_ETBRDCST.EQ-NSE,2019-01-31,33.0,33.25,32.05,32.7,12959313.0
TV_ETBRDCST.EQ-NSE,2019-02-01,32.7,33.25,32.05,32.6,7464117.0
TV_ETBRDCST.EQ-NSE,2019-02-04,32.45,32.7,31.55,32.05,6999111.0
TV_ETBRDCST.EQ-NSE,2019-02-05,32.05,32.05,31.1,31.35,8649174.0
TV_ETBRDCST.EQ-NSE,2019-02-06,31.3,32.15,30.7,32.0,10980141.0
TV_ETBRDCST.EQ-NSE,2019-02-07,31.7,32.9,31.7,32.4,7478583.0
TV_ETBRDCST.EQ-NSE,2019-02-08,32.1,32.85,31.85,32.1,8609742.0
TV_ETBRDCST.EQ-NSE,2019-02-11,32.0,32.65,31.6,32.65,8521377.0
TV_ETBRDCST.EQ-NSE,2019-02-12,32.55,32.8,31.8,31.95,6903345.0
TV_ETBRDCST.EQ-NSE,2019-02-13,31.9,31.95,31.0,31.2,5828676.0
TV_ETBRDCST.EQ-NSE,2019-02-14,31.2,32.75,30.45,32.75,11875287.0
TV_ETBRDCST.EQ-NSE,2019-02-15,32.5,32.5,30.65,31.15,12935358.0
TV_ETBRDCST.EQ-NSE,2019-02-18,30.9,31.4,30.7,30.85,5673645.0
TV_ETBRDCST.EQ-NSE,2019-02-19,30.9,31.9,30.8,31.65,7119270.0
TV_ETBRDCST.EQ-NSE,2019-02-20,31.75,32.6,31.75,32.35,6499038.0
