Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TV_ETBRDCST-I34PE,2019-01-01,0.35,0.4,0.35,0.4,26000.0,390000.0
TV_ETBRDCST-I35PE,2019-01-01,0.65,0.65,0.55,0.55,52000.0,1313000.0
TV_ETBRDCST-I38CE,2019-01-01,1.95,2.1,1.95,2.1,78000.0,715000.0
TV_ETBRDCST-I38PE,2019-01-01,1.8,1.85,1.7,1.75,104000.0,221000.0
TV_ETBRDCST-I39CE,2019-01-01,1.55,1.9,1.55,1.9,52000.0,325000.0
TV_ETBRDCST-I40CE,2019-01-01,1.15,1.4,1.1,1.3,442000.0,1443000.0
TV_ETBRDCST-I40PE,2019-01-01,2.65,2.65,2.65,2.65,13000.0,52000.0
TV_ETBRDCST-I41CE,2019-01-01,0.9,0.95,0.9,0.95,39000.0,208000.0
TV_ETBRDCST-I42CE,2019-01-01,0.8,0.85,0.6,0.6,78000.0,312000.0
TV_ETBRDCST-I43CE,2019-01-01,0.55,0.55,0.55,0.55,13000.0,91000.0
TV_ETBRDCST-I45CE,2019-01-01,0.35,0.35,0.3,0.35,104000.0,468000.0
TV_ETBRDCST-I46CE,2019-01-01,0.2,0.2,0.15,0.15,26000.0,39000.0
TV_ETBRDCST-I28PE,2019-01-02,0.05,0.05,0.05,0.05,52000.0,117000.0
TV_ETBRDCST-I29PE,2019-01-02,0.1,0.1,0.05,0.05,442000.0,221000.0
TV_ETBRDCST-I30PE,2019-01-02,0.15,0.15,0.15,0.15,26000.0,26000.0
TV_ETBRDCST-I32PE,2019-01-02,0.25,0.25,0.25,0.25,13000.0,26000.0
TV_ETBRDCST-I34PE,2019-01-02,0.5,0.5,0.45,0.45,26000.0,377000.0
TV_ETBRDCST-I35PE,2019-01-02,0.5,0.55,0.5,0.5,52000.0,1339000.0
TV_ETBRDCST-I36PE,2019-01-02,0.8,1.0,0.8,1.0,26000.0,286000.0
TV_ETBRDCST-I37PE,2019-01-02,1.15,1.5,1.15,1.5,78000.0,156000.0
TV_ETBRDCST-I38CE,2019-01-02,1.95,2.0,1.7,1.75,117000.0,702000.0
TV_ETBRDCST-I38PE,2019-01-02,1.6,2.05,1.6,2.05,91000.0,234000.0
TV_ETBRDCST-I39CE,2019-01-02,1.65,1.65,1.2,1.2,26000.0,338000.0
TV_ETBRDCST-I39PE,2019-01-02,1.95,1.95,1.95,1.95,13000.0,0.0
TV_ETBRDCST-I40CE,2019-01-02,1.3,1.35,1.0,1.0,468000.0,1456000.0
TV_ETBRDCST-I41CE,2019-01-02,1.1,1.1,0.65,0.7,78000.0,208000.0
TV_ETBRDCST-I42CE,2019-01-02,0.7,0.75,0.6,0.6,130000.0,273000.0
TV_ETBRDCST-I43CE,2019-01-02,0.55,0.55,0.45,0.45,39000.0,91000.0
TV_ETBRDCST-I45CE,2019-01-02,0.3,0.35,0.25,0.25,143000.0,507000.0
TV_ETBRDCST-I46CE,2019-01-02,0.15,0.15,0.15,0.15,26000.0,52000.0
TV_ETBRDCST-I34PE,2019-01-03,0.45,0.55,0.45,0.55,39000.0,416000.0
TV_ETBRDCST-I36PE,2019-01-03,1.0,1.0,1.0,1.0,13000.0,273000.0
TV_ETBRDCST-I37PE,2019-01-03,3.95,3.95,1.35,1.65,676000.0,728000.0
TV_ETBRDCST-I38CE,2019-01-03,1.7,1.85,1.4,1.5,104000.0,741000.0
TV_ETBRDCST-I38PE,2019-01-03,2.0,2.2,2.0,2.2,26000.0,247000.0
TV_ETBRDCST-I39CE,2019-01-03,1.15,1.15,1.05,1.05,52000.0,325000.0
TV_ETBRDCST-I40CE,2019-01-03,1.05,1.05,0.65,0.8,728000.0,1443000.0
TV_ETBRDCST-I41CE,2019-01-03,0.55,0.55,0.55,0.55,13000.0,208000.0
TV_ETBRDCST-I42CE,2019-01-03,0.55,0.65,0.4,0.4,78000.0,312000.0
TV_ETBRDCST-I43CE,2019-01-03,0.3,0.3,0.3,0.3,13000.0,104000.0
TV_ETBRDCST-I45CE,2019-01-03,0.25,0.25,0.15,0.2,78000.0,546000.0
TV_ETBRDCST-I34PE,2019-01-04,0.5,0.5,0.45,0.45,26000.0,416000.0
TV_ETBRDCST-I35CE,2019-01-04,2.9,2.9,2.9,2.9,26000.0,78000.0
TV_ETBRDCST-I35PE,2019-01-04,0.85,0.9,0.65,0.65,78000.0,1365000.0
TV_ETBRDCST-I36PE,2019-01-04,1.25,1.25,0.9,0.9,65000.0,286000.0
TV_ETBRDCST-I37PE,2019-01-04,1.5,1.85,1.3,1.3,1105000.0,728000.0
TV_ETBRDCST-I38CE,2019-01-04,1.3,1.6,1.3,1.6,130000.0,754000.0
TV_ETBRDCST-I38PE,2019-01-04,2.0,2.0,1.8,1.8,52000.0,221000.0
TV_ETBRDCST-I39CE,2019-01-04,1.1,1.1,1.0,1.0,39000.0,325000.0
TV_ETBRDCST-I40CE,2019-01-04,0.85,0.9,0.65,0.9,455000.0,1508000.0
TV_ETBRDCST-I40PE,2019-01-04,3.2,3.2,3.15,3.15,26000.0,52000.0
TV_ETBRDCST-I42CE,2019-01-04,0.35,0.4,0.3,0.35,91000.0,299000.0
TV_ETBRDCST-I43CE,2019-01-04,0.3,0.3,0.25,0.25,26000.0,91000.0
TV_ETBRDCST-I45CE,2019-01-04,0.15,0.15,0.15,0.15,39000.0,546000.0
TV_ETBRDCST-I35PE,2019-01-07,0.55,0.55,0.45,0.55,65000.0,1391000.0
TV_ETBRDCST-I36PE,2019-01-07,0.7,0.7,0.7,0.7,26000.0,286000.0
TV_ETBRDCST-I37PE,2019-01-07,1.15,1.25,1.1,1.1,78000.0,312000.0
TV_ETBRDCST-I38CE,2019-01-07,1.7,1.9,1.65,1.7,143000.0,832000.0
TV_ETBRDCST-I38PE,2019-01-07,1.6,1.6,1.45,1.6,117000.0,221000.0
TV_ETBRDCST-I39CE,2019-01-07,1.35,1.5,1.15,1.35,182000.0,416000.0
TV_ETBRDCST-I40CE,2019-01-07,1.0,1.15,0.85,0.85,351000.0,1612000.0
TV_ETBRDCST-I41CE,2019-01-07,0.65,0.75,0.65,0.7,91000.0,286000.0
TV_ETBRDCST-I42CE,2019-01-07,0.65,0.65,0.5,0.55,39000.0,364000.0
TV_ETBRDCST-I45CE,2019-01-07,0.2,0.25,0.2,0.25,91000.0,520000.0
TV_ETBRDCST-I30PE,2019-01-08,0.45,0.45,0.45,0.45,26000.0,39000.0
TV_ETBRDCST-I33PE,2019-01-08,0.25,0.25,0.25,0.25,13000.0,39000.0
TV_ETBRDCST-I35PE,2019-01-08,0.45,0.55,0.45,0.55,52000.0,1404000.0
TV_ETBRDCST-I36PE,2019-01-08,0.65,0.7,0.65,0.7,26000.0,312000.0
TV_ETBRDCST-I37PE,2019-01-08,1.2,1.3,1.15,1.15,143000.0,195000.0
TV_ETBRDCST-I38CE,2019-01-08,1.8,1.8,1.65,1.65,39000.0,858000.0
TV_ETBRDCST-I38PE,2019-01-08,1.55,1.65,1.55,1.65,52000.0,221000.0
TV_ETBRDCST-I39CE,2019-01-08,1.4,1.4,1.15,1.4,52000.0,429000.0
TV_ETBRDCST-I40CE,2019-01-08,0.95,1.1,0.9,0.9,325000.0,1677000.0
TV_ETBRDCST-I45CE,2019-01-08,0.25,0.25,0.2,0.2,52000.0,559000.0
TV_ETBRDCST-I34PE,2019-01-09,0.4,0.4,0.4,0.4,26000.0,416000.0
TV_ETBRDCST-I35PE,2019-01-09,0.5,0.65,0.5,0.65,78000.0,1482000.0
TV_ETBRDCST-I36PE,2019-01-09,0.8,1.05,0.8,0.95,377000.0,442000.0
TV_ETBRDCST-I37CE,2019-01-09,2.05,2.3,2.05,2.3,104000.0,65000.0
