Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
UBL-I1220PE,2019-01-01,8.5,8.5,8.5,8.5,700.0,7000.0
UBL-I1280PE,2019-01-01,22.0,24.0,22.0,24.0,1400.0,2100.0
UBL-I1300PE,2019-01-01,24.8,33.65,24.8,33.65,1400.0,6300.0
UBL-I1320PE,2019-01-01,35.0,35.0,35.0,35.0,700.0,2800.0
UBL-I1340PE,2019-01-01,41.0,41.0,39.5,39.5,1400.0,4200.0
UBL-I1360CE,2019-01-01,57.25,57.25,57.25,57.25,700.0,2800.0
UBL-I1360PE,2019-01-01,49.4,56.95,49.4,53.0,5600.0,3500.0
UBL-I1380CE,2019-01-01,57.75,57.75,45.0,50.15,15400.0,12600.0
UBL-I1400CE,2019-01-01,47.6,48.35,37.4,43.5,40600.0,35000.0
UBL-I1400PE,2019-01-01,70.25,80.5,68.6,80.5,3500.0,2800.0
UBL-I1420CE,2019-01-01,38.3,38.3,29.7,34.0,4200.0,3500.0
UBL-I1440CE,2019-01-01,29.9,31.5,25.0,29.4,6300.0,9800.0
UBL-I1460CE,2019-01-01,23.5,23.5,21.0,21.0,1400.0,16800.0
UBL-I1480CE,2019-01-01,19.9,19.9,19.9,19.9,1400.0,700.0
UBL-I1520CE,2019-01-01,11.5,11.9,11.5,11.9,2100.0,700.0
UBL-I1200PE,2019-01-02,5.05,5.05,5.05,5.05,700.0,7700.0
UBL-I1280PE,2019-01-02,20.5,20.5,20.5,20.5,700.0,1400.0
UBL-I1300PE,2019-01-02,27.5,27.5,27.5,27.5,1400.0,5600.0
UBL-I1340PE,2019-01-02,43.5,43.5,43.5,43.5,1400.0,4200.0
UBL-I1360PE,2019-01-02,50.7,54.5,50.0,54.5,2100.0,3500.0
UBL-I1380CE,2019-01-02,51.9,51.9,45.0,48.3,10500.0,8400.0
UBL-I1380PE,2019-01-02,67.45,67.45,67.45,67.45,700.0,2100.0
UBL-I1400CE,2019-01-02,40.0,46.1,35.15,42.55,19600.0,32200.0
UBL-I1400PE,2019-01-02,76.15,76.2,76.15,76.2,2100.0,2800.0
UBL-I1420CE,2019-01-02,35.2,35.75,30.0,35.75,5600.0,2100.0
UBL-I1440CE,2019-01-02,28.6,28.6,24.15,24.45,2100.0,9100.0
UBL-I1460CE,2019-01-02,23.35,23.35,21.4,21.4,2800.0,16100.0
UBL-I1480CE,2019-01-02,18.5,18.5,18.5,18.5,1400.0,2100.0
UBL-I1500CE,2019-01-02,10.0,14.0,10.0,13.7,7700.0,18200.0
UBL-I1300PE,2019-01-03,27.0,27.0,23.75,23.75,2800.0,5600.0
UBL-I1340PE,2019-01-03,42.3,42.3,35.8,35.9,8400.0,5600.0
UBL-I1360PE,2019-01-03,48.2,49.35,48.2,49.35,1400.0,3500.0
UBL-I1380CE,2019-01-03,52.0,58.5,50.0,50.0,20300.0,9800.0
UBL-I1380PE,2019-01-03,54.55,55.4,53.4,53.4,3500.0,2100.0
UBL-I1400CE,2019-01-03,42.55,48.75,40.7,40.7,42700.0,38500.0
UBL-I1420CE,2019-01-03,37.0,39.4,37.0,39.4,2800.0,4200.0
UBL-I1440CE,2019-01-03,27.4,32.55,27.4,28.0,4200.0,9800.0
UBL-I1460CE,2019-01-03,24.0,24.35,24.0,24.05,2100.0,14000.0
UBL-I1480CE,2019-01-03,18.5,18.5,17.5,17.5,1400.0,2800.0
UBL-I1500CE,2019-01-03,18.0,18.0,15.0,15.2,11200.0,21000.0
UBL-I1520CE,2019-01-03,11.9,15.0,8.8,12.5,3500.0,2800.0
UBL-I1540CE,2019-01-03,10.95,10.95,10.95,10.95,700.0,4200.0
UBL-I1200PE,2019-01-04,9.6,9.6,9.6,9.6,1400.0,7700.0
UBL-I1300PE,2019-01-04,25.0,33.0,25.0,30.95,2800.0,5600.0
UBL-I1360CE,2019-01-04,50.15,50.15,50.15,50.15,700.0,3500.0
UBL-I1360PE,2019-01-04,49.7,57.4,46.0,46.0,5600.0,4900.0
UBL-I1380CE,2019-01-04,51.0,52.0,47.0,52.0,9100.0,14000.0
UBL-I1380PE,2019-01-04,60.85,61.0,60.85,61.0,1400.0,2800.0
UBL-I1400CE,2019-01-04,39.35,42.55,34.2,40.5,29400.0,35000.0
UBL-I1400PE,2019-01-04,73.8,73.8,73.8,73.8,700.0,4200.0
UBL-I1420CE,2019-01-04,29.1,29.1,29.1,29.1,700.0,4900.0
UBL-I1440CE,2019-01-04,25.0,25.0,23.0,23.0,1400.0,9800.0
UBL-I1460CE,2019-01-04,19.15,19.15,19.15,19.15,4200.0,14000.0
UBL-I1500CE,2019-01-04,11.5,11.5,11.5,11.5,1400.0,21000.0
UBL-I1300PE,2019-01-07,18.0,22.0,18.0,22.0,4900.0,7000.0
UBL-I1340PE,2019-01-07,30.0,30.0,30.0,30.0,700.0,6300.0
UBL-I1360CE,2019-01-07,67.3,67.3,67.3,67.3,700.0,3500.0
UBL-I1360PE,2019-01-07,39.0,39.6,38.3,38.3,4200.0,6300.0
UBL-I1380CE,2019-01-07,55.0,59.0,54.5,57.5,9800.0,12600.0
UBL-I1380PE,2019-01-07,50.45,50.45,45.7,49.25,4900.0,4200.0
UBL-I1400CE,2019-01-07,43.15,50.6,43.15,48.0,53900.0,31500.0
UBL-I1400PE,2019-01-07,56.1,56.1,56.1,56.1,700.0,4900.0
UBL-I1420CE,2019-01-07,36.55,40.2,36.55,40.0,6300.0,7000.0
UBL-I1440CE,2019-01-07,28.6,28.6,28.4,28.4,1400.0,9800.0
UBL-I1460CE,2019-01-07,21.15,23.2,21.15,23.2,1400.0,9100.0
UBL-I1480PE,2019-01-07,117.0,117.0,117.0,117.0,1400.0,2800.0
UBL-I1500CE,2019-01-07,15.0,16.45,14.9,15.5,9100.0,23100.0
UBL-I1540CE,2019-01-07,8.95,8.95,8.95,8.95,1400.0,4900.0
UBL-I1580CE,2019-01-07,6.0,6.0,5.5,5.5,4200.0,7700.0
UBL-I1200PE,2019-01-08,4.1,4.1,4.1,4.1,1400.0,7700.0
UBL-I1280PE,2019-01-08,12.0,12.0,12.0,12.0,6300.0,7000.0
UBL-I1300PE,2019-01-08,14.55,14.55,12.0,12.0,3500.0,9800.0
UBL-I1340PE,2019-01-08,26.2,26.2,22.35,22.35,4200.0,8400.0
UBL-I1360CE,2019-01-08,72.55,72.55,72.55,72.55,700.0,3500.0
UBL-I1360PE,2019-01-08,33.5,33.5,27.0,27.0,11200.0,12600.0
UBL-I1380CE,2019-01-08,59.0,71.6,58.0,69.0,20300.0,5600.0
UBL-I1380PE,2019-01-08,45.25,45.25,35.5,35.5,14700.0,4200.0
UBL-I1400CE,2019-01-08,46.0,60.9,46.0,58.5,182000.0,49000.0
UBL-I1400PE,2019-01-08,56.45,56.45,42.4,42.5,13300.0,5600.0
UBL-I1420CE,2019-01-08,40.35,50.9,40.35,47.5,48300.0,15400.0
UBL-I1440CE,2019-01-08,34.0,41.25,34.0,38.55,14000.0,17500.0
UBL-I1460CE,2019-01-08,28.0,31.95,25.0,31.95,5600.0,10500.0
UBL-I1480CE,2019-01-08,21.0,24.35,21.0,24.35,2100.0,4200.0
UBL-I1500CE,2019-01-08,18.5,21.5,16.0,19.0,47600.0,31500.0
UBL-I1500PE,2019-01-08,105.05,105.05,105.05,105.05,700.0,0.0
UBL-I1540CE,2019-01-08,11.0,12.0,10.8,12.0,4900.0,9100.0
UBL-I1580CE,2019-01-08,5.0,7.0,5.0,7.0,6300.0,14700.0
UBL-I1200PE,2019-01-09,4.1,4.1,4.1,4.1,700.0,7700.0
UBL-I1280PE,2019-01-09,12.0,12.0,11.5,11.5,2800.0,9100.0
UBL-I1300PE,2019-01-09,12.0,12.0,12.0,12.0,700.0,9800.0
UBL-I1340PE,2019-01-09,25.95,30.0,25.95,30.0,1400.0,9100.0
UBL-I1360CE,2019-01-09,70.75,72.0,62.95,62.95,5600.0,6300.0
UBL-I1360PE,2019-01-09,31.0,38.0,30.8,33.5,9100.0,10500.0
UBL-I1380CE,2019-01-09,53.3,53.3,52.4,52.4,2100.0,6300.0
UBL-I1380PE,2019-01-09,39.9,45.75,39.9,45.75,2800.0,4200.0
UBL-I1400CE,2019-01-09,55.1,55.1,39.0,39.3,93800.0,42700.0
UBL-I1400PE,2019-01-09,47.1,54.5,47.1,54.5,8400.0,6300.0
UBL-I1420CE,2019-01-09,44.2,44.2,31.85,31.85,17500.0,16800.0
UBL-I1440CE,2019-01-09,33.0,33.0,25.7,27.0,6300.0,17500.0
UBL-I1460CE,2019-01-09,22.05,22.05,20.0,20.0,2800.0,11900.0
UBL-I1480CE,2019-01-09,20.2,20.2,13.9,13.9,3500.0,4900.0
UBL-I1500CE,2019-01-09,16.0,16.7,11.0,11.5,28000.0,28700.0
UBL-I1520CE,2019-01-09,12.0,12.0,10.0,10.0,5600.0,4200.0
UBL-I1580CE,2019-01-09,5.0,5.0,4.0,4.0,2800.0,16100.0
UBL-I1340CE,2019-01-10,68.35,68.35,68.35,68.35,7000.0,2100.0
UBL-I1340PE,2019-01-10,28.9,28.9,27.25,27.25,7000.0,9100.0
UBL-I1360CE,2019-01-10,59.0,59.0,56.65,56.65,4900.0,7700.0
UBL-I1360PE,2019-01-10,36.35,36.6,31.0,31.2,8400.0,11900.0
UBL-I1380CE,2019-01-10,45.15,48.75,45.15,46.15,4900.0,6300.0
UBL-I1380PE,2019-01-10,45.8,49.0,41.45,41.45,5600.0,4200.0
UBL-I1400CE,2019-01-10,38.35,40.5,34.95,36.45,44800.0,40600.0
UBL-I1400PE,2019-01-10,55.05,57.65,50.35,50.35,5600.0,5600.0
UBL-I1420CE,2019-01-10,30.0,30.75,28.2,30.35,13300.0,21000.0
UBL-I1420PE,2019-01-10,67.85,67.85,67.85,67.85,7700.0,2100.0
UBL-I1440CE,2019-01-10,23.3,23.3,21.15,23.0,4900.0,18900.0
UBL-I1440PE,2019-01-10,80.7,80.7,80.7,80.7,1400.0,0.0
UBL-I1460CE,2019-01-10,15.0,17.8,15.0,17.8,21000.0,31500.0
UBL-I1500CE,2019-01-10,9.5,10.95,9.0,9.75,35700.0,55300.0
UBL-I1540CE,2019-01-10,5.6,6.0,5.0,6.0,3500.0,9800.0
UBL-I1200PE,2019-01-11,0.95,0.95,0.95,0.95,700.0,7700.0
UBL-I1340PE,2019-01-11,23.0,23.0,23.0,23.0,700.0,10500.0
UBL-I1360PE,2019-01-11,30.0,32.25,30.0,31.65,3500.0,11200.0
UBL-I1380CE,2019-01-11,42.9,42.9,42.9,42.9,700.0,5600.0
UBL-I1400CE,2019-01-11,35.7,35.7,31.65,33.7,20300.0,35700.0
UBL-I1400PE,2019-01-11,52.5,53.45,51.7,51.7,2100.0,3500.0
UBL-I1420CE,2019-01-11,28.1,28.1,27.55,27.55,2100.0,20300.0
UBL-I1440CE,2019-01-11,19.45,21.5,18.95,18.95,2800.0,18200.0
UBL-I1460CE,2019-01-11,13.05,13.05,13.05,13.05,2100.0,31500.0
UBL-I1480CE,2019-01-11,9.5,10.6,9.5,9.95,3500.0,4900.0
UBL-I1500CE,2019-01-11,10.0,10.0,7.5,8.0,14700.0,60200.0
UBL-I1500PE,2019-01-11,124.1,124.1,124.1,124.1,700.0,700.0
UBL-I1580CE,2019-01-11,2.0,2.0,2.0,2.0,700.0,15400.0
UBL-I1300PE,2019-01-14,9.25,12.4,8.05,12.4,7000.0,11900.0
UBL-I1340PE,2019-01-14,17.85,17.85,17.85,17.85,700.0,10500.0
UBL-I1360PE,2019-01-14,30.0,30.0,26.15,29.25,7700.0,9100.0
UBL-I1400CE,2019-01-14,27.65,36.1,27.65,31.8,23800.0,34300.0
UBL-I1420CE,2019-01-14,26.0,28.8,26.0,28.8,2100.0,21700.0
UBL-I1440CE,2019-01-14,23.1,23.1,15.4,18.6,4900.0,18200.0
UBL-I1460CE,2019-01-14,10.8,16.0,10.8,16.0,20300.0,14700.0
UBL-I1480CE,2019-01-14,10.0,10.0,10.0,10.0,700.0,6300.0
UBL-I1500CE,2019-01-14,7.0,9.0,7.0,9.0,23100.0,58100.0
UBL-I1240PE,2019-01-15,1.8,1.8,1.8,1.8,700.0,2800.0
UBL-I1280PE,2019-01-15,3.0,3.0,3.0,3.0,700.0,11200.0
UBL-I1300PE,2019-01-15,6.35,6.35,5.15,5.15,8400.0,11900.0
UBL-I1360CE,2019-01-15,65.2,76.0,65.2,76.0,4200.0,4900.0
UBL-I1360PE,2019-01-15,25.05,25.05,15.0,15.0,12600.0,12600.0
UBL-I1380CE,2019-01-15,38.35,61.3,38.35,61.3,4900.0,5600.0
UBL-I1380PE,2019-01-15,37.4,37.4,18.5,18.5,3500.0,4200.0
UBL-I1400CE,2019-01-15,32.4,56.3,32.4,56.3,60900.0,21000.0
