Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
UJJIVAN-I240PE,2019-01-01,2.45,2.45,2.35,2.35,8000.0,51200.0
UJJIVAN-I245PE,2019-01-01,3.45,3.45,3.45,3.45,1600.0,1600.0
UJJIVAN-I250CE,2019-01-01,30.6,30.6,30.6,30.6,3200.0,17600.0
UJJIVAN-I250PE,2019-01-01,3.75,4.5,3.75,4.0,25600.0,73600.0
UJJIVAN-I260PE,2019-01-01,6.5,7.4,6.5,7.0,9600.0,33600.0
UJJIVAN-I270CE,2019-01-01,16.0,17.5,16.0,16.5,4800.0,4800.0
UJJIVAN-I270PE,2019-01-01,10.0,11.35,9.75,10.25,36800.0,48000.0
UJJIVAN-I275CE,2019-01-01,14.6,14.6,14.6,14.6,1600.0,11200.0
UJJIVAN-I275PE,2019-01-01,12.6,13.35,12.05,12.05,6400.0,8000.0
UJJIVAN-I280CE,2019-01-01,12.5,12.6,10.4,11.05,51200.0,62400.0
UJJIVAN-I280PE,2019-01-01,14.95,14.95,14.7,14.7,6400.0,22400.0
UJJIVAN-I285CE,2019-01-01,11.5,11.5,8.75,9.4,40000.0,49600.0
UJJIVAN-I290CE,2019-01-01,9.5,9.5,7.0,7.55,78400.0,264000.0
UJJIVAN-I290PE,2019-01-01,21.35,21.35,21.35,21.35,1600.0,3200.0
UJJIVAN-I295CE,2019-01-01,6.7,6.7,5.95,6.0,6400.0,11200.0
UJJIVAN-I300CE,2019-01-01,5.45,5.7,4.6,5.05,68800.0,163200.0
UJJIVAN-I310CE,2019-01-01,3.6,3.75,3.05,3.05,8000.0,49600.0
UJJIVAN-I320CE,2019-01-01,2.35,2.35,1.9,1.9,19200.0,62400.0
UJJIVAN-I330CE,2019-01-01,1.2,1.3,1.15,1.3,6400.0,4800.0
UJJIVAN-I240PE,2019-01-02,1.9,2.45,1.85,2.45,17600.0,54400.0
UJJIVAN-I250CE,2019-01-02,32.5,36.0,30.45,30.45,9600.0,12800.0
UJJIVAN-I250PE,2019-01-02,3.35,4.65,3.0,4.15,68800.0,76800.0
