Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ULTRACEMCO-I3600PE,2019-01-01,17.0,17.0,12.65,12.65,800.0,1200.0
ULTRACEMCO-I3750PE,2019-01-01,36.0,40.45,36.0,40.45,600.0,1200.0
ULTRACEMCO-I3800PE,2019-01-01,46.0,50.4,41.0,41.0,1200.0,10000.0
ULTRACEMCO-I3900PE,2019-01-01,75.95,81.15,75.45,81.15,1000.0,5400.0
ULTRACEMCO-I3950PE,2019-01-01,91.9,104.9,86.5,86.5,2200.0,2800.0
ULTRACEMCO-I4000CE,2019-01-01,137.1,138.0,127.0,138.0,3000.0,11000.0
ULTRACEMCO-I4000PE,2019-01-01,109.55,127.4,105.3,105.3,1200.0,4400.0
ULTRACEMCO-I4050CE,2019-01-01,113.95,116.0,96.1,112.65,2400.0,4000.0
ULTRACEMCO-I4050PE,2019-01-01,137.95,137.95,130.35,130.35,400.0,600.0
ULTRACEMCO-I4100CE,2019-01-01,80.5,95.0,75.0,92.3,6600.0,13800.0
ULTRACEMCO-I4150CE,2019-01-01,73.8,73.8,73.8,73.8,200.0,2400.0
ULTRACEMCO-I4200CE,2019-01-01,55.25,60.45,46.55,60.45,2600.0,15600.0
ULTRACEMCO-I4300CE,2019-01-01,31.95,34.95,27.9,28.3,1800.0,5800.0
ULTRACEMCO-I4400CE,2019-01-01,20.9,20.9,17.8,17.8,800.0,2400.0
ULTRACEMCO-I4500CE,2019-01-01,11.0,11.0,11.0,11.0,1000.0,3000.0
ULTRACEMCO-I4600CE,2019-01-01,10.1,10.1,7.95,8.0,800.0,400.0
ULTRACEMCO-I3500PE,2019-01-02,10.05,10.05,10.05,10.05,400.0,3600.0
ULTRACEMCO-I3800PE,2019-01-02,44.35,45.0,44.35,45.0,1000.0,10400.0
ULTRACEMCO-I3850PE,2019-01-02,55.3,61.1,51.3,58.4,2200.0,4000.0
ULTRACEMCO-I3900PE,2019-01-02,69.0,81.5,68.6,77.0,4800.0,6600.0
ULTRACEMCO-I3950CE,2019-01-02,160.35,160.5,152.0,160.5,1200.0,1200.0
ULTRACEMCO-I3950PE,2019-01-02,93.8,101.4,90.35,93.7,4000.0,4400.0
ULTRACEMCO-I4000CE,2019-01-02,128.5,145.0,118.95,131.95,6800.0,10400.0
ULTRACEMCO-I4000PE,2019-01-02,118.9,123.0,109.8,115.95,3200.0,6200.0
ULTRACEMCO-I4050CE,2019-01-02,105.2,120.0,99.9,110.65,5600.0,3400.0
ULTRACEMCO-I4050PE,2019-01-02,138.45,150.85,128.0,141.15,3800.0,1600.0
ULTRACEMCO-I4100CE,2019-01-02,90.0,100.0,77.9,77.9,10400.0,13600.0
ULTRACEMCO-I4150CE,2019-01-02,68.05,71.9,63.6,71.45,2600.0,3000.0
ULTRACEMCO-I4200CE,2019-01-02,53.3,63.0,51.0,52.5,24600.0,23200.0
ULTRACEMCO-I4200PE,2019-01-02,225.0,225.0,225.0,225.0,200.0,200.0
ULTRACEMCO-I4300CE,2019-01-02,31.0,38.0,31.0,32.9,9000.0,8000.0
ULTRACEMCO-I4400CE,2019-01-02,20.1,20.5,20.1,20.5,600.0,2400.0
ULTRACEMCO-I4500CE,2019-01-02,9.05,9.05,9.05,9.05,200.0,3400.0
ULTRACEMCO-I4600CE,2019-01-02,8.0,8.0,8.0,8.0,400.0,800.0
ULTRACEMCO-I3500PE,2019-01-03,9.5,11.0,9.5,11.0,1400.0,4800.0
ULTRACEMCO-I3600CE,2019-01-03,401.1,401.1,401.1,401.1,200.0,200.0
ULTRACEMCO-I3600PE,2019-01-03,15.5,20.0,15.5,20.0,400.0,1400.0
ULTRACEMCO-I3700PE,2019-01-03,35.0,45.0,24.55,43.0,4200.0,4800.0
ULTRACEMCO-I3750PE,2019-01-03,42.05,57.5,42.05,57.5,600.0,1200.0
ULTRACEMCO-I3800CE,2019-01-03,240.0,240.0,240.0,240.0,200.0,1000.0
ULTRACEMCO-I3800PE,2019-01-03,54.3,77.7,54.3,77.7,5000.0,12000.0
ULTRACEMCO-I3850PE,2019-01-03,73.2,93.05,73.2,93.05,1400.0,4200.0
ULTRACEMCO-I3900CE,2019-01-03,160.0,160.0,160.0,160.0,200.0,2800.0
ULTRACEMCO-I3900PE,2019-01-03,78.95,115.0,78.95,115.0,12600.0,6000.0
ULTRACEMCO-I3950CE,2019-01-03,159.5,163.9,110.25,110.25,2200.0,1400.0
ULTRACEMCO-I3950PE,2019-01-03,96.8,125.3,89.0,123.0,11800.0,3800.0
ULTRACEMCO-I4000CE,2019-01-03,131.2,136.45,85.3,85.3,15800.0,13800.0
ULTRACEMCO-I4000PE,2019-01-03,117.0,172.4,117.0,172.4,5600.0,4400.0
ULTRACEMCO-I4050CE,2019-01-03,104.8,114.25,67.0,68.2,10800.0,4400.0
ULTRACEMCO-I4050PE,2019-01-03,143.85,207.3,135.0,207.3,3600.0,1200.0
ULTRACEMCO-I4100CE,2019-01-03,88.6,91.5,53.15,53.15,19400.0,13600.0
ULTRACEMCO-I4150CE,2019-01-03,70.55,70.55,42.15,42.15,4000.0,3000.0
ULTRACEMCO-I4200CE,2019-01-03,54.8,55.5,32.7,33.1,34200.0,34600.0
ULTRACEMCO-I4250CE,2019-01-03,35.4,35.4,35.4,35.4,200.0,1000.0
ULTRACEMCO-I4300CE,2019-01-03,34.0,34.3,20.15,20.15,5600.0,8000.0
ULTRACEMCO-I4400CE,2019-01-03,18.0,18.0,17.05,17.05,400.0,2400.0
ULTRACEMCO-I4500CE,2019-01-03,8.0,8.0,8.0,8.0,600.0,3800.0
ULTRACEMCO-I4600CE,2019-01-03,4.0,4.0,4.0,4.0,400.0,1000.0
ULTRACEMCO-I3500PE,2019-01-04,14.7,19.95,14.0,14.0,2800.0,6000.0
ULTRACEMCO-I3600PE,2019-01-04,24.0,24.0,24.0,24.0,200.0,1400.0
ULTRACEMCO-I3700PE,2019-01-04,51.05,55.95,35.9,36.4,14800.0,10800.0
ULTRACEMCO-I3750PE,2019-01-04,59.0,70.55,49.6,49.6,3400.0,2800.0
ULTRACEMCO-I3800PE,2019-01-04,78.3,88.8,58.55,59.35,11600.0,13600.0
ULTRACEMCO-I3850CE,2019-01-04,143.0,170.35,141.0,168.85,1200.0,600.0
ULTRACEMCO-I3850PE,2019-01-04,92.65,111.05,76.5,79.25,7000.0,3600.0
ULTRACEMCO-I3900CE,2019-01-04,120.0,143.2,114.2,143.2,12400.0,3800.0
ULTRACEMCO-I3900PE,2019-01-04,107.75,135.0,99.65,100.2,10200.0,5200.0
ULTRACEMCO-I3950CE,2019-01-04,103.35,116.4,91.1,116.0,6400.0,2000.0
ULTRACEMCO-I3950PE,2019-01-04,160.95,160.95,126.7,126.7,1400.0,2800.0
ULTRACEMCO-I4000CE,2019-01-04,91.7,96.15,75.0,90.45,23600.0,17400.0
ULTRACEMCO-I4000PE,2019-01-04,180.15,192.05,150.0,150.0,2000.0,3400.0
ULTRACEMCO-I4050CE,2019-01-04,66.25,77.1,59.45,76.25,8000.0,4200.0
ULTRACEMCO-I4050PE,2019-01-04,196.2,229.9,182.35,182.35,1000.0,1000.0
ULTRACEMCO-I4100CE,2019-01-04,61.2,61.2,45.65,59.7,7200.0,14200.0
ULTRACEMCO-I4150CE,2019-01-04,40.05,47.65,36.8,43.9,3400.0,2200.0
ULTRACEMCO-I4200CE,2019-01-04,33.7,36.4,26.9,36.0,12400.0,34600.0
