Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
UNIONBANK-I75PE,2019-01-01,0.65,0.65,0.4,0.4,84000.0,280000.0
UNIONBANK-I77.5PE,2019-01-01,1.05,1.05,0.95,0.95,21000.0,133000.0
UNIONBANK-I80PE,2019-01-01,1.5,1.65,0.9,0.9,350000.0,511000.0
UNIONBANK-I82.5PE,2019-01-01,2.5,2.5,1.45,1.5,203000.0,112000.0
UNIONBANK-I85CE,2019-01-01,4.45,6.45,4.35,6.45,287000.0,280000.0
UNIONBANK-I85PE,2019-01-01,3.2,3.55,2.2,2.2,658000.0,588000.0
UNIONBANK-I87.5CE,2019-01-01,3.35,5.05,3.25,5.0,560000.0,154000.0
UNIONBANK-I87.5PE,2019-01-01,3.95,4.0,3.2,3.2,84000.0,112000.0
UNIONBANK-I90CE,2019-01-01,2.75,3.8,2.55,3.8,1722000.0,1099000.0
UNIONBANK-I90PE,2019-01-01,5.6,5.75,4.4,4.4,84000.0,147000.0
UNIONBANK-I92.5CE,2019-01-01,1.95,2.85,1.95,2.8,154000.0,105000.0
UNIONBANK-I95CE,2019-01-01,1.55,2.1,1.3,2.1,357000.0,273000.0
UNIONBANK-I100CE,2019-01-01,0.95,1.15,0.8,1.15,399000.0,455000.0
UNIONBANK-I100PE,2019-01-01,12.15,12.2,12.15,12.2,189000.0,329000.0
UNIONBANK-I102.5CE,2019-01-01,0.4,0.75,0.4,0.75,28000.0,14000.0
UNIONBANK-I70PE,2019-01-02,0.25,0.25,0.25,0.25,7000.0,0.0
UNIONBANK-I72.5PE,2019-01-02,0.25,0.25,0.25,0.25,7000.0,0.0
UNIONBANK-I75PE,2019-01-02,0.45,0.6,0.4,0.5,238000.0,294000.0
UNIONBANK-I77.5PE,2019-01-02,0.65,0.65,0.55,0.6,28000.0,133000.0
UNIONBANK-I80CE,2019-01-02,9.75,9.95,9.75,9.95,35000.0,147000.0
UNIONBANK-I80PE,2019-01-02,0.8,1.35,0.8,1.1,728000.0,525000.0
UNIONBANK-I82.5CE,2019-01-02,8.0,8.0,7.45,7.45,14000.0,28000.0
UNIONBANK-I82.5PE,2019-01-02,1.6,1.85,1.4,1.7,161000.0,147000.0
UNIONBANK-I85CE,2019-01-02,6.6,7.15,5.45,6.1,420000.0,287000.0
UNIONBANK-I85PE,2019-01-02,2.4,2.75,1.85,2.6,973000.0,623000.0
UNIONBANK-I87.5CE,2019-01-02,4.8,4.95,4.15,4.6,140000.0,126000.0
UNIONBANK-I87.5PE,2019-01-02,3.1,3.9,3.0,3.45,182000.0,154000.0
UNIONBANK-I90CE,2019-01-02,3.4,4.15,3.0,3.35,1687000.0,917000.0
UNIONBANK-I90PE,2019-01-02,4.8,5.2,3.9,4.65,441000.0,154000.0
UNIONBANK-I92.5CE,2019-01-02,2.8,3.05,2.25,2.45,287000.0,168000.0
UNIONBANK-I95CE,2019-01-02,2.0,2.3,1.35,1.35,805000.0,392000.0
UNIONBANK-I97.5CE,2019-01-02,1.5,1.6,1.15,1.25,98000.0,70000.0
UNIONBANK-I100CE,2019-01-02,1.05,1.25,0.7,0.8,707000.0,651000.0
UNIONBANK-I100PE,2019-01-02,11.4,12.8,11.4,12.8,252000.0,371000.0
UNIONBANK-I102.5CE,2019-01-02,0.85,0.85,0.6,0.6,14000.0,28000.0
UNIONBANK-I65PE,2019-01-03,0.1,0.1,0.1,0.1,7000.0,14000.0
UNIONBANK-I70CE,2019-01-03,19.0,19.0,19.0,19.0,7000.0,14000.0
UNIONBANK-I72.5PE,2019-01-03,0.25,0.25,0.25,0.25,7000.0,7000.0
UNIONBANK-I75PE,2019-01-03,0.45,0.5,0.4,0.4,84000.0,287000.0
UNIONBANK-I77.5PE,2019-01-03,0.6,0.6,0.6,0.6,7000.0,133000.0
UNIONBANK-I80CE,2019-01-03,9.75,10.5,9.6,10.3,56000.0,126000.0
UNIONBANK-I80PE,2019-01-03,1.1,1.1,0.85,0.95,252000.0,574000.0
UNIONBANK-I82.5CE,2019-01-03,8.25,8.25,8.25,8.25,7000.0,35000.0
UNIONBANK-I82.5PE,2019-01-03,1.55,1.55,1.25,1.45,91000.0,133000.0
UNIONBANK-I85CE,2019-01-03,6.0,6.8,5.85,6.1,147000.0,259000.0
UNIONBANK-I85PE,2019-01-03,2.65,2.65,1.8,2.05,714000.0,693000.0
UNIONBANK-I87.5CE,2019-01-03,4.6,5.25,4.6,4.9,84000.0,119000.0
UNIONBANK-I87.5PE,2019-01-03,3.45,3.45,2.6,3.05,294000.0,98000.0
UNIONBANK-I90CE,2019-01-03,3.2,3.95,3.0,3.5,1176000.0,896000.0
UNIONBANK-I90PE,2019-01-03,5.0,5.0,3.85,4.2,301000.0,203000.0
UNIONBANK-I92.5CE,2019-01-03,2.2,2.85,2.2,2.65,168000.0,203000.0
UNIONBANK-I92.5PE,2019-01-03,5.6,5.6,5.6,5.6,14000.0,0.0
UNIONBANK-I95CE,2019-01-03,1.5,2.05,1.5,1.8,1071000.0,889000.0
UNIONBANK-I95PE,2019-01-03,7.25,7.25,7.25,7.25,14000.0,7000.0
UNIONBANK-I97.5CE,2019-01-03,1.15,1.3,1.15,1.3,49000.0,70000.0
UNIONBANK-I100CE,2019-01-03,0.65,1.0,0.6,0.85,847000.0,917000.0
UNIONBANK-I100PE,2019-01-03,12.5,12.5,10.6,11.5,301000.0,427000.0
UNIONBANK-I105CE,2019-01-03,0.35,0.45,0.35,0.45,14000.0,7000.0
UNIONBANK-I65PE,2019-01-04,0.05,0.05,0.05,0.05,7000.0,14000.0
UNIONBANK-I70PE,2019-01-04,0.15,0.15,0.15,0.15,14000.0,84000.0
UNIONBANK-I75PE,2019-01-04,0.2,0.25,0.2,0.25,56000.0,273000.0
UNIONBANK-I80CE,2019-01-04,10.0,13.3,10.0,13.15,21000.0,126000.0
UNIONBANK-I80PE,2019-01-04,0.9,0.95,0.4,0.4,609000.0,532000.0
UNIONBANK-I82.5CE,2019-01-04,10.85,10.85,10.15,10.15,35000.0,35000.0
UNIONBANK-I82.5PE,2019-01-04,1.3,1.45,0.7,0.7,182000.0,112000.0
UNIONBANK-I85CE,2019-01-04,5.85,9.25,5.85,9.25,175000.0,273000.0
