Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
VEDL.EQ-NSE,2019-01-01,202.5,202.85,200.35,202.5,3933278.0
VEDL.EQ-NSE,2019-01-02,200.0,200.0,192.5,193.2,18894751.0
VEDL.EQ-NSE,2019-01-03,194.0,195.0,187.55,188.5,13934627.0
VEDL.EQ-NSE,2019-01-04,187.45,194.45,186.65,194.0,12854159.0
VEDL.EQ-NSE,2019-01-07,196.8,198.65,192.5,193.65,10954695.0
VEDL.EQ-NSE,2019-01-08,194.35,197.0,191.9,195.65,14268715.0
VEDL.EQ-NSE,2019-01-09,197.9,198.0,192.0,195.05,11126611.0
VEDL.EQ-NSE,2019-01-10,194.75,196.2,193.45,195.35,8232134.0
VEDL.EQ-NSE,2019-01-11,195.5,198.3,195.0,196.7,8229844.0
VEDL.EQ-NSE,2019-01-14,195.25,195.75,192.0,193.05,9048485.0
VEDL.EQ-NSE,2019-01-15,193.9,199.8,193.35,198.75,9396340.0
VEDL.EQ-NSE,2019-01-16,200.4,202.25,195.7,196.55,12459495.0
VEDL.EQ-NSE,2019-01-17,197.3,198.25,195.4,196.8,6579132.0
VEDL.EQ-NSE,2019-01-18,199.5,200.0,196.25,198.75,8284424.0
VEDL.EQ-NSE,2019-01-21,200.1,200.5,197.65,198.1,6313731.0
VEDL.EQ-NSE,2019-01-22,196.9,197.4,191.0,191.1,9889815.0
VEDL.EQ-NSE,2019-01-23,191.0,195.0,190.6,192.5,7504521.0
VEDL.EQ-NSE,2019-01-24,192.9,195.45,191.3,193.55,6176878.0
VEDL.EQ-NSE,2019-01-25,195.5,196.4,192.55,195.0,6419925.0
VEDL.EQ-NSE,2019-01-28,194.85,194.95,191.0,192.2,6025543.0
VEDL.EQ-NSE,2019-01-29,191.2,193.85,189.4,192.7,6214619.0
VEDL.EQ-NSE,2019-01-30,194.0,196.45,192.15,194.45,10001072.0
VEDL.EQ-NSE,2019-01-31,195.55,198.25,193.8,197.95,13388834.0
VEDL.EQ-NSE,2019-02-01,177.65,180.0,158.15,161.5,98260192.0
VEDL.EQ-NSE,2019-02-04,162.5,165.0,156.5,162.4,24475026.0
VEDL.EQ-NSE,2019-02-05,158.95,164.5,157.25,163.3,14281304.0
VEDL.EQ-NSE,2019-02-06,163.65,165.0,157.75,164.7,13132189.0
VEDL.EQ-NSE,2019-02-07,163.2,165.65,161.8,163.05,9386296.0
VEDL.EQ-NSE,2019-02-08,162.2,162.4,149.7,154.6,21640208.0
VEDL.EQ-NSE,2019-02-11,153.5,155.2,147.05,151.85,18148475.0
VEDL.EQ-NSE,2019-02-12,151.6,157.95,150.7,152.85,14097276.0
VEDL.EQ-NSE,2019-02-13,154.0,154.85,150.15,150.45,7359281.0
VEDL.EQ-NSE,2019-02-14,150.45,153.0,149.15,152.0,9951525.0
VEDL.EQ-NSE,2019-02-15,151.2,151.2,145.8,147.55,14086427.0
VEDL.EQ-NSE,2019-02-18,148.85,151.15,146.65,147.95,14262950.0
VEDL.EQ-NSE,2019-02-19,148.1,154.4,147.85,152.95,12559215.0
VEDL.EQ-NSE,2019-02-20,154.2,160.9,154.2,160.3,17211205.0
VEDL.EQ-NSE,2019-02-21,161.85,165.6,160.3,164.4,14600057.0
VEDL.EQ-NSE,2019-02-22,164.3,170.0,163.6,169.8,14164319.0
VEDL.EQ-NSE,2019-02-25,171.1,171.8,167.4,170.9,10955425.0
VEDL.EQ-NSE,2019-02-26,168.75,171.25,164.0,169.55,13168964.0
VEDL.EQ-NSE,2019-02-27,170.05,171.45,163.7,164.1,10981639.0
VEDL.EQ-NSE,2019-02-28,166.5,171.45,164.2,170.7,39000844.0
VEDL.EQ-NSE,2019-03-01,172.3,174.8,172.0,173.6,11804020.0
VEDL.EQ-NSE,2019-03-05,172.95,176.4,172.4,174.45,7620117.0
VEDL.EQ-NSE,2019-03-06,177.1,180.0,176.1,178.55,10990544.0
VEDL.EQ-NSE,2019-03-07,178.5,178.55,172.6,175.9,9435467.0
VEDL.EQ-NSE,2019-03-08,174.15,174.75,171.25,172.15,5784648.0
VEDL.EQ-NSE,2019-03-11,173.8,178.75,172.55,176.65,9022320.0
VEDL.EQ-NSE,2019-03-12,178.45,180.35,177.3,178.3,10374929.0
VEDL.EQ-NSE,2019-03-13,178.0,178.3,171.0,172.0,9744233.0
VEDL.EQ-NSE,2019-03-14,171.85,174.7,171.4,173.5,6499481.0
VEDL.EQ-NSE,2019-03-15,173.4,176.5,170.2,175.0,18209610.0
VEDL.EQ-NSE,2019-03-18,174.9,175.0,171.85,173.35,5882838.0
VEDL.EQ-NSE,2019-03-19,172.5,175.2,171.55,172.9,8867500.0
VEDL.EQ-NSE,2019-03-20,173.25,175.45,172.55,174.0,5686987.0
VEDL.EQ-NSE,2019-03-22,174.15,176.6,173.05,173.2,6296976.0
VEDL.EQ-NSE,2019-03-25,170.6,171.0,167.75,168.2,8214425.0
VEDL.EQ-NSE,2019-03-26,169.3,174.35,169.0,174.25,8076754.0
VEDL.EQ-NSE,2019-03-27,175.45,177.25,173.4,174.7,8453221.0
VEDL.EQ-NSE,2019-03-28,177.3,178.95,175.65,177.9,9726327.0
VEDL.EQ-NSE,2019-03-29,178.65,185.4,178.55,184.8,16371673.0
VEDL.EQ-NSE,2019-04-01,188.0,193.4,187.0,188.6,15741871.0
VEDL.EQ-NSE,2019-04-02,190.2,190.8,186.35,188.1,8060614.0
VEDL.EQ-NSE,2019-04-03,188.95,191.0,185.05,185.6,5962369.0
VEDL.EQ-NSE,2019-04-04,185.7,189.15,183.4,187.55,6352394.0
VEDL.EQ-NSE,2019-04-05,189.0,192.3,186.7,192.0,7271483.0
VEDL.EQ-NSE,2019-04-08,194.05,195.1,185.2,186.55,10904093.0
VEDL.EQ-NSE,2019-04-09,187.15,190.95,184.1,190.0,8875225.0
VEDL.EQ-NSE,2019-04-10,188.75,191.75,185.55,189.0,10047683.0
VEDL.EQ-NSE,2019-04-11,188.2,188.2,179.4,181.3,17541689.0
VEDL.EQ-NSE,2019-04-12,181.75,184.5,179.7,183.9,7682737.0
VEDL.EQ-NSE,2019-04-15,184.9,187.95,183.7,185.35,6490556.0
VEDL.EQ-NSE,2019-04-16,185.8,189.75,184.3,185.0,7704984.0
VEDL.EQ-NSE,2019-04-18,185.4,186.9,178.0,178.4,10520685.0
VEDL.EQ-NSE,2019-04-22,178.7,179.45,174.7,175.25,5162568.0
VEDL.EQ-NSE,2019-04-23,175.2,176.35,174.0,174.7,4502880.0
VEDL.EQ-NSE,2019-04-24,174.9,176.0,171.05,175.0,6486580.0
VEDL.EQ-NSE,2019-04-25,174.5,175.25,170.0,170.3,7160475.0
VEDL.EQ-NSE,2019-04-26,171.6,172.7,168.0,169.6,14492780.0
