Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
VIJAYABANK.EQ-NSE,2019-01-01,50.05,51.15,50.05,51.0,469670.0
VIJAYABANK.EQ-NSE,2019-01-02,51.0,51.9,51.0,51.05,982755.0
VIJAYABANK.EQ-NSE,2019-01-03,47.5,48.4,46.85,47.55,4253556.0
VIJAYABANK.EQ-NSE,2019-01-04,47.7,48.25,47.1,48.1,1279899.0
VIJAYABANK.EQ-NSE,2019-01-07,48.75,49.0,48.15,48.4,814001.0
VIJAYABANK.EQ-NSE,2019-01-08,48.55,49.4,48.05,49.0,1815583.0
VIJAYABANK.EQ-NSE,2019-01-09,49.25,49.95,48.65,49.85,1406731.0
VIJAYABANK.EQ-NSE,2019-01-10,49.8,49.9,49.35,49.35,357436.0
VIJAYABANK.EQ-NSE,2019-01-11,49.55,49.75,48.6,48.8,635383.0
VIJAYABANK.EQ-NSE,2019-01-14,48.85,49.4,48.4,48.7,324157.0
VIJAYABANK.EQ-NSE,2019-01-15,48.7,49.2,48.55,48.6,651462.0
VIJAYABANK.EQ-NSE,2019-01-16,48.85,49.2,47.85,48.1,1610094.0
VIJAYABANK.EQ-NSE,2019-01-17,48.2,48.25,46.85,47.45,669370.0
VIJAYABANK.EQ-NSE,2019-01-18,47.45,47.55,46.6,46.85,538324.0
VIJAYABANK.EQ-NSE,2019-01-21,46.85,47.15,45.8,46.0,877953.0
VIJAYABANK.EQ-NSE,2019-01-22,45.8,46.2,45.0,45.35,758795.0
VIJAYABANK.EQ-NSE,2019-01-23,45.5,45.95,44.0,44.55,4561697.0
VIJAYABANK.EQ-NSE,2019-01-24,44.95,45.65,44.3,44.9,1615817.0
VIJAYABANK.EQ-NSE,2019-01-25,44.8,45.4,43.15,43.75,1760812.0
VIJAYABANK.EQ-NSE,2019-01-28,44.1,44.45,42.55,43.05,1542976.0
VIJAYABANK.EQ-NSE,2019-01-29,43.25,45.4,42.3,45.2,1532233.0
VIJAYABANK.EQ-NSE,2019-01-30,45.7,46.4,44.05,44.7,1850632.0
VIJAYABANK.EQ-NSE,2019-01-31,45.0,45.1,43.45,44.15,2485681.0
VIJAYABANK.EQ-NSE,2019-02-01,44.6,44.9,42.6,43.1,3467059.0
VIJAYABANK.EQ-NSE,2019-02-04,43.0,43.55,42.15,42.6,1513709.0
VIJAYABANK.EQ-NSE,2019-02-05,42.7,43.05,41.85,42.25,2016322.0
VIJAYABANK.EQ-NSE,2019-02-06,42.35,43.0,41.2,43.0,854297.0
VIJAYABANK.EQ-NSE,2019-02-07,42.6,43.15,42.25,42.8,1573951.0
VIJAYABANK.EQ-NSE,2019-02-08,42.6,42.65,41.15,41.3,1299292.0
VIJAYABANK.EQ-NSE,2019-02-11,41.3,41.3,40.25,40.5,5149089.0
VIJAYABANK.EQ-NSE,2019-02-12,40.55,41.1,39.9,40.0,3498717.0
VIJAYABANK.EQ-NSE,2019-02-13,40.0,40.55,39.6,39.75,1586206.0
VIJAYABANK.EQ-NSE,2019-02-14,40.0,40.55,39.3,40.2,1626233.0
VIJAYABANK.EQ-NSE,2019-02-15,40.55,40.65,39.15,39.15,5477090.0
VIJAYABANK.EQ-NSE,2019-02-18,39.3,39.7,38.4,38.5,661712.0
VIJAYABANK.EQ-NSE,2019-02-19,38.9,40.5,38.55,39.8,1834777.0
VIJAYABANK.EQ-NSE,2019-02-20,39.95,40.65,39.75,40.15,2203193.0
VIJAYABANK.EQ-NSE,2019-02-21,41.3,41.95,40.5,41.35,6318136.0
VIJAYABANK.EQ-NSE,2019-02-22,41.5,41.5,40.9,41.4,896793.0
VIJAYABANK.EQ-NSE,2019-02-25,41.3,41.6,40.85,41.35,827144.0
VIJAYABANK.EQ-NSE,2019-02-26,41.2,41.2,39.65,40.85,737922.0
VIJAYABANK.EQ-NSE,2019-02-27,40.85,41.6,40.0,40.4,862989.0
VIJAYABANK.EQ-NSE,2019-02-28,40.8,40.9,40.35,40.45,1197002.0
VIJAYABANK.EQ-NSE,2019-03-01,40.8,43.55,40.5,43.25,3140318.0
VIJAYABANK.EQ-NSE,2019-03-05,43.9,45.5,43.3,45.05,750028.0
VIJAYABANK.EQ-NSE,2019-03-06,45.3,45.5,44.55,45.0,621025.0
VIJAYABANK.EQ-NSE,2019-03-07,45.1,46.85,44.25,46.1,12620869.0
