Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
VOLTAS-I500PE,2019-01-01,3.25,3.25,3.25,3.25,3000.0,22000.0
VOLTAS-I520PE,2019-01-01,6.05,6.05,6.05,6.05,1000.0,21000.0
VOLTAS-I530PE,2019-01-01,9.35,9.45,8.05,8.2,18000.0,29000.0
VOLTAS-I540PE,2019-01-01,12.9,12.9,11.25,12.5,21000.0,38000.0
VOLTAS-I550CE,2019-01-01,21.2,23.35,21.2,23.35,4000.0,13000.0
VOLTAS-I550PE,2019-01-01,16.15,17.0,15.0,15.0,20000.0,30000.0
VOLTAS-I560CE,2019-01-01,17.5,19.25,15.5,19.25,92000.0,48000.0
VOLTAS-I560PE,2019-01-01,20.7,22.5,20.7,22.5,3000.0,12000.0
VOLTAS-I570CE,2019-01-01,13.4,14.8,11.8,14.1,135000.0,60000.0
VOLTAS-I570PE,2019-01-01,25.0,28.35,25.0,26.1,5000.0,4000.0
VOLTAS-I580CE,2019-01-01,10.6,11.1,8.9,10.9,123000.0,62000.0
VOLTAS-I590CE,2019-01-01,6.7,8.45,6.6,8.45,8000.0,22000.0
VOLTAS-I600CE,2019-01-01,5.6,6.2,5.0,6.0,6000.0,45000.0
VOLTAS-I480PE,2019-01-02,2.25,2.25,2.25,2.25,1000.0,2000.0
VOLTAS-I500PE,2019-01-02,3.0,6.55,3.0,6.2,56000.0,51000.0
VOLTAS-I510PE,2019-01-02,4.5,4.5,4.5,4.5,1000.0,1000.0
VOLTAS-I520PE,2019-01-02,6.35,12.1,6.35,12.1,94000.0,43000.0
VOLTAS-I530CE,2019-01-02,23.0,23.0,23.0,23.0,1000.0,1000.0
VOLTAS-I530PE,2019-01-02,8.9,15.5,8.75,15.4,149000.0,49000.0
VOLTAS-I540CE,2019-01-02,20.0,20.0,17.9,17.9,5000.0,7000.0
VOLTAS-I540PE,2019-01-02,11.4,20.3,11.3,20.3,91000.0,36000.0
VOLTAS-I550CE,2019-01-02,22.2,22.25,13.75,13.75,75000.0,51000.0
VOLTAS-I550PE,2019-01-02,16.0,25.05,15.0,24.1,48000.0,32000.0
VOLTAS-I560CE,2019-01-02,17.45,18.5,10.35,10.5,314000.0,120000.0
VOLTAS-I560PE,2019-01-02,21.0,31.0,19.9,29.55,30000.0,29000.0
VOLTAS-I570CE,2019-01-02,13.15,14.05,7.85,7.95,294000.0,79000.0
VOLTAS-I570PE,2019-01-02,25.45,39.1,25.45,39.1,5000.0,3000.0
VOLTAS-I580CE,2019-01-02,9.95,10.55,5.75,5.8,231000.0,80000.0
VOLTAS-I590CE,2019-01-02,7.45,7.45,2.7,2.7,60000.0,31000.0
VOLTAS-I600CE,2019-01-02,5.95,5.95,3.1,3.3,22000.0,53000.0
VOLTAS-I610CE,2019-01-02,3.9,3.9,2.65,2.65,4000.0,11000.0
VOLTAS-I620CE,2019-01-02,2.4,2.4,1.75,2.0,13000.0,27000.0
VOLTAS-I630CE,2019-01-02,1.8,1.8,1.3,1.3,19000.0,27000.0
VOLTAS-I640CE,2019-01-02,1.2,1.2,1.2,1.2,2000.0,7000.0
VOLTAS-I680CE,2019-01-02,0.4,0.4,0.4,0.4,1000.0,1000.0
VOLTAS-I460PE,2019-01-03,1.45,1.7,1.35,1.7,17000.0,9000.0
VOLTAS-I480PE,2019-01-03,3.2,3.25,2.55,3.25,28000.0,23000.0
VOLTAS-I490PE,2019-01-03,4.2,4.35,3.4,4.35,7000.0,2000.0
VOLTAS-I500PE,2019-01-03,6.6,6.6,5.0,6.5,45000.0,49000.0
VOLTAS-I510PE,2019-01-03,8.5,8.5,8.4,8.4,2000.0,3000.0
VOLTAS-I520PE,2019-01-03,12.1,12.6,9.5,11.6,186000.0,87000.0
VOLTAS-I530CE,2019-01-03,24.5,24.5,23.0,23.0,2000.0,1000.0
VOLTAS-I530PE,2019-01-03,15.65,16.35,12.5,16.1,68000.0,53000.0
VOLTAS-I540CE,2019-01-03,19.4,20.8,16.5,17.0,101000.0,28000.0
VOLTAS-I540PE,2019-01-03,19.2,21.1,16.7,20.75,50000.0,49000.0
VOLTAS-I550CE,2019-01-03,14.5,16.15,12.0,12.85,127000.0,66000.0
VOLTAS-I550PE,2019-01-03,25.0,26.85,21.5,26.0,17000.0,26000.0
