Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
WIPRO.EQ-NSE,2019-01-01,247.9875,249.5625,244.05,246.525,1512449.0
WIPRO.EQ-NSE,2019-01-02,246.525,248.475,242.25,244.05,3304221.0
WIPRO.EQ-NSE,2019-01-03,245.25,245.9625,242.2875,243.2625,3539395.0
WIPRO.EQ-NSE,2019-01-04,243.375,245.1375,239.7375,243.0,2395885.0
WIPRO.EQ-NSE,2019-01-07,244.8,245.0625,241.725,243.0,1899393.0
WIPRO.EQ-NSE,2019-01-08,243.75,245.625,241.95,242.7375,2082755.0
WIPRO.EQ-NSE,2019-01-09,243.8625,249.45,243.825,246.225,3922560.0
WIPRO.EQ-NSE,2019-01-10,248.25,248.2875,242.25,243.9375,3091809.0
WIPRO.EQ-NSE,2019-01-11,244.2,247.425,242.625,246.75,1593706.0
WIPRO.EQ-NSE,2019-01-14,248.325,248.325,233.5125,234.375,6901417.0
WIPRO.EQ-NSE,2019-01-15,238.5,249.225,236.2875,247.275,15013482.0
WIPRO.EQ-NSE,2019-01-16,248.775,254.85,246.7875,252.75,9871981.0
WIPRO.EQ-NSE,2019-01-17,253.0125,253.95,248.7,251.5875,5270784.0
WIPRO.EQ-NSE,2019-01-18,252.3,260.625,250.05,260.13750000000005,10075237.0
WIPRO.EQ-NSE,2019-01-21,253.6125,258.675,249.9,252.375,15407959.0
WIPRO.EQ-NSE,2019-01-22,252.6,262.20000000000005,252.0,261.1875,6664724.0
WIPRO.EQ-NSE,2019-01-23,262.01250000000005,266.85,261.0,263.25,9911317.0
WIPRO.EQ-NSE,2019-01-24,263.475,264.75,259.875,263.77500000000003,4213841.0
WIPRO.EQ-NSE,2019-01-25,264.0,268.76250000000005,261.0,265.65000000000003,5222208.0
WIPRO.EQ-NSE,2019-01-28,265.76250000000005,272.02500000000003,265.6875,266.25,6891886.0
WIPRO.EQ-NSE,2019-01-29,267.26250000000005,270.6,264.7875,269.4375,4608684.0
WIPRO.EQ-NSE,2019-01-30,269.1,275.7375,268.5,272.625,7400806.0
WIPRO.EQ-NSE,2019-01-31,274.27500000000003,278.55,272.475,276.0,7684023.0
WIPRO.EQ-NSE,2019-02-01,277.57500000000005,279.33750000000003,272.625,278.25,3339755.0
WIPRO.EQ-NSE,2019-02-04,277.725,281.02500000000003,276.07500000000005,278.4375,3135771.0
WIPRO.EQ-NSE,2019-02-05,277.5,279.15000000000003,274.35,276.4875,2451681.0
WIPRO.EQ-NSE,2019-02-06,276.675,281.21250000000003,276.5625,279.6,2175320.0
WIPRO.EQ-NSE,2019-02-07,278.6625,280.875,277.2375,280.46250000000003,2238409.0
WIPRO.EQ-NSE,2019-02-08,278.32500000000005,281.175,276.52500000000003,279.3,1396450.0
WIPRO.EQ-NSE,2019-02-11,277.8,283.05,277.27500000000003,280.5,2969545.0
WIPRO.EQ-NSE,2019-02-12,280.27500000000003,282.1875,276.26250000000005,281.1,2970950.0
WIPRO.EQ-NSE,2019-02-13,280.6875,284.77500000000003,279.9375,282.1875,3291592.0
WIPRO.EQ-NSE,2019-02-14,282.4875,283.8,280.46250000000003,281.32500000000005,3068508.0
WIPRO.EQ-NSE,2019-02-15,281.51250000000005,283.01250000000005,277.6125,282.07500000000005,3520017.0
WIPRO.EQ-NSE,2019-02-18,283.5,283.6875,278.0625,280.725,3473537.0
WIPRO.EQ-NSE,2019-02-19,279.9375,281.55,271.65000000000003,272.51250000000005,3054982.0
WIPRO.EQ-NSE,2019-02-20,272.40000000000003,280.5,270.90000000000003,280.125,4400077.0
WIPRO.EQ-NSE,2019-02-21,279.6,282.6,278.1,280.5,2564415.0
