Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ZEEL-I400PE,2019-01-01,1.5,1.5,0.8,1.25,5200.0,31200.0
ZEEL-I420PE,2019-01-01,2.0,2.0,2.0,2.0,1300.0,35100.0
ZEEL-I430CE,2019-01-01,49.75,53.3,49.75,53.3,5200.0,13000.0
ZEEL-I430PE,2019-01-01,4.85,4.85,3.45,3.5,28600.0,79300.0
ZEEL-I440CE,2019-01-01,39.15,46.5,39.15,46.5,2600.0,16900.0
ZEEL-I440PE,2019-01-01,6.6,7.1,4.95,4.95,37700.0,128700.0
ZEEL-I450CE,2019-01-01,32.05,32.2,32.05,32.2,5200.0,28600.0
ZEEL-I450PE,2019-01-01,7.75,9.85,6.95,7.1,97500.0,137800.0
ZEEL-I460CE,2019-01-01,29.45,30.8,25.9,30.8,13000.0,87100.0
ZEEL-I460PE,2019-01-01,11.75,13.7,9.75,9.85,250900.0,209300.0
ZEEL-I470CE,2019-01-01,22.95,25.5,20.6,25.5,32500.0,117000.0
ZEEL-I470PE,2019-01-01,15.65,18.05,13.15,13.2,258700.0,127400.0
ZEEL-I480CE,2019-01-01,19.25,19.55,15.35,19.55,249600.0,185900.0
ZEEL-I480PE,2019-01-01,20.75,23.0,17.2,17.45,65000.0,33800.0
ZEEL-I490CE,2019-01-01,15.0,15.1,11.85,14.8,88400.0,74100.0
ZEEL-I500CE,2019-01-01,11.3,11.3,8.55,10.65,360100.0,384800.0
ZEEL-I510CE,2019-01-01,7.45,7.85,6.15,7.7,117000.0,87100.0
ZEEL-I520CE,2019-01-01,4.5,5.45,4.35,5.2,32500.0,117000.0
ZEEL-I530CE,2019-01-01,3.05,3.9,2.8,3.9,31200.0,53300.0
ZEEL-I540CE,2019-01-01,2.0,2.5,2.0,2.5,3900.0,10400.0
ZEEL-I550CE,2019-01-01,1.95,1.95,1.55,1.75,52000.0,113100.0
ZEEL-I560CE,2019-01-01,1.05,1.05,1.05,1.05,2600.0,13000.0
ZEEL-I570CE,2019-01-01,0.6,0.6,0.6,0.6,2600.0,1300.0
ZEEL-I400PE,2019-01-02,2.5,2.5,2.0,2.0,3900.0,29900.0
ZEEL-I420CE,2019-01-02,54.4,54.4,54.4,54.4,1300.0,6500.0
ZEEL-I420PE,2019-01-02,2.5,3.25,2.3,3.25,7800.0,35100.0
ZEEL-I430PE,2019-01-02,3.8,4.8,3.5,3.75,23400.0,72800.0
ZEEL-I440CE,2019-01-02,42.6,42.6,35.5,35.5,10400.0,20800.0
ZEEL-I440PE,2019-01-02,5.6,7.55,4.8,5.7,219700.0,165100.0
ZEEL-I450CE,2019-01-02,32.2,32.2,26.55,28.75,6500.0,22100.0
ZEEL-I450PE,2019-01-02,7.9,10.95,7.1,8.1,326300.0,131300.0
ZEEL-I460CE,2019-01-02,29.8,29.8,21.0,25.0,20800.0,87100.0
ZEEL-I460PE,2019-01-02,11.2,15.0,9.6,11.55,461500.0,149500.0
ZEEL-I470CE,2019-01-02,23.95,23.95,15.8,20.6,59800.0,106600.0
ZEEL-I470PE,2019-01-02,14.9,20.0,12.8,15.4,297700.0,78000.0
ZEEL-I480CE,2019-01-02,16.85,19.15,11.9,15.5,412100.0,235300.0
ZEEL-I480PE,2019-01-02,19.5,25.75,18.25,21.55,89700.0,35100.0
ZEEL-I490CE,2019-01-02,13.15,14.5,9.0,11.65,209300.0,75400.0
ZEEL-I490PE,2019-01-02,28.0,30.35,28.0,30.35,5200.0,6500.0
ZEEL-I500CE,2019-01-02,9.3,10.65,6.55,8.5,744900.0,403000.0
ZEEL-I500PE,2019-01-02,37.75,37.75,37.75,37.75,1300.0,3900.0
ZEEL-I510CE,2019-01-02,6.8,7.65,4.55,5.95,222300.0,96200.0
ZEEL-I520CE,2019-01-02,4.4,5.0,3.2,4.2,55900.0,122200.0
ZEEL-I530CE,2019-01-02,2.7,3.2,2.3,2.75,18200.0,55900.0
ZEEL-I540CE,2019-01-02,1.95,1.95,1.7,1.7,3900.0,10400.0
ZEEL-I550CE,2019-01-02,1.6,1.6,1.0,1.35,11700.0,114400.0
ZEEL-I560CE,2019-01-02,0.8,0.8,0.8,0.8,1300.0,14300.0
ZEEL-I570CE,2019-01-02,0.8,0.8,0.6,0.6,2600.0,3900.0
ZEEL-I600CE,2019-01-02,0.25,0.25,0.25,0.25,1300.0,31200.0
ZEEL-I400PE,2019-01-03,2.0,2.0,2.0,2.0,1300.0,31200.0
ZEEL-I410PE,2019-01-03,2.1,2.1,2.1,2.1,1300.0,7800.0
ZEEL-I420PE,2019-01-03,2.4,3.65,2.4,3.4,9100.0,37700.0
ZEEL-I430PE,2019-01-03,3.85,5.9,3.8,5.75,85800.0,88400.0
ZEEL-I440CE,2019-01-03,36.5,38.7,33.85,33.85,6500.0,23400.0
ZEEL-I440PE,2019-01-03,6.7,8.4,5.35,7.8,361400.0,166400.0
ZEEL-I450CE,2019-01-03,31.15,31.15,26.05,26.05,14300.0,23400.0
