Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ZYDUSLIFE-I260PE,2022-03-07,0.15,1.3,0.15,1.3,2200.0,0.0
ZYDUSLIFE-I300PE,2022-03-07,2.35,3.95,2.1,2.5,15400.0,145200.0
ZYDUSLIFE-I310PE,2022-03-07,3.1,3.85,3.1,3.2,6600.0,4400.0
ZYDUSLIFE-I320PE,2022-03-07,8.5,10.0,4.8,6.0,53900.0,62700.0
ZYDUSLIFE-I325PE,2022-03-07,7.5,7.5,7.5,7.5,1100.0,2200.0
ZYDUSLIFE-I330PE,2022-03-07,8.05,14.0,6.05,8.65,34100.0,67100.0
ZYDUSLIFE-I335CE,2022-03-07,15.0,15.0,15.0,15.0,1100.0,0.0
ZYDUSLIFE-I340CE,2022-03-07,12.0,17.7,11.25,16.8,88000.0,72600.0
ZYDUSLIFE-I340PE,2022-03-07,11.95,18.2,10.0,13.0,77000.0,100100.0
ZYDUSLIFE-I345PE,2022-03-07,15.0,15.55,8.05,15.5,20900.0,40700.0
ZYDUSLIFE-I350CE,2022-03-07,8.05,13.45,7.9,10.55,309100.0,250800.0
ZYDUSLIFE-I350PE,2022-03-07,18.55,26.0,14.8,15.3,70400.0,290400.0
ZYDUSLIFE-I355CE,2022-03-07,3.35,9.45,3.35,8.0,8800.0,41800.0
ZYDUSLIFE-I355PE,2022-03-07,18.4,18.4,18.4,18.4,1100.0,40700.0
ZYDUSLIFE-I360CE,2022-03-07,7.0,9.25,5.25,7.05,283800.0,272800.0
ZYDUSLIFE-I360PE,2022-03-07,27.7,32.6,23.0,23.0,38500.0,174900.0
ZYDUSLIFE-I365CE,2022-03-07,6.65,6.65,6.65,6.65,1100.0,25300.0
ZYDUSLIFE-I370CE,2022-03-07,4.8,6.5,3.1,4.45,140800.0,194700.0
ZYDUSLIFE-I370PE,2022-03-07,29.0,29.0,29.0,29.0,1100.0,79200.0
ZYDUSLIFE-I380CE,2022-03-07,2.0,4.85,1.25,3.15,250800.0,444400.0
ZYDUSLIFE-I380PE,2022-03-07,48.15,48.15,42.75,42.75,2200.0,146300.0
ZYDUSLIFE-I385CE,2022-03-07,0.65,2.6,0.65,2.6,2200.0,25300.0
ZYDUSLIFE-I390CE,2022-03-07,1.0,2.6,1.0,2.6,11000.0,132000.0
ZYDUSLIFE-I400CE,2022-03-07,1.15,1.95,1.0,1.55,198000.0,748000.0
ZYDUSLIFE-I400PE,2022-03-07,66.9,67.0,58.0,59.5,7700.0,287100.0
ZYDUSLIFE-I410CE,2022-03-07,0.75,1.1,0.7,0.7,4400.0,224400.0
ZYDUSLIFE-I410PE,2022-03-07,69.0,69.0,69.0,69.0,1100.0,145200.0
