Year,Month,PNL
2019,1,60060.0290802564
2019,2,-125062.9489387472
2019,3,400297.04037790804
2019,4,150303.8939943078
2019,5,302806.7153363672
2019,6,255958.08817467483
2019,7,-121019.060448307
2019,8,-88580.7650671386
2019,9,-636784.4132168804
2019,10,-753949.3139451393
2019,11,255235.19911131836
2019,12,225494.69024573115
2020,1,-177750.36021139237
2020,2,120785.56151551177
2020,3,750721.8908161324
2020,4,1467090.2105083796
2020,5,546035.6139852623
2020,6,522990.4784296972
2020,7,420563.817002762
2020,8,860775.2334166049
2020,9,82238.41292657044
2020,10,-8389.31336845315
2020,11,484615.1068649628
2020,12,456508.43926624785
2021,1,697855.8809623282
2021,2,-188901.86741042393
2021,3,358841.8437202441
2021,4,152369.59230942436
2021,5,979171.4785923186
2021,6,-109126.2032772963
2021,7,222223.37762038378
2021,8,-17505.774713629402
2021,9,-220451.55728235442
2021,10,813741.2882142521
2021,11,70278.09139689487
2021,12,-610841.1863614322
2022,1,269637.15537228185
2022,2,-474348.7775912538
2022,3,328677.88322136994
2022,4,318982.33096234
2022,5,274107.26436190755
2022,6,136139.40397991953
2022,7,597413.5655835976
2022,8,301384.4030823967
2022,9,80128.89931873267
2022,10,142236.81285721197
2022,11,415110.6916910957
2022,12,130437.653975711
2023,1,111255.77654321401
2023,2,27187.223514940757
2023,3,61390.91634439201
2023,4,301433.4787119972
2023,5,188703.1133968319
2023,6,310140.58229449
2023,7,379880.9233266604
2023,8,327564.05364118563
2023,9,203526.774023753
2023,10,-85404.22926658363
2023,11,73103.53324371614
2023,12,-55661.60761531259
2024,1,85550.61702519692
2024,2,377161.38955918176
2024,3,-401176.57805619866
2024,4,-131971.32107105275
2024,5,-418399.896759148
2024,6,-912138.766158513
2024,7,294669.5668344043
