Date,Entry,Option Strike,Option Initial Price,Option Type,Bought Delta,lot_size,Expiry Month,Target Delta,Options PNL,Option Close Date,Option Final Price,Option SL
01-01-2019,RELIANCE-I1168.9CE,1168.9,14.16571848,call,0.349580756,624.9720995,31-01-2019,0.35,-18060.48479,21-01-2019,42.49715544,Intraday SL Hit
01-02-2019,RELIANCE-I1307.6CE,1307.6,11.78825524,call,0.341197214,558.2359743,28-02-2019,0.35,-13424.48142,06-02-2019,35.36476572,Intraday SL Hit
01-03-2019,RELIANCE-I1268CE,1268,16.34505979,call,0.375026986,571.4285714,28-03-2019,0.35,-19053.66969,11-03-2019,49.03517936,Intraday SL Hit
29-03-2019,RELIANCE-I1426.5CE,1426.5,18.821584,call,0.325140884,513.5541616,25-04-2019,0.35,9543.552809,25-04-2019,0.049530484,Expiry
26-04-2019,RELIANCE-I1466.1CE,1466.1,16.84036463,call,0.324294642,503.1627372,30-05-2019,0.35,8363.538409,30-05-2019,0.049530484,Expiry
31-05-2019,RELIANCE-I1386.85CE,1386.85,12.67980395,call,0.34170983,526.2762198,27-06-2019,0.35,6580.021117,27-06-2019,0.049530484,Expiry
28-06-2019,RELIANCE-I1307.6CE,1307.6,14.85914526,call,0.340480239,558.3250249,25-07-2019,0.35,8185.339671,25-07-2019,0.049530484,Expiry
26-07-2019,RELIANCE-I1268CE,1268,13.67041364,call,0.370187121,575.1848809,29-08-2019,0.35,-16040.55109,13-08-2019,41.01124092,Intraday SL Hit
30-08-2019,RELIANCE-I1307.6CE,1307.6,13.07604783,call,0.336723754,558.7930071,26-09-2019,0.35,7205.781985,26-09-2019,0.049530484,Expiry
27-09-2019,RELIANCE-I1367.05CE,1367.05,21.69435208,call,0.354347372,535.5776588,31-10-2019,0.35,-23702.781,24-10-2019,65.08305624,Intraday SL Hit
01-11-2019,RELIANCE-I1525.55CE,1525.55,14.66102332,call,0.320478304,480.7197061,28-11-2019,0.35,-14377.59936,20-11-2019,43.98306997,Intraday SL Hit
29-11-2019,RELIANCE-I1624.6CE,1624.6,12.13496863,call,0.327022406,450.7405023,26-12-2019,0.35,5392.475987,26-12-2019,0.049530484,Expiry
27-12-2019,RELIANCE-I1624.6CE,1624.6,10.94623701,call,0.326583551,453.808752,30-01-2020,0.35,4895.121033,30-01-2020,0.049530484,Expiry
31-01-2020,RELIANCE-I1466.1CE,1466.1,12.18449911,call,0.339025555,496.4539007,27-02-2020,0.35,-12340.04591,14-02-2020,36.55349734,Intraday SL Hit
28-02-2020,RELIANCE-I1367.05CE,1367.05,30.46124778,call,0.382983969,527.8636604,26-03-2020,0.35,15892.1851,26-03-2020,0.049530484,Expiry
27-03-2020,RELIANCE-I1129.3CE,1129.3,74.79103114,call,0.367266479,656.537235,30-04-2020,0.35,-100170.3175,22-04-2020,224.3730934,Intraday SL Hit
04-05-2020,RELIANCE-I1525.55CE,1525.55,44.57743578,call,0.329511178,487.9919133,28-05-2020,0.35,21511.2503,28-05-2020,0.05,Expiry
29-05-2020,RELIANCE-I1560CE,1560,20.7,call,0.34616191,476.8554787,25-06-2020,0.35,-20136.65316,04-06-2020,62.1,Intraday SL Hit
