ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL,,
RELIANCE.EQ-NSE,21-01-2019,1236,1268,6.934267788,10.40140168,22-01-2019,-2061.766515,566.3430421,0,FALSE,0,10961.85,11100,36,45.95,0,63.85783422,687.7169456,Intraday SL Hit,-50.00%,-21.65%
RELIANCE.EQ-NSE,18-02-2019,1215.7,1248.15,13.22463928,0.049530484,28-02-2019,7509.794332,575.7999506,0,FALSE,0,10640.95,10750,37.9,77,0,65.78360015,2647.724122,No SL Hit,99.63%,-50.78%
RELIANCE.EQ-NSE,18-03-2019,1357,1386.85,10.69858459,16.04787688,19-03-2019,-2897.369076,515.843773,0,FALSE,0,11462.2,11600,77.55,68.1,0,61.07030064,-488.1654482,Intraday SL Hit,-50.00%,13.88%
RELIANCE.EQ-NSE,15-04-2019,1339.8,1367.05,15.84975494,24.7652421,18-04-2019,-4870.238833,522.4660397,0,FALSE,0,11690.35,11800,108,50.15,0,59.87844675,-3369.270381,Overnight SL Hit,-56.25%,115.35%
RELIANCE.EQ-NSE,20-05-2019,1328.55,1367.05,24.7652421,37.14786315,21-05-2019,-6850.496008,526.8902187,0,FALSE,0,11828.25,11950,163.65,198.05,0,59.18035212,2249.859447,Intraday SL Hit,-50.00%,-17.37%
RELIANCE.EQ-NSE,17-06-2019,1283,1307.6,8.222060377,0.049530484,27-06-2019,4413.772244,545.5962588,0,FALSE,0,11672.15,11800,41.75,53.65,0,59.97181325,770.8776875,No SL Hit,99.40%,-22.18%
RELIANCE.EQ-NSE,15-07-2019,1276.5,1307.6,9.90609684,0.049530484,25-07-2019,5350.495149,548.3744614,0,FALSE,0,11588.35,11700,0.05,37,0,60.40549345,2254.363218,No SL Hit,99.50%,-99.86%
RELIANCE.EQ-NSE,19-08-2019,1289.7,1327.4,6.389432462,0.049530484,29-08-2019,3406.108896,542.7618826,0,FALSE,0,11053.9,11200,0.05,59.25,0,63.32606591,3786.455459,No SL Hit,99.22%,-99.92%
RELIANCE.EQ-NSE,16-09-2019,1210.6,1228.35,10.50046265,15.75069397,20-09-2019,-3187.60947,578.2256732,0,FALSE,0,11003.5,11150,182.1,49.8,0,63.61612214,-8268.887172,Intraday SL Hit,-50.00%,265.66%
RELIANCE.EQ-NSE,22-10-2019,1417.4,1446.3,11.88731621,17.83097431,29-10-2019,-3082.114228,493.8620008,0,FALSE,0,11588.35,11700,114,78.65,0,60.40549345,-2018.96301,Intraday SL Hit,-50.00%,44.95%
RELIANCE.EQ-NSE,18-11-2019,1460.3,1485.9,12.58074299,18.87111448,19-11-2019,-3166.077551,479.3535575,0,FALSE,0,11884.5,12000,85.3,67.3,0,58.90024822,-970.3226892,Intraday SL Hit,-50.00%,26.75%
RELIANCE.EQ-NSE,16-12-2019,1570.55,1604.8,11.39201137,17.08801705,19-12-2019,-2665.667554,445.7037344,0,FALSE,0,12053.95,12200,108.5,39.1,0,58.07225018,-3944.499521,Intraday SL Hit,-50.00%,177.49%
RELIANCE.EQ-NSE,20-01-2020,1532.2,1565.15,10.79764556,0.049530484,30-01-2020,4860.821249,456.8594178,0,FALSE,0,12224.55,12350,0.05,56.8,0,57.2618215,3282.161716,No SL Hit,99.54%,-99.91%
RELIANCE.EQ-NSE,17-02-2020,1478.5,1505.75,9.410791998,14.116188,19-02-2020,-2339.172174,473.4528238,0,FALSE,0,12045.8,12200,56.05,48,0,58.11154095,-407.3328463,Intraday SL Hit,-50.00%,16.77%
RELIANCE.EQ-NSE,16-03-2020,1012.2,1030.25,60.67484314,91.01226471,25-03-2020,-22029.24803,691.5629322,0,FALSE,0,9197.4,9350,6,420.6,0,76.10846544,31879.24848,Intraday SL Hit,-50.00%,-98.57%
RELIANCE.EQ-NSE,20-04-2020,1248.1,1287.8,31.69950989,68.946434,22-04-2020,-21454.50564,560.8524958,0,FALSE,0,9261.85,9450,60.1,162.95,0,75.57885304,7941.863667,Overnight SL Hit,-117.50%,-63.12%
RELIANCE.EQ-NSE,18-05-2020,1443,1485.9,35.5,0.05,28-05-2020,17024.35897,485.1004851,0,FALSE,0,8823.25,9050,439,132.95,0,79.33584564,-23826.97419,No SL Hit,99.86%,230.20%
RELIANCE.EQ-NSE,15-06-2020,1611.4,1664.2,32.6,48.9,19-06-2020,-7434.83927,434.4048653,0,FALSE,0,9813.7,10050,264.85,113,0,71.3288566,-10561.77079,Intraday SL Hit,-50.00%,134.38%
RELIANCE.EQ-NSE,20-07-2020,1922,1980,39.5,59.25,22-07-2020,-7552.679501,364.2039542,0,FALSE,0,11022.2,11300,62.5,44.35,0,63.50819256,-1084.815191,Intraday SL Hit,-50.00%,40.92%
RELIANCE.EQ-NSE,17-08-2020,2094.05,2160,46,0.05,27-08-2020,15206.25104,334.2804613,0,FALSE,0,11247.1,11500,59.25,50.4,0,62.23826586,-482.5643944,No SL Hit,99.89%,17.56%
RELIANCE.EQ-NSE,14-09-2020,2296.8999,2380,31.25,46.875,16-09-2020,-4999.945797,304.7586009,0,FALSE,0,11440.05,11700,68.5,45.5,0,61.18854376,-1337.581567,Intraday SL Hit,-50.00%,50.55%
RELIANCE.EQ-NSE,19-10-2020,2175,2250,33.5,0.05,29-10-2020,10657.54023,321.8390805,0,FALSE,0,11873.05,12150,0.05,38.2,0,58.95704979,2271.762521,No SL Hit,99.85%,-99.87%
RELIANCE.EQ-NSE,17-11-2020,1994.8,2060,30.75,0.05,26-11-2020,10664.92881,350.9123722,0,FALSE,0,12874.2,13150,0.05,33.95,0,54.37231051,1861.707912,No SL Hit,99.84%,-99.85%
RELIANCE.EQ-NSE,21-12-2020,1935,2000,28,0.1,31-12-2020,9991.369509,361.7571059,0,FALSE,0,13328.4,13650,332.95,58,0,52.51943219,-14234.89316,No SL Hit,99.64%,474.05%
RELIANCE.EQ-NSE,18-01-2021,1972.8,2040,34,51,20-01-2021,-6333.63747,354.8256285,0,FALSE,0,14281.3,14600,152.6,68.25,0,49.01514568,-4026.177589,Intraday SL Hit,-50.00%,123.59%
RELIANCE.EQ-NSE,15-02-2021,2033.8,2100,26.85,40.275,16-02-2021,-4851.693874,344.1833022,0,FALSE,0,15314.7,15700,36.5,57.15,0,45.70771873,986.6696703,Intraday SL Hit,-50.00%,-36.13%
RELIANCE.EQ-NSE,15-03-2021,2105.1499,2180,23.6,0.05,25-03-2021,7752.155797,332.5178886,0,FALSE,0,14929.5,15300,0.1,88,0,46.88703573,4162.67792,No SL Hit,99.79%,-99.89%
RELIANCE.EQ-NSE,19-04-2021,1903.05,1960,19.25,28.875,26-04-2021,-3717.387877,367.8305877,0,FALSE,0,14359.45,14600,74.3,113.45,0,48.74838521,2000.024374,Intraday SL Hit,-50.00%,-34.51%
RELIANCE.EQ-NSE,17-05-2021,1958.85,2000,20.8,31.2,18-05-2021,-3902.289609,357.3525283,0,FALSE,0,14923.15,15150,162,85.6,0,46.9069868,-3467.552092,Intraday SL Hit,-50.00%,89.25%
RELIANCE.EQ-NSE,14-06-2021,2245,2300,37,0.05,24-06-2021,11405.63474,311.8040089,0,FALSE,0,15811.85,16000,0.05,63.6,0,44.27059452,2841.574515,No SL Hit,99.86%,-99.92%
RELIANCE.EQ-NSE,19-07-2021,2097.8999,2140,24,36,23-07-2021,-4204.204405,333.6670162,0,FALSE,0,15752.4,15950,34.4,46.35,0,44.43767299,566.9136132,Intraday SL Hit,-50.00%,-25.78%
RELIANCE.EQ-NSE,16-08-2021,2169,2220,14.55,21.825,26-08-2021,-2465.248963,322.7293684,0,FALSE,0,16563.05,16750,0.05,46.65,0,42.2627475,1989.180737,Intraday SL Hit,-50.00%,-99.89%
RELIANCE.EQ-NSE,20-09-2021,2392,2440,26.5,39.75,22-09-2021,-4071.383779,292.6421405,0,FALSE,0,17396.9,17600,130.1,81,0,40.23705373,-1890.698918,Intraday SL Hit,-50.00%,60.62%
RELIANCE.EQ-NSE,18-10-2021,2706.3999,2760,49,0.15,28-10-2021,12507.74137,258.6461816,0,FALSE,0,18477.05,18700,0.15,94.15,0,37.88483551,3596.899938,No SL Hit,99.69%,-99.84%
RELIANCE.EQ-NSE,15-11-2021,2574.5,2620,26.55,0.05,25-11-2021,7132.957856,271.8974558,0,FALSE,0,18109.45,18350,0.05,77.75,0,38.65385199,3033.476997,No SL Hit,99.81%,-99.94%
